start	end	text
0	6000	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
6000	11000	Mein Name ist Jan Groß und ich freue mich sehr heute Jens Schröter begrüßen zu dürfen.
11000	16000	Jens ist Professor für Medienkulturwissenschaft an der Universität Bonn
16000	21000	und einer der Sprecherinnen des Forschungsprojektes Die Gesellschaft nach dem Geld.
21000	24000	Dieses Forschungsprojekt finde ich überaus spannend
24000	28000	und Jens bearbeitet in seiner Forschung auch tatsächlich viele von den Themen,
28000	31000	die auch mich begleiten und interessieren.
31000	35000	Es sieht also alles danach aus, als wäre dies heute nicht die letzte Folge
35000	38000	mit Gästen aus dem Projekt Die Gesellschaft nach dem Geld.
38000	43000	Denn ich merke auch, dass ich unglaublich große Lücken habe
43000	48000	in der Auseinandersetzung mit dem weiten Feld der Commons-Theorie und Praxis.
48000	53000	Das will ich unbedingt ändern und werde mich demnächst dann auch als ersten Schritt
53000	58000	dem Buch Kapitalismus aufheben von Stefan Mehretz und Simon Sütterly zuwenden.
58000	61000	Das kommt heute im Gespräch auch mehrfach vor.
61000	66000	Die kostenfreie Vollversion dieses Buches habe ich euch auch in den Show-Notizen verlinkt,
66000	68000	also to be continued.
68000	73000	Und die heutige Folge ist auch in anderer Form anschlussfähig,
73000	77000	denn ich darf mit großer Freude einen Sammelband ankündigen,
77000	80000	in dem sowohl Jens als auch ich vertreten sind.
80000	84000	Unser heutiges Gespräch basiert eigentlich auf diesen Beiträgen.
84000	86000	Dieser Sammelband trägt den Titel
86000	92000	Die unsichtbare Hand des Plans Koordination und Kalkül im digitalen Kapitalismus
92000	96000	und darüber hinaus und wird im kommenden Jahr herausgegeben
96000	100000	von Timo Daum und Sabine Nuss im Dietz Verlag erscheinen.
100000	104000	Ganz sicher werdet ihr dazu noch so manches von mir hören,
104000	106000	denn ich glaube, das wird ein ganz großartiges Buch
106000	109000	und ich freue mich unglaublich darin vertreten zu sein.
109000	112000	Also auch da to be continued.
112000	114000	Und ich möchte noch aus ganzem Herzen
114000	121000	Karle, Max und Kilian in der Gemeinschaft der Future Histories Patroninnen und Patronen begrüßen.
121000	123000	Vielen, vielen Dank für eure Unterstützung
123000	126000	und vielen Dank auch an Bernhard für deine großzügige Spende.
126000	129000	Das alles hilft wirklich ungemein.
129000	134000	Aber jetzt viel Freude mit der heutigen Episode mit Jens Schröter
134000	137000	zur Gesellschaft nach dem Geld.
139000	143000	Herzlich willkommen, Jens.
143000	145000	Hallo, Jan.
145000	149000	Ich muss sagen, euer Forschungsprojekt hat mich sofort absolut angesprochen,
149000	152000	als ich davon gehört habe, denn es versammelt sehr viele Themen,
152000	154000	die mich überaus interessieren.
154000	157000	Und ihr erprobt einen ungewöhnlichen methodischen Zugang,
157000	161000	nämlich eine Simulation auf Basis des sogenannten Agent-Based Modeling.
161000	165000	Worum geht es in die Gesellschaft nach dem Geld?
165000	171000	Ja, also man muss dazu sagen, das ist sozusagen jetzt die zweite Phase des Projekts.
171000	177000	Die erste Phase, die begonnen hat, quasi im 1. Januar 2016 damals in zwei Jahren lief,
177000	181000	war gewissermaßen die theoretische Phase.
181000	184000	Wir haben uns da zusammengefunden, also Leute aus der Medientheorie,
184000	190000	aus der Commonstheorie, aus der Soziologie, aus den heterodoxen Wirtschaftswissenschaften
191000	196000	und haben erst mal Texte diskutiert, Konzepte diskutiert, eben auch die Bücher gemacht
196000	200000	und das war gewissermaßen die Vorbereitungsphase.
200000	205000	Und dann kam etwas überraschend die Möglichkeit auf, das war ursprünglich gar nicht angedacht,
205000	207000	eine Fortsetzung zu beantragen.
