start	end	text
0	5560	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellungen von Zukunft.
5560	10560	Mein Name ist Jan Groß und ich freue mich sehr, heute Florian Irkmeyer begrüßen zu dürfen.
10560	17600	Florian ist wissenschaftlicher Mitarbeiter der Forschungsgruppe Quantifizierung und gesellschaftliche Regulierung
17600	20960	des Weizenbauminstituts für die vernetzte Gesellschaft.
20960	28560	In seiner Forschung setzte er sich unter anderem mit der politischen Anthropologie des libertären Paternalismus auseinander.
28800	35240	Was genau das ist, libertärer Paternalismus und auf welchen Annahmen über den Menschen das Ganze fußt,
35240	38480	das werden wir im heutigen Gespräch erkunden.
38480	43440	Ich weiß, ich sage das oft, aber es stimmt einfach tatsächlich jedes Mal.
43440	47120	Es war wieder ein unglaublich spannendes Gespräch für mich.
47120	55000	Wir dringen im letzten Drittel wirklich bis an das Mark, bis an den Kern des Selbstverständnisses der liberalen Demokratie.
55080	61760	Und ich für meinen Teil glaube ja, dass wir auf die Fragen, die sich dort dann auftun, neue Antworten benötigen.
61760	68640	Es gibt also noch viel zu erkunden, wenn man dieser Fährte weiter folgt, das heißt to be continued.
68640	74120	Ich darf Heiner ganz herzlich in der Gemeinschaft der Future Histories Patroninnen und Patronen begrüßen.
74120	76360	Vielen, vielen Dank für deine Unterstützung.
76360	83640	Und nachdem ich das schon eine Weile nicht mehr gemacht habe und Mondpropaganda schlichtweg die beste Form von Propaganda ist,
83680	88760	wenn euch Future Histories gefällt, dann empfehlt den Podcast doch bitte einem Freund oder einer Freundin,
88760	93120	von der ihr glaubt, dass ihr oder ihm Future Histories auch gefallen könnte.
93120	101400	Vielen Dank und ich wünsche viel Freude mit der heutigen Episode mit Florian Irkmeyer zu libertärem Patanalismus.
107200	110040	Herzlich willkommen, Florian.
110040	112120	Ja, vielen Dank für die Einladung.
112120	118640	Vielen der Hörerinnen und Hörer wird vielleicht der Begriff des Nudging eher geläufig sein als der des libertären Patanalismus.
118640	121000	Vielleicht machen wir den Einstieg über diese Ecke.
121000	122960	Was ist das Nudging?
122960	129200	Also im Wesentlichen oder übersetzt erst einmal ist ein Nudge eigentlich nur ein Stubser.
129200	136040	Und der Nudge, der quasi in den vergangenen Jahren zum Thema in der Öffentlichkeit geworden ist,
136040	141440	das ist bezeichnet dann einen an Einfluss gewinnenden Typen von Politikinstrumenten.
141440	150320	Und das ist eigentlich ein Label, das auf Richard Thaler, der 2017 den Wirtschaftsnobelpreis gewonnen hat und Cass Sunstein zurückgeht.
150320	156560	Im Wesentlichen verstehen Thaler und Sunstein als Nudge alle Maßnahmen, mit denen Entscheidungsarchitekten
156560	160160	das Verhalten von Menschen in vorhersagbarer Weise verändern können,
160160	165160	ohne irgendwelche Optionen auszuschließen oder wirtschaftliche Anreize stark zu verändern.
165160	171040	Also es handelt sich um eine Technik zur Verhaltensbeeinflussung, die eigentlich negativ definiert ist,
171040	178120	weil sie auf zwei klassische Hebel verzichtet, nämlich einmal auf Verbote und Gebote und zum anderen auf finanzielle Anreize.
178120	188000	Also das Tool Nudge verzichtet quasi auf die Klassiker Sticks and Carrots, wenn man das mal so regulierungstheoretisch fassen will.
188000	195800	Und das Modell, auf dem Nudging operiert, ist eigentlich das Ausnutzen bestimmter kognitiver Mechanismen,
195800	201200	die vom Ideal vollständiger Rationalität abweichen.
201200	211760	Also da geht es um systematische Abweichungen von individuellem Entscheidungsverhalten von einem Maßstab umfassender Rationalität.
211760	215560	Und von besonderer Bedeutung sind da die sogenannten Heuristiken.
