start	end	text
0	5720	Herzlich Willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5720	10720	Mein Name ist Jan Groß und ich freue mich sehr, heute Adrian Daupp begrüßen zu dürfen.
10720	16720	Adrian ist Professor für vergleichende Literatur und Germanistik an der Stanford-Universität,
16720	19520	also im Herzen des Silicon Valley.
19520	24760	Er betreibt den Podcast The Feminist Present und ist zudem ein unbriebiger Autor.
24760	30760	Ganz frisch erschienen bei Surkamp ist sein Buch, was das Valley Denken nennt.
30760	37760	Bevor es losgeht, darf ich ganz herzlich Vainö in der Gemeinschaft der Future Histories Patroninnen und Patronen begrüßen.
37760	39760	Vielen Dank für deine Unterstützung.
39760	43760	Viel Freude bei der heutigen Folge Future Histories mit Adrian Daupp.
49760	51760	Herzlich Willkommen, Adrian.
51760	52760	Vielen Dank.
52760	59760	Adrian, du setzt dich in deinem Buch mit geistesgeschichtlichen Ursprüngen der im Silicon Valley vorherrschenden Ideologien auseinander.
59760	63760	Gleich zu Beginn des Buchs machst du dabei eine wichtige Einschränkung
63760	66760	und ich finde, wir sollten diese auch unserem heutigen Gespräch vorausschicken.
66760	74760	Deine Untersuchungen zu den vorherrschenden Idealisierungen, Mythen und Narrativen des Tech-Sektors bezieht sich auf die, und ich zitiere hier,
74760	80760	sehr sichtbaren GründerInnen, Finanziers und MeinungsführerInnen der Branche.
80760	86760	Dein Buch erhebt also bewusst nicht den Anspruch auf Vollständigkeit und ich möchte an dieser Stelle ergänzend vielleicht auf das Buch
86760	91760	Voices from the Valley von Meurer Weigl und Ben Tarnow hinweisen, das kürzlich erschienen ist,
91760	94760	das quasi einen komplimentären Zugang zu deinem wählt.
94760	100760	Warum hast du dich für diese Linse entschieden, die bei dir ja auch eine kritische ist, und was bringt sie zutage?
100760	105760	Naja, einerseits, weil ich eben als Geisteswissenschaftler an dieses Thema ran wollte.
105760	114760	Das heißt, ich habe mich mit einer kulturellen Formation beschäftigen wollen und die existiert eben primär um diese Firmengründer,
114760	120760	um den Medien- und Politikkult, der um diese Medien im Positiven wie auch im Negativen gemacht wird.
120760	127760	Also für jeden Elon Musk gibt es einen Mark Zuckerberg, der uns eher als Negativfigur dient.
127760	132760	Aber die sind eigentlich im Grunde genommen fast literarische Figuren.
133760	138760	Das sind Figuren, denen mit den Mitteln der Kulturwissenschaft relativ gut beizukommen ist.
138760	146760	Die Frage, wie man die Voices from the Valley, die Meurer und Ben in ihrem Buch eingefangen haben,
146760	150760	wirklich nachweisen würde, das ist ja bei ihnen eher so eine Oral History.
150760	153760	Ich glaube, das lässt sich auch ganz toll machen.
153760	161760	Da müsste man aber 10.000 Fragebögen verschicken und da müsste ich noch einen Dotteltitel in Soziologie drauf.
161760	164760	Darauf legen und gucken, ob Theodor Adorno noch abkömmlich ist.
164760	169760	Und dann ginge das auch. Ich finde, das ist eine sehr spannende, sehr spannende Idee.
169760	176760	Mir ging es aber eben wirklich mehr um die Art, wie wir das Valley mit diesen Figuren,
176760	182760	mit diesen Gründerfiguren, diesen Dortliederfiguren zusammen konstruieren.
182760	188760	Also das Feld, das sich sozusagen ergibt, aus dem Interesse einer Weltöffentlichkeit,
189760	195760	die irgendwie davon ausgeht, nicht ganz unbegründeterweise, aber davon ausgeht,
195760	199760	dass im Silicon Valley sozusagen die Geschichte der Zukunft geschrieben wird.
199760	205760	Nicht in Shenzhen, nicht in Hyderabad, sondern in Silicon Valley.
205760	214760	Und dann eben jenen im Valley, weil sie Geld brauchen, weil sonst ihr Businessmodell nicht funktioniert,
215760	224760	weil sie denken, dass die Welt an ihrer Weisheit genesen kann, da mitmachen und die sich dem anbieten.
224760	228760	Und es gibt auch Firmengründer im Valley, die sowas nicht tun.
228760	232760	Die bewusst Interviews nur geben, wenn es um ihren Business geht und sagen,
232760	236760	ja so haben wir das gemacht, bitte kaufen Sie unsere Aktien ungefähr.
236760	239760	Aber das ist eben nicht Elon Musk, das ist nicht Mark Zuckerberg.
239760	246760	Die werden nicht eingeladen, um Reden an Unis zu halten und würden das wahrscheinlich auch nicht tun.
246760	252760	Es geht also um einen Komplex, der sich konstituiert durch das Interesse an diesen Unternehmen
252760	259760	und das diesen Unternehmen eine Wichtigkeit beimisst für die Art und Weise,
259760	264760	in der wir alle leben oder leben werden und umgekehrt den Kräften im Valley,
264760	267760	denen daran gelegen ist, so verstanden zu werden.
270760	276760	Und einer der zentralen Mythen, die da florieren und auch lange schon kursieren,
276760	279760	der dreht sich um die Disruption.
279760	285760	Du schreibst dazu, paradoxerweise ist die Disruption letzten Endes also etwas wie Neuheit für Menschen,
285760	287760	die sich vor genuin Neuem fürchten.
287760	292760	Eine Revolution für Menschen, die sich von der Revolution keinen Vorteil erwarten dürften.
292760	295760	Das ist eine sehr wichtige Feststellung, finde ich.
295760	299760	Vielleicht kannst du uns ein wenig die Genese dieses Konzepts der Disruption näherbringen
299760	302760	und warum es sich hierbei eben nicht um eine Revolution handelt.
