start	end	text
560	1940	Welcome to Future Histories.
1940	5360	My name is Jan Gross, and what you are about to hear today
5360	7680	is the second part of an interview I did
7680	11360	with Benjamin Bratton in the context of a guest lecture
11360	13080	that I was invited to hold
13080	16200	at the Goldsmiths College in London.
16200	19440	Before we start, I want to thank Carmen, Florian,
19440	22800	and David for their kind donations.
22800	26560	But now please enjoy the second part of the interview
26560	30440	with Benjamin Bratton on Synthetic Catalaxy's
30440	34680	Platforms of Platforms and Red Futurism.
40000	42600	With more than one of my guests, I have hit a wall
42600	45400	when asking how post-human political constellations
45400	46920	could actually look like.
46920	49660	Your writing and thinking, as we just experienced,
49660	51420	is very illuminating in that regard,
51420	53740	and it absolutely confirms my suspicion
53900	56740	that the idea of the individual in the strict sense
56740	59180	needs to be overcome in order to really get
59180	62720	to fundamentally different sociopolitical arrangements.
62720	66180	You advocate for the disindividuation of the user position.
66180	68220	Could you explain what you mean by that?
69480	70320	Sure.
71660	74700	So this also goes back to the interface layer discussion
74700	78060	that we had about the ways in which the interface layer
78060	82860	can be, is a kind of map, operates as a kind of map
82860	84480	of the way in which the system works.
84480	87060	And I don't mean to, it sounds abstract,
87060	90340	but I mean it, again, just to remind your listeners
90340	92460	in this very simple sense of,
92460	94260	there's lots of things you can do with your computer,
94260	97500	but the graphical user interface presents you trillions
97500	100300	of things you could do, build a bomb, do whatever.
100300	103020	But the graphical user interface presents you
103020	106880	with this mechanism of several dozen menu options
106880	108740	that you sort of pick and choose.
108740	113740	So it's, part of it is that in this,
113780	117460	a little bit has to do with the history of interface design,
117460	122460	there is a presumption that is built into
124140	126420	the interface structure that we're talking of,
126420	130540	that the way in which the system should present itself
130540	135540	to human users is one human user at a time.
135700	140060	That the fact that our culture of interface design
140060	143240	is built around this sort of individuated,
143240	147220	psychologized, single-serving homo sapien user,
148100	151980	separated from other single-serving homo sapien users
151980	154500	in and of itself is not,
154500	159240	is not, we take it as a highly naturalized condition,
159240	161520	but it's not necessarily,
162460	165020	it's not necessarily historically,
165940	170400	it's a highly contingent kind of arrangement.
170400	174020	We have lots of interfaces that are meant for plural,
174020	177140	a plurality of users, like traffic signals.
177140	179300	A traffic signal is an interface system
179300	181580	that doesn't make any sense for one user,
181580	183460	I mean, for users at a time.
183460	185580	The whole thing, like it's green light for me
185580	187540	because it's red light for you and yellow,
187540	191180	and something that we all recognize that the way
191180	193420	in which the street interface is presented to me
193420	195580	is conditional in relationship to other users.
195580	200580	And we are, once you sort of, when it's green light for me,
201460	203460	I am a green light user of the street
203460	205340	and you are a red light user of the street.
205340	207300	And therefore I know what you're going to do
207300	209300	because you're a red light user.
209300	213340	And we're all in a way interpolated through this interface
213340	217020	as being red light, green light drivers in this sort of way.
217020	220340	But also we understand and can negotiate the relationship
220340	223140	with each other in this differential.
223780	224620	If it's made clear.
224620	227180	So the traffic again is a kind of simple example
227180	230460	of what a plural interface would be.
230460	235100	Now, in a stupid sense, Facebook attempted to make,
236300	238620	in a way attempted in social network software,
238620	241140	attempts to make interfaces
241140	243540	that are meant for pluralities of users,
244620	247740	but do so in a way that I think are actually,
247740	251860	that actually concretizes and refortifies
252420	255700	the fiction of the autonomous individual
255700	257940	in relationship to those, in relation to the kind of thing.
257940	261220	It produces a subjectivity.
261220	263100	And in our society, as I mentioned,
263100	266020	subjectivity and agency are utterly conflated.
266020	269540	And within the kinds of interpolations of the user
269540	271220	that you see in social media software,
271220	273580	that this conflation is not only re-emphasized,
273580	278580	but there's a construction of a social subjectivity,
278580	283460	of a social subjectivity of this individuated user
283460	286540	as this kind of encaps, self-encapsulated,
288660	292300	sort of piloting creature of its own data
292300	296420	and its own presentation of self-identity
296420	298700	in relationship to this.
298700	302700	One of the arguments that I sometimes make,
302700	307380	find myself making arguments against the,
307380	311900	making arguments against those whose primary concern
311900	314340	with the social function of planetary's computation
314340	316300	is in terms of surveillance.
317940	321100	And the argument that I make is basically twofold.
321100	322620	One is that,
326900	328260	one is ultimately,
328260	330260	I mean ultimately comes down to the term surveillance
330260	332060	has been overinflated to describe
332060	334500	so many different kinds of ways in which we would sense
334500	336540	and model and construct images of the world,
336540	338060	that it's beginning,
338060	339540	that we have a kind of a surveillance,
339540	341300	anti-surveillance bubble.
341300	343980	That climate science and the way in which we would sense
343980	345180	and model and structure the world
345180	347260	is also a giant surveillance regime,
347260	349020	if you really want to think about it this way.
349020	351300	But the key point in relationship
351300	352660	to what we're discussing is
354100	356580	using planetary scale computation
356580	359220	for the sensing, modeling and prediction
359220	361940	of what individual homo sapiens
361940	365140	are likely to wanna look at next and click on next
365180	367620	in which kind of video or funny picture
367620	369260	they're gonna wanna see next
369260	374260	is incredibly tragic misuse
374540	376740	of planetary scale computation as a whole.
379420	381820	It goes deeper than the fact
381820	383620	that these people are being surveilled, right?
383620	387020	And so you think of the Shoshana Zuboff kind of critique.
387020	391340	The problem is not just that you have these individual people
391340	394180	are constructed and are being observed and tracked
394180	395540	and surveilled and manipulated
395540	396660	by these large scale platforms.
396660	397660	This is a problem.
397660	400220	This is a tragic misuse of the apparatus.
400220	403740	The deeper problem is that society is,
403740	406340	is it through this individuated interpolation
406340	408500	of the user as the user as this figure
409540	412900	is that society is being defined and constructed
412900	417620	as the aggregation of these atomic individual subject,
417620	420780	agent, actors in the first place.
421380	424420	It's a misrecognition of what a society is.
424420	428420	It's a misorganization of how it is that the relations
428420	432940	between a social species such as humans is constructed.
432940	437420	It is absolutely 100% predicated, I believe,
437420	442420	upon the kind of self-congratulatory self-atomizing logics
445460	449460	of liberal individualism and legal subjectivity,
449460	452700	which of course is why someone like Shoshana Zuboff
452700	454700	can't make this critique at that level
454700	459700	because as someone from the world of the law,
460340	464700	this formulation of society as an aggregation
464700	467100	of self-transparent and self-sufficient
467100	470780	atomic liberal individualisms is a sacred concept.
471860	474980	And so the only thing that she's able to do is to say
474980	479100	that these sovereign individuals have been
479540	484540	manipulated into forming improper contractual relationships
485940	487020	with these institutions,
487020	490020	these manipulated contractual relationships,
490020	495020	and that we need to resolve this jurisprudence
499180	501180	to make these contractual relationships
501180	503500	between these sovereign individuals and these platforms,
503500	505740	in fact, more fair and more transparent.
505740	507420	And I'm arguing is that, no,
507420	509820	it's this hyper-individuation of society
509820	511260	through that usually that's the problem
511260	513300	and that's a much deeper problem.
513300	515820	This is something I think that Ghani and I also agree on,
515820	517860	I think, in terms of some of the things
517860	519060	that he's written about Zuboff.
519060	523500	I think it's that we probably have a common interest
523500	528500	and common point about that as well.
530540	532580	So part of the question then,
532580	535300	to your question of this multiplication of the user layer
535300	536140	here has to go with,
536140	540900	is also an understanding of ways in which we can learn
540900	543180	to think about our subjectivity and our agency
543180	544580	in relationship to these systems
544580	549100	that is not through this lens of this kind of figure.
549100	553580	Now, the other thing I should say is two points on this,
553580	556940	I think, examples that I think will kind of specify
556940	559180	what I mean as possible alternatives here.
560660	564500	One is, and I just finished this book on the pandemic,
564500	565940	which I just wrote for Verso,
565940	568140	which will be coming out in June.
568140	570260	It's a book called The Revenge of the Real,
570260	572460	post-pandemic politics.
572460	574380	And one of the things I talk about in this book
574380	577300	is what I call the epidemiological mode of society.
577300	581020	That is one of the things that we learned from the pandemic
581020	585860	was to see society the way epidemiologists see society.
585860	588100	Epidemiologists don't see society
588100	593100	as a bunch of atomic monads
594620	596500	that happen to once in a while
596500	599500	enter into contractual relationships with one another.
599500	603620	They see society as a kind of landscape of organisms,
603620	606020	each of which is a medium
606020	608140	for the transmission towards one or the other.
608140	610700	But they see it in terms of a kind of
610700	613900	aggregate biological population scale
613900	616940	that indeed is, I think, a good lesson for us to learn.
619180	621740	It's a conceptualization of society
621740	623380	that we should bring forward with us
623380	626220	into a post-pandemic world,
626220	629820	and I think is one that is more accurate,
629820	632620	more social, and more viable
632620	637620	than the kind of atomic individual version of this.
637940	640260	The other point in terms of the plurality of interfaces,
640260	642380	part of the longer term, what now,
642380	644340	what should we do next question is,
645580	647580	it's not enough to take back our data,
648900	651020	because the data that we would be taking back
651060	652500	is not the data we need.
654540	656300	Because something like Facebook,
656300	658060	and this is also where Zuboff and I
658060	660420	would depart from each other,
660420	662460	it's not enough that Facebook,
662460	665980	because Facebook has mismodeled society so tragically,
665980	668820	that its model of society as this aggregation
668820	672820	of acquisitive atomic individuals
672820	676180	is such an inaccurate model of society,
676180	680140	that I could say, here you go, you got it all.
680300	684220	Here is all of the information on all of the Facebook users,
684220	686660	all four and a half billion of them or whatever,
686660	689140	all the likes and all the cat videos
689140	692020	and all the conspiracy memes and all the rest of this.
692020	693860	Here it is, you have it.
693860	697300	The government of whatever, EU, take it all.
697300	698140	You've got it.
698140	701060	Now use this to solve climate change.
701060	702580	Go.
702580	704860	You can't, it's the wrong data.
704860	709860	Data about what it is about this model of society
710460	712860	is not the data that we need.
712860	714860	And this is kind of the other,
714860	718860	so taking it back from Facebook is useless.
718860	721100	What we need is to produce the right data.
721100	723580	What we need is to actually understand
723580	725620	what data would we need
725620	728060	in order to actually enter in these transformations.
728060	730580	And so simply think is that to simply,
730580	734620	again, to reclaim the property of the data
734620	737300	that Facebook has produced about us
737300	742060	isn't enough because in essence it's the wrong data.
742060	743940	So anyway, those are some thoughts on this question
743940	747820	about the user position, the necessity for its plurality,
747820	749660	the problems of its over-individuation
749660	752660	and where my thinking sort of aligns and differentiates
752660	755660	from some other people who have thought about it.
755660	756740	Super interesting.
756740	759500	And I will skip the question on the UBI,
759500	762220	which would be a kind of riddle
762220	764620	on how to actually apply it on.
764660	767340	I can say something real quick about it if you like.
767340	770300	So because it connects with the catalaxy idea.
770300	772140	Part of, I think the more convincing argument
772140	773540	about universal basic income
773540	775940	also has to do with a kind of distortion.
776940	780260	And I think it's a distortion in the value
780260	783620	that society gets from its own participants,
784900	786740	that there is a distortion in this.
786740	789300	And I don't know if you call it a price distortion.
789300	790900	I think that might be a bit awkward,
790900	794340	but it is a distortion of value at the very least.
794340	799340	When you have a comp lit PhD making coffee
800140	803660	because that's the best job that she can get,
803660	808500	even though the contributions that she could make to society
808500	813500	are so much greater than the provision of cups of coffee,
814500	816020	there's a distortion at work.
816020	820220	Or when you have a genius,
820220	825220	some genius kid doing other kinds of menial work
825660	828140	because they need to support themselves,
828140	831740	because the provision of basic food, shelter,
831740	835740	healthcare or whatever is only available to them
835740	840740	because they are trading most of their working hours
841020	843540	for the provision of these basic things.
843540	847180	Society as a whole is not getting from them
847180	849340	what we should be getting from them.
849340	854340	That there is an entire second economy worth of value
856780	861660	that is being suppressed by the under participation
861660	866180	of people doing things that are trivial
866180	870740	compared to their real talents and capacities to contribute.
870740	872460	And so I see this in some ways,
872460	875420	you could see this in a way as a distortion
876060	880220	of social value that is much greater
880220	881660	than anything high equity side
881660	883340	with the socialist pricing problem
883340	885340	of how much the bananas should cost.
886340	889700	This is trivial compared to what we're missing out
889700	892980	from a lifetime of work of people doing something
892980	896460	that quite easily could be done by machine
897340	900460	if we were allowing them to do so.
900460	904420	And I think when I think about the long-term value
904420	907300	of something like UBI in terms of how to measure this,
907300	909660	how to price it or kind of something like this,
911580	913420	this is the sort of the bigger picture
913420	916020	that I'm trying to keep in mind
916020	919180	is not having to do with does it cost more or less
919180	921540	than some other kind of welfare policy?
921540	922700	Does it cost more or less
922700	923980	in the relationship of this as well?
923980	926180	But rather that in the long-term,
926180	928180	what does the world look like
928180	933140	when the true social catalaxy is possible?
933140	936780	When it's actually possible for people to contribute
936780	939140	to the production of society one with the other
939140	942180	in ways in which half their time is not being produced
942180	944980	on something idiotic and trivial and depressing.
946860	947740	In order to get there
947740	950460	and you touched up on it before already,
950460	952460	we need different kinds of data.
952460	955900	And so let's talk about data governance
955900	958540	since this is actually essential to more or less
