start	end	text
0	5800	Herzlich Willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5800	11000	Mein Name ist Jan Groß und ich freue mich sehr, heute Rahel Süß begrüßen zu dürfen.
11000	16000	Rahel ist Politikwissenschaftlerin und Mit-Herausgeberin der Zeitschrift Engagé
16000	22200	und wird demnächst im Rahmen eines Humboldt Research Fellowships für Post-Docs an der Humboldt-Universität Berlin
22200	26800	zu Demokratie im Zeitalter der Überwachungstechnologien forschen.
26800	33800	Wir werden heute sprechen über ihr neues Buch, Demokratie und Zukunft, was auf dem Spiel steht.
33800	40800	Ich darf, bevor es losgeht, noch Aris Tip und Brinky Pie ganz herzlich als Patreon-UnterstützerInnen begrüßen
40800	44300	und ich möchte Carmen und Fabian für ihre Spenden danken.
44300	48800	Vielen, vielen Dank, das freut mich wirklich sehr und das ist auch einfach eine große Hilfe.
48800	54300	Und jetzt wünsche ich euch viel Freude bei der heutigen Folge Future Histories mit Rahel Süß
54300	57300	zu Demokratie und Zukunft.
63300	65300	Herzlich willkommen, Rahel.
65300	67300	Vielen Dank für die Einladung.
67300	70300	Rahel, ich fange ja ganz gerne mit Begriffsdefinitionen an.
70300	73300	Das ist mal leichter, mal schwerer zu beantworten.
73300	77300	Ich würde sagen, in deinem Fall ist es eher schwerer, denn unter Demokratie
77300	82300	dafür stehen viele Vieles, aber dennoch, was ist Demokratie?
82300	88300	Ja, da beginnen wir auch schon, wie du gerade meintest, mit einer nicht so ganz einfachen Frage.
88300	96300	Denn das, was Demokratie ist und auch, ob wir sie schon haben oder nicht, ist ein ganz langes Streitthema.
96300	100300	Und ich glaube, das, was man vielleicht sagen kann, ist, vielleicht sogar mit Wendy Brown,
100300	106300	der Politikwissenschaftlerin Wendy Brown, ist, dass wir derzeit eine ungemeine Demokratiebegeisterung
106300	108300	eigentlich erleben können.
108300	115300	Wir sehen eigentlich, dass Parteien entlang des gesamten Spektrums sich zu Rättern der Demokratie erklären.
115300	121300	Und das wirft natürlich die Frage auf, was wir eigentlich meinen, wenn wir von Demokratie sprechen.
121300	126300	Und das war auch das Anliegen des Buches, im Grunde zu klären, was wir unter Demokratie verstehen können.
126300	132300	Und zwar nicht, wie das oft gemacht wird, ausgehend von einem Krisendiskurs.
132300	137300	Also zu sagen, die Demokratie ist an einer großen Krise und jetzt müssen wir darüber nachdenken,
137300	142300	wie die Zukunft der Demokratie aussehen kann. Denn dann stehen wir vor dem Problem,
142300	147300	was ich gerade schon beschrieben habe. Dann sehen wir, dass entlang des gesamten Parteien-Spektrums
147300	154300	alle eigentlich begeistert sind von der Demokratie und sagen, dass sie eigentlich die besseren Demokratinnen sind.
154300	159300	Sondern das, was ich mit dem Buch versuche, ist nicht so sehr nach der Zukunft der Demokratie zu fragen,
159300	165300	sondern das Verhältnis von Demokratie und Zukunft selbst zu untersuchen.
165300	173300	Denn ich argumentiere, dass wir Demokratie und das, was wir darunter verstehen können, besser begreifen werden können,
173300	176300	wenn wir uns dieses Verhältnis anschauen können. Also das heißt, wir können besser verstehen,
176300	180300	was das Problem mit der Demokratie heute ist, aber auch wie wir sie erneuern können,
180300	189300	wenn wir dieses Verhältnis von Demokratie und Zukunft ein bisschen mehr uns anschauen,
190300	196300	als das oft gemacht wird, eben unter dieser Debatte von der Zukunft der Demokratie.
196300	200300	Und was ist das für ein Verhältnis zwischen Demokratie und Zukunft?
200300	207300	Ich würde sagen, dass die Aufgabe von Demokratie, und hier spreche ich von moderner Demokratie,
207300	214300	ist immer schon wahr, die Zukunft offen zu halten. Also wenn wir uns anschauen,
214300	224300	was das Versprechen der Demokratie war und auch immer noch ist, also Versprechen auf Freiheit, Gleichheit, Rechtsstaatlichkeit, Gerechtigkeit und vieles andere mehr,
224300	231300	dann sehen wir, dass es eigentlich in gewisser Weise synonyme dafür sind, eine offene Zukunft zu versprechen.
231300	241300	Und die Idee dahinter ist, dass sich Herrschaft in einer Demokratie ja nicht legitimiert mehr über zum Beispiel Gottes Gnaden oder Geburt,
241300	247300	sondern Herrschaft in heutigen demokratischen Gesellschaften legitimiert sich über zum Beispiel periodische Wahlen.
247300	252300	Und periodische Wahlen haben die Aufgabe, eben die Zukunft offen zu halten.
252300	259300	Also sie haben die Aufgabe, nicht vollständig festzulegen, was wir zum Beispiel unter Freiheit verstehen,
259300	263300	was wir unter Gleichheit verstehen, was wir unter Gerechtigkeit verstehen.
263300	270300	In gewisser Weise, ja, in gewisser Weise deutet die Idee der Wahlen und der regelmäßigen Wahlen,
270300	275300	deutet eigentlich an, dass diese Prinzipien, diese demokratischen Prinzipien immer nur vorläufig sind.
275300	282300	Also wir können sagen, Demokratie und Rechtsstaat ist immer nur der Versuch, diese demokratischen Prinzipien umzusetzen.
282300	289300	Und dieser Versuch ist immer imperfect. Und es ist gerade dieses Fehlbarkeitsbewusstsein von Demokratie,
289300	297300	dass wir immer wieder neu verhandeln müssen, was wir eigentlich unter demokratischen Prinzipien verstehen wollen und wie wir sie umsetzen wollen.
297300	302300	Und das ist das, was ich zu Beginn versucht habe zu sagen, diese große Offenheit des Begriffs selber,
302300	309300	also von Demokratie als Volksherrschaft, wirft eigentlich mehr Fragen auf, als dass sie beantwortet.
309300	316300	Denn wir können immer fragen, wer ist eigentlich das Volk, das sich selbst regiert, über welche Institutionen regiert es sich
316300	320300	und auch, ja, welche Regeln des Zusammenlebens will es sich geben.
320300	323300	Das sind alles Fragen, die immer wieder neu ausgehandelt werden müssen.
323300	329300	Und das ist eine der zentralen Aufgaben von Demokratie. Und deshalb wäre meine Definition von Demokratie wäre,
329300	335300	ja, meine Definition von Demokratie wäre deshalb zu sagen, Demokratie muss immer darauf abzielen,
335300	340300	Möglichkeiten offen zu halten, um Alternativen aushandeln zu können.
340300	345300	Was ich da unglaublich gut fand in deinem Buch, nämlich genau zu diesem Punkt eigentlich,
345300	349300	war ein Zitat von Sigmund Baumann, den du da anbringst.
349300	356300	Und der finde ich fast da eigentlich so ein bisschen so einen konservativen, eigentlich zutiefst konservativen Kern unserer derzeitigen Auffassung
356300	360300	eben dieses Verhältnis zwischen Demokratie und Zukunft, zwischen Freiheit und Zukunft.
360300	365300	Der fängt das da eigentlich ziemlich gut ein. Ich mag das mal kurz vorlesen. Es war nämlich wirklich großartig.
365300	371300	Das Zitat lautet, heute ist es die Zukunft, auf die man nicht mehr vertrauen kann, da sie vollkommen unbeherrschbar erscheint.
371300	377300	Sie wird auf der Soll-Seite verbucht. Dafür erscheint jetzt die Vergangenheit auf der Haben-Seite.
377300	382300	Dank ihres, in Klammern verdienten oder unverdienten Rufs, ein Hort der Freiheit gewesen zu sein,
382300	386300	auf den sich noch nicht diskreditierte Hoffnungen setzen lassen.
386300	391300	Das fand ich wirklich richtig gut, denn da kommt es ja eigentlich zu einer totalen Verkehrung der Zeitlichkeiten.
391300	398300	Früher hat man die Zukunft eben als Reich der Freiheit gesehen, wofür du jetzt im Grunde auch argumentierst und die Vergangenheit als fixiert.
398300	404300	Und heute sieht man dann die Zukunft quasi als dem Untergang geweiht, jetzt ein bisschen polemisch zugespitzt
404300	408300	und projiziert seine Freiheitswünsche auf idealisierte Vergangenheiten.
408300	414300	Das fand ich eigentlich eine interessante Feststellung und die steht aber jetzt wiederum ein bisschen eigentlich dem entgegen,
414300	419300	was du vorhin meintest, in Bezug auf diesen Enthusiasmus der Demokratie gegenüber.
419300	425300	Weil ich finde, es gibt beides. Es gibt auf der einen Seite eben diese Haltung, in der alle so tun, als könnten sie quasi besser Demokratie.
425300	433300	Aber es gibt auch eine weit verbreitete Enttäuschung mit dem, was uns eben bis dato als Demokratie verkauft worden ist.
433300	441300	Und ich finde, beide Elemente spielen auch in dieser Neudeutung des Verhältnisses von Freiheit und Zukunft, die die Baumann da anspricht.
441300	442300	Wie siehst du das?
442300	451300	Ja, ich denke, das ist eines der Spannungsfelder, das mit Demokratien oder mit dem Begriff jetzt auch erstmal immer einhergehen.
451300	455300	Also Wendy Brown sagte einmal, wir sind alle heute Demokraten.
455300	459300	Das ist das, was sie mit der gegenwärtigen Demokratiebegeisterung auch meint.
459300	467300	Und gleichzeitig sehen wir, dass natürlich viele Menschen das Gefühl haben, dass die etablierte Politik ja zum Beispiel es nicht schafft,
467300	476300	sich an zukunftentscheidende Fragen zu wagen. Wir sehen das mit Bewegungen wie Fridays for Future und Extinction Rebellion, aber auch Black Lives Matter,
476300	482300	aber auch Initiativen, die die Rückgewinnung der Datenhoheit von Bürgerinnen zum Beispiel freuen.
482300	487300	Also wir sehen, dass das Thema Zukunft ungemein politisiert wird, also Zukunft der Demokratie.
487300	494300	Also wer ist eigentlich am besten in der Lage zu sagen, wo die Reise hingehen kann?
494300	502300	Und das ist ja auch der Versuch oder das ist mein Versuch, wenn ich oder der Versuch des Buches, indem ich mir dieses Verhältnis von Demokratie und Zukunft anschaue,
502300	506300	versuche ich eine Blickverschiebung.
506300	513300	Also ich versuche zu sagen, dass wir einerseits sehen, dass Demokratie und die Zukunft der Demokratie ungemein politisiert ist.
513300	520300	Also wir erleben ungemeine politische Mobilisierung um die Zukunft der Demokratie, einerseits von Demokratiebewegungen,
520300	526300	aber auch von rechten und nationalistischen Parteien interessanterweise, wobei das auch jetzt kein neues Phänomen ist.
526300	534300	Also genau, die faschistische Möglichkeit ist immer Teil eines demokratischen Experiments und die Geschichte hat es auch schon deutlich gezeigt.
534300	542300	Außerdem sehen wir, dass Imperialismus, Kolonialismus jetzt nicht etwas ist, was losgelöst von auch der Geschichte der liberalen Demokratie sich ereignet hat,
542300	549300	sondern immer im Rahmen auch dieser unter in Anführungsstrichen Demokratisierungsversprechen.
549300	560300	Genau, aber was ich sagen wollte, ist, dass es ein ungemeines Spannungsfeld gibt in dem, wie wir uns auf Demokratie beziehen.
560300	567300	Und dass es oft doch so scheint, dass es einfacher ist, die Vergangenheit zu projizieren, als eigentlich die Zukunft zu projizieren.
567300	570300	Ja, und du hattest das gerade auch schon gesagt, im Hinblick auch so Nostalgiebewegungen.
570300	575300	Also man versucht oder das ist das, was versucht, ja auch glaube ich Baumann zu unterstreichen.
575300	577300	Also wir leben in dem Zeitalter der Nostalgie.
577300	583300	Es ist einfacher, sich die Vergangenheit als rosig vorzustellen, als sich eine rosige Zukunft vorzustellen.
583300	587300	Und zurück zu dem Anliegen meines Buches eigentlich.
587300	592300	Wenn ich versuche, die Zukunft zu politisieren und das Verhältnis von Demokratie und Zukunft,
592300	600300	dann versuche ich den Blick darauf zu lenken, wie eigentlich Bewegungen heute versuchen, die Zukunft zu demokratisieren.
600300	602300	Also ich nenne es die Zukunft zu demokratisieren.
602300	612300	Und damit meine ich, dass sie eigentlich problematisieren, dass der Zugang zur Zukunftsgestaltung ungleich verteilt ist in unserer Gesellschaft.
612300	618300	Und es aber heutzutage so ungemein wichtig ist, wer daran partizipieren kann an der Entwicklungsrichtung der Gesellschaft.
619300	624300	Also wir sehen das bei Investitionsentscheidungen, wir gehen Technik, aber besonders auch technologischen Innovationen.
624300	627300	Wir sehen das bei Umweltschutz natürlich.
627300	634300	Wir sehen das aber auch jetzt im Zusammenhang mit zum Beispiel Corona-Maßnahmen jetzt im kleineren Maßstab.
634300	641300	Und es wirft die Frage auf, wer hat eigentlich die Möglichkeit, nicht nur Freiheit und Gleichheit zu genießen.
641300	646300	Also im Sinne von diese formalen Rechte, wo wir wissen, dass die in Wirklichkeit oft gar nicht so gegeben sind.
646300	653300	Aber die andere Frage ist, wer partizipiert eigentlich daran, mitzuentscheiden, in welche Richtung sich die Gesellschaft entwickelt?
653300	662300	Also wer hat Zugang zur Handlungsfähigkeit im Hinblick oder wer hat Handlungsfähigkeit, wenn es darum geht, die Zukunft mitzugestalten?
662300	670300	Und hier geht es einerseits darum zu partizipieren, also ganz konkret zu partizipieren daran, auch Ideen zu entwickeln und so weiter.
670300	678300	Aber es geht auch daran, diejenigen, die ungemein großen Einfluss haben auf die Entwicklungsrichtung der Gesellschaft, diese auch demokratisch zu kontrollieren.
678300	683300	Und wir sehen das an den großen Tech-Unternehmen, die sich demokratischer Kontrolle entziehen.
683300	695300	Das wäre zum Beispiel ein Beispiel für Player, die einen ungemeinen Einfluss darauf haben, wie sich zukünftige Gesellschaften positionieren werden im Hinblick auf,
695300	707300	wie wir miteinander kommunizieren wollen, wie wir uns fortbewegen wollen, wie wir wohnen wollen, also im Sinne von, wie sagt man, Haus, Wohnraum,
707300	711300	also im Hinblick auf Wohnraum, wie Gesundheitsverpflegung ausschauen soll und so weiter und so fort.
711300	719300	Das sind alles drängende Fragen. Und anstatt die dem Markt zu überlassen oder anderen privaten Interessen wäre zum Beispiel der Appell oder das,
719300	727300	was wir bei diesen Demokratiebewegungen sehen, ist, dass sie eigentlich versuchen zu sagen, hey, die Zukunft muss demokratisiert werden und damit meinen wir,
727300	735300	dass wir wieder mehr mitreden können sollen darüber, in welche Richtung wir gehen wollen, wenn wir über die zukünftige Gesellschaft nachdenken,
