start	end	text
0	5960	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5960	10320	Mein Name ist Jan Groß und ich halte mich heute kurz, denn was ihr heute hört,
10320	15920	das ist der zweite Teil des Gesprächs mit Sabine Nuss zu ihrem wirklich ausgezeichneten Buch.
15920	19360	Keine Enteignung ist auch keine Lösung und bevor es jetzt losgeht,
19360	26320	möchte ich noch Florian und Carmen für ihre Spenden danken und Tom ganz herzlich in der Gemeinschaft
26320	31160	der Future Histories Patreon Unterstützerinnen und Unterstützer begrüßen.
31160	39840	Vielen Dank, dass du dabei bist und jetzt viel Freude bei der heutigen Episode mit Sabine Nuss zum Thema Eigentum.
45440	52520	Die Angst davor, die Eigentumsfrage erneut auf den Tisch zu legen und eben in Frage zu stellen.
52520	54840	Die Angst davor, die ist unglaublich tief verankert.
54880	61280	Ich habe das Gefühl, da gibt es immer wieder neue Ausflüchte, die gesucht werden, um eben diese Frage nicht stellen zu müssen.
61280	68920	Und meiner Einschätzung nach ist die derzeit beliebteste Übersprungshandlung da die Rede vom sogenannten grünen Wachstum,
68920	74960	mit dem man angeblich dann doch beides haben könne, nämlich Kapitalismus und intakte Umwelten.
74960	81080	Du beschreibst in deinem Buch dann das von Elmar Altvater gebriehte Konzept des Kapitalo 10
81120	87960	und stellst im Grunde fest, dass das Recht auf Zerstörung, das haben wir jetzt auch schon mehrmals gestreift innerhalb des Gesprächs,
87960	93080	dass das Recht auf Zerstörung bereits in der Form des Privateigentums an sich angelegt ist.
93080	98320	Und das würde, habe ich mich jedenfalls gefragt, im Unkehrschluss ja eigentlich bedeuten,
98320	103600	dass so etwas wie grünes Wachstum und somit letztlich auch Ökokapitalismus,
103600	108640	der irgendwie als der neue Konsens ausgerufen wird, dass das eigentlich ein Widerspruch in sich ist.
108640	110120	Wie ist deine Position dazu?
111760	114000	Kommt drauf an, würde ich sagen.
114000	117200	Also es kommt auf an, für wen auch.
117200	127040	Also es ist ja ein bisschen die Frage, was wäre denn ein grüner Kapitalismus oder was wäre denn ein grünes Wachstum?
127040	132840	Ich würde mal denken, wenn die Privatproduzenten, nenne ich sie jetzt,
132840	138960	das sind sozusagen die, die anonym für einen Markt blind drauflos produzieren in der Hoffnung,
139000	142920	dass sich etwas verkauft, in Konkurrenz zu den anderen.
144800	149280	Weshalb, wie ich möchte noch mal erinnern, er gezwungen ist, nochmal neue Kapital zu investieren und so weiter.
149280	153960	Also dieser Wachstumszwang, wenn man die so frei laufen lassen würde,
153960	158800	wenn die Gesellschaft sagen würde, ja Freiheit des Privateigentums,
158800	163840	wenn man dieses Prinzip der Freiheit des Privateigentums durchziehen würde,
163840	168400	dann würde ich mal denken, funktioniert das nicht, dann das gibt es nicht.
168400	174560	Es kann kein grünes Wachstum geben, ohne dass die Gesellschaft in irgendeiner Form eingreift
174560	177360	und die Freiheit des Privateigentums einschränkt.
177360	179840	So, das würde zur Zerstörung führen.
179840	183320	Das Interessante ist, jetzt auch den Klimawandel jetzt mal bezogen,
183320	189960	das Interessante ist aber, dass hier die Freiheit des Privateigentums schon im Grundgesetz staatlicherseits
189960	194040	Schranken auch vorgesehen, also es sind ja Schranken vorgesehen.
194080	201080	Der Staat weiß sehr wohl, dass sich dieses ganz klar egoistische, nur auf das Nutzen maximierende Unternehmen,
201080	207280	sag ich jetzt mal, gerichtete Logik in Zweifel gegen sich selbst wenden kann, auch gegen das Kapital.
207280	214120	Auch das Kapital kann in seiner isolierten Betrachtung seines eigenen Nutzens die Gesellschaft zerstören
214120	217560	und damit seine eigenen Grundlagen kaputt machen.
217560	222840	Das heißt, es gibt in dieser Produktionsweise auch noch ein gewisserweise ein Eigeninteresse
222840	228640	seitens des Staates und seitens auch mancher Kapitalfraktionen, zu sagen, wir müssen hier was verändern.
228640	234960	Ja, so, und wenn wir jetzt sagen, es gibt aber auch einige Kapitalfraktionen, die da nicht mitgehen,
234960	240800	die wirklich sagen, wenn ich jetzt hier diese ganzen Regularien, die mir der Staat jetzt hier aufzwängt,
240800	248600	einführen würde, dann kann ich gar nicht mehr profitieren, produzieren, dann kann ich ins Ausland gehen,
248600	251800	dann gehe ich, ja, so, dann komme ich aufs nächste Problem.
251920	258160	Also, was ich damit nur sagen möchte, wenn du von grünem Kapitalismus sprichst oder von grünes Wachstum,
258160	265600	dann muss man immer ganz genau sich angucken, wie genau ist dieses grüne Wachstum unter kapitalistischen Bedingungen organisiert.
265600	271440	Das, was wir alle verstehen unter freie, freie, freie Marktwirtschaft, würde nicht funktionieren.
271440	274120	Also, das würde wirklich zur Zerstörung führen.
274120	279920	Eine regulierte, das finde ich jetzt ein bisschen schwierig, weil ich finde auch, freie Marktwirtschaft hat eine Form von Regulation,
279920	284760	aber sagen wir mal, eine Regulierung, die den Zweck verfolgt seitens des Staates,
284760	291400	dass die Grundlagen der Natur nicht zerstört werden, die ist denkbar, die müsste ziemlich massiv sein.
291400	298600	Nur die Frage ist, ob angesichts der globalen Konkurrenzverhältnisse die Regulierung so schnell sein kann,
298600	303440	dass wir schon Auswirkungen spüren, weil wir sozusagen andere Unternehmen in anderen Ländern
303440	307160	mit einem anderen Stand der Produktivkraftentwicklung haben und so weiter und so fort.
307160	311200	Das entscheidet die Geschichte, würde ich mal sagen.
311200	313440	Da will ich gar nicht sagen, geht gar nicht.
313440	319520	Ich will nur sagen, der freie Markt für sich wird das nicht, der wird das nicht machen, der würde sich zerstören.
319520	323120	Also, es wäre dann die Frage, wovon reden wir dann?
323120	325640	Also, so würde ich das beantworten.
325640	332920	Ich würde aber schon sagen, dass wenn eine Regulierung, eine ganz krasse Regulierung in irgendeiner Form greift,
332920	337160	wir werden den Klimawandel wahrscheinlich unter den Bedingungen dann auch nicht wirklich aufhalten können.
337160	341400	Aber es kann sein, dass die Auswirkungen, die Folgen dann wieder mal höchst ungleich verteilt sind,
341400	344360	was man ja auch jetzt schon lange beobachtet.
344360	348520	Das ist aber das, was man sicher sagen kann.
