start	end	text
0	6000	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
6000	13000	Mein Name ist Jan Groß und ich freue mich sehr, heute Katharina Block und Sascha Dickel begrüßen zu dürfen.
13000	20000	Katharina forscht im Rahmen ihrer Juniorprofessur in Oldenburg und Sascha ebenfalls als Juniorprofessor in Mainz.
20000	25000	Und die beiden haben zusammen einen Artikel geschrieben, der mir wirklich sehr gut gefallen hat.
25000	32000	Der trägt den Titel Jenseits der Autonomie, die Deproblematisierung des Subjekts in Zeiten der Digitalisierung.
32000	38000	Und wir sprechen heute über posthumane Ordnung und ein Denken jenseits des Subjekts.
38000	45000	Und nachdem das Ganze hier eingebunden ist in einer Art von tastender Suchbewegung, wenn man so will,
45000	50000	möchte ich euch dann noch andere Folgen, die sehr gut irgendwie an das Ganze andocken, empfehlen.
50000	57000	Und zwar Folge 13 mit Julia Grillmeier zu Transhumanismus, posthumanismus und Kompost.
57000	64000	Folge 30 mit Paul Feiglfeld zu alternativen Zukunften, Unvollständigkeit und dem Sein in der Technik.
64000	71000	Und ich würde sagen, Episoden 44 und 45 mit Benjamin Bratton, die passen da eigentlich auch ziemlich gut hinein.
72000	80000	Und in all denen habe ich meine Gäste unter anderem auch dazu befragt, wie denn posthumane Politiken wirklich aussehen könnten.
80000	84000	Und dem widmen wir uns unter anderem auch in dem heutigen Gespräch.
84000	86000	Und ich wünsche euch da wirklich viel Freude bei.
86000	94000	Bevor es jetzt aber losgeht, möchte ich noch Rainer, Lukas, Nils, Wilfried, Carmen und Fabian für ihre Spenden danken.
94000	100000	Vielen, vielen Dank und Carmen, Fabian, Wilfried, ich sehe, dass ihr Daueraufträge eingerichtet habt.
100000	104000	Vielen, vielen Dank dafür. Das freut mich wirklich sehr.
104000	109000	Und jetzt wünsche ich euch viel Freude bei der heutigen Episode Future Histories.
109000	112000	Übrigens die 50. Folge, das hätte ich jetzt fast vergessen.
112000	119000	Es ist noch nicht das wirkliche Jubiläum, das kommt im Mai, wenn Future Histories dann zwei Jahre alt wird.
119000	123000	Aber die 50. Folge ist natürlich auch ein kleiner Grund zu feiern.
123000	126000	Und dann möchte ich an dieser Stelle euch allen auch nochmal danken,
126000	130000	weil es mir wirklich eine große Freude ist, diesen Podcast hier machen zu können
130000	139000	und dass das jetzt schon 50 Folgen andauert und andauern kann und auch von euch allen rezipiert wird.
139000	141000	Das bedeutet mir unglaublich viel.
141000	146000	Und insofern danke ich euch allen für eure Zeit und Aufmerksamkeit
147000	151000	und wünsche viel Freude bei der heutigen Episode Future Histories
151000	157000	zum Thema posthumane Ordnung und dem Denken jenseits des Subjekts.
162000	164000	Herzlich willkommen.
164000	165000	Ja, vielen Dank.
165000	168000	Hallo, ich freue mich auch sehr.
168000	173000	Ich habe das Gefühl, gerade beim Thema dieser heutigen Folge hier macht es absolut Sinn,
173000	175000	mit einer Definitionsfrage anzufangen.
175000	180000	Denn das, was ihr in eurem Aufsatz jenseits der Autonomie zu problematisieren gedenkt,
180000	186000	stellt sich in der Alltagserfahrung für die meisten als eine absolut natürliche Tatsache dar.
186000	192000	Worum handelt es sich bei der Vorstellung des autonomen Subjekts?
192000	196000	Ja, das ist natürlich eine sehr, sehr schwierige Frage,
196000	202000	weil natürlich der Autonomiebegriff genauso wie der Subjektbegriff
