start	end	text
0	6200	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
6200	11400	Mein Name ist Jan Groß und ich freue mich sehr, heute Max Koch begrüßen zu dürfen.
11400	19700	Max ist Professor für Sozialpolitik an der Universität Lund in Schweden und forscht unter anderem zu Degrowth.
19700	27800	Er hat kürzlich ein Paper mit herausgegeben, das sich der Suche nach einer politischen Ökonomie der Postwachstumsära widmet.
27900	38000	Ich finde, das braucht es dringend und deshalb freue ich mich sehr, dass wir heute in dieser Episode dieser Suche gemeinsam etwas nachgehen können.
38000	46300	Ich möchte euch zum Thema Degrowth auch ganz unbedingt noch Episode 28 mit der großartigen Joanna Pope ans Herz legen.
46300	52300	Da spricht sie nämlich über die Möglichkeit einer zunächst mal widersprüchlich anmutenden Synthese,
52300	56500	nämlich einer Synthese zwischen Degrowth und Aktionismus.
56500	65300	Und ich muss sagen, dass ich das Gespräch mit Joanna sehr genossen habe und da auch einfach viel gelernt habe über Degrowth als Bewegung.
65300	79000	Und bevor es jetzt losgeht, möchte ich noch Michael ganz herzlich in der Gemeinschaft der Future Histories Patreon Unterstützerinnen und Unterstützer begrüßen und Wilfried für seine Spende danken.
79000	85800	Wenn ihr heute im hinteren Teil der Folge hin und wieder mal so ein leichtes Knacksen oder Knistern hört, dann wundert euch nicht.
85800	92100	Das Mikro von Max hatte eine leichte Störung und ich konnte es fast überall super gut rausfiltern.
92100	99300	In den letzten, ich weiß nicht, 10, 15 Minuten, da knackst es mindestens an zwei Stellen allerdings immer noch etwas.
99300	105100	Aber fürchtet euch nicht, das ist alles in allem wirklich sehr gut hörbar und stört eigentlich überhaupt nicht.
105100	112200	Und vor allem sagt Max auch schlichtweg interessante Sachen, die alles andere im Grunde übertünchen.
112200	126200	Also viel Freude bei der heutigen Episode Future Histories mit Max Koch zur politischen Ökonomie des Degrowth.
126200	129600	Herzlich willkommen, Max.
129600	131700	Ja, vielen Dank für die Einladung.
131800	139400	Lass uns angesichts der weit verbreiteten Begeisterung für sogenanntes grünes Wachstum mit der Frage einsteigen,
139400	144000	warum brauchen wir eine politische Ökonomie der Postwachstums-Ära?
144000	153000	Ja, das hat damit zu tun, dass grünes Wachstum eine schöne Idee ist.
153000	159000	Eine, bei der man sich so gut wie keine Feinde macht, aber den Nachteil hat,
159100	163500	dass es so gut wie keine empirische Evidenz dafür gibt, dass es auch klappen könnte.
163500	171600	Wir verfolgen jetzt seit ungefähr 30 Jahren die politische Strategie des grünen Wachstums.
171600	180600	In der Zeit sind die Treibhausgasemissionen ständig gestiegen, genauso wie auch das,
180700	186700	was man in der ökologischen Ökonomie den Matland Energy Throughput,
186700	193700	den Durchlauf von Energie und Materie in Produktion und Konsumtion nennt.
193700	200700	Das hat uns jetzt in eine akute ökologische Notsituation gebracht.
200700	208100	11.000 Klimawissenschaftler haben gerade die Climate Emergency ausgerufen,
