start	end	text
0	5960	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5960	11280	Mein Name ist Jan Groß und ich freue mich sehr, heute Silja Graupe begrüßen zu dürfen.
11280	17200	Sie ist Professorin für Ökonomie und Philosophie und Leiterin des Instituts für Ökonomie
17200	20800	an der Cousinos Hochschule für Gesellschaftsgestaltung.
20800	25920	Der steht sie auch als Vizepräsidentin vor und hat sie auch mitgegründet.
25920	29840	Das ist nämlich eine Hochschule, die mittlerweile auch staatlich anerkannt ist.
29840	38440	Die sich dezidiert gegründet hat, um gegen die geistige Monokultur im Mainstream der Wirtschaft Zwischenschaften etwas zu tun.
38440	42280	Und ich finde es total großartig, dass dort ein Ort geschaffen wird,
42280	48520	der zum Ziel hat, Ökonomie grundlegend neu zu denken und auch zu erfinden eigentlich.
48520	51600	Und ich denke, dass das auch eine wirklich großartige Entscheidung ist,
51600	56080	an diesem spezifischen Punkt der Institutionenbildung anzusetzen.
56120	58760	Denn das ist natürlich dann irgendwie doppelt stark,
58760	66680	weil es auf der einen Seite diese unglaublich wirkmächtige und absolut destruktive Hegemonie
66680	71320	orthodoxer Wirtschaftswissenschaften angreift und abzulösen gedenkt.
71320	76680	Und dann tut es das auch noch in Form von bleibenden Strukturen im Bereich der Bildung.
76680	78240	Also wirklich großartig.
78240	80160	Das freut mich, dass es so etwas gibt.
80160	86960	Und ich grüße an dieser Stelle auch aus ganzem Herzen alle Studierenden der Cousinus.
86960	88920	Schön, dass es euch gibt.
88920	96920	Bevor es jetzt losgeht, möchte ich noch Erich, Fabian, Carmen, Lukas und Wilfried für ihre Spenden danken.
96920	101600	Und ich möchte Clara danken, dass sie mir ein Gespräch mit Silja ans Herz gelegt hat.
101600	107120	Das war wirklich eine ganz ausgezeichnete Empfehlung, denn ich habe dieses Gespräch sehr genossen.
107120	115920	Also viel Freude mit der heutigen Episode Future Histories mit Silja Graupe zu alternativen politischen Ökonomien.
121600	123400	Herzlich willkommen, Silja.
124280	126440	Ja, vielen Dank für die Einladung, Jan. Ich freue mich.
