start	end	text
0	6000	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
6000	12000	Mein Name ist Jan Groß und ihr hört heute die zweite Future Histories Live-Episode,
12000	15000	die ich kürzlich in Hamburg aufgezeichnet habe.
15000	19000	In diesem Fall, da war ich beim Mind the Progress-Kongress eingeladen
19000	23000	und hatte die Freude, mit Friederike Kaltheuner als Gast zu sprechen.
23000	31000	Friederike, die forscht, schreibt und denkt zu Fragen der Datafizierung und ist Expertin im Bereich Tech Policy.
31000	37000	Sie hat unter anderem das Corporate Exploitation Program bei Privacy International geleitet,
37000	40000	war Tech Policy Fellow bei der Mozilla Foundation.
40000	46000	Gemeinsam mit Nele Obermüller hat sie auch ein Buch geschrieben mit dem Titel Datengerechtigkeit.
46000	50000	Vielen Dank an dieser Stelle hier an die OrganisatorInnen des Kongresses für die Einladung
50000	55000	und vor allem auch an Sophia für diese wirklich ausgezeichnete Organisation und Betreuung.
55000	60000	1.000 Dank. Bevor wir jetzt aber zum Gespräch mit Friederike kommen,
60000	63000	hatte ich ja in der vergangenen Episode angekündigt,
63000	68000	noch ein paar Worte zur gerade begonnenen zweiten Staffel von Future Histories zu sagen,
68000	72000	ob sich da was geändert hat im Vergleich zur Staffel 1 und wenn ja, was.
72000	78000	Falls euch diese Reflektionen über den Verlauf des Podcasts Future Histories nicht so sehr interessieren
78000	83000	und ihr eigentlich nur Friederike hören wollt, dann nehme ich euch das nicht im geringsten Übel,
83000	87000	sondern habe genau dafür einen Kapitelmarker gesetzt.
87000	92000	Wenn eure App das unterstützt, dann könnt ihr da also jetzt vorspringen.
92000	97000	Für alle, die es sehr wohl interessiert, willkommen bei diesem kurzen Einschub.
97000	100000	Also vielleicht zunächst mal für euch zur Einordnung.
100000	105000	Ich hatte damals, als ich Future Histories vor jetzt über zwei Jahren gestartet habe,
105000	109000	ja eher so eine vage Idee davon, wie ich das ungefähr machen will.
109000	113000	Und der Aufbau in Staffeln, der schien mir damals einfach sinnvoll,
113000	118000	um zum einen eben die Möglichkeit einzubauen, dass man auch mal eine Pause machen kann.
118000	123000	Und zum anderen wollte ich auch nicht, dass die Themen, mit denen ich damals gestartet bin,
123000	125000	auf ewig in Stein gemeißelt sind.
125000	131000	Eine neue Staffel, die bietet also auch die Möglichkeit, thematisch da Neuausrichtungen vorzunehmen.
131000	135000	Und das ist im Fall von Future Histories nicht als harter Bruch zu verstehen,
135000	142000	sondern eher als eine stetige Entwicklung der forschenden Suchbewegung dieses Podcasts hier.
142000	145000	Es wird also auch in der zweiten Staffel drei Überthemen geben,
145000	150000	aber zum einen werden sie auch weiterhin eher als grobe Orientierung dienen
150000	154000	und eine Offenheit zulassen, die ich als essentiell empfinde.
154000	159000	Und zum anderen leiten sie sich auch unmittelbar aus den unterschiedlichen Auseinandersetzungen,
159000	162000	den Pferden und den Entwicklungen der ersten Staffel ab.
162000	166000	Aus dem Thema Homo economicus, da hat sich zum Beispiel,
166000	168000	ich hatte das an anderer Stelle schon erwähnt,
168000	173000	über den Verlauf der ersten Staffel hinweg die Frage entwickelt,
173000	177000	wie alternative Systeme politischer Ökonomie denn aussehen könnten.
177000	182000	Politische Ökonomien der Zukunft wird also ein Überthema der zweiten Staffel sein.
182000	187000	Ich bin ja absolut der Meinung, dass es nicht reicht, in der Kritik zu verharren,
187000	192000	sondern dass es zwingend notwendig ist, konstruktive und produktive Vorschläge zu machen,
192000	199000	wie man es denn anders machen könnte, gerade auch auf einer Makroebene wie der der politischen Ökonomie.
199000	205000	Denn diese Makroebene, die es absolut unterversorgt, wenn es um Alternativen geht, finde ich,
205000	212000	das gilt es zu ändern und ich möchte dabei zum einen bestimmte Stränge der ersten Staffel weiterverfolgen,
212000	215000	die sich als fruchtbare Pferden herausgestellt haben.
215000	219000	Konkret ist, dass die Auseinandersetzung mit dem Themenkomplex,
219000	225000	den ich mittlerweile unter dem spielerisch provokanten Begriffspaar Freie Planwirtschaft zusammenfasse,
225000	230000	da ist noch vieles offen und ich habe sehr, sehr viele Fragen an diesen Themenkomplex,
230000	233000	die definitiv noch umgeklärt sind.
233000	240000	Und daran anschließend gibt es auch eine andere Fragestellung oder einen thematischen Ansatz
240000	246000	zu diesem Komplex zukünftiger politischer Ökonomien, einen anderen Ansatz,
246000	249000	den ich ebenfalls in Staffel 1 wiederholt auch aufgegriffen habe,
249000	254000	der aber auch absolut überhaupt nicht abschließend geklärt ist in irgendeiner Form.
254000	260000	Und das ist die Frage nach alternativen Regierungskünsten, nach alternativer Governamentalität,
260000	264000	wie es Frieda Vogelmann in Episode 11 nennt.
264000	268000	Das sind also so zwei Aspekte, die ich aus der ersten Staffel mitnehmen möchte,
268000	275000	aber ich will natürlich auch neue Pfade eröffnen, die für politische Ökonomien der Zukunft von Bedeutung sind.
275000	279000	Das Ganze wird also explorativ sein, wie man so schön sagt.
279000	281000	Und ich freue mich auch immer sehr über Hinweise.
281000	290000	Also solltet ihr in dieser Richtung irgendwie gute Ansätze kennen, Zugänge, Bücher, TheoretikerInnen und so weiter,
290000	295000	gerne immer mir schreiben unter jan-at-future-histories.today.
295000	300000	Ein wichtiger Bereich, den es für diesen Themenblock in jedem Fall zu erarbeiten gilt,
300000	309000	ist das Blicken über den Tellerrand, um nicht in so einer leider ja immer wieder sehr eurozentristischen Debatte eigentlich stecken zu bleiben.
309000	315000	Ein wichtiger Aspekt wird also sein zu fragen, wie wird denn die Frage nach alternativen politischen Ökonomien
315000	318000	in anderen Teilen der Welt gestellt und verhandelt.
