start	end	text
0	5080	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von
5080	10960	Zukunft. Mein Name ist Jan Groß und ich freue mich sehr, heute erneut Simon Schaub in Future
10960	16640	Histories begrüßen zu dürfen. Simon war bereits in Folge 18 zu Gast, damals zum Thema
16640	23320	Kybernetik und radikale Demokratie. Eine überaus interessante Folge, wie ich finde. Und nachdem ich
23320	29240	Simons Arbeit insgesamt spannend finde, ich erinnere da zum Beispiel an seinen gemeinsam mit Georg
29240	35560	Jochum verfasstes Buchkapitel zur Steuerungswende, war ich sofort interessiert, als kürzlich Simons
35560	41120	neues Buch erschienen ist. Es trägt den Titel Technopolitik von unten, Algorithmische
41120	48440	Arbeitssteuerung und kybernetische Proletarisierung. Simon ist übrigens auch Mitglied im Z, dem Zentrum
48440	53240	für Emanzipatorische Technikforschung, deren Arbeit ich euch an dieser Stelle hier insgesamt
53600	59960	sehr ans Herz legen möchte. In Folge 10, da durfte ich bereits ein weiteres Mitglied des Z begrüßen,
59960	67320	nämlich Philipp Frei, damals zum Thema Zukunft der Automatisierung. Und bevor es jetzt losgeht mit
67320	73080	dem Gespräch zu Simons neuem Buch, darf ich noch zwei Dinge tun. Ich darf Fabian, Carmen,
73080	79480	Christine und Elfriede für ihre Spende danken und Hendrik, Markus und Julian ganz herzlich als
79480	85240	Unterstützer bei Patreon begrüßen. Und ich darf einen überaus freudigen Aufruf starten,
85240	91120	denn es hat mich vor kurzem Dirk kontaktiert, ein Hörer, der das Projekt Future Histories gerne
91120	95680	jenseits der Geldform unterstützen würde und sich hierfür eines Projektes angenommen hat,
95680	100800	das für Future Histories ein wirklich substanzieller Zugewinn ist, nämlich die
100800	107160	Transkription der Episoden. Das macht Future Histories nicht nur durchsuchbar und zitierbar,
107160	112840	sondern auch in vollem Umfang zugänglich für gehörlose Menschen. Das ist ein absolut
112840	117600	fantastisches Projekt, das Dirk da angestoßen hat. Und weil er das natürlich nicht alleine
117600	122760	leisten kann, möchte ich euch hiermit in größtmöglicher Dankbarkeit bitten, euch diesem
122760	128880	Vorhaben unterstützend anzuschließen. Die finanzielle Unterstützung via Patreon oder Spende,
128880	135160	die ist eine ganz wichtige Hilfe, die Future Histories mitträgt. Aber nicht jede und jeder
135160	140840	hat die Möglichkeit, dies zu tun. Wenn ihr also Future Histories jenseits des Geldes unterstützen
140840	148240	wollt, dann ist eine Mitarbeit an der Transkription ein ganz großartiger Weg, dies zu tun. Ihr findet
148240	154000	in den Show Notes ein kurzes FAQ, das eine Erstorientierung dazu bietet, wie ihr einen
154000	159720	Beitrag leisten könnt zu dieser Transkriptionsarbeit. Ihr findet in den Show Notes ebenfalls eine
159720	167320	E-Mail-Adresse, unter der ihr euch melden könnt, und die lautet transcription.futurehistories.today. Und
167320	174880	jetzt wünsche ich euch viel Freude mit der heutigen Episode mit Simon Schaub zu Technopolitik von unten.
174880	185640	Herzlich willkommen, Simon. Vielen Dank, Jan. Ich freue mich wirklich sehr, wieder hier sein
185640	191360	zu dürfen. Das tue ich auch. Wirklich schön, dass du wieder da bist. Vielleicht breiten wir
191360	196160	für die Hörerinnen und Hörer einmal kurz die Szenerie etwas aus. Du hast da nämlich für die
