start	end	text
0	7880	Das ist auf jeden Fall ein Argument, das es dann eben auch gibt, dass man eben überhaupt nicht die Idee haben kann,
7880	13200	dass es eine Art von Planwirtschaft gibt, die eben nicht zentral gelenkt ist,
13200	20200	dass es eine demokratisch-pluralistische Art von Planung geben kann, die als solche eben auch aufrechterhalten werden kann.
20200	29000	Und ich denke, das ist aber auch eine Debatte, die heute geführt werden muss, auch gerade gegen neoliberale Vorstellungen.
29120	38440	Dass es eben einmal diese Möglichkeiten gibt und dass es natürlich auch gerade, glaube ich, für liberale Demokratien eine ganz entscheidende Frage sein wird,
38440	47800	in welcher, also welche Möglichkeiten, sagen wir mal, eine robusten staatlichen Wirtschafts- und Finanzpolitik
47800	54600	und auch eine ambitionierten Wirtschafts- und Finanzpolitik es gibt, nicht zuletzt aus dem Systemwettbewerb heraus.
55240	60920	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
60920	66120	Mein Name ist Jan Groß und ich freue mich sehr, heute Thomas Piepricher begrüßen zu dürfen.
66120	73240	Thomas ist Professor am Department for Management, Politics and Philosophy der Copenhagen Business School
73240	80560	und hat ausgiebig zur Geschichte, Gegenwart und zur politischen Theorie des Neoliberalismus geforscht.
80560	89480	Sein kürzlich bei Surgam erschienenes Buch trägt folgerichtig genau diesen Titel, die politische Theorie des Neoliberalismus.
89480	98800	Das heutige Gespräch, das fügt sich ganz ausgezeichnet in eine Reihe anderer Episoden von Future Histories ein, ein kleiner Teilstrang, könnte man sagen.
98800	106680	Denn auch mit Thomas spreche ich heute eher so im hinteren Teil der Folge über alternative Gouvernementalität.
107000	113600	Das ist etwas, was mich anhaltend beschäftigt und ich möchte euch in diesem Zusammenhang gerne auf ein paar Episoden hinweisen,
113600	123640	die eine sehr schöne Ergänzung darstellen zum heutigen Gespräch, nämlich Episode 11 mit Frieda Vogelmann zu alternativen Regierungskünsten,
123640	134840	Episode 25 mit Josef Vogel zur Krise des Regierens und Folge 3 der zweiten Staffel mit Ute Tellmann zu Ökonomie als Kultur.
134840	145640	Ich denke, dass in all diesen Episoden wichtige Hinweise, wichtige Elemente für eine Auseinandersetzung mit der Frage alternativer Gouvernementalität enthalten sind.
145640	150760	Und ich finde, dass das auch ein Thema ist, das absolut weiter verfolgt werden sollte.
150760	159800	Und das heißt, solltet ihr Autorinnen und Autoren kennen, die in dieser Richtung arbeiten und von denen ihr glaubt, dass sie in Future Histories gut hineinpassen würden,
159800	165280	dann schreibt mir bitte gerne unter jan at futurehistories.today.
