start	end	text
0	6240	Ich denke, das ist ein ganz zentraler Punkt und auch ein Punkt, der mit Herausforderungen,
6240	12320	die sich heute stellen, zum Beispiel mit Blick auf Klimawandel, sehr viel zu tun hat.
12320	18400	Wo sozusagen die Frage ist, wenn wir mit Herausforderungen konfrontiert sind,
18400	25160	die eine Umgestaltung des mehr oder weniger gesamten Systems erfordern,
25160	29200	wie denkt man dann über diese Art von Umgestaltung nach?
29320	35080	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
35080	40640	Mein Name ist Jan Groß und ich freue mich sehr, heute Isabella M. Weber begrüßen zu dürfen.
40640	48160	Isabella ist Professorin am Political Economy Research Institute der University of Massachusetts, M.hurst,
48160	55600	und sie ist Autorin des Buches How China Escaped Shock Therapy, über das wir heute ausführlich sprechen werden.
55680	60200	Vielen Dank an Dominik an dieser Stelle, der hat mir nämlich den Hinweis zu diesem Buch gegeben.
60200	67120	Und ich möchte Fabian und Martin für ihre Spenden danken und Boris, Sabrina, Vasile und Martin
67120	72320	ganz herzlich in der Gemeinschaft der Future Histories Patreon UnterstützerInnen begrüßen.
72320	74160	Vielen Dank an euch alle.
74160	81760	Und an dieser Stelle möchte ich auch noch mal auf das großartige, kollaborative Podcast Transkriptionsprojekt hinweisen,
81760	87520	das sich gerade formt, um die Future Histories-Episoden auch in Schriftform zugänglich zu machen.
87520	89760	Mehr dazu findet ihr in den Show Notes.
89760	96160	Und jetzt viel Freude mit der heutigen Episode Future Histories mit Isabella M. Weber.
101640	103840	Herzlich willkommen, Isabella.
103840	107440	Herzlichen Dank für die Einladung, Jan. Super, hier zu sein.
107440	108960	Ich freue mich sehr.
108960	112680	Isabella, dein Buch, das heißt How China Escaped Shock Therapy.
112680	117320	Vielleicht sollten wir erst mal klären, was es denn ist, dem China da entkommen ist.
117320	120000	Was ist die Shock Therapie?
120000	126920	Ja, also Shock Therapie ist zunächst mal ein Paket von mehreren Politiken,
126920	135880	die so als Paket formuliert wurden im Kontext des Übergangs von einer sozialistischen Planwirtschaft zu einer Marktwirtschaft.
135920	143400	Und die Kernelemente davon sind einerseits die Preisliberalisierung, die so schnell wie möglich umgesetzt werden sollte
143400	148880	und die zweitens unterstützt werden sollte von makroökonomischer Austorität,
148880	157080	wobei eben die strikte Geld- und Fiskalpolitik dazu führen sollte, zu verhindern,
157080	163960	dass die Preisliberalisierung zu einer Erhöhung des allgemeinen Preisniveaus führen würde.
163960	173160	Und dann drittens weitläufige Privatisierungen oder sogar als Ziel sozusagen mehr oder weniger ganz umfängliche Privatisierungen.
173160	178800	Und viertens Freihandelsabkommen und Liberalisierung des Handels,
178800	185760	wobei selbst die überzeugtesten Shock-Therapeuten, wenn man das mal so formulieren möchte,
185760	191560	darauf hingewiesen haben, dass Privatisierung und Freihandelsabkommen Prozesse sind die Zeitkosten,
191600	195200	wo es bei Privatisierung um institutionelle Neugestaltungen geht,
195200	201320	die sozusagen selbst im Falle von Thatcher, einer weltweit bekannten Privatisiererin,
201320	208360	mehrere Jahre gedauert haben, obwohl sie sozusagen in Anführungsstrichen nur ein Kleinteil der Wirtschaft privatisieren musste,
208360	213880	während es sich im Kontext des Sozialismus ja um mehr oder weniger ganze Wirtschaften handelte,
213880	216960	die im Staats- oder Kollektiv-Eigentum waren.
216960	225120	Und insofern die Aufgabe der Privatisierung noch viel größer war als jetzt im Kontext von Thatchers England.
225120	231720	Von daher gibt es sozusagen selbst auf der Seite der Shock-Therapeuten die Einsicht,
231720	238080	dass Privatisierung und Handelsliberalisierung Zeit kostet, aus ganz praktischen Erwägungen heraus.
238320	247640	Und daraus folgend eben die schnelle Preisliberalisierung verbunden mit makroökonomischer Austerität.
247640	252640	Das Element ist, dass wirklich ein Schock ausüben kann, der sogenannte Big Bang,
252640	256880	der dann sozusagen der Initialschock ist, der dazu führen soll,
256880	262040	dass eine Wirtschaft sich von einer Planwirtschaft in eine Marktwirtschaft verwandelt.
262200	269920	Es gibt auch tiefer liegende theoretische Gründe, warum die Preisliberalisierung
269920	273800	die zentrale Maßnahme der Schocktherapie war.
273800	280360	Und das hat damit zu tun, dass sozusagen die neoklassische Ökonomik sich darauf fokussiert,
280360	285960	Preisbewegungen, freie Preisbewegungen zu analysieren, wenn sie über Markt spricht.
285960	289720	Also im Grunde ist der Markt die freie Bewegung der Preise.
289760	293000	Oder wie man auf Englisch sagt, to get the prices right,
293000	298760	ist das entscheidende Element für jede marktwirtschaftliche Organisation.
298760	304480	Deshalb ohne Preise keine Preissignale, ohne Preissignale keine Signale,
304480	308320	die wirtschaftlichen Entscheidungsträgern einen Anhaltspunkt geben.
308320	312320	Und insofern ohne Preissignale im Grunde kein Markt.
312320	317600	Dabei ist das private Eigentum dann sozusagen eine Voraussetzung oder etwas,
317600	322080	das hilft den wirtschaftlichen Entscheidungsträgern, auf Preissignale zu reagieren.
322080	327160	Aber wenn es keine Preissignale gibt, dann ist sozusagen das ganze Projekt hinfällig.
327160	332720	Insofern sind auch aus einer theoretischen Perspektive die sich bewegenden Preise
332720	338320	ein ganz, ganz zentrales Element der Idee der Schocktherapie
338320	344040	und des schockartigen Übergangs zu einer Marktwirtschaft.
345040	350640	Und vielleicht noch kurz für unsere Hörerinnen und Hörer zum Kontext,
350640	355200	weil China ist sozusagen der Schocktherapie entkommen, aber nicht alle.
355200	358440	Vielleicht kannst du noch kurz ein bisschen drauf eingehen.
358440	360520	Es ist ja tatsächlich umgesetzt worden.
360520	365320	Also im Übergang von kommunistischen Ländern in Marktwirtschaften
365320	368840	wurde diese Schocktherapie de facto auch umgesetzt.
368840	371240	Wo wurde die denn eingesetzt?
371320	375760	Ja, also wenn sozusagen die Frage ist, wie China der Schocktherapie entkommen ist,
375760	379360	ist der interessanteste Vergleichsfall Russland.
379360	384120	Und im Buch fange ich sozusagen auch mit dem Vergleich Russland-China an.
384120	388720	Nicht weil das Buch über Russland ist, sondern um sozusagen zu illustrieren,
388720	393280	was auf dem Spiel stand in den Entscheidungen über die Politik
393280	397400	zur Vermarktlichung der vorherigen Planwirtschaften.
397400	402760	Im Falle von Russland ist das Ergebnis von Schocktherapie
402760	406400	eines, das natürlich zusammenfällt mit dem Zerfall der Sowjetunion.
406400	409760	Und das wirtschaftliche Ergebnis war enorm dramatisch.
409760	413960	Also es kam zu einem Verfall des Bruttoinlandsprodukts
413960	418600	auf eine enorm rapide und aber auch nachhaltige Art und Weise,
418600	424080	die zusammenfiel mit enorm hohen Inflationsraten
424120	429440	und die insgesamt eine gesellschaftliche und wirtschaftliche Krise ausgelöst hat,
429440	436280	die sozusagen in allen möglichen Indikatoren von Human Well-Being sich niederschlägt.
436280	442760	Sowas wie zum Beispiel Kindersterblichkeit, aber auch allgemeine Lebenserwartungen und so weiter.
442760	452040	Also eigentlich im Grunde jeden Indikator, den man wählt, zieht man in Abstürzen in den frühen 90er Jahren.
452040	458720	Und das Ganze fällt zusammen mit einer Deindustrialisierung, die so schwerwiegend war,
458720	463760	wie sie eigentlich im Grunde in der Phase nach der industriellen Revolution
463760	468040	in keinem industrialisierten Land je stattgefunden hatte.
468040	478480	Sodass wir sozusagen auf der einen Seite im russischen Falle ein Bild wirklich des wirtschaftlichen und sozialen Kollapses haben,
478520	487800	wo eben die Idee, dass man schockartig mit nur einer kleinen kurzen Phase von Herausforderungen
487800	494360	dann ziemlich schnell in eine funktionierende Marktwirtschaft übergeht, sich wirklich nicht realisiert hat.
494360	500560	Und das steht dann sozusagen im Kontrast zu dem chinesischen Entwicklungspfad,
500560	503200	wo es natürlich auch Probleme gab und auch Schocks gab,
503200	510720	aber es eben nicht diese Schocktherapie im Sinne eines Schocks, der auf die Gesamtwirtschaft ausgeübt wird,
510720	519520	mit der Hoffnung, dass diese gesamtwirtschaftliche Schock mehr oder weniger über Nacht ein neues Wirtschaftssystem erzeugen würde.
519520	523440	Und insofern, wenn man sich dann eben diese verschiedenen Indikatoren anschaut,
523440	528600	gibt es natürlich im chinesischen Fall auch große Probleme mit Ungleichheit und so weiter.
528640	540840	Aber insgesamt ist es eben ein Bild von stetigen Wachstum und relativ niedriger Inflation, steigender Industrialisierung, steigender Lebenserwartung und so weiter.
540840	548320	Und insofern ist sozusagen der Vergleich zwischen den zwei Riesen des Sozialismus des 20. Jahrhunderts einer,
548320	557640	der sich eignet, um zu illustrieren, was wirklich auf dem Spiel stand bei der Entscheidung, ob man Schocktherapie umsetzen würde oder nicht.
558600	564760	Jetzt schließt sich da natürlich die Frage an, wie China es denn dann geschafft hat, hier einen eigenen Weg einzuschlagen.
564760	570720	Du beschreibst ja unterschiedliche Fraktionen in deinem Buch, also innerhalb der chinesischen Debatte,
570720	577120	die interessanterweise aber eben nicht im Streit darüber lagen, ob Märkte eingeführt werden sollten oder nicht,
577120	580320	sondern darüber, wie Märkte eingeführt werden sollten.
580320	588080	Was waren denn da die Kernthemen der Debatte und welche Positionen hat sich dann letztlich in der Auseinandersetzung dann auch durchgesetzt?
588080	597160	Also die Literatur hat sich bisher vor allem auf die Konfrontation der sogenannten Reformer und der sogenannten Konservativen fokussiert gehabt,
597160	603960	was die frühen Jahre der Ära der Reform in China angeht, wo sozusagen das Narrativ lange eines war,
603960	615120	dass es einerseits politische Führer und Intellektuelle gab, die sich gegen Reformen gerichtet haben und andererseits Reformer wie Deng Xiaoping und Ökonomen,
615120	619320	die sich sozusagen für eine Wirtschaftsreform eingesetzt haben.
619320	628760	Was ich im Buch zeige, ist, dass sozusagen die Frage, wie man dann die Reformen umsetzen soll, eine ganz zentrale Frage war
628760	637160	und eine Frage war, die sehr stark und auch mit großem Konflikt in den 80er Jahren diskutiert wurde.
637200	645280	Dabei ist auch eine neue Einsicht, denke ich, dass eben die Option, eine Logik der Marktreform zu verfolgen,
645280	652240	die der Schocktherapie sehr nahe kommt, durchaus eine Option war im chinesischen Diskurs.
652240	659920	Insofern ist der Weg, den China letztlich gegangen ist, der einer war von experimentellem Gradualismus,
659920	669960	eben nicht ein Weg, der einfach vorbestimmt war von der chinesischen Kultur oder Geschichte oder Mentalität oder sonstigen Eigenschaften,
669960	679040	die inherent chinesisch sind, sondern war eben selbst ein Ergebnis von politischen und intellektuellen Auseinandersetzungen.
679040	683520	Okay, das nur kurz vorab, um das sozusagen einzuordnen.
683520	688200	Ich habe schon darüber gesprochen, was die grundsätzliche Logik der Schocktherapie war.
688200	694760	Wenn man da noch mal einen Schritt zurücknimmt, kann man das, denke ich, zusammenfassen,
694760	699760	indem man sagt, dass aus der Perspektive der Schocktherapie das Entscheidende ist,
699760	710680	dass die Institutionen der Planwirtschaft zerstört werden, um Platz zu machen für die spontane Entstehung von Marktdynamiken.
710680	721960	Insofern ist es eine Logik des Rückzugs der Planungsinstitutionen, nicht notwendigerweise des Staates, aber der Planungsinstitutionen,
721960	726280	um eben Platz für die Entstehung von Märkten zu machen.
726280	732320	Im Gegensatz dazu hat sich im chinesischen Kontext eine alternative Logik entwickelt,
732320	742480	die, wenn man es mal ganz abstrakt formulieren möchte zum Einstieg, darauf beruht, dass die Institutionen der Planwirtschaft
742480	750480	als markterschaffende, marktsteuernde und marktteilnehmende Institutionen fungieren,
750480	758440	sodass es sozusagen eine Kombination aus Liberalisierung der nicht essenziellen Teilen der Wirtschaft gibt
758560	769560	und eine aktive staatliche Marktgestaltung durch die Planungsinstitutionen in den essentiellen Bereichen der Wirtschaft.
769560	774280	Jetzt habe ich hier schon mit den Kategorien essenziell und nicht essenziell operiert,
774280	781960	und diese Unterscheidung ist tatsächlich eine Unterscheidung, die sich durch den Diskurs um die Marktreform durchzieht
781960	790280	und die, denke ich, theoretisch und praktisch eine ganz wichtige ist, wo sozusagen die Logik dieser Art von Reformansatzes
790280	797080	auch darauf beruht, dass man nicht das gleiche Vorgehen für alle Bereiche der Wirtschaft wählen kann,
