start	end	text
0	8500	Welcome to Future Histories. My name is Jan Groos and it is my great pleasure to welcome Aaron Beneneff in today's episode.
8500	19000	Aaron is a postdoctoral researcher at Humboldt University in Berlin and author of the excellent book Automation and the Future of Work.
19000	28500	Furthermore, Aaron recently published an article that can be understood as a contribution to the ongoing debate about plant economies.
28500	34500	The article is called How to Make a Pencil and was published in Logic magazine.
34500	45500	If you are a regular listener of Future Histories, then you will know that the question of plant economies features quite prominently within this podcast.
45500	52000	So there are a couple of episodes that you will find in the show notes relating to the topic.
52500	64500	Before we start, I would like to thank Lukas, Wilfried, Martin and Anna for their kind donations and I would like to welcome Troy as a Patreon of Future Histories.
64500	72000	Thank you so much. This is really a great help. But now please enjoy today's episode with Aaron Beneneff.
77500	79000	Welcome Aaron.
79000	81000	Hi Jan, thanks for having me.
81000	91500	Aaron, there are many great interviews you gave on Automation and the Future of Work and I encourage everybody to both read the book and listen to these interviews.
91500	95000	I will put the links to some of them in the show notes.
95000	107500	However, today we will do things a little differently and start with the last chapters of your book and then move further from there to discuss some of the more recent work you did,
107500	118000	namely your article in Logic magazine and a short response you wrote for a journal and kindly sent me before this interview here.
118000	134500	So let's start with the last chapters of Automation and the Future of Work, which are of great interest to me because there you draw a sketch of what a truly desirable future or better truly desirable futures might look like.
134500	145500	And crucially, you ask how we could achieve these futures without resorting to some sort of Deus ex machina fantasy like full automation.
145500	155500	Could you describe to us the utopian glimpse you provide in chapter six of your book, the chapter on necessity and freedom?
155500	163500	Yeah, I'm really excited to talk to you about that chapter because it's really been the inspiration for me going forward.
163500	167500	This is really the topic I'm going to be writing about in my next book.
167500	182500	But it wasn't those chapters, the chapter at the end, it wasn't something I intended to write when I started this project about automation and the return or renewal of automation discourses in our present moment.
182500	188500	When I set out to write the book about automation, I was really writing in the mode of a kind of critical theorist.
188500	203500	I was just writing about what this new automation discourse was and my account of the kind of empirical limits of that theory as an explanation of why people are so insecure today in their jobs,
203500	217500	why there's so much inequality and why the nightmare scenarios that we're facing, why the current situation we face is really difficult to explain in terms of automation.
217500	228500	So I was writing as a critical theorist, and then I kind of while I was writing, I decided to add this kind of positive conclusion at the end, a positive vision of the future.
228500	242500	But what I would stress in this conversation is how much that positive vision of the future I provide at the end of the book was shaped by the kind of critical reflections on automation that I was making in the other chapters.
242500	258500	And I think the really key idea here is how much I was inspired by the vision that at least some of the automation theorists have when they're talking about a world of advanced robotics and machine learning and eventually artificial intelligence.
258500	265500	Some of them were pointing towards this positive possibility of what they called a post-scarcity world.
265500	277500	And, you know, what I was interested in are really the kinds of social and political themes that they emphasize that could be achieved with this technological Deus Ex Machina.
278500	283500	It's important to think about those for a moment before turning to my alternative.
283500	304500	What really impressed me about the automation theorist vision of the future is that it had this idea that once, you know, all work and production and planning could be taken care of by machines and computers, human beings would experience this kind of deep and abiding security in their lives.
304500	310500	They would no longer worry at all about meeting their material needs, and they wouldn't even have to work.
310500	318500	They could no longer think of the meaning of their lives in terms of work alone, and they would have to kind of become something greater, right?
318500	322500	There's this idea in the automation vision that it's not.
322500	324500	I mean, there's a there's a trouble there.
324500	333500	Like, what would it mean if computers took what it what would it mean to live in a world where computers could write a better symphony than any human being, right?
333500	337500	There's questions there about what is the meaning or purpose of human life.
337500	354500	But on the whole, there's this kind of positive vision in which human beings are freed from necessity and then able to pursue their passions, whether those are games or explorations or inventions or whatever it is that particularly motivated them.
354500	373500	And the way that I approach this in the book is that I talked about how for, you know, the past five hundred years, there have been social thinkers and dreamers who had a very similar idea about achieving a world in which human beings were no longer
373500	379500	plagued by the experience of scarcity and the fear for their lives.
379500	393500	And instead, through organizing production and distribution differently, they could be freed from these cares about necessity and, you know, begin to live this different kind of life on the other side of that, a life of true freedom.
393500	417500	And what I found so interesting about those theories, and for me, it goes all the way back to Thomas More, but also, of course, very importantly, it's about 19th century socialist thinkers like Karl Marx and Friedrich Engels and also Peter Kropotkin and a whole cast of other characters into the 20th century, too, is that they didn't think we had to wait for some technology to make these transformations.
417500	421500	They thought that we could already begin to do that right now.
421500	436500	They weren't trying to go backwards like Rousseau or some other thinkers, kind of a pastoral or romantic past. Instead, they thought with the technologies we have, we can already begin to transform the world and get to post-scarcity.
436500	446500	But here, it's really about doing so not through getting rid of all work, but rather through reorganizing, redistributing and reducing the work that has to be done.
446500	450500	So it's not a vision in which we're freed of all social obligation.
450500	463500	Because I think that an important fantasy in the automation story is the story in which there's this dream of being freed from social obligation by machines and computers across every realm of life.
463500	475500	And in this other vision, the more social vision that I'm drawing on, it's not that we are freed from all obligations, it's that those obligations are transformed in a way that frees us.
475500	480500	And that's what I found so beautiful. That was the inspiration for what I wrote there.
480500	488500	Maybe we could talk more about the specifics, but that's at least some context for how I've approached this project.
488500	491500	Yeah, absolutely. We will talk about the specifics.
491500	503500	But before we get to your idea of how we can approach it, let's talk about two approaches that you dissect within your book before you get to describing your own ideas.
503500	507500	Ideas and these two approaches are Neo-Kinesianism and UBI.
507500	519500	And you argue that neither can in the long run live up to the expectations if the expectations are as they should be maximalist in the way that you just described it.
519500	525500	You argue that both approaches do not sufficiently address the power of what you call a capital strike.
525500	541500	I think it's important to address this because the way in which these left market based visions fail to bring about the futures they envision renders visible why it is so important to develop new frameworks and visions of desirable futures.
541500	551500	What is a capital strike and why do both Neo-Kinesian frameworks and UBI based proposals fail to address this core problem?
551500	556500	That takes us in a very different direction from the kind of positive vision of the future.
556500	559500	It's sort of about what's chaining us to the present, right?
559500	570500	What keeps us locked into this world and its attendant insecurities, inequalities, and power imbalances.
570500	581500	And I think there, you know, one thing I would say kind of to keep us within the context of this conversation about the future is just to think back to the 80s and 90s.
581500	593500	Really the moment when the Soviet Union and the Eastern Bloc first seemed to be opening towards possible reforms and then collapsed, right?
593500	597500	And the moment of China's market reforms and so on.
597500	612500	At that time, you know, when people were considering what could a socialist future look like, they really felt the need to admit that markets seem to just be producing better outcomes than any efforts at planning.
612500	614500	And, you know, this was the 80s and 90s.
614500	625500	This was a time when in the West, it seemed like markets had enabled this very dynamic shift to computers and digitalization.
625500	639500	And that the Western economies had sort of come through deindustrialization and were sort of roaring forward, especially the United States with like new investments and kind of picked up rates of growth.
639500	659500	And so when people were thinking about what planning could be or what an alternative was to capitalism, they thought, well, capitalism is this dynamic system that generates high persistent rates of growth that allocates and reallocates, you know, fixed resources and labor in this very efficient way.
659500	669500	The world looks very different from where we stand now, 30 years after the fall, 32 years after the fall of the Berlin Wall.
669500	677500	Capitalism turned out to be a system that actually led to a process that economists have called secular stagnation.
677500	682500	Capitalist economies have grown at slower and slower paces.
682500	699500	And as they've done so, they've generated kind of, you know, an immense problem of financialization and its attendant kind of asset price inflation and frequent financial bubbles and therefore also misallocations of resources.
699500	715500	They've generated massive inequality and they've generated not more resources to fund a welfare state, but actually persistent austerity and giving and governments giving up a lot of protections on the environment and on workers.
715500	722500	It's been a system that's been just totally unable as of yet to find a way out of the climate crisis.
722500	740500	And to me, all of these things point to a really important feature of capitalism and especially of late capitalism, but it's a persistent feature of capitalism in general that was sort of understudied in a way in these debates about planning, at least in the recent period.
740500	751500	And that is this idea of the capital strike. It's the idea that it's the idea of the weapons that capital has in order to maintain its control over the production process.
751500	764500	Basically, because, and this is really crucial also to my vision of socialism, capitalists in aggregate have the capacity to decide through their investment decisions, whether the economy grows or shrinks.
764500	769500	Those decisions are what cause economic growth or economic recession.
769500	781500	And when capitalists feel that there is a kind of poor business environment, that the outlook for investment is poor, they threaten to disinvest from the economy.
781500	790500	They threaten to not invest and they do invest less, they hold their money in financial forms, and that causes stagnation.
