start	end	text
0	5520	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung
5520	6520	von Zukunft.
6520	11240	Mein Name ist Jan Groß und heute hört ihr den zweiten Teil des Gesprächs mit Jakob
11240	16760	Heyer zur Frage der Grundprobleme einer postkapitalistischen Produktionsweise.
16760	21920	Ich halte mich heute kurz und wünsche euch einfach viel Freude mit dem weiteren Gespräch.
21920	33520	Wenn wir jetzt dann eben in diese Richtung der Systematisierung einbiegen, dann schreibst
33520	39400	du, dass es im deutschsprachigen Raum eigentlich vor allem zwei Stränge gibt, die relativ
39400	40400	bekannt sind.
40400	43640	Auf der einen Seite eben den Marktsozialismus, über den haben wir auch schon gesprochen.
43640	49160	Auf der anderen Seite dann den zeitgenössischen utopischen Sozialismus, wobei du den dann
49840	56000	also den zeitgenössischen utopischen Sozialismus wiederum auch wieder in zwei Stränge unterscheidest.
56000	62920	Auf der einen Seite einen Linkskommunismus und dann etwas, was du unter Kommunismus,
62920	72360	also von Commons bezeichnest und fügst dann eben hinzu, dass du es aber wichtig findest,
72360	77640	dass auch eine Debatte um demokratisch geplanten Sozialismus im deutschsprachigen Raum doch
77680	79320	popularisiert werden sollte.
79320	83560	Das kann ich natürlich nur unterschreiben und tue mein Bestes, dass zumindest via Future
83560	85440	History es auch ein wenig zu tun.
86920	91440	Genau. Also du hattest ja ganz am Anfang unseres Gesprächs schon gesagt, dass es dir auch ein
91440	93560	bisschen wichtig ist, das so zu verorten.
93560	98240	Und bevor wir vielleicht dann jetzt zu den verschiedenen Modellen demokratisch geplanten
98240	104200	Sozialismus kommen, magst du vielleicht noch was dazu sagen zu dieser Verortung zwischen
104200	107560	Linkskommunismus, Kommunismus und Marktsozialismus?
108760	113440	Ja, erst mal, ich bin also ich bin auch froh, dass du zum Beispiel auch so ein bisschen
113440	117560	diese marktsozialistische Debatte so ein bisschen ausspaß bzw.
117560	123040	schon weiter bist, also weil genau, weil klar, also ich die Argumente, dass wir uns die
123040	126360	angucken, das ist wichtig, aber dass wir da auch schon weitergehen und sagen, okay,
128240	133720	das kann irgendwie nicht das Ende der Fahnenstange sein mit dem einfach mit dem Marktmechanismus
133720	138960	und das genau, das finde ich auf jeden Fall auch richtig gut, dass du dann diese Debatte
138960	144480	um eben halt geplanten demokratisch geplanten Sozialismus halt in der breiteren Öffentlichkeit
144480	145400	zugänglich machst.
146920	150320	Aber ja, also wenn man sich jetzt, wenn man versucht, diese Debatte zu systematisieren,
150320	155920	dann dann ist eben augenscheinlich das natürlich dieses dominante Modell des Marktsozialismus.
156480	162000	Und ich denke eben, dass man halt auf Basis der Kategorien, die ich versucht habe, herauszuarbeiten,
162760	168600	den sozusagen als substanziell unzureichend kategorisieren kann, weil eben halt diese
168600	173280	Frage der sekundären Unsicherheit nicht adressiert wird, also weil eben Planung ausgespart wird
173280	176840	oder beziehungsweise es gibt, man muss sagen, es gibt natürlich die, weil die aus einer
176840	181080	sozialistischen Position kommen, sind sie natürlich auch immer so, ja, ja, wir wollen
181080	184640	schon Planung, wir wollen schon Planung, also wir wollen irgendwie dann staatliche Regulation
184640	187400	oder wir wollen das Bankensystem vergesellschaften und so.
187440	193000	Und aber wichtig ist, glaube ich, und das habe ich von Divine so gelernt, zentral bleibt,
193000	202280	dass sozusagen, dass Unternehmen halt atomistisch agieren und nicht in einer, dass ihr ökonomisches
202280	205040	Handeln nicht umfassend koordiniert wird.
205760	209480	Genau, also bei Divine ist es wichtig, besonders bei der Investition, weil es da halt diese
210120	213040	insbesondere diese breite Interdependenz gibt.
213720	220840	Und dann gibt es eben diesen zweiten Strang, also den, den ich da so zeitgenössischen
220840	226720	utopischen Sozialismus genannt hat, also den habe ich so genannt, weil ich denke, der zeichnet
226720	231480	sich vor allem dadurch aus, dass er so nicht auf die historischen Bedingungen so reflektiert
231480	233880	oder beziehungsweise sehr, sehr gering.
234400	240720	Also wir haben genau einerseits diesen Linkskommunismus, der halt vor allem so funktioniert, dass er
240720	246680	halt genau sich so auf so grundlegende marktische Bestimmungen festlegt, die auch richtig sind.
246680	249880	Also wir brauchen irgendwie Vergesellschaftung der Produktionsmittel und irgendwie freie
249880	256680	Assoziation, der dann aber halt nicht mehr viel weiter sagt oder beziehungsweise dann
256920	262440	dabei auch stehen bleibt, also dann auch keine konkreteren Bestimmungen macht dazu, wie sagen
262440	266600	wir, es braucht irgendwie, also irgendwie direkte kooperative Beziehungen.
266600	268560	Und das ist alles richtig, glaube ich.
269280	273840	Aber es wird eben dann, es wird sich dabei so ein bisschen, wird dabei einfach belassen.
274480	278400	Und dann, es werden dann sehr abstrakte Bestimmungen nur gemacht.
280040	283720	Wie jetzt diese direkten Beziehungen dann konkreter aussehen könnte oder wie man diese
283720	290120	Überwindung der Trennung sowohl der Produzenten von ihren Produktionsmitteln einerseits als
290120	292040	auch der einzelnen Produzenten voneinander.
292080	299360	Andererseits, also wie man sowohl Demokratie auf Betriebsebene als auch auf der Gesamtgesellschaft
299360	303400	halt realisieren kann und die Vermittlung dieser Ebenen betreiben kann, die wird halt
303400	305960	nicht konkret weiter ausgeführt.
306000	310920	Genau. Und deswegen denke ich halt auch, dass es eine unzureichende Konzeption sind.
311760	316760	Ich glaube eben, dass man diese Fragen so unzureichend diskutiert, das hängt eben auch
316760	320400	substanziell damit zusammen, dass man sich nicht mit den historischen Erfahrungen so
320440	326920	beschäftigen will. Also weil das wäre ja, würde ich denken, halt so eine materielle
326920	329240	Basis, wo man dann noch eben noch weiter denken könnte.
329240	333720	Und wenn man eben nur stehen bleibt bei so marktischen Grundbestimmungen, dann glaube
333720	334760	ich, dann kommt man da auch nicht weiter.
334760	339440	Und die Autoren, die ich halt so gut finde, die zeichnen sich halt insbesondere auch dadurch
339440	341640	aus, dass sie so eine breite historische Reflektion machen.
341640	346280	Und ich glaube, die konkreteren Bestimmungen, die man bei ihnen findet, die sind eben, die
346280	349000	gibt es eben auf der Basis auch einer breiteren historischen Reflektion.
349040	353080	Aber weil man im Linkskommunismus, wie ich vorher schon meinte, dann gern diese Erfahrung
