start	end	text
480	1840	Welcome to Future Histories.
1840	3400	My name is Jan Groos,
3400	5800	and it is my great pleasure to welcome
5800	9620	Troy Witteze and Drew Pendergrass in today's episode.
9620	12840	They are the authors of the newly released book,
12840	15080	Half-Earth Socialism.
15080	19440	And since Troy and Drew do see democratic economic planning
19440	21920	as an integral part of what they propose
21920	25760	as Half-Earth Socialism, I was intrigued to read it.
25760	28740	And it has been an interesting read for me, I have to say,
28740	32180	because there are quite some elements in it
32180	35360	that I kind of stumbled over, I would say.
35360	38620	And this is, of course, always great for a good interview
38620	40440	and an interesting discussion.
40440	43620	We didn't really touch the veganism aspect
43620	45020	of their proposal in detail.
45020	48060	I'll leave that to others to discuss.
48060	52020	But we did go into planning, of course, in quite some detail.
52020	55760	And I think it made an interesting exchange.
55800	58920	I certainly enjoyed talking to Troy and to Drew,
58920	61840	and I hope you will enjoy listening to it.
61840	65240	Before we start, I would like to thank David, Fabian,
65240	67960	Lucas, and Wilfried for their donations.
67960	70760	And I would like to welcome Björn, Manuel, and Gereon
70760	72640	as patrons of Future Histories.
72640	74320	Thank you so much.
74320	76120	If you want to support Future Histories,
76120	79720	but you do not have the monetary resources to do so,
79720	82080	then first of all, thank you too.
82080	83420	It's highly appreciated.
83420	86900	And then there is an absolutely brilliant way
86900	89860	to support the project in non-monetary form
89860	93060	by transcribing your favorite episode.
93060	95980	There's a collaborative transcription project
95980	98060	that has formed around Future Histories,
98060	102060	and I want to thank everybody who has already contributed.
102060	104160	So if there's an episode you like,
104160	107520	and you see a value in providing a transcript of the episode,
107520	111760	and I would argue there are many benefits from a transcript,
111780	114700	then please find a link and a contact email
114700	115980	in the show notes.
115980	118800	So go for it, and thank you.
118800	120920	But now please enjoy today's episode
120920	123360	with Drew Pendergrass and Troy Wieteser
123360	126160	on Half-Earth Socialism.
126160	129320	["Half-Earth Socialism"]
131440	132280	Welcome, Troy.
132280	133840	Welcome, Drew.
133840	135560	Thanks for having us.
135560	137000	It's a pleasure.
137000	138520	Let's start with the definition.
138520	141280	What is Half-Earth Socialism?
141280	145560	Half-Earth Socialism is a kind of socialism
145560	149320	based on the recognition of ecological limits,
149320	151640	but also the limits to our understanding
151640	153520	of the natural world.
153520	158520	And therefore, we're saying that the environmental crisis
159340	161700	can only become overcome by socialism
161700	164840	because it is only socialism that humans can decide
164840	166960	to manage economic growth,
166960	169640	which is impossible under capitalism.
169640	173640	And then we're also saying that socialists
173640	175880	have to be environmentalists
175880	178480	because they have to realize
178480	180800	that total control over nature is impossible
180800	182400	because the more we intervene in nature,
182400	183600	the more risks we take,
183600	185600	such as pandemics or climate change.
185600	189240	So Half-Earth Socialism is that in a nutshell,
189240	191960	and it's also arguing for noiratian,
191960	194360	no conscious control of the economy.
194360	198580	And we propose rewilding half the planet,
198580	200260	which is the Half-Earth component,
200260	205100	and having energy quotas and veganism
205100	208620	to reduce our impact on nature
208620	211140	while also ensuring a good life for all.
212100	213420	I actually know if I have anything to add.
213420	215820	Troy, you did a very good definition.
215820	216660	Thanks.
217540	220900	And before you set out to describe your ideas
220900	223800	about how to address climate catastrophe in the book,
223800	226020	you dissect some other approaches,
226020	227660	three approaches actually,
227660	229420	that are brought forward by others.
229420	233860	And those are bioenergy carbon capture and sequestration,
233860	237140	it's short B-E-C-C-S, nuclear power,
237140	240640	and the idea of Half-Earth itself, actually,
240640	243860	because the origins of this idea of Half-Earth
243860	245700	are not quite innocent.
245700	249580	And there are strands tied to this concept
249580	254540	that have, I think, some quite Malthusian ring to it,
254540	258940	as well as some nativist tendencies, if I'm not mistaken.
258940	262620	So these are three approaches that you dissect
262620	266160	before you lay out your own proposal within the book.
266160	270220	Maybe let's take a look at these three approaches,
270220	273600	and maybe you can tell us what the shortcomings
273600	277180	of these quote unquote solutions are.
277180	281500	Yeah, so you're describing here our kind of look at
282500	284780	the sort of half solutions on offer
284780	289700	by sort of mainstream environmental slash modeling.
289700	291260	So we can take them in turn.
291260	293460	So the first option, BEX,
293460	298340	is an interesting kind of modeling artifact.
298340	299780	So the idea with bioengineering
299780	301500	with carbon capture and storage, or BEX,
301500	305260	is that you have plantations of probably trees,
305260	307100	and then you cut these down,
307100	309740	you burn it for energy, for electricity,
309740	312280	you capture the carbon emitted from the trees,
312280	314220	and then you bury that carbon underground.
314220	316900	And the idea is that this is a carbon negative energy source
316900	319820	because the carbon released by the trees,
319820	321620	the trees capture carbon, they grow,
321620	324660	capture that carbon, you put it underground.
324660	326900	And this is, believe it or not,
326900	330220	integral to pretty much all of the intergovernmental panel
330220	334780	on climate change, IPCC's 1.5 degree models.
334780	337740	So limiting climate change to 1.5 degrees,
337740	340500	and even a lot of the two degree models,
340500	342660	the idea is that they're trying to model
342660	344260	how you might do this energy transition.
344260	347020	It's very hard to do a massive transition very quickly.
347020	348940	So a lot of the models have overshoot
348940	350940	or emit too much or something,
350940	352620	and you need to have negative emissions
352620	354420	to push you back down.
354420	357020	They're often very large amounts of negative emissions.
357020	358700	So the models produce,
358700	360220	these are models that are running blindly.
360220	361820	They're just neoclassical models
361820	363460	with a climate model attached.
363460	364500	And they kind of blindly are like,
364580	366580	okay, let's take three India's worth of land,
366580	368980	plant some tree plantations, burn it.
368980	370140	Let's make some nice assumptions
370140	371540	that this is a carbon negative,
371540	373660	like that there's not an unintended consequence
373660	378660	by like say, soils control a lot of the biosphere's carbon.
378980	380980	Maybe by doing this, we might mess up the soils
380980	383500	and the soils might start emitting carbon,
383500	384700	bracket all that.
384700	387260	And then if you do this, okay, you have a nice solution.
387260	389100	You can have your energy transition
389100	390820	with a lot of fruit to spare.
390820	393860	And the bottom line is this is sort of
393900	396060	obviously never going to happen.
396060	401060	It's a massive project with no movement behind it.
401820	406020	It's just, it's a modeling artifact.
406020	408540	And if anything, it's harder to do the energy transition
408540	409820	than these models make it sound
409820	413580	because BEX is so integral to many of these models.
413580	415180	Now there are models that don't involve BEX
415180	417700	and they involve a much more rapid energy transition.
417700	420580	And that's more aligned with what we are talking about,
420580	423980	things like large amounts of energy use reductions.
425580	429140	The second proposal that we talk about is nuclear power.
429140	432460	And we're more specifically talking to a specific strain
432460	434740	of environmentalists who wants to build
434740	437180	like a nuclear power plant a week or something like this,
437180	438380	or maybe even more.
439220	440980	There's two nuclear power plants a week,
440980	441860	Troy is telling me.
441860	443540	Yeah, so the idea is,
443540	447020	we build up this massive electricity capacity
447020	450380	and then together with a big electrification project,
451220	452060	you solve the climate crisis
452060	455220	by putting everything on this big nuclear power grid.
455220	459860	But this is also seems a little bit ridiculous.
460780	462700	For one thing, nuclear power plants are very hard
462700	466420	and expensive to build and very complex machines.
466420	467780	And we said in the book that
468780	472020	even if nuclear power plants are safer now,
472020	473700	there's still a pretty high risk
473700	476540	of something like a Fukushima like disaster,
476540	479180	even with our current number of nuclear power plants.
480060	482980	So if you add a bunch more, that risk goes up.
482980	485980	We still haven't solved the nuclear waste problem.
485980	488220	The fact that nuclear power is connected
488220	490500	to nuclear weapons in an intimate way
490500	494420	is also another existential threat to worry about.
494420	495500	And then also the fact that
495500	497580	if you build this many power plants,
497580	499420	you are manning a lot of uranium.
499420	501660	Uranium is a pretty nasty thing to mine.
501660	503300	It gets impure pretty quickly
503300	506060	once you mine out of the good, I guess,
506060	508300	the high quality ores.
508300	511660	And then you end up with some problems
511660	513900	and propose solutions to do different kinds of reactors
513900	515620	like fast speed reactors have problems
515620	517260	because they use sodium as a coolant
517260	520420	and sodium explodes when exposed to air.
520420	523620	And that's just, so we just don't think
523620	526820	that this is a plausible plan.
526820	529380	And then the final one we talk about is the half earth.
529380	531660	And many on the left are familiar
531660	536060	with the difficulties of the conservation movement,
536300	538340	the quite nasty side of it.
538340	540980	And we don't hold any punches here.
540980	544140	So the half earth idea comes out
544140	546060	of an intellectual tradition
546060	548940	that has pretty nasty relationship
548940	552260	with indigenous peoples and this sort of thing.
552260	554900	And E.O. Wilson, who ends up taking it on
554900	558020	and popularizing it in a 2014 book,
558020	561940	he is better than some of these conservationists,
561940	562900	but that's not saying much
562900	567060	because he is quite notorious for his sociobiology
567060	572060	is sort of determinism on the basis of genes
572460	573300	and that sort of thing.
573300	576820	So pretty antithetical to what we believe on the left.
576820	580100	But while interrogating this tradition,
580100	583420	what we think is important is that mass extinction,
583420	586020	the ongoing sixth mass extinction in earth's history
586020	589540	is something that we on the left need to care about.
589540	592220	So the sixth mass extinction is going on now
592220	594020	driven by human activity.
594020	596700	There have been five previous mass extinctions.
596700	598940	They are disastrous for life on earth,
598940	601740	not just because we should care about other species
601740	603980	on this planet, but in terms of...
603980	606700	In science, we call it ecosystem services.
606700	611060	So nature does things for us, like keep the water clean,
612180	617180	pollinate our crops, make sure that disease is kept at bay,
618180	621860	all sorts of vital functions.
621860	626060	And if this ecosystem functioning and also carbon capture,
626060	628500	like half of the carbon we've emitted has been captured
628500	630700	by either the oceans or the land.
630700	631900	Some of that's inorganic,
631900	635140	but a good bit of it is through life on earth.
635140	638060	So these are just parts of the planet
638060	639700	that we can't afford to lose.
639700	643180	And the thing that drives mass extinction,
643180	646060	perhaps the most is habitat loss.
646820	649300	So we need to take seriously the idea
649300	652020	that habitat loss is a problem.
652020	654060	It's driving a major environmental crisis.
654060	656060	It's a crisis that will affect all of us
656060	658860	that affects our prospects of having a good life.
658860	660660	And it affects other species on this planet
660660	662100	that we should care about too.
663100	668020	So basically we shouldn't throw the baby out
668020	671460	with the bath water, but we shouldn't like maybe
671460	673220	not interrogate the bath water, I guess,
673220	676020	to use this metaphor badly.
676940	678620	So we talk about how biodiversity is higher
678620	682820	in indigenous managed lands than nature preserves
682820	683980	in many cases.
683980	687180	So there's no need to inherit these nasty sides
687180	690260	of conservation, but we still need to take seriously
690260	692100	the need to protect nature.
693420	696020	Okay, that's interesting because now you kind
696020	701020	of implicitly already answered a question I had regarding
701700	704300	why you stick to this concept of half earth,
704300	709300	because to me it felt as if maybe because of this history
709780	713220	that this concept has and the line of thinking
713220	716980	that underlies it, which has a, in some parts,
716980	721500	slightly semi-authoritarian touch, I'd say.
723340	727340	It begs the question how to avoid including
727340	730180	these highly problematic aspects of the concept
730180	733060	of half earth, because it's not just the ignorance
733060	737900	towards indigenous knowledges and different other problems
737900	742900	that this conservative conservationist movement has,
743100	746100	but also, at least to me, when reading the book,
746940	751180	you will always come into a position where if you start
751180	756180	by having a very concrete idea of how things should be
756660	760580	in the beginning, you will come into the position
760580	765300	where you will kind of have to construct a system
765300	768700	that necessarily, quote unquote, forces people
768700	773700	into what you believe is the correct answer to the problem.
774420	777860	And so there's a specific line of argument,
777860	782620	a line of reasoning underlying this whole idea
782620	785820	that kind of brings you in the territory
785820	789020	where you will have to confront the question
789020	794020	of, in this case, also central authoritarian tendencies.
797620	800500	But I don't think we're naive liberals here
800500	802980	where we think that, oh, it's just a matter
802980	805860	of individual choice that's gonna solve any of these problems.
805860	807660	I mean, we don't use, we don't think this way
807660	808980	when it comes to fossil fuels.
808980	811380	I think socialists are comfortable enough saying
811380	814860	we have to get rid of fossil fuels quickly,
814860	817260	and that's going to require how we live,
817300	818980	and it's gonna force how a lot of people
818980	822180	who use a lot of fossil fuels to change how they live.
822180	824060	And that's, we're also quite comfortable saying
824060	826940	we want equality, that means no more rich people.
826940	829180	I mean, we're happy saying all these things,
829180	832460	but when it comes to meat or the animal question in general,
832460	835700	then people say, oh, hey, you can't say that.
835700	839300	And I think on the left, we need to have a real discussion
839300	844300	about what is a socialist ethic towards animals
845020	849900	and what is the relationship we want with animals.
849900	851660	And this book tries to push that forward.
851660	855180	But we make clear in the book that our approach
855180	857180	or what we're arguing in the book
857180	858700	is really two separate things.
858700	863700	One is a way to think about what socialism is and practice.
864620	866300	And this is where we draw Noirat.
866300	868780	He's saying it's important to have this utopian tradition
868780	871260	where people come up with total plans
871260	872860	or what he calls like social engineering,
872900	876780	and then people compare these utopian future plans
876780	879740	and then vote on them and they decide upon them.
879740	882020	And versus, and the second part would be
882020	884060	what we think those future plans should be.
884060	885780	We offer our own future plan.
885780	887500	But we say quite clearly,
887500	889420	also because at some level we have no power,
889420	890820	we can't force anyone to do anything.
890820	895820	But we say, if you don't agree with us, that's fine.
896540	898860	But then we have to make trade-off somewhere.
898860	901180	We have to say, okay, we're happy to have
901180	904860	synodic disease and mass extinction, and that's okay.
904860	907700	Or we have to live with more nuclear power plants.
907700	910900	And it's, you know, maybe as we can't produce enough energy
910900	914060	for easily high energy quotas or whatever it is,
914060	916220	but we need to have this discussion
916220	918380	about what kind of life we want.
918380	923020	And to kind of keep the veil over this future society
923020	925780	is not proven to be a successful strategy.
925780	928500	And I think it also is missing the key insight of Noirat,
928500	931300	which is socialism is this collective decision
