start	end	text
0	6000	Welcome to Future Histories, my name is Jan Gross and it is my great pleasure to welcome
6000	8520	David Leibman in today's show.
8520	14680	He is Professor Emeritus of Economics at Brooklyn College, New York and editor of the journals
14680	16960	Science and Society.
16960	22020	David has written extensively about economic coordination and developed a model called
22020	28240	Multi-Level Democratic Iterative Coordination, which will be at the center of our conversation
28240	29240	today.
29240	34680	I am absolutely thrilled that this episode came together and that it did so right now
34680	41160	because the new special issue of Science and Society's project Envisioning Socialism has
41160	48560	just been published and these special issues, they are released only once every 10 years
48560	53320	and are concerned with a topic that is of great importance for the investigations of
53320	58440	this podcast and that is democratic economic planning.
58440	67560	The three predecessor issues appeared in Science and Society in Spring 1992, 2002 and 2012
67560	76360	and so I marked my calendar for Spring 2022 in order not to miss this very special opportunity
76360	81280	and I am very happy to announce that I did not only record the interview with David Leibman
81280	87360	that you are about to hear today, but also lengthy conversations with Robin Hannell and
87520	93920	with Pat Devine who are both, just like David, enormously important contributors not only
93920	101060	to these special issues starting from the first one in 1992, but they are also central
101060	107360	contributors to the debate around democratic economic planning in general.
107360	112240	This means there will be quite a couple of English language future histories episodes
112240	119240	spread over this spring and summer devoted to the topic of democratic economic planning
119240	122240	and I have a couple of remarks regarding this.
122240	128980	The first one would be to my German language audience, I am sorry, I had to do it, I simply
128980	136580	had to do this, Future Histories is a predominantly German language podcast and it will continue
136580	145080	to be so, but this was simply too perfect and so I couldn't resist and as regular listeners
145080	151380	will know, I argue for podcasting as a form of extended research practice and this deep
151380	159060	dive into democratic economic planning is to be understood as a part of exactly that.
159060	165580	So danke für eure Geduld, thank you for your patience with this long detour into English
165580	172960	language episodes and in the spirit of podcasting as research, I have an important plea directed
172960	174600	at all of you.
174600	180580	At one point in the interview you are about to hear with David, he states, and I quote,
180580	186440	the truly international discussion is still in front of us, end quote, and I could not
186440	193280	agree more, so please, if you know about interesting positions on democratic economic planning
193280	197360	from the global south, then please write me.
197360	202940	If everything works out as planned, I will feature guests from Chile soon and planning
202940	209080	in Kerala, India is also on my radar, as is the history of Soviet cybernetics, but I cannot
209080	211720	stress this enough.
211720	216660	If you know about interesting contemporary thinkers or experiments in democratic economic
216660	223260	planning from the global south and non-western positions in general, then please write me.
223260	232200	You can reach me via jan at futurehistories.today, that's J-A-N at futurehistories.today.
232200	238060	Very much looking forward to hearing about all these different approaches and experiments
238060	240600	from all over the world.
240600	246760	So now please enjoy today's episode with David Leibman on multi-level democratic iterative
246760	247760	coordination.
253760	254760	Welcome David.
254760	255760	Okay.
255760	256760	Thank you Jan.
256760	259440	It's good to be here.
259440	261520	It's my pleasure.
261520	265840	Before we get to your model specifically, let's start with a very basic definition.
265840	268600	What is democratic economic planning?
268600	269600	Okay.
269600	274540	I was going to back up a little further before that, but I'll get to democratic economic
274540	278040	planning in a moment.
278040	283940	I wanted to start by referring to all of the buzz in the world around the concept of socialism
283940	285180	as such.
285180	291420	There's a lot of discussion of socialism, a renewal of interest, and this is of course
291420	298300	very important for us, I think, and very important for the way the world is going to go.
298300	303340	So I wanted to suggest a few distinctions.
303340	310320	For many people, the word socialism means what I call ameliorative socialism, ameliorate,
310320	315760	make better, improve, and they can think of, and I can think of, all sorts of improvements
315760	319480	that we want to make in the world.
319480	325200	We want a world of equality, a world of solidarity, a world of participation, a world of security,
325200	326200	dignity.
326200	332160	These are some words that clearly come into the concept, and I'm happy to situate all
332160	338900	the work that I'm doing, and everyone who's working on what I call systemic socialism
338900	343940	would be part of, you know, we're all part of that, but we need to go further.
343940	350420	The second distinction is what I call inspirational socialism, and it takes its cue from some
350420	355760	phrases from the classics of Marxism, and not only Marxism, but there are inspirational
355760	360660	socialists who refer to thinkers going much farther back.
360660	364880	And here you have phrases like the world of the associated producers and the working
364880	369860	class in power and the commonwealth of toil.
369860	375900	One can go on and on, you know, with these wonderful inspirational phrases from the past,
375900	381060	and the kind of socialism that I, and I gather many of the people who have participated in
381060	389500	your symposium series, is interested in, is going beyond that.
389540	395420	In other words, we need to not just talk in general terms about the working class in power,
395420	402700	or to use a phrase from the manifesto where Marx and Engels speak about the condition
402700	408380	for the free development of each is the condition for the free development of all, you know,
408380	414140	this kind of language, which is wonderful, but it clearly needs to be transcended.
414140	419860	We need to put some meat on those bones, so to speak.
419860	426940	And finally, you have speculative socialism, you know, speculative utopian, where just
426940	433820	like the kind of thing that Marx was so concerned to transcend in the early part of the 19th
433820	440140	century, where there were all these writers, some of them very brilliant, putting forward
440140	445740	completely arbitrary idealist visions of how things would work and telling everybody
445740	449860	things will be done this way, and you will have this kind of institution and that kind
449860	450860	of institution.
450860	453260	And Marx wanted to get away from that totally.
453260	454300	So what's left?
454300	462060	What's left is what I call systemic socialism, which is somewhere in a middle ground between
462060	469180	simply saying we want to strive for equality and so forth, the thing, the values that socialists
469180	479660	uphold on one side versus a kind of utopian or speculative arbitrary engineering of institutions,
479660	481820	which Marx was quite clear.
481820	487700	And I think most of his followers have gone along, gone on from that.
487700	494860	You simply can't preordain, you can't write what Marx called recipes for the cook shops
494860	495860	of the future.
495860	497140	It just doesn't work.
497420	502460	You have to see socialism as something that grows organically within the existing society
502460	509780	and partakes of all of that history and sort of concentrates that history.
509780	514660	So it's in that framework that I would talk about democratic coordination, democratic
514660	515780	economic planning.
515780	526420	And yes, like as with my colleagues, Pat Devine, Robin Hanell, Al Campbell, Cockshot and Cottrell,
526980	533060	Alan Cottrell and a new contributor who works with them, Dave Zechariah and many others
533060	534260	who don't write in English.
534260	535540	And for that, I apologize.
536740	540660	I do read some Spanish and some Russian, but not enough to really say that I can
541620	545060	represent the people who write in those languages.
546020	550500	And the truly international discussion that we need is still in front of us.
551140	552500	We haven't yet achieved that.
553460	555940	And I'm as much to blame as anyone for that.
555940	562020	But anyway, we're all talking about democratic economic planning and trying to figure out
562020	564020	what that could possibly mean.
564020	572020	So that's a sort of a preamble that gets us to the doorstep of the question we need to pursue.
573060	578420	And apart from the way that you approach it specifically within your model, is there
578420	582100	some kind of definition of democratic economic planning that you could provide?
582900	587140	Well, I think the definition emerges in each of the separate models.
587140	592420	And I'll have something to say about that, because what I've tried to do in a recent paper,
594020	600180	the subtitle of which is A Model of the Models, clearly the subtitle implies what I'm trying to
600180	606580	do is look at the way the various models are related to each other and to understand whether
606580	610500	some kind of synthesis might be possible.
610500	616900	When I know you have a separate agenda, we'll talk about the science and society special issue.
617540	622260	And here I'm tempted to hold it up and show everybody, but I realize there's no visual here.
622260	623700	We're on audio only.
624420	625540	But it just came out.
625540	632660	We have the special issue of science and society, which is the fourth special issue,
633300	644020	which have been issued at 10-year intervals in the 02 years, in 1992, 2002, 2012, and now 2022.
644020	648020	You know, at specific 10-year intervals, kind of why it worked out that way, but it didn't.
649540	654420	And on the re-envisioning of socialism or envisioning of socialism and
655780	661780	what struck me about the work in those issues, it made a real attempt to bring everybody in
662660	668500	we brought in proponents of market socialism, which is the idea that,
669460	672900	first of all, very important contribution markets and socialism are separable.
672900	675060	They're not the markets and capitalism.
675060	676900	Sorry, I misspoke.
676900	678420	Markets and capitalism are separate.
678420	679460	They're not the same thing.
679460	684660	And that you can combine the advantages of markets with the advantages of socialism into
684660	686100	something called market social.
686100	691220	It's not my view, but it is one of the views that we sought to represent and various views
691220	695300	of economic planning and democratic economic planning on the other side.
695300	696580	Put them in a whole big circle.
697540	704180	My perception of this from 1992 forward as we did this work was that
707620	710660	people were talking past each other to some extent.
710660	712980	We were saying something in one of the special issues.
713620	718900	And then those of us who repeated and participated in the next special issue
718900	720340	were saying the same things again.
721300	728180	But that to use a very favorite socialist economic term convergence, convergence was
728180	729140	not occurring.
729140	731460	In other words, we didn't seem to be getting closer together.
731460	734260	We didn't seem to be moving forward in that sense.
734980	740900	And part of my recent work is an effort to overcome that or an effort, at least to address
740900	748340	it, to address the problem of synthesis, convergence, transcendence, moving on to another stage.
749780	754820	So that if we have another special issue in another 10 years, I won't be around to see
754820	757380	it, but it'll be, you might.
760660	764740	It won't look the same as the one that came before, the one that came before that.
764740	766820	It will have moved forward.
767940	775620	Of course, a lot depends on the world moving forward and the progressive and working class
775620	779300	movements of the world moving forward and taking these things to heart.
781220	786020	And that is something that I cannot directly influence, but can hope for.
788340	792340	Anyway, I like also to take it a little further.
792340	797780	I like also to distinguish between different stages of socialism.
798660	805540	And here lies a major confusion in my view that is very present in many of our minds
806180	809540	we fall into it, we mix these things up.
810260	814340	We forget whether we're talking about stages of historical development.
814340	817620	And if we're talking about that, then we definitely mean
819300	824180	looking at actual historical societies in all their complexity, where you have the
825220	828420	coexistence of different social forms.
829060	834900	You have the coexistence of state administratively
834900	840020	organized production, production directly under political control and managed by a
840020	845460	bureaucracy of some kind that's carrying out the coordination functions and the
846260	847220	control functions.
848020	851620	And those bureaucracies have existed for thousands of years.
852420	856900	You might just as well call some of the dynasties of ancient China
856900	861300	socialists because they were very large and sometimes very efficient.
862020	868180	Surprisingly, so if you look into that history, systems of coordination with legal structures,
868180	872020	which the Chinese ancient philosophers were concerned to elaborate.
872580	877220	And of course, they've existed in the modern world in recent centuries and they continue to exist.
878100	883700	So you take a country like China, for example, which has a large and important state sector,
883700	888500	but that state sector also has state-owned enterprises, SOEs,
889300	893300	which are often managed and run on a small scale.
893300	897700	They're managed locally, but they exist as state-owned enterprises.
898260	902260	And in the midst of that, you have capitalist enterprises competing with them.
902260	907300	As we know, there's been some resurgence of actual capitalist relations in China, plus
907300	914100	cooperatives, plus the international capitalist sector in special zones, where some regulations
914100	915780	apply to them and so forth and so on.
915780	918580	In other words, you have a huge mix of systems.
918580	926340	You have a mixed economy, to use a phrase from the Western political economy literature.
927700	934180	And if socialist relations are, to the extent that social relations are dominant there,
934180	936500	you might call it a socialist mixed economy.
936500	941780	In fact, that's what the Chinese Communist Party basically puts forward as its view of themselves,
941860	948260	the market economy, with Chinese market socialism, with Chinese characteristics,
948260	950580	you know the phraseology that they use.
952420	957780	And from my point of view, that is all on one side.
957780	964820	What the model, the MDIC model, as you named it, multi-level democratic iterative coordination,
965460	967060	is about is not that.
967060	971460	It's not about combination of different things in historical admixture
971460	975300	with all of the contradictions and complexities that accompany that.
975300	975800	Not that.
976420	986340	It's a model of the way core institutions in the modern socialist economy interact with one another
987220	990260	and mutually determine each other.
991460	994500	That is the central idea, what we'll be talking about in a little while.
994500	998100	That's the main thing I want to get to.
999060	1005380	The point, just to finish this up, about the stages, confusion that exists,
1006180	1014980	is that it has overtaken huge sectors, not just of the mainstream capitalist intellectual environment
1016340	1021220	where these people talk about mixed economies and institutions from here and there,
1021300	1029140	and the eclectic picture, transforming the complexity of the real world that they
1029140	1036100	observe into their theory directly with no organization, with no intervention on the part
1036100	1037060	of logic.
1038020	1040340	So you have the Cubans, for example.
1040340	1043620	They have their regular party congresses.
1043620	1048820	And obviously, discussion is going on all the time there, not just at the party congresses,
1048820	1053540	but it becomes very prominent at those periods when they wrestle with the question of what they
1053540	1054340	call reform.
1056260	1060660	The question is exactly the same as the Chinese question.
1060660	1066900	It's how can we mix socialism, I'm putting inverted commas, quotation marks around the word
1066900	1071860	socialism here, which means state production, state central planning, etc.
1071860	1078020	How can we mix that with just the right amount of, now quotation marks again, capitalism,
1079620	1085460	so that we get the advantages of capitalism, a spur to incentive, competition, dynamism.
1085460	1092020	That's what capitalism gives us, whereas the state sector gives us what we like from socialism,
1092740	1101460	security, equality, coordination, addressing the ecological problems which are always at the
1101460	1103780	forefront of our minds, those kinds of things.
1104180	1108980	How can we, so they're not talking about socialism, and I'm talking about the fundamental
1108980	1112500	levels of the Cuban leadership and of the Chinese leadership.
1113700	1119060	They're talking about a socialist capitalist mixed economy, the advantages of both.
1119060	1122660	And if you read their literature, that's very much the way the thinking goes.
1123540	1129220	Now, the implication of that is there's a one way highway with strong central planning,
1129940	1136580	state control at one end of the spectrum, and total deregulation market processes,
1136580	1139780	atomistic competition and so forth at the other end of the spectrum.
1140180	1141220	That's your spectrum.
1141220	1144420	And what we need is a mixed economy somewhere in the middle.
1146180	1151460	In some ways, it's not too different from the Keynesian conception within mainstream economics.
1153460	1159060	The mix of private and with the appropriate degree of state intervention or state intervention with
1159060	1163940	the appropriate mix of market competition in order to spice it up a little bit.
1163940	1165380	I think that's totally wrong.
1166020	1174100	I think MDIC and the other models that people have put forward is on a different dimension.
1174100	1181460	It's what the word, I'll just say perpendicular to, it's often in a different direction.
1181460	1182340	It's not that at all.
1183060	1188100	So if people say, and friends of mine in Cuba have said this, we need reform.
1189060	1190980	I say, well, reform in which direction?
1192980	1196020	In which direction are you going to reform?
1196820	1202820	And so multi-level democratic iterative coordination, if I can use my term,
1202820	1206260	the way I put it together, other people have different terms, of course,
1206260	1210900	is not somewhere on the spectrum between the market and central planning.
1210900	1213460	It's something completely different from it.
1214180	1220660	And that's the essential idea that I want to try to get across.
1221780	1222500	Yes, great.
1222500	1230260	And I mean, I can only highlight that we absolutely need an alternative because I mean,
