start	end	text
0	5200	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5200	10800	Mein Name ist Jan Groß und heute hört ihr den zweiten Teil des Interviews mit Jakob Kapeller.
10800	16800	Im ersten Teil des Interviews ging es um politische Ökonomie, um die Kunstfigur des Homo economicus,
16800	23800	um Alternativen zu eben diesem, also um andere Formen der Modellierung menschlichen Verhaltens in den Wirtschaftswissenschaften
23800	28800	und gegen Ende dann um die sogenannte Spieltheorie. Da hieß es zum Beispiel am Schluss
28800	32800	Das heißt, die zentrale Lektion des Gefangenen-Dilemmas betrifft die Frage,
32800	37800	wie übersetzt sich das individuelle Verhalten in einen sozialen Gesamtzustand.
37800	42800	In der Ökonomie ist es so, individueller Opportunismus heißt auch soziales Paradies.
42800	46800	Das Gefangenen-Dilemma wäre jetzt genau das Gegenbeispiel, wo wir zeigen können,
46800	51800	dass individueller Opportunismus eigentlich zur sozial schlechtestmöglichen Lösung führen kann.
51800	57800	Und welches dieser beiden Modelle jetzt zutrifft, hängt davor ab, in welcher Welt wir eigentlich leben.
57800	62800	Leben wir in einer Welt, die hauptsächlich Situationen und Herausforderungen für uns bereitstellt,
62800	65800	die bestmöglich mit Wettbewerb zu lösen sind?
65800	72800	Oder leben wir in einer Welt, die uns Probleme, Herausforderungen entgegenschmeißt, für die wir Koordination brauchen?
72800	78800	Und es ist aus meiner Sicht kein Zufall, dass wir gerade die großen koordinativen Herausforderungen
78800	84800	der Gegenwärtsgesellschaft, der Klimawandel, der soziale Ausgleich, der Umweltschutz,
84800	90800	der Erhalt moralischen Standards, der Erhalt des Friedens, all das wären ja Dinge,
90800	93800	die ich im Gefangenen-Dilemma modellieren kann.
93800	99800	Das sind die großen koordinativen Herausforderungen der Weltgesellschaft im 21. Jahrhundert.
99800	103800	Und das wären eigentlich die Bereiche, in denen ich Kooperation brauche.
103800	108800	Was uns also das Gefangenen-Dilemma für die wirtschaftspolitische Praxis sagt, ist,
108800	115800	dass wir in Situationen, in denen wir irgendeine Art von koordinativer Lösungskapazität brauchen,
115800	123800	uns eben nicht verhalten dürfen, wie Hominess Ökonomik, wenn wir uns für das Gesamtergebnis interessieren.
123800	127800	Lasst mich wissen, was ihr zu dem Ganzen denkt, zum Beispiel auf Twitter unter
127800	134800	hashtag futurehistories oder per Mail unter future underscore histories at protonmail.com.
134800	138800	Vielen, vielen Dank an Julia und das Team von InfoScreen, die dafür gesorgt haben,
138800	146800	dass Future Histories als Web-Tipp auf den Bildschirmen von InfoScreen in ganz Österreich angepriesen wurde.
146800	151800	Tausend Dank auch an Lena für ihre Unterstützung. Ich weiß es wirklich sehr zu schätzen.
151800	158800	Und auch ihr, liebe Hörerinnen und liebe Hörer, könnt diesen Podcast hier super einfach unterstützen.
158800	164800	Dafür gibt es vier gleichermaßen großartige Wege. Der erste ist klassische Mundpropaganda.
164800	168800	Ihr kennt bestimmt mindestens drei Personen, bei denen ihr denkt, für die wäre das was.
168800	175800	Die oder Jan von Future Histories, die könnten prächtige geistige Freunde abgeben oder sich prima streiten.
175800	182800	Das ist ja auch was. Also bitte posauntes in die Welt hinaus und erzählt euren Freunden von diesem Podcast.
182800	187800	Der zweite Weg ist nicht Mundpropaganda, sondern quasi Sternchenpropaganda.
187800	193800	Denn in Zeiten der Aufmerksamkeitsökonomie ist es mindestens genauso wichtig, dass ihr auf Apple Podcasts
193800	199800	und allen anderen Plattformen, auf denen das möglich ist, ganz viele Sternchen abgibt für diesen Podcast.
199800	206800	Dadurch wird man sichtbarer in den Rankings und andere Leute können auch auf Future Histories aufmerksam werden.
206800	212800	Der dritte Weg ist auch klassisch. Ihr könnt auf www.futurehistories.today einfach spenden.
212800	218800	Und viertens, wenn ihr es euch leisten könnt, dann werdet bitte Patreon von Future Histories.
218800	223800	Patreon, das ist eine Art Mini-Maisonatentum, durch das eine unabhängige Do-It-Yourself-Produktion
223800	227800	wie diese hier auf ökonomische nachhaltige Beine gestellt werden kann.
227800	231800	Da kann man also monatlich Kleinstbeträge spenden.
231800	241800	Zu finden auf www.patreon.com schrägstrich Future Histories, das ist p-a-t-r-e-o-n.com schrägstrich Future Histories.
