start	end	text
0	5560	Welcome to Future Histories. My name is Jan Gross and it is my great pleasure to
5560	10480	welcome Trevor Schultz in today's episode. Trevor is the author of
10480	15960	Uber worked and underpaid how workers are disrupting the digital economy and
15960	21760	editor of multiple books such as hours to hack and to own platform
21760	27960	cooperativism a new vision for the future of work and a fairer internet. He
27960	32160	is professor at the New School in New York and founding director of the
32160	37560	platform cooperativism consortium and the Institute for the Cooperative
37560	43740	Digital Economy both of them at the New School as well. In general Trevor is
43740	47840	highly involved in the platform cooperativism movement which will be at
47840	52800	the center of our conversation today. Before we start I would like to thank
52800	57960	Bernhard, Wilfried and Fabian for their kind donations and I would like to
57960	62880	welcome Anna as a patreon of future histories. Thank you so much for your
62880	69120	support. If you as well would like to support future histories then please do
69120	75920	so. This could be as you just heard through a donation or monthly support on
75920	81240	patreon but it also could be in the form of simply telling a friend about the
81240	87880	show or sharing the content through your favorite channels of sharing content. So
87880	93080	thank you very much it's highly appreciated and now please enjoy today's
93080	99200	episode with Trevor Schultz on platform cooperativism.
102800	109120	Welcome Trevor. Hello thanks for having me. It's a pleasure. Trevor let's start
109200	116000	with the definition. What is a platform cooperative? Right so there I guess this
116000	122640	is sort of a three-part question right so I mean you know like people need to
122640	128160	understand what cooperatives are in the first place so here this is I'm mostly
128160	133760	focusing on two types of cooperatives there are many more mostly interested in
134320	141680	worker cooperatives where the company is owned by the workers that all have an
141680	148480	equal say in the operation so it's based on the principle of one worker one vote
149600	157040	and so it's democratic ownership right and then the second type of cooperative
157040	161360	that I think is most relevant to the digital economy and a good example of a
161360	166960	platform cooperative is multi-stakeholder cooperatives so this means that there you
166960	175600	don't have this wall around a small number of members who all like benefit from this
176960	181440	this cooperative form right by having higher wages or by having
184240	189840	secure place to work and by having a voice in the workplace which is like really quite rare
192240	198640	when you think about it globally and when you think about how this idea of participatory
198640	205920	democracy has propagated like across countries right so who claim this concept right as as
206480	212320	something that is very central to their aspiration but in the workplace where most people spend like
212320	220560	most of their day that is like quite absent right and most workplaces so quite fascinating
220560	226560	so that's cooperative so with a focus on multi-stakeholder cooperatives and worker
226560	234400	corps multi-stakeholder cooperatives including also people from the community that are so not
234400	241760	just a small number of the members but it can also have classes within the cooperative that are
242320	248320	that are you know like in the community that are other you know other than the workers
