start	end	text
0	1800	Welcome to Huge Histories.
1800	5000	My name is Jan Groos, and it is my great pleasure
5000	8080	to welcome Robin Hannell in today's episode.
8080	11840	He is professor of economics at Portland State University,
11840	13740	and together with Michael Albert,
13740	18000	he developed Paracon, short for participatory economics,
18000	20400	which is one of the most popular models
20400	23080	for democratic economic planning there is,
23080	27040	and it has been around for more than 30 years now.
27040	31240	I really wanted to cover Paracon as thoroughly as possible,
31240	34160	leading to more than four hours of material
34160	36880	of which you will hear roughly the first half
36880	37720	in this episode.
37720	41760	The second part will be released in two weeks.
41760	43480	And just to give you some orientation,
43480	46360	we begin by going through the model bit by bit,
46360	49280	and I kind of spared my critical questions
49280	53360	for after the model has been laid out in full.
53360	56440	This conversation is part of a small series
56440	58840	in which I cover some of the classical models
58840	60600	of democratic economic planning
60600	62960	by talking to their creators.
62960	65920	I already did an interview with David Leibman
65920	69040	on multi-level democratic iterative coordination
69040	71960	in episode 19 of season two,
71960	74320	and soon there will be a double episode
74320	76660	with Pat Devine as well.
76660	78880	Since all of these episodes are in English,
78880	80960	and since there are quite a couple
80960	84080	of other Future Histories episodes in English by now,
84080	87000	we created an English episode only feed
87000	88840	that you can subscribe to.
88840	90480	So if you don't speak German
90480	93720	and you are simply waiting
93720	95880	for the next English episode of Future Histories,
95880	99240	please go ahead and take a look at the show notes
99240	103520	where you will find a link to the English only RSS feed
103520	107160	as well as the newly created English version
107160	108560	of the homepage.
108560	111320	Please share among your English speaking friends.
111320	114000	I'm always very grateful for propaganda.
114880	115720	This is really very helpful
115720	120480	and maybe share in all of your different networks too.
120480	121480	Thank you so much.
121480	126120	And speaking of thanks, thank you Bernhard, Fabian
126120	128440	and Wilfried for their kind donations.
128440	132400	And there's a special kind of Patreon support that happened.
132400	135520	Happy birthday to Daniel from Malte
135520	137960	who became a Patreon supporter of Future Histories
137960	140160	as a birthday gift to Daniel.
140160	142360	And this is very heartwarming to me.
142360	145640	And I feel honored that this was gifted.
145640	149240	So double thanks to Malte and Daniel.
149240	152040	But now please enjoy today's episode
152040	155320	and in-depth interview with Robin Hanell
155320	157880	on participatory economics.
163400	165240	Welcome Robin.
165240	166600	Good to be with you.
166600	168040	It's a pleasure.
168040	171000	We will hopefully get into quite some detail
171000	172280	about Perikan today,
172280	175640	but let's start with an overview and broad definition.
175640	177080	What is Perikan?
178040	183040	It's an attempt to say something concrete
183040	187040	about what it is that we think that socialists
188440	191640	should be proposing as the kind of economic system
192960	196720	that we wanna replace capitalism with in the 21st century.
197720	201920	In the light of all of the experiences
201920	205720	with different attempts to create a socialist economy
205720	208480	in the 20th century, what lessons have we learned
208480	212320	and what should we now be proposing?
212320	214960	It's our proposal of what we left us
