start	end	text
0	11000	Welcome to Future Histories, my name is Jan Groos and what you're about to hear today is the second part of my conversation with Robin Annal on Paracon, Participatory Economics.
11000	22000	Today we are going to talk about some of the elements that have been introduced quite recently, actually in the 2021 book called Democratic Economic Planning.
22000	28000	And these are, for example, investment planning, environmental and educational planning.
28000	32000	We will also talk about some of the critical aspects of Paracon.
32000	43000	Personally, I am not a big fan of the effort rating committees, for example, and I really enjoyed covering these aspects as well, those that I feel more skeptic towards.
43000	48000	And I highly appreciate that Robin is quite open when it comes to these aspects as well.
48000	53000	So we cover a lot of ground in this second part of the conversation.
53000	62000	The chapter on reproductive labor in the recent book Democratic Economic Planning has been co-authored by Savina Choudhury.
62000	65000	And I would like to feature her on Future Histories as well.
65000	77000	This is why the topic of reproductive labor is not featured in today's episode with Robin, but will hopefully be in depth when I talk to Savina.
77000	87000	Since this is still quite new, I'd like to refer you to a new feature of Future Histories, a feature specifically for the international audience.
87000	98000	We created an English episodes only RSS feed that you can subscribe to in your podcast app, as well as a newly created English version of the homepage.
98000	105000	So please find the links in the show notes and share it among your friends, your English speaking friends.
105000	112000	Thank you so much. And speaking of thanks, thank you, David and Wilfried for your kind donations.
112000	117000	And I would like to welcome Heiner as a patron of Future Histories.
117000	120000	Thank you so much for your support as well.
120000	126000	But now please enjoy today's episode with Robin Hannell on participatory economics.
126000	136000	So let's start with the more macro questions, because in the more recent work, you incorporate long term planning into the model of Paracom.
136000	145000	And this also means that before the annual participatory planning procedure, before this begins, certain decisions have already been made.
145000	152000	A participatory investment plan has determined the amount of each capital good that must be produced during the year.
153000	164000	The second one would be a long run education and environmental plan that has determined the natural resource, the resources that can be used throughout the production cycle.
164000	176000	And the third one would be, as you just mentioned, a strategic international economic plan that has determined the amounts of different goods that will be exported and imported during the year.
176000	186000	And another macro question that has to be addressed in Paracom as well would be the question of reproductive labor.
186000	196000	I imagine that it will be difficult that we already talked for a long time, so it will be difficult to address each of these sections in detail.
196000	206000	But maybe you could give us an idea of how would Paracom try to address this, the special attention that those sectors need in each of these categories?
206000	216000	Right, there's a lot to cover. And the first thing I'd like to say is that all of these issues are ones that we didn't talk about for a long, long time.
216000	226000	For, I mean, the original publications of some of the idea of a participatory economy, that was 1990.
226000	236000	And it really isn't until 2021, when democratic economic planning was published, that we tackled all these issues, at least in public.
236000	242000	I mean, it's not like we hadn't been talking about them. We hadn't gone into print with proposals.
242000	254000	And there was a reason for that. I mean, the reason for that was we thought, first, we have to sort of get straight about whether we're talking about a market socialist economy or some sort of central planning.
254000	266000	Is there really an alternative? And in that context, talking about the annual planning procedure, as well as talking about some really important things that socialist, I mean,
266000	282000	no practicing socialist economies had ever really put into practice, things like balancing for desirability, balancing for empowerment, and, of course, dealing with the age-old issue of what's a fair system of rewarding people.
282000	292000	So we had talked about all those things, and we knew that that leaves a lot of decisions, sort of a lot of important subject areas, unaddressed.
292000	302000	The reason it's important to say this before starting is everything that we're now going to talk about, I consider to be unvetted.
302000	312000	This hasn't been discussed and argued and criticized for 10, 20, 30 years the way a bunch of other things have.
312000	324000	So we've sort of had a more or less full debate out there in the literature, whereas these things, my own attitude toward them is, hey, we're just throwing these out here for the first time.
324000	336000	I haven't heard people coming up with objections yet. I don't even know how I'm going to feel once I start hearing that.
336000	348000	So in some sense, one of the implications of this is the first time we've actually put something out there is I honestly feel less secure and sure about it.
348000	354000	I can't even promise you how much I will continue to defend it 10 years from now.
354000	368000	So I wanted to say that just to begin with. There are some really important problems that you have to deal with when you're doing long-term planning over time that you don't have to deal with when you're doing the annual plan.
368000	378000	When we do the annual plan, presumably workers councils know what their technological options are.
378000	389000	They know what different technologies they currently have available to them, and presumably consumers have some idea of what their preferences are.
389000	402000	So those are given, those things we know when we set up a system to do annual planning, but who knows what preferences of people are going to be 20 years from now?
402000	410000	And who knows what technologies will become available? What new technologies will become available?
410000	420000	But if you want to make an efficient plan about anything over 10 or 20 years, you have to actually know those things.
420000	431000	So there's a whole bunch of things that that means that part of what will determine what is an efficient investment is what you're going to do.
432000	451000	So there's a whole bunch of things that that means that part of what will determine what is an efficient investment plan or education plan or environmental plan, part of what will determine whether this plan is efficient or not is
451000	462000	What sort of technological change has taken place over these will occur in the future? And if there are changes in people's preferences, what those will be like in the future?
462000	470000	Somebody is going to have to estimate those. And when you estimate those, you're going to make mistakes.
470000	478000	So these are all problems that long term planning, you know, face that annual planning does not face.
478000	489000	And then there's another problem. If we want the planning process to be democratic, we would like everybody who's going to be affected by the plan to participate.
489000	493000	Well, people who aren't born yet can't participate.
493000	506000	So you have, if you set up a democratic process for coming up with long term plans, you have to address who's going to speak for the unborn generations.
506000	522000	And so we started with this part of the reason that we delayed as long as we did, even coming up with proposals that we recognize that while the general principle that you want the decisions to be made in a participatory way,
522000	535000	you want decisions to be self managed, you want the process to be fair, you want it to be efficient, the principles are all the same, but there's extra problems.
535000	547000	And I think those are the things that are sort of important to get out there just right from the very beginning.
547000	562000	So what we proposed is a procedure for going about what we simply call investment planning.
562000	577000	When we think of investment planning, we're basically thinking of this year we could produce consumption goods, but this year we could also produce what are typically called capital goods or investment goods.
577000	583000	Well, when we produce a capital good or an investment good this year, it doesn't do anybody this year any good at all.
583000	585000	So why would you do that?
585000	595000	Because if you produce capital or investment goods next year, you'll be able to produce more goods than you could this year.
595000	608000	So investment planning is basically a decision about, and most capital goods or investment goods basically last for figure a decade.
608000	614000	So what's the time length that makes sort of sense for investment planning?
614000	618000	And the answer is sort of think in terms of a decade.
618000	624000	So if we make a new machine this year, it's probably going to either be worn out or obsolete 10 years from now.
624000	633000	That's why 10 year time period is sort of a sensible period for investment planning.
633000	637000	Education planning, that's not the case.
637000	641000	I mean, how long does it take to educate somebody?
641000	646000	Well, 18 years gets you through high school.
646000	650000	Another four and maybe two more for graduate school in some cases.
650000	656000	And then we have a whole process of sort of lifetime learning that goes on.
656000	665000	So if you're talking about education planning, used to be called manpower planning, by the way.
665000	667000	But we can't do that anymore, thank heavens.
668000	678000	But when you say education planning, when you use the word manpower planning, it was clear that you also didn't just consider the formal education system.
678000	692000	You were also considering any sort of education and training procedures that worker councils were setting up for themselves.
692000	702000	So at least the old term manpower planning, while sexist, at least focus people's attention on the fact that this is a combination of the formal education system.
702000	708000	And inside the economy itself, we have an awful lot of education and training that goes on.
708000	715000	So that's a process that's going to stretch over three or four decades, at least.
715000	723000	And when you talk about environmental planning, we need to plan 50 to 100 years out.
723000	728000	So the timeframes are quite different in these regards.
728000	732000	So we've identified that there's very different timeframes.
732000	737000	We've identified that we know what we're trying to achieve here.
737000	739000	We want the plans to be efficient.
739000	746000	We want the process for settling on the plans to be as participatory as possible and democratic.
746000	755000	And in terms of equity, in this case, we're kind of talking about generational equity.
755000	763000	So the first thing we do is make a proposal about how to incentivize the present generation.
763000	767000	We're the only people who can sit down to make a long term plan.
767000	771000	When they're sitting down to make it, it's the present generation that's going to make it.
771000	779000	How can you incentivize them to seriously take into account the interests of future generations?
779000	784000	And we propose that before you do any kind of long term planning at all,
784000	794000	that the present generation has to discuss and vote on what we call a generational equity constraint.
794000	799000	And what the generational equity constraint says is this.
799000	811000	There has to be a limit on how much aggregate consumption can differ from one year to the next.
811000	813000	Here's a dilemma.
813000	818000	Suppose we sit down and we calculate an efficient investment plan.
818000	824000	And because technical change is going to be very, very robust,
824000	835000	it turns out that the efficient investment plan means that consumption in early years is going to be much less the consumption in late years.
835000	842000	There was an example of a country that actually did do a very unfair investment plan.
842000	852000	Stalin's Soviet Union invested such a high percentage during the 1930s and the 1940s
852000	857000	that they literally starved many people in early generations.
857000	863000	Now, you can argue with hindsight that given World War II and Hitler's onslaught,
863000	868000	maybe it's a good thing for human civilization that they did that.
868000	874000	Because it was really the Soviet Union that broke the back of the Nazism.
874000	883000	And had they not been investing 35 percent of GDP during the 1930s,
883000	887000	it's unlikely that they would have managed to resist.
887000	892000	So you can look back and, but clearly there's a problem here.
892000	894000	There's a generational equity problem.
894000	901000	If you invest too much, it may be that when you look at efficiency,
901000	909000	that it would lead you to invest so much that it really is unfair to early generations.
909000	913000	Well, the early generations present, they should be able to take care of that.
913000	919000	And presumably the early generation in the Soviet Union wouldn't have voted to let Stalin do to them what he did.
919000	924000	But in any case, to protect themselves from that, all they have to do is say,
924000	932000	well, we don't accept the long-term plan where consumption this year,
932000	938000	where consumption next year is more than four percent higher than consumption this year.
938000	940000	I'm talking about aggregate consumption.
940000	942000	So they could protect themselves by doing that.
942000	946000	What we have proposed is a way that when they protect themselves,
946000	952000	they will also simultaneously protect future generations who are not present.
952000	957000	That same four percent is going to be used to say, oh,
957000	968000	but it also is unacceptable if present consumption is four percent higher than future consumption.
968000	974000	Why might that happen in an efficient plan when you're making up an efficient plan?
974000	983000	Well, suppose that the environment is deteriorating very rapidly.
983000	991000	That might mean that it's actually hard for future generations to live at the same level that earlier generations are.
991000	997000	Or suppose technological progress is just very low.
997000	1001000	So the generational equity constraint, the idea of it is to say,
1001000	1010000	when we design procedures to come up with the efficient plan, it still might be an unacceptable plan.
1010000	1012000	It might be unfair to future generations.
1012000	1015000	It might be unfair to present generation.
1015000	1020000	And we're going to eliminate that possibility before we even draw the plan up,
1020000	1024000	before anybody knows what the plan is going to look like.
1024000	1030000	We're going to basically say consumption in any two adjacent years cannot differ by more than four percent,
1030000	1033000	no matter in which direction.
1033000	1035000	So that's our proposal.
1035000	1039000	And I don't think anybody else has ever suggested something like this.
1039000	1042000	And as I said, this is unvetted.
1042000	1048000	But at least it's a serious attempt to take efficient long term,
1048000	1053000	to recognize one potential problem when you're doing efficient long term planning.
1053000	1064000	And that is it might inadvertently be unfair to either present generations compared to future generations or vice versa.
1064000	1067000	So that's that's the first thing.
1067000	1077000	Then the question reduces to what are the different terms in terms of benefits and the costs that you would take into account when you're doing different kinds of planning?
1077000	1087000	The only thing you have to take into account when you're doing investment planning for capital goods or investment goods is this consumption in every year.
1087000	1091000	And these capital goods contribute to consumption.
1091000	1101000	There are no particular other benefits that come from producing a machine or we can produce shoe making machines or we can produce shoes.
1101000	1108000	And the only benefits that come from from shoe making machines are just more shoes at a different time period.
1108000	1111000	That's not true for education.
1111000	1115000	And that's not true for the environment.
1115000	1124000	I mean, as a lifetime educator, I don't think the primary purpose of education is producing a more productive workforce.
1124000	1133000	I think it's the primary purpose of education is enabling people to enjoy life more fully.
1133000	1146000	And I also think a primary purpose of education is preparing everybody to participate democratically in every kind of decision making, including economic decision making.
1146000	1160000	So those are benefits from educate from investing in education that go that are above and beyond an additional that really are not benefits that from making more machines.
1160000	1173000	So the first thing you have to do is you have to sit down and figure out, well, what are all the benefits that come from more education and who would be best suited to estimating what those are likely to be?
1174000	1178000	And then you have to weigh that against the cost of investing in anything.
1178000	1185000	And the cost of investing in anything today is there's less consumption today.
1185000	1188000	So you can write up the efficiency conditions for education.
1188000	1194000	You can write up the efficiency conditions for what's the efficient amount to invest in machines.
1194000	1197000	And the same thing holds for the environment.
1197000	1212000	So in the case of the environment, you know, environmental economists spend a tremendous amount of time trying to estimate what they call the use value of environmental amenities to consumers.
1212000	1223000	So the environment plays a role in production when you think of the environment as being natural capital.
1223000	1228000	You need land to grow food on.
1228000	1230000	You need water.
1230000	1231000	You need oil.
1231000	1234000	The environment also is something we enjoy.
1234000	1237000	We go vacation in it.
1237000	1251000	So there's use value for national parks and you want, you know, and, and then another thing that environmental economists recognize is that there's something called existence value that people place.
1251000	1259000	For instance, I will never go to the ANWR National Preserve up in northern Alaska.
1259000	1261000	I will never go there.
1261000	1273000	That doesn't mean I do not put value on the fact that it exists and we're not going to open up those oil leases that would destroy that park.
1273000	1284000	So that's called sort of, so when you're trying to sort of evaluate environment and how much we should protect it, these are things that environmental economists take into account.
1284000	1286000	They should.
1286000	1303000	So roughly speaking, there's a consumption value to a protected or enhanced environment, as well as we're preserving it as a capital asset and not drawing it down so fast that we have nothing left later.
1303000	1321000	So all of these things have to be taken into account and you have to identify, well, who would be the best people to task with estimating what these somewhat unknowable benefits are going to be in the future?
1321000	1331000	And who are we going to task with estimating the cost of protecting the environment or the cost of producing the education in the future?
1331000	1344000	And so what we have done is we've sort of carefully gone through and tried to identify what consumer federations or producer federations would be best.
1344000	1364000	You have to look at two things. Who actually would have better knowledge about what these effects are going to be and who might have a tendency, who might have an incentive to either over or underestimate a particular effect.
1364000	1376000	So we've tried to do is carefully take those things into account and make tentative proposals about who would you put in charge of making these estimates?
1376000	1392000	And then the planning agency, you can have an environmental planning agency, an educational planning agency, you can just have some, you can have an investment planning agency sort of take those estimates and calculate what the efficient plan would be in each case.
1392000	1403000	Now we're not done. First thing we have to do is test that against the generational equity constraint.
1403000	1412000	Because that plan might violate the generational equity constraint, in which case it's got to be revised and modified.
1412000	1418000	Now you've done that. It either didn't violate or it's revised and modified.
1418000	1429000	What do you then have to do? Well, at that point, we think there needs to be a debate.
1429000	1438000	There needs to be a vote. Is that debate and vote something that's done through the national legislature and the political system?
1438000	1447000	So what we're talking about is approving a long run environmental plan, approving an education plan, approving an investment plan.
1447000	1458000	How do you do that at this point? It could be through legislature discussion debate.
