start	end	text
0	6000	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
6000	11000	Mein Name ist Jan Groß und ich freue mich sehr, heute Gabriel Kuhn begrüßen zu dürfen.
11000	18000	Er ist Autor und Herausgeber mehrerer Bücher zur Geschichte, Praxis und Theorie des Anarchismus.
18000	26000	Und die heutige Episode steht in einem sehr schönen Austauschverhältnis zu mehreren Episoden im Verlauf von Future Histories,
26000	33000	die sich der Frage alternativer Regierungskünste bzw. alternativer Governmentalität widmen.
33000	41000	Und da ist zuvorderst mal zu nennen die Episode 11 mit Frieda Vogelmann zu alternativen Regierungskünsten.
41000	49000	Aber eben heute geht es um Anarchismus, definitiv auch die Folge 12 mit Daniel Leuk zu Anarchismus.
49000	58000	Und vielleicht als drittes noch hinzugefügt Episode 8 der zweiten Staffel mit Thomas Bibericher zu neoliberaler Regierungskunst.
58000	66000	Das kann ich euch also alles sehr ans Herz legen als Rahmen zum heutigen Gespräch, aber definitiv nicht als Voraussetzung.
66000	72000	Bevor es jetzt losgeht, möchte ich mich noch ganz herzlich bei Fabian und Lukas für ihre Spenden bedanken
73000	81000	und wünsche euch viel Freude bei der heutigen Episode mit Gabriel Kuhn zu anarchistischer Regierungskunst.
86000	88000	Herzlich willkommen, Gabriel.
88000	90000	Ja, vielen Dank für die Einladung.
90000	99000	Ich freue mich sehr. Gabriel, wir werden heute einige Fäden weiter spinnen, die sich aus der fragenden Suchtbewegung dieses Podcasts hier ergeben haben.
99000	101000	Und ich freue mich schon sehr darauf, muss ich sagen.
101000	109000	Denn es schien mir jetzt in der Vorbereitung so, als hättest du zu vielen entscheidenden Fragen, also offenen Fragen auch, eindeutig spannend, das zu sagen.
109000	120000	Bevor wir das aber machen, bevor wir mit diesem Weiterspinnen der Gedanken beginnen, würde ich gerne als Einstieg auch an dich die Frage stellen, was ist Anarchismus?
120000	128000	Ja, das sind immer diese großen Fragen, auf denen man Standardantwort haben sollte, aber nachdem sie so kompliziert sind, hat man sie nicht.
128000	141000	Ich würde sagen, dass Anarchismus, vor allen Dingen mit dem Istmus hinten dran, eine politische Weltanschauung ist, die, würde ich jetzt auch historisch anknüpfen,
141000	154000	die eine Art Synthese zwischen Sozialismus und Liberalismus darstellt, was sich eben auch historisch so im 19. Jahrhundert nachziehen lässt.
154000	167000	Insofern, als dass die Freiheit der Einzelnen, also die Möglichkeit, sein Leben nach eigenen Wünschen und Vorstellungen frei zu entfalten, was sehr zentrales ist, gleichzeitig aber die Auffassung besteht,
167000	174000	dass das nur funktionieren kann, wenn in einer Gesellschaft, die aus sozialer Gerechtigkeit basiert.
