start	end	text
0	7400	Ich habe festgestellt, dass jetzt auch hier in deinem Podcast oft Bezug genommen wurde auf dieses Socialist Calculation Debate.
7400	16600	Das ist ja diese sehr spannende Diskussion der 20er Jahre, wo liberale und sozialistische Ökonomen hauptsächlich darüber diskutieren,
16600	22400	kann sowas wie Plan funktionieren oder ist der Markt nicht dem Plan notwendigerweise überlegen,
22400	27400	weil er, das ist doch das Hauptargument, Informationen besser transportieren kann.
27400	38000	Also in Form der Preise kann er die Information, welche Ware welche Arbeitszeit gekostet hat oder welche Ressourcen verbraucht hat, besser kommunizieren.
38000	43000	Und das ist eigentlich sehr lobenswert und interessant, dass die Linke dann darauf einlassen,
43000	49400	die Argumentation dieser liberalen Verteidigerin des Marktes ernst nehmen und versuchen, die zu entkräften.
49400	57200	Aber die Frage ist halt, ob Sie in diesem Versuch möglicherweise der Gefahr unterliegen,
57200	63800	zu viele Voraussetzungen des Gegenübers anzunehmen und auch dann zu reproduzieren.
63800	70000	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
70000	75400	Mein Name ist Jan Groß und heute gibt es eine ganz besondere Folge Future Histories zu hören.
75400	80800	Sie ist besonders, weil hiermit eine wirklich sehr schöne Tradition fortgeführt wird,
80800	86600	nämlich das jährliche Future Histories Live-Gespräch beim Zollo-Kollektiv in Hamburg.
86600	91400	Angefangen hat das 2021 mit Eva von Redeker zu Gast.
91400	97600	2022 durfte ich Katharina Hoppe begrüßen und dieses Jahr hatte ich die große Freude,
97600	103800	Ihr habt sie eben gehört, mit Bini Adamczak im abendlichen Sonnenschein vor Publikum
103800	107600	bei den Zollos eine Folge Future Histories aufzuzeichnen.
107600	114400	Was für eine Reihe! Ich bin auf ganz tiefer Ebene ganz unglaublich dankbar für all das.
114400	118800	Und ich muss sagen, es war auch mal wieder unglaublich vieles dabei,
118800	124400	was sich ganz zentral in die Fragen der Suchbewegung dieses Podcasts hier einweben lässt.
124400	128200	Man hat es in dem Ausschnitt eben schon gehört, Bini nimmt kein Ende,
128200	133200	auch Bezug auf die hier ja immer wieder besprochene Socialist Calculation Debate
133200	137600	und inwiefern ein Blick auf die Beziehungsweisen, die Fragestellungen verschiebt,
137600	141800	die es in Bezug auf diese Debatte zu diskutieren gilt.
141800	147200	Und ich kann gar nicht genug betonen, wie wichtig das für die aktuell geführte Debatte
147200	151800	rund um Fragen alternativen Wirtschaftens, demokratischer Planung und so weiter ist.
151800	156200	Es gilt definitiv, die Beziehungsweisen in den Blick zu nehmen.
156200	162000	Und das wird in dem Gespräch, das ihr mit Bini gleich hört, auch ausführlich getan.
162000	166600	Vielen, vielen Dank an die Zollos. Es ist wirklich immer ganz großartig bei euch.
