start	end	text
0	8000	Welcome to Future Histories, my name is Jan Groß and it is my great pleasure to welcome Nick Dyer-Whitherford in today's episode.
8000	16000	Nick is professor at the Faculty of Information and Media Studies at the University of Western Ontario, Canada.
16000	24000	His work as an author include Cyber Marks, Cycles and Circuits of Struggle in High Technology Capitalism from 1999,
24000	30000	or Cyber Proletariat, Global Labour and the Digital Vortex from 2015,
30000	41000	and together with Alte, Mikola Kjosen and James Steinhof, In Human Power, Artificial Intelligence and the Future of Capitalism from 2019.
41000	49000	He was also an early and very important contributor to the revived debate around democratic economic planning,
49000	57000	which features quite prominently in future histories as well, with his 2013 paper Red Plenty Platforms.
57000	66000	And I'm absolutely thrilled and honoured to welcome Nick in today's episode, in which we will talk about his most recent work,
66000	72000	a paper on biocommunism titled Biocommie, Power and Catastrophe.
73000	78000	When recording the interview, I was a bit sick and you might hear it from time to time.
78000	84000	In my voice, I hope it didn't interfere too much with the coherence of my questions, though.
84000	93000	I pre-produced this episode for the summer, which means I'm not able to thank the most recent Patreon supporters and or donors by name.
93000	100000	And so I will take this as a chance to thank you all. Thank you for your interest in future histories.
100000	110000	Doing this is such a joy for me and being able to talk to wonderful people and thinkers like Nick every two weeks is simply such a pleasure
110000	118000	and an important part of my life that I wanted to take the chance to thank you all and, of course, thank all of my guests.
118000	124000	So now, please enjoy today's episode with Nick Dyer-Witherford on biocommunism.
124000	131000	Welcome, Nick.
131000	140000	Thanks for inviting me to the show, Jan. Future histories has been a great source of inspiration for me, sometimes in quite bleak times.
140000	144000	So it's a real pleasure to be on the show today.
144000	147000	Well, it's an absolute pleasure to have you, Nick. Thank you very much.
147000	155000	In your most recent work, you developed the concept of biocommunism, building on a term you introduced around a decade ago.
155000	160000	However, the way you use the term now is different from the way you used it back then.
160000	168000	Before we dive deeper into the different elements of what you propose as biocommunism today, how did you define biocommunism back then?
168000	174000	How do you define it now? And what made you rethink the way in which you define the concept?
174000	189000	Biocommunism is a term that, as far as I know, I was the first to use in a series of essays written in about the mid-2000s on Marx's concept of species being, Guttungswesen,
189000	208000	and about how it might be renovated and applied for the 21st century in the midst of capitalism's deployment of digital technologies, genetic transformations, and the like.
208000	214000	Now, those early papers on this topic, I think, can be characterized as optimistic.
214000	228000	They were informed by a sort of lingering, ultra-globalist sense that another world is possible by Hart and Negri's use of the term biopolitics in empire.
228000	242000	And they're suffused with an ethos of what would later be called accelerationism, the same sort of concepts and attitudes that generated works like Sermichek and Williams,
242000	249000	inventing the future, and Helen Hester's Xenotheminism, and Aaron Bustani's fully automated luxury communism.
249000	270000	So the thought ambiance was that there was a sort of technological momentum to capitalism in these digital and genetic technologies and new forms of energy production that would favor the creation of a post-capitalist communal society.
270000	280000	So then a few things happened, such as the 2008 financial crash, the rise and fall of Occupy, the ascent of the far right.
280000	290000	And amidst all this, I forgot about biocommunism until a couple of years ago, I was contacted out of the blue by a young scholar, a graduate student in Denmark,
290000	298000	who'd encountered another version of biocommunism independently developed in the work of the Polish philosopher Simon Robel.
298000	308000	And Philip asked me what, if anything, I was doing with the idea, and my answer was not much right now.
308000	318000	But his question remained with me like an earworm of what could biocommunism mean now in the 2020s?
318000	333000	So, of course, if one looks around in this context, some pretty disturbing things have been happening in regard to human species being a worldwide pandemic in full swing,
333000	342000	a huge economic slump with globally immiserating consequences, a European war between opposing nuclear armed blocs,
342000	355000	and then the increasingly desperate reports of the Intergovernmental Panel on Climate Change, whose warnings about the planetary biosphere are being given a concrete illustration
356000	367000	by daily disaster reports of fire, floods, heat waves, et cetera, across the entire planet.
367000	373000	It's a dire and calamitous scene.
373000	395000	And so my return to biocommunism really is an attempt to find a politics adequate to contemporary species being, but set against this far more somber horizon.
395000	407000	Now, I know we're going to go into some detail into the different components of this iteration of biocommunism,
407000	416000	but perhaps it might be useful just to quickly give your listeners a thumbnail of what I'm pointing at with this term.
416000	429000	I am attempting to hypothesize a new mode of beyond capitalism, collective social reproduction,
429000	438000	which I term biocommunism, and I conceive of as a process of combined social and environmental leveling,
438000	449000	creating a social system that steers itself between double boundaries of ecological sustainability and equalized social development
449000	454000	and does so through processes of collective and democratic social planning.
454000	465000	So this is, biocommunism is a program that fuses the goals of contemporary movements fighting against ecocide and inequality.
465000	474000	It is what one might term a project of ecological equality, equalizing and ecological power.
474000	485000	I attempt to propose a system in which the state form persists as a major hub for marshalling and administration of vital resources
485000	499000	and is hence crucial for the left to occupy, but in which the state is also only one point amidst a wider networks of communal self-organization and mutual aid.
499000	510000	So these two components, what one might term the state apparatus and autonomous or communizing organizations, are in dialogue, cooperation,
510000	523000	and perhaps also creative tension, and it is this entire complex field of organizations that constitutes the governmentality of biocommunism.
524000	538000	In this way, I want to suggest a form of governance that becomes what Marx and Engels termed a process of vast association, a phrase from the manifesto.
538000	548000	Now, I'll acknowledge right from the start that there are some serious limitations to my futuristic depiction.
548000	563000	I jump immediately to issues of governance, and I say very little, if anything, about the actual process of transition and the struggles that might lead to it.
563000	573000	My horizons are inescapably, I think, somewhat bound by my position as an inhabitant of the global Northwest.
