start	end	text
0	5200	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von
5200	11040	Zukunft. Mein Name ist Jan Groß und ich freue mich sehr, heute Heide Luthos begrüßen zu dürfen.
11040	17220	Sie ist Autorin, Sachbuchübersetzerin und Lektorin und von Heide gibt es einen großartigen
17220	22680	Aufsatz, der sich aus der Perspektive eines feministischen Utopisierens mit Beiträgen der
22680	28320	neueren Planungsdebatte auseinandersetzt. Um diesen Aufsatz wird es heute auch gehen. Er trägt den
28320	35000	Titel, wenn das Baby schreit, dann möchte man doch hingehen und es freut mich sehr ankündigen
35000	39720	zu können, dass das nicht alles ist, was ihr von Heide bei Future Histories zu hören bekommen
39720	44960	werdet, denn ich war ja vor kurzem auf der Vergesellschaftungskonferenz, die by the way
44960	51200	wirklich großartig war und dort habe ich zum einen mehrere Episoden Future Histories aufgenommen,
51200	55680	aber ich hatte auch die große Freude, einen Panel moderieren zu dürfen mit dem Titel
55680	61680	Vergesellschaftung und was dann Einblicke in eine neue Debatte um Möglichkeiten demokratischer
61680	67960	Planung und auf diesem Panel, da waren zu Gast Stefan Mehretz, Christoph Sorg und eben auch Heide
67960	73400	und das war insofern natürlich auch besonders spannend, weil Heide sich, ihr werdet es jetzt
73400	79880	gleich hören, in ihrem Text auch durchaus kritisch mit dem von Stefan Mehretz und Simon Sutter-Lüthi
79880	85560	entwickelten Kommunismus auseinandersetzt, das heißt es gab im Panel auch einiges zu diskutieren,
86160	91280	und dieses Panel, das wurde auch aufgezeichnet, also ich habe es aufgezeichnet und ihr werdet es
91280	96720	definitiv auch via Future Histories zu hören bekommen, wann genau, das kann ich jetzt noch
96720	102360	nicht wirklich sagen, denn die Episoden stauen sich ein bisschen und insofern wird es wahrscheinlich
102360	109160	noch ein bisschen dauern, ihr könnt euch also noch auf Folgen mit Cara Rhöner, mit Raoul Seeg und
109160	114840	eine zweite Episode Future Histories mit Daniel Leuk freuen und eine vierte Episode, die auch
114840	120360	im Zusammenhang mit der Vergesellschaftungskonferenz steht, ist noch in Planung, da hatte ich euch auf dem
120360	125240	laufenden. Wie gesagt, wann die Folgen genau released werden, das wird sich noch zeigen.
125240	131760	Bevor es jetzt losgeht, möchte ich noch Karl und Carmen für ihre Spenden danken und wünsche euch
131760	137040	jetzt viel Freude mit der heutigen Episode Future Histories mit Heide Luthosch.
137040	147200	Herzlich willkommen, Heide. Ja, hallo Jan, ich freue mich sehr über die Einladung. Ich freue mich
147200	153000	auch. Heide, zunächst einmal vielen Dank für deinen wirklich ausgezeichneten Text zu feministischem
153000	158600	Utopisieren im Rahmen der Planungsdebatte. Dieser Beitrag, der war wirklich dringend nötig, kann
158600	163560	man sagen. Vielleicht steigen wir einfach ganz klassisch mit der Frage ein, was dich denn dazu
163680	167480	veranlasst hat, diesen Text zu schreiben. Du startest da ja am Anfang mit so einer Polemik,
167480	173640	die schon so eine gewisse Richtung vorgibt. Ja, der Anlass für mich, diesen Text zu schreiben,
173640	179440	war so eine typische Lesekreissituation, die vielleicht die eine oder andere auch aus
179440	184600	eigener Anschauung kennt. Man diskutiert einen Text so in einer Gruppe von fünf bis zehn Leuten,
184600	190760	die einem politisch nahestehen und jemand sagt was und dann stutzt man selber und fragt nach und
190760	195080	dann formuliert man noch mehr so aus dem Gefühl raus ein Einwand und findet sich dann plötzlich
195080	201800	allein auf weiter Flur. Niemand stimmt einem zu und man ist überrascht dann darüber und verunsichert
201800	206440	und wird dadurch auch nicht gerade brillanter in seiner eigenen Argumentation und geht dann so ein
206440	212320	bisschen frustriert und einsam und vor allem total unzufrieden mit sich selbst aus dieser Diskussion
212320	217360	raus. Und manchmal merkt man dann am nächsten Tag, ach, das war irgendwie Quatsch, was ich da
217360	222080	erzählt habe, da habe ich mich verrannt, aber manchmal klappt das irgendwie auch nicht. Und
222080	226560	das war so ein Fall. Also ich habe da wochenlang drauf rumgekaut und nochmal mit Leuten darüber
226560	232240	geredet und dann irgendwann begriffen, ja, dass dieses drauf rumkauen vielleicht jetzt nicht
232240	236240	unbedingt ein Indiz dafür war, dass ich mit meiner Position Recht hatte, hatte ich nur zum Teil,
236240	241600	würde ich im Nachhinein sagen, aber vielleicht zumindest dafür, dass es hier offenbar um was
241600	247880	Wichtiges und Substantielles ging. Also nicht um so ein typisches Missverständnis oder um so eine
247880	252760	leicht unterschiedliche Bewertung von einer Frage, über die im Großen und Ganzen doch Konsens herrscht
252760	259480	oder so. Und das war der Anlass zu versuchen, das Problem einfach mal in seiner ganzen Komplexität
259480	266120	aufzuschreiben. Um es jetzt konkret zu machen, der Text, den wir gelesen haben, war so eine Art
266120	272120	Skizze eines alternativen Gesellschaftsentwurfs, Umrisse der Weltkommune heißt der. Und es ging in
272120	276680	der Diskussion um die Frage, ob in einer bedürfnisorientierten, herrschaftsfreien
276680	283720	Gesellschaft Arbeit freiwillig sein müsste, was ja, wenn man über alternative Gesellschaftsentwürfe
283720	290480	diskutiert, eine der drei, vier wirklich zentralen Fragen ist. Und in dieser Runde herrschte weitgehende
290480	297640	Einigkeit über eine wirklich auch sehr ernstzunehmende Position, die von einem meiner
297640	304520	Mitdiskutanten dann sehr zugespitzt auf den Punkt gebracht wurde. Also er sagte damals ungefähr,
304520	311800	in einer befreiten Gesellschaft muss jegliche Form der Unfreiwilligkeit verschwunden sein. Und
311800	317000	dann kam dieser Satz, der mich so irritiert und umgetrieben hat, drunter mache ich es nicht mit
317000	321560	der Revolution, weil ich nämlich eigentlich gerade ganz zufrieden bin mit meinem Leben. Sollte
321560	327000	heißen, für ihn persönlich gab es eigentlich gar nichts anderes zu gewinnen als diese radikale
327000	333680	Form der Freiwilligkeit. Und wenn ich jetzt daherkomme und dieses anti-autoritäre Ideal aus einer
333680	339400	ganz bestimmten Perspektive mit so einem ganz vorsichtigen Fragezeichen versehe, also seinen
339400	345000	Vorwurf, dann zeige ich damit nur, wie stark ich gedanklich in den jetzigen gesellschaftlichen
345040	350280	Verhältnissen sozusagen festhänge und wie schwer es mir fällt, mir eine Gesellschaft ohne Konkurrenz
350280	358240	und Druck und existenzielle Erpressung auch nur vorzustellen. Und im Laufe der Wochen habe ich
358240	365280	gemerkt, dass es mir einfach anders geht, dass ich zu dieser Art von Zufriedenheit, vielleicht auch
365280	370720	Selbstzufriedenheit überhaupt keinen Zugang habe und dass ich auf jeden Fall mehr zu gewinnen hätte
370720	377480	als diese Form der radikalen Autonomie. Und mir ist klar geworden, dass diese gegensätzliche
377480	383320	Einschätzung, was die eigene Situation und daraus resultierend auch die eigene Interessenslage in
383320	388560	Bezug auf eine andere Gesellschaft angeht, doch sehr viel, mal ganz platt gesagt, mit dem
388560	392680	Geschlechterverhältnis zu tun hat. Sicherlich nicht nur mit dem Geschlechterverhältnis, aber
392680	398080	auch. Also damit, dass ich als Frau in dieser Gesellschaft andere Erfahrungen gemacht habe als
398080	405120	mein männliches Gegenüber, zum Teil auch einfach zusätzliche Erfahrungen. Ich will jetzt natürlich
405120	409400	nicht die universelle Vernunft in Frage stellen oder die Möglichkeit und auch nicht die Notwendigkeit,
409400	415320	sich rational über unterschiedliche Erfahrungen zu verständigen. Aber es macht offenbar auch beim
415320	420440	Nachdenken über alternative Gesellschaftsentwürfe einen Unterschied, ob man in seinem Alltag zum
420440	426000	Beispiel mit Kindern und Alten oder Kranken zu tun hat, wie man wohnt, wie viel Geld man verdient,
426000	433120	wie gesund man ist, wie sehr man von Gewalt oder Diskriminierung betroffen ist. Also die Tatsache,
433120	439880	dass diese so wahnsinnig zu begrüßenden, sehr mutigen und sehr gewissenhaft ja zum Teil auch
439880	444680	schon ausgearbeiteten Gesellschaftsentwürfe, die wir damals im Lesekreis gelesen haben,
444680	451360	zumindest meinem Eindruck nach hauptsächlich von weißen, westlichen, akademischen, kerngesunden,
451360	455920	cis-männlichen Mitpreissigern geschrieben und diskutiert werden, diskreditiert diese
455920	461880	Würfe natürlich nicht im geringsten, hat aber tatsächlich inhaltliche Auswirkungen auf sie. Und
461880	465680	zwar nicht nur in dem Sinne, dass da so ein, zwei Perspektiven fehlen und ach, man müsste ja noch
465680	470240	mal darüber nachdenken, wie man das mit der Kehrarbeit dann alles organisiert, sondern es
470240	477560	gibt offenbar zentrale Punkte wie zum Beispiel Arbeit, Freiwilligkeit, Bedürfnis, die man aus
477560	483560	einer feministischen Perspektive wirklich radikal anders angehen müsste. Also um auf deine Frage
483560	489880	zurückzukommen, der Anlass zum Schreiben dieses Textes war so eine Art verunsicherte Stutzen in
489880	495960	einer ganz bestimmten linken Debatte, dass sich dann letztendlich zu so einem handfesten feministischen
495960	502040	Unbehagen ausgewachsen hat. Und diese ganz bestimmte linke Debatte, die ist ja eine,
502040	507120	die hier in Future Histories durchaus viel diskutiert wird, auch insofern finde ich das
507120	512040	so großartig, dass wir jetzt eben aus dieser Perspektive uns dem auch zuwenden. Und vielleicht
512040	516880	noch als Anmerkung, du hast jetzt dann in einem Text, den du eben dazu verfasst hast, dann diese
516880	522640	Aussage deines Bekannten eben aufgenommen und hast das quasi umgeformt zu der Aussage für einen
522640	527320	alternativen Gesellschaftsentwurf, der nicht durch und durch feministisch ist, mache ich kein
527320	532920	Fingerkrumm. Das ist sozusagen ja dann die Zielgrade, auf die das richtigerweise dann bei dir
532920	540920	auch hinausläuft. Und jetzt gehst du da so vor, dass du dich eigentlich auch von bestimmten im
540920	547760	Raum stehenden Vorschlägen, Entwürfen im Grunde ein bisschen abstößt, um eben auch zu überlegen,
547760	553280	wie wiederum dann ein feministisches Utopisieren aussehen könnte. Und vielleicht für die
553280	559240	Zuhörerinnen und Zuhörer, die diese Entwürfe nicht kennen, das sind konkret der von Daniel
559240	565120	Isauros entwaffene Digital Socialism und der von Simon Sutter-Lütty und Stefan Meretz entwickelte
565120	570280	Kommunismus. Vielleicht für die Zuhörerinnen und Zuhörer, die diese Entwürfe nicht kennen,
570280	574040	könntest du so einen kurzen Überblick geben, worum es sich denn da handelt.
574040	581440	Ja, also es geht in beiden Entwürfen um das Modell einer dauerhaft funktionierenden und an
581440	587120	den Bedürfnissen aller orientierten herrschaftsfreien Gesellschaft, dass eine solche Gesellschaft nur
587120	590760	denkbar ist, wenn es auf Dauer kein Privateigentum an Produktionsmitteln mehr gibt,
590760	599160	ist in beiden Entwürfen erst mal vorausgesetzt. Die ökonomischen und die ja letztlich demokratietheoretischen
599160	602640	Fragen, die sich daraus ergeben werden, von Sauros und den Commons-Leuten dann aber ganz,
602640	607880	ganz unterschiedlich beantwortet. Ich versuch's jetzt, ich weiß nicht, ob ich das kurz hinkriege,
607880	614280	aber ich versuch's mal. Ich fang mit dem digitalen Sozialismus von Daniel Isauros an. Also Sauros
614360	619320	geht das Problem von der Seite der Vermittlung von Bedürfnissen und Arbeitsprodukten an. Also
619320	627520	er stellt sich erst mal die sehr ökonomische Frage, wie diese Vermittlung ohne Markt,
627520	633240	also ohne Angebot und Nachfrage, ohne Konkurrenz und Preise funktionieren kann. In kapitalistischen
633240	636920	Gesellschaften sind das ja die Elemente, die tatsächlich, wenn auch nicht so harmonisch
636920	643320	wie die wirtschaftsliberale Ideologie behauptet, als Vermittlungsinstanzen fungieren. Wenn man
643480	649880	von dem nicht unwichtigen Umstand absieht, dass hier nur zahlungskräftige Bedürfnisse überhaupt
649880	656360	berücksichtigt werden. Also wie macht man das ohne Markt letztendlich, diese Vermittlung? Er
656360	661160	fängt dann mit der Seite der Arbeit an. In seinem Entwurf bilden die Arbeiterinnen eines Betriebs
661160	667680	einen sogenannten Arbeiterinnenrat. Sie organisieren und koordinieren ihre Arbeit selbst und die von
667720	674000	ihnen produzierten Gebrauchswerte posten sie in einer Art digitalen Gesamtkatalog, den man sich
