start	end	text
0	5640	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5640	11760	Mein Name ist Jan Groß und ich freue mich sehr, heute Jürgen Goethe alias Tante begrüßen zu dürfen.
11760	20160	Er ist unabhängiger Theoretiker und schreibt, denkt und spricht viel zur Digitalisierung und den sozialen Folgen von Technologie.
20160	24680	Das alles passt natürlich ganz ausgezeichnet in Future Histories.
24840	32440	Und wundert euch nicht, wir sprechen zwar in der Episode heute unter anderem auch einmal kurz über Sam Bankman Freed,
32440	42600	den Gründer der einstmals größten Crypto-Trading-Plattform FTX, der ja zurzeit in aller Munde ist, weil FTX gecrashed ist.
42600	50320	Das Ganze ist ziemlich hilarious, muss man sagen, angesichts dessen, dass Sam Bankman Freed eben zum Beispiel,
50320	60960	wie wir heute in der Episode auch besprechen, einer der größten Spender aus der Krypto-Szene war, was den US-amerikanischen Politapparat betrifft.
60960	68760	Insofern kommt das Thema zwar heute vor, also eben zum Beispiel in Form des Lobbying durch die Krypto-Szene,
68760	77320	aber der Zusammenbruch von FTX war noch nicht passiert, weswegen das natürlich jetzt in dem heutigen Gespräch auch noch nicht thematisiert wurde.
77360	82920	Ich werde aber in die Show Notes auch einen Link machen zu einem Artikel über diesen Zusammenbruch,
82920	87160	falls ihr wie auch immer bisher noch nicht davon gehört haben solltet.
87160	92360	Und bevor es jetzt losgeht, möchte ich noch Carmen und Fabian für ihre Spenden danken.
92360	101560	Und jetzt viel Freude mit der heutigen Episode mit Tante zu Crypto-Imagineries und alternativen technologischen Infrastrukturen.
107320	109200	Herzlich willkommen, Tante.
109200	111000	Ja, danke für die Einladung.
111000	118960	In der About-Section deiner Homepage steht, dass du viel zu Digitalisierung und der Struktur des digitalen Selbst schreibst und sprichst.
118960	121120	Das hat mich ziemlich neugierig gemacht, muss ich sagen.
121120	126400	Was ist denn die Struktur des digitalen Selbst und wie definierst du Digitalisierung?
126400	131520	Diese Selbstbeschreibungstexte auf Websites und so weiter sind ja immer so ein bisschen mit Vorsicht zu genießen.
131520	136320	Man schreibt da immer so irgendwas hin, damit Leute ein Gefühl dafür haben, was man so tut.
136320	144320	Von daher ist es natürlich nicht immer perfekt, sondern es ist eher so ein Marketing-Sprechen.
144320	146920	Für mich ist Digitalisierung, also ich fange mal mit dem zweiten Teil an.
