start	end	text
0	6000	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
6000	11000	Mein Name ist Jan Groß und ich freue mich sehr, heute Cara Röner begrüßen zu dürfen.
11000	18000	Sie ist Professorin für Soziales Recht als Gegenstand der sozialen Arbeit an der Hochschule Rhein-Main
18000	23000	und arbeitet unter anderem zur Frage der Vergesellschaftung aus der Perspektive des Rechts.
23000	28000	Dieses Gespräch, das wurde während der Vergesellschaftungskonferenz aufgezeichnet,
28000	34000	die im vergangenen Oktober, also Oktober 2022 in Berlin stattgefunden hat.
34000	40000	Und Future Histories war ja offizieller Medienpartner der Vergesellschaftungskonferenz,
40000	42000	was mich wirklich sehr gefreut hat.
42000	46000	Und ich habe vor Ort insgesamt vier Episoden Future Histories aufgezeichnet.
46000	49000	Das Gespräch mit Cara, das ihr heute hört.
49000	54000	Eine Episode mit Raoul Selig, eine weitere mit Daniel Leuk,
54000	57000	den ich ja schon einmal in Future Histories begrüßen durfte.
57000	62000	Und als vierte Episode aus der kurzen Reihe zur Vergesellschaftungskonferenz
62000	65000	gibt es dann das Panel Vergesellschaftung
65000	70000	und was dann Einblicke in eine neue Debatte um Möglichkeiten demokratischer Planung
70000	74000	mit Heide Luthosch, Christoph Sorg, Stefan Meeritz und mir.
75000	79000	Und ich habe die genaue Abfolge noch nicht so richtig festgelegt,
79000	84000	aber die Episoden werden auf jeden Fall über die kommenden Monate hinweg lose verteilt,
84000	86000	nach und nach ausgespielt.
86000	90000	Es war mir wirklich eine große Freude, Teil dieser Konferenz sein zu dürfen.
90000	95000	Danke an alle, die mitgewirkt und diese Veranstaltung möglich gemacht haben.
95000	97000	Es war wirklich toll.
97000	102000	Die Konferenz ist ja aufgrund des breiten Interesses viel größer geworden als ursprünglich erwartet.
102000	105000	Und ich finde, das unterstreicht auch noch einmal,
105000	108000	wie wichtig es ist, diese Frage zu behandeln
108000	111000	und auch in eine breitere Öffentlichkeit zu tragen.
111000	114000	Deutsche Wohnen und Co. Enteignen, die haben es ja vorgemacht,
114000	118000	wie man das erfolgreich in Bezug auf das Wohnen angehen kann.
118000	123000	Und die Vergesellschaftungskonferenz, die war ein wichtiger Schritt in der Auseinandersetzung
123000	127000	mit der Frage, wie man eben diese Kämpfe rund ums Eigentum
127000	133000	mit der damit verbundenen Paradigmen auch in andere gesellschaftliche Bereiche hineintragen kann
133000	135000	und sie dort erneut stellen.
135000	138000	Und das muss man tun, finde ich.
138000	143000	Vielen, vielen Dank an Communia, die ja den Anstoß für diese Konferenz gegeben haben
143000	146000	und sich wirklich auch abgerackert haben, sie Wirklichkeit werden zu lassen.
146000	149000	Das war wirklich ganz großartig, was ihr da gemacht habt.
149000	154000	And they are just getting started, möchte ich da an dieser Stelle auch noch sagen.
154000	157000	Ich freue mich wirklich sehr auf alles, was da kommt.
157000	159000	Und wenn ich jetzt hier schon beim Danken bin,
159000	166000	dann möchte ich auch noch Wilfried, Fabian, Karl, Benedikt und Marie für ihre Spenden danken
166000	171000	und möchte Amonis Ray ganz herzlich als Patreon von Future Histories begrüßen.
171000	173000	Vielen Dank euch allen auch.
173000	177000	Und jetzt viel Freude mit der heutigen Episode Future Histories
177000	182000	mit Cara Röner zu Gemeinwirtschaft und der Solidarität im Recht.
184000	189000	Herzlich willkommen, Cara.
