start	end	text
0	4720	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung
4720	9760	von Zukunft. Mein Name ist Jan Groß und ich freue mich riesig, dass ich in der heutigen
9760	16040	Episode erneut Eva von Redecker als Gast bei Future Histories begrüßen durfte. Ich hatte
16040	22600	2020 ja schon einmal die große Freude, eine Folge mit Eva aufzeichnen zu können. Und damals,
22600	27600	da haben wir über Evas letztes Buch gesprochen, Revolution für das Leben, das zu diesem Zeitpunkt
27880	32480	noch gar nicht wirklich erschienen war. Und es freut und ehrt mich auch wirklich sehr,
32480	38240	dass sich diese kleine Tradition nun fortsetzt. Denn im Gespräch, das ihr gleich hören werdet,
38240	42960	da sprechen wir über Evas kommendes Buch, zu Bleibefreiheit, das zum Zeitpunkt der
42960	48320	Aufnahme noch immer entstehen ist. Die heutige Folge ist als Future Histories Live Episode
48320	52800	entstanden, also vor Publikum aufgezeichnet worden. Und zwar im Rahmen einer Veranstaltung
53280	59720	der Hochschulgruppe Rethinking Economics Kiel. 1000 Dank an euch alle und ganz besonders auch
59720	65880	an Sarah und Johannes, die für die konkrete Orga zuständig waren und an alle Studierenden
65880	70080	und auch Interessierten in Kiel gerichtet. In den Show Notes da findet ihr einen Link zur
70080	75760	Hochschulgruppe. Schaut's euch an, vielleicht ist das ja auch was für euch. Bevor es jetzt losgeht,
75760	82360	da möchte ich noch Wilfried, Carmen, Karl und Fabian für ihre Spenden danken und euch alle
82360	87680	bitten, wenn euch Future Histories gefällt, dann erzählt doch bitte Freunden und Freundinnen davon,
87680	92520	von denen ihr glaubt, dass auch ihnen Future Histories vielleicht gefallen könnte. Das
92520	99040	hilft ungemein und ich danke euch dafür. Und jetzt viel Freude mit der heutigen Episode mit Eva von
99040	111720	Redeker zu Bleibefreiheit und demokratischer Planung. Herzlich willkommen Eva. Danke Jan,
111880	116400	danke für die Einladung. Es ist richtig toll hier zum zweiten Mal zu sein und ich benutze
116400	122400	Future Histories eh immer so ein bisschen als Feigenblatt, weil als Philosophin man ja oft in
122400	126800	sehr abstrakten Gefilden unterwegs ist mit seinem Nachdenken und wenn die Leute dann ganz nervös
126800	130200	werden und sagen, ja aber wie sieht denn das dann aus in der Praxis und wie soll man das dann alles
130200	134760	organisieren mit der Wirtschaft, dann sag ich immer, hört mal Future Histories und dann kommt wieder,
134760	140280	dann können wir weiter reden. Wunderbar, das freut mich wirklich sehr. Also ich versuche ein wenig diese
140280	145440	Praxis auch auszuloten und wie das denn aussehen könnte. Eine alternative Zukunft, wenn man so will.
145440	151160	Insofern freut es mich auch sehr, dass du das weiterhin eigentlich auf eine Art auch tust,
151160	156200	scheint mir jedenfalls. Unter anderem auch in Bezug auf die Frage der Freiheit. Dein neues
156200	161400	Buch, das trägt den Titel Bleibefreiheit. Vielleicht magst du uns zunächst mal ein wenig
161400	167080	die Grundgedanken erklären hinter dieser Neudeutung des Freiheitsbegriffs. Was verstehst du unter
167080	176560	Bleibefreiheit? Also unter Bleibefreiheit verstehe ich, dass man einen Ort hat, an dem man bleiben und
176560	184320	frei bleiben kann und das ist erstmal irgendwie eine ganz paradoxe komische Wortschöpfung,
184320	192280	weil bleiben erstmal gar keine Assoziation mit Freiheit weckt. Also unser gängiges
192280	196280	Freiheitsverständnis ist ganz stark mit der Bewegungsfreiheit, also wenn nicht sogar ganz
196280	203800	konkret mit der Reisefreiheit verbunden. Und bleiben ist ja auf der räumlichen Achse genau
203800	209960	der Nullpunkt der Freiheit. Also da geht man halt nirgendwo hin. Klingt auch irgendwie so ganz lahm
209960	219640	und sesshaft und so. Und trotzdem scheint mir, dass die Freiheit irgendwo zu bleiben und frei
219640	227640	zu bleiben eigentlich anspruchsvoller und auch, also voraussetzungsreicher, aber eben auch bedrohter
227640	235600	ist in dem Moment des Übergangs zum Anthropozän auf einem schrumpfenden, schwindenden Planeten,
235600	243080	weil einem ja die Freiheit wegzukönnen gar nichts mehr nützt, wenn immer weniger Orte wirklich
243080	248800	bewohnbar sind oder man nach dem Ankommen auch nicht bleiben kann. Und deshalb scheint mir,
