start	end	text
0	5280	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von
5280	11320	Zukunft. Mein Name ist Jan Groß und ich freue mich sehr, heute Jenny Stupka begrüßen zu dürfen.
11320	17280	Sie ist Sprecherin der Initiative Deutsche Wohnen und Co. enteignen und wird uns heute über den
17280	22560	Stand der Dinge im Kampf um die Vergesellschaftung von Wohnungsbestand in Berlin auf dem Laufenden
22560	29040	halten. Es gibt da ganz großartige neue Entwicklungen, die überaus spannend sind. Bevor es jetzt losgeht,
29200	34800	da möchte ich noch Benedikt als Patron von Future Histories begrüßen und Karl und
34800	42600	Sascha für ihre Spenden danken. Und ich möchte euch darauf hinweisen, dass es bis Ende Oktober 2023,
42600	49320	also gerechnet vom Release-Datum dieser Folge hier noch gute zwei Wochen, eine Crowdfunding-Kampagne
49320	54000	von Deutsche Wohnen und Co. enteignen gibt, die ihr bitte unbedingt unterstützen sollt,
54000	59280	wenn es euch denn möglich ist. Wir werden da im heutigen Gespräch, also Jenny und ich werden im
59280	63560	heutigen Gespräch dann natürlich auch noch darauf eingehen, worum es da genau geht und so. Bitte
63560	69320	schaut doch in die Show Notes und folgt dem Link zu dieser Crowdfunding-Kampagne. Es soll ein
69320	75680	Gesetzesentwurf entstehen für die Vergesellschaftung von über 240.000 Wohnungen in Berlin, um
75680	81880	Leistbares und auch Schönes Wohnen möglich zu machen. Ihr findet alle Infos dazu, wie gesagt,
81880	87440	in den Show Notes. Und jetzt viel Freude mit der heutigen Episode mit Jenny Stupka.
87440	98240	Herzlich willkommen, Jenny. Ja, hallo, ich freue mich auch sehr. Ich freue mich riesig. Jenny,
98240	103360	wir sprechen ja heute nicht zuletzt miteinander, weil es eine sehr spannende Neuigkeit aus der
103360	110520	Initiative gibt. Ihr werdet einen Gesetzesentwurf zur Vergesellschaftung von ca. 240.000 Wohnungen
110520	115320	in Berlin schreiben, der, wenn er denn von den Berlinerinnen dann auch angenommen wird,
115320	121040	auch für die Politik bindend sein wird. Das ist sehr wichtig. Und wir wollen natürlich alles über
121040	126000	diesen Gesetzesentwurf erfahren. Aber vielleicht kannst du zuvor für all jene, die sich eben mit
126000	130040	dem Verlauf der Dinge noch nicht so wirklich auskennen, einen kurzen Überblick geben über
130040	135040	die wichtigsten Wegpunkte, die es da gab, die zu diesem Schritt hier jetzt geführt haben. Ja,
135040	139360	das ist immer ein bisschen die Herausforderung, finde ich, weil es gibt so viele Leute, die uns
139360	143760	schon so treu begleitet haben, gedanklich. Und dann gibt es natürlich noch welche,
