start	end	text
0	5760	Welcome to Future Histories, my name is Jan Gross and it is my great pleasure to welcome
5760	8160	Sören Mao in today's episode.
8160	14720	Sören is a communist philosopher and author of the brilliant book Mute Compulsion, a Marxist
14720	20440	Theory of the Economic Power of Capital, which I enjoyed reading a lot.
20440	25960	And by the way, it's also available in German under the title Stummerzwang, eine Marxistische
25960	32280	Analyse der ökonomischen Macht im Kapitalismus, published by the great Karl Dietz Verlag.
32280	34440	So go and get it.
34440	40860	More recently, an essay by Sören titled Communism as Freedom has been translated from Danish
40860	46280	in multiple languages actually, so it's available in English as well.
46280	51040	Both of these works, the book as well as the essay, are relevant for the conversation you're
51040	52600	about to hear.
52600	58480	Before we start, I'd like to thank Lukas, Fabian and Wilfried for their kind donations
58480	64200	and welcome Markus, Daniel and Jakob as patrons of Future Histories.
64200	65800	Thank you so much.
65800	68520	And then some quick social media news.
68520	75720	You can now follow Future Histories on Blue Sky as well, so go and follow, I guess.
75720	80840	And since I never mentioned it before on the podcast on air, there's also a Future Histories
80840	82880	newsletter you can subscribe to.
82880	85240	So you might do that as well.
85240	96680	But now please enjoy today's episode with Sören Mao on planning and freedom.
96680	98300	Welcome Sören.
98300	99300	Thank you.
99300	100680	And thank you so much for inviting me.
100680	106600	Sören, I'm absolutely convinced that freedom and security are two crucial pillars that
106600	111820	must be positively occupied when constructing alternative political imaginaries.
111820	116960	So I was extremely happy to see you make such a strong and very clear-minded case for
116960	120280	why communism is freedom.
120280	125160	Could you explain to us why communism is freedom and why security is part of the package as
125160	126160	well?
126160	132440	Well, I think that for me, freedom is kind of like the guiding principle for thinking
132520	136720	about how to organize a communist society.
136720	141440	And maybe the reason for that is that, or it has to do with what I think the problem
141440	143480	with capitalism is.
143480	149920	I wouldn't emphasize, first of all, that it's an unjust system of exploitation or that it's
149920	153160	alienating, for example.
153160	158560	But I would argue that the most important reason why, or the thing that's first of
158800	164000	all wrong with capitalism is that it implies domination, that it's an enemy of freedom,
164000	170960	that capitalism is an economic system that prohibits people from living the life they
170960	172160	want to live.
172160	176120	And that's what I write about in my book, Mute Compulsion, that capitalism is a system
176120	177120	of domination.
177120	184120	So it kind of follows from that critique of capitalism that we should think of an alternative
184120	190200	to capitalism as a way of avoiding domination, as creating a society with the highest possible
190200	191280	degree of freedom.
191280	196160	So that's how I think about what communism should be.
196160	202200	So that's my guiding principle to think of a society with the highest degree of freedom.
202200	209720	So in that sense, I think freedom is the first and most important principle maybe of communism.
209720	212680	And how does this relate to the question of security?
212680	223240	Well, I think security is a condition for exercising freedom that we want to be able
223240	226400	to exercise in a communist society.
226400	234840	So in that sense, it's also a presupposition or it's a fundamental thing about communism
234840	236120	also.
236120	244240	In the sense that only on the basis of existential security and an absence of fear of not being
244240	248240	able to sustain oneself, freedom can develop.
248240	254800	That's kind of the reason I know.
254800	261360	One of the primary aims of a communist society would be to secure unconditional access to
261360	268720	everything that people need to live a good and stable and healthy life.
268720	273560	And just as an additional follow up in terms of the definition of freedom.
273560	280720	So the way that you described it before, it was very much related to an absence of domination.
280720	288720	Are there other aspects of freedom that you would stress when it comes to this huge and
288720	292040	fundamental question of what this actually means?
292040	293040	Freedom?
293040	294040	Yes.
294040	298120	Well, I like the definition of freedom as absence of domination, but I would also and
298120	304040	I think this is maybe just another way of saying that actually that freedom is intrinsically
304040	311880	connected to democracy or is a democratic idea in the sense that human beings are by
311880	319240	nature social beings and human beings are also natural beings, a part of nature and
319240	327120	are dependent on the earth and the earth belongs to no one and therefore to everyone.
327120	334120	And that means in a sense that we are by nature political animals and that the question of
334120	340960	how human beings relate to their conditions of existence is necessarily a political question.
340960	344160	And because of that, I think that freedom is not just a question of the relationship
344160	348480	between the individual and the political community or political institutions.
348480	354520	And that would be like the modern or liberal notion of political freedom, that freedom
354520	359440	is a question of the absence of political institutions from the point of view of the
359440	360560	individual.
360560	366400	Freedom also has to consist in being able to participate in making decisions about
366400	371360	the necessarily common aspects of our lives.
371360	376640	And in that sense, I think freedom is inherently a democratic ideal.
376640	383560	And since you mentioned this logic that you apply when it comes to the question of human
383560	390280	nature or humans relation to nature, I think it would also be maybe a useful aspect to
390280	396680	point out that when it comes to this idea of freedom, as far as I understand your idea
396680	403760	of it, it does not entail a certain naturalized idea of that there was a human subject as
403760	410280	an essence that should be kind of brought into full fruition, so to speak.
410280	414920	At least that's how I understood it, that you are opposed to this notion of a naturalized
414920	420160	kind of free individual that is suppressed by the conditions that surround them.
420160	421800	Yes, that's right.
421800	427560	So one way of putting it would be to say that there is no natural in the sense of an immediately
427560	432320	given way for human beings to relate to their conditions of existence.
432320	433760	It's always a political question.
433760	436420	So it's up to us.
436420	444200	So communism is not an exercise in trying to discover the authentic natural ways for
444200	448080	human beings to relate to their conditions of existence.
448080	456440	But communism means establishing the political conditions for actually making decisions
456440	464240	about how we want to relate to our collective conditions of existence.
464240	468160	And there's no natural way of doing that.
468160	471000	It's always a political decision.
471000	475760	And there's no subject that should be liberated beneath that, right?
475760	476760	Exactly.
476760	477760	Okay.
