start	end	text
0	5960	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5960	11880	Mein Name ist Jan Groß und ich freue mich sehr, heute Lemon und Lukas von Cumunia begrüßen zu dürfen.
11880	15760	Ich habe dieses Mal vor dem Interview auch eine komplette Anmoderation gemacht,
15760	20040	deswegen werde ich jetzt gar nicht so viel sagen, außer dass ihr in den Show Notes
20040	25960	das komplette Buch Öffentlicher Luxus von Cumunia als PDF finden könnt.
25960	31000	Das heißt natürlich nicht, dass es sich nicht trotzdem lohnen würde, es als normales Buch zu bestellen,
31000	32920	also gerne auch so.
32920	36920	Bevor es jetzt losgeht, möchte ich noch Johannes ganz herzlich in der Gemeinschaft
36920	40240	der Future Histories Patreon-UnterstützerInnen begrüßen.
40240	45520	Vielen Dank dafür und jetzt viel Freude mit der heutigen Episode Future Histories
45520	50320	mit Lemon und Lukas zu öffentlichem Luxus.
50320	61360	Mein Name ist Jan Groß und ich freue mich sehr, heute Lemon und Lukas von Cumunia begrüßen zu dürfen.
61360	67960	Regelmäßige HörerInnen werden sich erinnern, dass es im Vorfeld der Vergesellschaftungskonferenz 2022
67960	71760	bereits einmal eine Cumunia-Folge bei Future Histories gab,
71760	76960	damals ebenfalls mit Lemon, aber mit Max als zweitem Gast zu Gast
77200	81760	und mit einem Fokus auf Vergesellschaftung und Demokratisierung der Wirtschaft.
81760	87040	Seitdem hat sich einiges getan bei Cumunia, nicht zuletzt natürlich die absolut großartige
87040	92560	und über alle Erwartungen hinaus erfolgreiche erste Vergesellschaftungskonferenz,
92560	98720	aber eben nicht nur das, sondern es ist auch zu einem wirklich großartigen Buchprojekt gekommen.
98720	104160	Wir nehmen dieses Gespräch hier am 2. November auf, einen Tag nach Erscheinen des Buches
104160	110480	mit dem Titel Öffentlicher Luxus erschienen beim Kaltiz-Verlag. Zunächst einmal herzlich willkommen.
110480	115680	Danke für die Einladung. Ich freue mich richtig, das zweite Mal hier zu sein.
115680	119480	Heute bin ich weniger aufgeregt und deswegen ist die Vorfreude noch größer.
119480	122280	Und ich freue mich sehr, dabei zu sein.
122280	126400	Wunderbar, ich freue mich wirklich sehr, dass wir das machen ebenfalls.
126400	131720	Fein, bevor wir auf das Buch eingehen, wollt ihr euch vielleicht nochmal kurz vorstellen
131720	138800	und vielleicht auch kurz umreißen, worum es bei Cumunia geht und was seit der Vergesellschaftungskonferenz so alles passiert ist.
138800	144760	Ja, hi, ich bin Lemon, ich arbeite bei Cumunia und bin nebenbei bei DWE aktiv,
144760	149600	wobei ich da gerade nicht so aktiv bin, weil wir sehr viel bei Cumunia zu tun haben.
149600	155200	Nach der Vergesellschaftungskonferenz ist total viel bei uns passiert.
155200	160080	Irgendwie fühlt es sich schon viel länger als ein Jahr her an und es ist dabei gerade mal ein gutes Jahr,
160120	166360	dass die Vergesellschaftungskonferenz vorbei ist, weil bei uns ganz viel losgegangen ist.
166360	171360	Es ist total viel Resonanz bei uns gekommen, auch die Konferenz und ganz viele Anfragen,
171360	176960	Kooperationsanfragen, wir sind gewachsen und haben mehrere Projekte auf die Beine gestellt,
176960	183280	unter anderem das Buch Projekt zu öffentlichem Luxus, das wir jetzt nach einem Jahr schon abschließen konnten.
183280	188640	Wobei abschließend auch gut gesagt ist, das Buch ist jetzt raus und damit beginnt irgendwie eine neue Phase dieses Projekts,
188720	190240	das nämlich in die Welt zu tragen.
192360	199480	Neben dem öffentlichen Luxus arbeiten wir insbesondere zur Vergesellschaftung des Energiesektors
199480	203320	und arbeiten da eng mit Socialen Bewegungen zusammen, RWE und Grundeign und anderem
205040	209080	und haben einen Lehrauftrag in der Hochschule für Gesellschaftsgestaltung seit diesem Jahr,
209080	213200	den wir jetzt regelmäßig machen dürfen, zu Ökonomie und Macht, was wir sehr spannend finden,
213960	216000	weil es nochmal ein ganz anderer Zugang zu den Themen ist.
216640	222440	Und darauf gehen wir vielleicht nachher nochmal einen Plan gerade die Nachfolgekonferenz.
223560	226760	So haben wir viel zu tun und mittlerweile auch ein Büro in Berlin.
227480	231360	Das heißt, unsere Organisation hat auch einiges erlebt im letzten Jahr.
232960	238040	Wunderbar, das freut mich wirklich sehr und definitiv gehen wir da später noch drauf ein
238040	241640	auf die nächste Vergesellschaftungskonferenz, da bin ich nämlich schon total gespannt.
242200	245720	Aber dann lasst uns doch jetzt erstmal ein wenig aufs Buch eingehen.
245760	249280	Vielleicht mal zunächst vorausgeschickt, wie ist es denn dazu gekommen und wer ist da
249280	251000	alles versammelt? Wer schreibt in dem Buch?
251000	252240	Was lässt sich da drin finden?
253680	254840	Wie ist es zu dem Buch gekommen?
255160	263240	Wir haben, glaube ich, das kennen wir alle, glaube ich, dass es total die Stimmung bei uns
263240	268600	eingibt, dass einfach die Krisen zunehmen, einerseits in der Zahl, andererseits in der
268600	275480	Intensität, die uns umgeben und es uns an Perspektiven fehlt, die über eine kapitalistische
275480	279960	Modernisierung, ökologische Modernisierung hinausgeht, beziehungsweise auf der anderen
279960	285840	Seite festhalten an dem, was es gibt, woran man aber nicht festhalten kann und was in
285840	289400	reaktionäre Tendenzen und Politik umschlägt.
291480	297760	Und da war unser Impuls und den haben wir übernommen von einem britischen Publizisten,
297760	303080	George Monbiot, bei dem wir diesen Begriff öffentlicher Luxus entdeckt haben, war unser
303080	309440	Impuls, dass wir das Gefühl hatten, wir brauchen eine Erzählung von Zukunft, die uns Lust
309440	314000	und Hoffnung auf Zukunft machen kann, bei der es was zu gewinnen gibt und die uns irgendwie
314000	320600	auch die Möglichkeit gibt, wieder zu träumen und öffentlicher Luxus, so provokant der
320600	324560	Titel erstmal ist, weil er diesen Luxusbegriff aufgreift, glaube ich, schafft genau das
325280	331520	auch über diesen Luxusbegriff, so eine Dimension aufzumachen von, was könnte möglich
331560	336240	sein, wenn wir die Dinge verändert haben, wenn wir Eigentumsverhältnisse verändert haben, wenn
336240	339000	wir kollektiv darüber bestimmen können, wie unsere Welt aussieht.
340240	346080	Und das war der Grundimpuls, warum wir dieses Buch so veröffentlichen wollten mit diesem
346080	350840	Titel und auch diesem tollen goldenen Cover, in dem sich alle möglichen Zukünfte spiegeln
350840	353440	können, weil das Gold glitzert.
354520	360320	Und gleichzeitig ist es ein Versuch, gleichzeitig ist es der Versuch, diesen Begriff in die
360320	365520	deutsche Debatte zu tragen, der eben erstmal aus der englischsprachigen Debatte kommt
367400	372120	und zu gucken, wie, was können wir damit hier anfangen, überwiegen die negativen
372440	377920	Konnotationen von Luxus, die es bei uns gibt, oder lässt sich das neu besetzen und lässt
377920	381960	sich aus öffentlichem Luxus eine Vision für eine Zukunft machen, die wir uns wünschen
381960	385600	können. Und da haben wir den Vorschlag jetzt gemacht.
385600	389240	Wir haben einen Artikel in dem Buch geschrieben und nicht das ganze Buch, weil wir das
389240	392720	Gefühl hatten, wir können sozusagen diesen Vorschlag reinbringen.
392720	396680	Wir wollen diesen Impuls bringen und gleichzeitig wollen wir das Bild nicht komplett selber
396680	401920	ausmalen, sondern brauchen sozusagen andere, die das mit uns ausmalen und haben andere
401920	406800	Menschen gebeten, ihre Perspektive, ihre Vision mit da reinzutragen.
407840	412400	Wir bringen das Buch zusammen raus mit der Bundjugend und sind da total froh drüber.
413600	418120	Die Bundjugend hat auch einen Beitrag geschrieben zur Klimagerechtigkeit und der
418160	422880	Verknüpfung von Eigentum, Kapitalismus und Klimagerechtigkeit beziehungsweise den
422880	426040	Widersprüchen darin im Kontext von öffentlichem Luxus.
426840	431200	Und darüber hinaus haben wir uns Menschen eingeladen,
432600	437760	Beiträge zu schreiben. Es ist ein Übersetzerbeitrag von George Monbiot im Buch,
438240	443960	der zu der Ermöglichung von privater Genügsamkeit durch öffentlichen Luxus
444440	449280	schreibt. Dann haben wir eine richtig starke feministische Perspektive drin von Barbara
449280	453560	Fried und Alex Gischnefsky, die zu kommunalpolitischen Strategien von rundum
453560	459000	sorgende Städte schreiben und damit eine total zentrale Dimension aufmachen.
459600	465120	Genauso Simin Jarapel, die zu rassistischem Ausschluss in der Stadt und
465920	468920	welchen Anspruch deswegen öffentlicher Luxus haben muss, wirklich inklusiv zu sein,
468960	474360	beschreibt. Und ein weiterer Beitrag von Anne Klingenmaier und Gesine Langlotz,
474400	478160	die unternommen der jungen Arbeitsgemeinschaft, bäuerliche Landwirtschaft organisiert sind,
478560	483480	zu der Bodenfrage und der Vergesellschaftung von Land und Landwirtschaft,
484280	488880	was auch ein Thema ist, was total im Kommen ist und auch ein zentraler Punkt.
489160	492560	Und deswegen auch im Buch vertreten mit Astrid Schöggel von der Arbeiterkammer in
492560	496680	Wien zu einer werkschaftlichen Perspektive auf das Thema
497640	502000	Klimaumbau, öffentlicher Luxus und was das für Transformation der Arbeit bedeutet.
502040	505760	Und flankiert ist das Ganze von einem total tollen Vorwort von Nancy Fraser, die
506080	510840	nochmal klarmacht, so ist öffentlicher Luxus bedeutet, eine Umverteilung und eine ganz
510840	513760	andere Organisation des kollektiven Bullchan-Mystems, die wir gemeinsam arbeiten,
513760	516400	also die nochmal eine sehr grundlegende Dimension aufmacht.
517520	521680	Und ein total schönes Nachwort von Eva von Riedeka, über das wir uns sehr freuen.
522320	525960	Wunderbar. Und in eurem Beitrag, da versucht ihr eben auch nochmal so ein bisschen
525960	530000	genauer auszubuchstabieren, was ihr denn jetzt unter öffentlichem Luxus versteht.
530000	533840	Ein paar Sachen hattet ihr jetzt gerade schon angesprochen, aber vielleicht könnt
533840	536080	ihr das nochmal so ein bisschen genauer ausbuchstabieren.
536120	538440	Was ist das für euch? Öffentlicher Luxus?
538840	544200	Ja, gerne. Öffentlicher Luxus beschreibt für uns den bedingungslosen Zugang zu all
544200	550200	den Gütern und Leistungen, die ein Leben möglich machen und darüber hinaus die ein
550200	553960	Leben schön machen. Und aus unserer Sicht ist das ein Menschenrecht.
554080	558200	Hat jeder Mensch das Recht darauf, zu diesen Dingen Zugang zu haben.
558200	564880	Und in der Definition der Daseinsvorsorge heißt es auch, dass der Daseinsvorsorge zu
564880	569120	leisten ist eine Pflicht des Staates, allen Menschen, ein menschliches Dasein zu
569120	572480	ermöglichen. Davon sind wir heute weit entfernt.
572480	577720	Das heißt, in gewisser Weise beschreiben wir Daseinsvorsorge so trocken, wie das
577720	579440	ist. Aber wir fordern viel mehr.
579440	583160	Öffentlicher Luxus ist viel mehr als ein Zurück zu irgendeiner Daseinsvorsorge, die es
583200	587800	vielleicht mal gab, teilweise, die privatisiert ist oder kaputtgespart und auch
587800	592000	mehr als ein Abwehren von Privatisierungen, was auf jeden Fall dazu gehört.
592280	597680	Sondern Öffentlicher Luxus bedeutet eine radikale Ausweitung dessen, was Daseinsvorsorge
597680	604480	ist. Das heißt, aus unserer Sicht gehören so Dinge wie Bildung und Energie und
604480	611040	Gesundheit, Pflege und Care dazu, aber auch Wohnraum, Mobilität, Ernährung, Kultur,
611080	616320	Medien, digitale Infrastruktur, richtig schönen Parks und richtig schöne Schwimmbäder und
616320	618560	in ausreichender Anzahlung Qualität.
618960	622520	Und das ist auch der zweite Punkt. Es ist einmal radikal ausgeweitet und dann ist es auch
622520	627760	wirklich tolle Qualität, so dass es richtig Lust macht auf diese öffentliche
627760	632720	Daseinsvorsorge, was ja auch weit von dem Status quo entfernt ist.
633080	638440	Der dritte Punkt ist neben erweitert und hervorragend, dass diese Daseinsvorsorge
638440	641040	demokratisch organisiert sein muss.
