start	end	text
0	7800	Welcome to Future Histories, my name is Jan Groos and it is my great pleasure to welcome George Mombio in today's episode.
7800	16320	He's a prolific author, journalist and activist, and this episode came together through a collaboration with Comunia,
16320	25560	who, together with Bund Jugend, put together an edited volume on the topic of public luxury, a concept coined by George Mombio.
25800	32360	The book is called Öffentlicher Luxus and it was published by the great Karl Dietz Verlag Berlin.
32360	34360	It's fantastic and you should get it.
34360	40960	If you don't need a physical copy, you'll find a link to the digital version of the full book in the show notes.
40960	48400	Big shout out to Comunia, who are doing absolutely fantastic work in the field of socialization in Germany.
48480	55920	And I am very much looking forward to the upcoming second Vergesellschaftungskonferenz, socialization conference,
55920	61760	of which Future Histories will be, as it was with the first one, an official media partner.
61760	63200	I'm very proud.
63200	65640	So more on this soon.
65640	75520	What you will also find in the show notes is a link to a workshop held by Comunia on the topic of public luxury in February in Vienna.
75520	77560	I think you can still register to this one.
77560	79960	So if you're interested in the topic, go ahead.
79960	84760	You'll find the link in the show notes and maybe we will see each other there.
84760	90560	Before we start, I would like to welcome Alexander as a patron of Future Histories.
90560	94920	And I want to thank Lukas and Samuel for their donations.
94920	101440	And now please enjoy today's episode with George Mombio on public luxury.
107560	109280	Welcome, George.
109280	110800	Hi, how are you doing?
110800	116840	George, right now it feels like everything is going to shit on multiple levels, actually.
116840	126120	And more and more people, I would say, are starting to feel the pressure that the current polycrisis is exerting in their own lives.
126120	134040	In these times, a positive and attractive alternative notion of what the future could hold for all of us is very much needed.
134080	142240	And not only does it need to be positive, but it crucially also needs to feel possible and tangible, I would say.
142240	147720	So people will need to hear it and be able to say, yeah, I could imagine that to happen.
147720	151560	We need to fight for it for sure, but it could happen.
151560	160720	So you have used the idea of public luxury as a carrier for such an alternative notion of our collective futures.
160720	163000	Could you maybe explain to us what you mean by that?
163000	165720	What is public luxury?
165720	175640	The idea comes from the thought that there simply is not enough ecological space or even physical space for everyone to pursue private luxury.
175640	185360	The promise of capitalism and the reason why so many people go along with it and accept this extremely destructive,
185360	191200	world eating system is that they believe they are temporarily embarrassed millionaires.
191200	195840	They think that one day the finger will point at them because that is a promise.
195840	200200	The promise is that we can all aspire to private luxury.
200200	203120	That's why we buy into it, literally.
203120	206840	But we can't. And there's a couple of reasons why we can't.
206840	213320	The first is that some people can achieve private luxury because they exploit other people.
213320	220440	The extreme wealth of those who live in luxury is a result of the exploitation of those who don't.
220440	227400	So simply in basic mathematical terms, you can't have everyone at the top.
227400	236000	You know, the promise of capitalism is that everyone can be number one, but there are basic arithmetic reasons why that cannot work.
236000	248120	But there's also an even bigger reason, which is that if everyone achieved private luxury, we would burn through the living planet in a matter of days.
248360	260760	The ecological footprint of the very rich is massively greater than the footprint of the median or especially the poorer citizens of the world.
260760	266280	So it's simply impossible to fulfill the promise of capitalism.
266280	269680	And you can't even do it in terms of physical space.
