start	end	text
0	6000	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
6000	12000	Mein Name ist Jan Groß und ich freue mich sehr, heute Marina Fischer-Gowalski begrüßen zu dürfen.
12000	17000	Sie ist Gründerin und langjährige Leiterin des Instituts für Soziale Ökologie in Wien
17000	23000	und hat absolut wegweisende Forschung zu Fragen des gesellschaftlichen Stoffwechsels betrieben.
23000	27000	Dieses Thema gesellschaftlicher Stoffwechsel, das kam ja vor kurzem schon
27000	34000	in der Folge mit dem Forscherinnen-Kollektiv Planning for Entropy zu Socio-Metabolic Planning auf.
34000	39000	Und das ist ein Thema, mit dem ich mich in nächster Zeit auch etwas intensiver beschäftigen möchte.
39000	43000	Ich hatte ja in der Folge mit Planning for Entropy bereits angekündigt,
43000	47000	dass es eine Episode mit Walter Zeug geben wird zu dem Thema,
47000	50000	der in diesem Bereich eben extrem spannende Arbeit macht
50000	57000	und ein Modell zur ganzheitlichen und integrierten Lebenszyklusanalyse und Nachhaltigkeitsbewertung entwickelt hat.
57000	63000	Und ich möchte diese Anmoderation hier nutzen, um noch ein anderes kommendes Gespräch anzukündigen,
63000	69000	beziehungsweise ein Buch zu hypen, denn es kommt alsbald, nämlich genau am 18. März,
69000	72000	bei Surcamp Simon Schaubs neues Buch heraus.
72000	78000	Und regelmäßige Hörerinnen von Future Histories, die werden wissen, Simon war hier schon zweimal zu Gast.
78000	85000	Und ich freue mich wirklich sehr, dass dieses Buch jetzt erscheint, das den Titel trägt Stoffwechselpolitik.
85000	88000	Und dieses Buch, das könnte aktueller nicht sein.
88000	91000	Ich kann es euch wirklich nur wärmstens ans Herz legen.
91000	98000	Ich hatte die große Freude, das Buch in Vorbereitung unserer kommenden Aufzeichnung schon zu lesen und finde es absolut großartig.
98000	104000	Simon arbeitet da unter dem unglaublich treffenden Begriff der Stoffwechselpolitik heraus,
104000	110000	dass Produktionspolitik und Umweltpolitik natürlich nicht voneinander getrennt gedacht werden können.
110000	116000	Und ich freue mich auch wirklich schon sehr auf das Gespräch mit Simon über dieses großartige Buch.
116000	123000	Und ich erwähne das Ganze natürlich nicht nur, um das Buch zu hypen, das auch, denn lest es euch durch, ist es wirklich gut,
123000	130000	sondern weil das Ganze natürlich auch im Zusammenhang steht mit der heutigen Folge und dem Gespräch mit Marina Fischer-Kowalski,
130000	139000	denn die von Marina entwickelte und am Wiener Institut für soziale Ökologie betriebene Material- und Energieflussanalyse,
139000	146000	die bietet sich natürlich als ein wichtiges Element, als eine wichtige Datenbasis für Formen der Stoffwechselpolitik an
146000	152000	und, by the way, natürlich auch für Formen demokratischer Planung entlang, nicht monetärer Parameter.
152000	157000	Bezüglich Letzteren da fühle ich bei Marina in unserem Gespräch auch so ein wenig vor.
157000	164000	Also da versuche ich natürlich das Ganze auch in diese Richtung zu lenken und finde, dass das eine absolut logische Fortführung ist,
164000	174000	dass wenn man sowieso schon eine Art doppelter Buchführung hat, die sowohl monetär auf der einen Seite ist und eben auch stoffwechselorientiert auf der anderen,
174000	186000	dass man dann eigentlich die ganze Sache dahin pusht, die monetäre Buchhaltung doch einfach zu überwinden und zu einer biophysischen Orientierung des Ganzen übergeht.
186000	193000	Wie ihr hört, im Hintergrund der Aufzeichnung übrigens auch Marinas überaus nette Hündin ab und zu mal.
193000	197000	Also wundert euch nicht, wenn es da ein wenig zusätzliche Interaktion gibt im Hintergrund.
197000	205000	Bevor es jetzt losgeht, da möchte ich noch Christoph, Lukas, Fabian und Wilfried für ihre Spenden danken.
205000	213000	Und jetzt viel Freude mit der heutigen Episode mit Marina Fischer-Kowalski zu gesellschaftlichem Stoffwechsel.
217000	220000	Herzlich willkommen, Marina.
220000	222000	Danke für diesen netten Willkommen.
222000	226000	Gut, lass uns vielleicht mit ein paar Begriffsdefinitionen beginnen.
226000	232000	Was versteht man unter gesellschaftlichem Stoffwechsel bzw. sozialem Metabolismus?
232000	242000	Ja, gesellschaftlicher Stoffwechsel beschreibt den gesellschaftlichen Austausch von Material und Energie zwischen Gesellschaften und Natur.
242000	244000	Das ist eigentlich ziemlich einfach.
244000	252000	Das heißt, es schließt alle Entnahmen aus der Natur ein und alle Abfälle und Emissionen an die Natur.
252000	256000	Das ist ein bisschen ein Bild wie bei einem Organismus in Wahrheit.
256000	263000	Also es sei die Gesellschaft ein Organismus, der frisst und ausscheidet, so gewissermaßen.
263000	266000	Ist das eigentlich als Analogie zu verstehen? Schon?
266000	271000	Nein, das ist nicht notwendig, aber es hilft beim Verständnis.
271000	277000	Ja, und kann man da Aussagen zu treffen, was dem für einen Naturbegriff zugrunde liegt?
277000	280000	Oder ist das vielleicht gar nicht zwingend festgelegt?
280000	283000	Darüber haben wir uns ziemlich viele Gedanken gemacht.
283000	289000	Was ist denn der Unterschied zwischen Gesellschaft und Natur?
289000	293000	Das musste begrifflich gefasst werden.
293000	305000	Und die Grundidee ist, die zu sagen, Menschen sind Tiere und sind Teil der Natur und materielle Prozesse sind Teil natürlicher Prozesse.
305000	314000	Aber Menschen haben Gesellschaften entwickelt und das sind kulturelle Systeme, die beruhen auf Kommunikation.
