start	end	text
0	5160	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von
5160	11840	Zukunft. Mein Name ist Jan Groß und ich freue mich sehr, heute Stefan Mehretz und Manuel Scholz-Weckele
11840	17400	begrüßen zu dürfen. Beide waren Teil des mittlerweile ja abgeschlossenen und überaus
17400	23240	spannenden Projekts Die Gesellschaft nach dem Geld. Ich hatte ja hierzu schon Jens Schröter,
23240	27680	den Leiter des Projektes, zu Gast und auch Stefan durfte ich bereits in einer frühen
27680	34000	Episode von Future Histories zum Kommunismus begrüßen. Nun kam vor kurzem sozusagen im
34000	41000	Nachklang des Projektes eine Special Issue des Journals Review of Evolutionary Political Economy
41000	49440	heraus mit dem Titel Envisioning Post-Capitalist Utopias via Simulation und das finde ich natürlich
49440	55760	ungemein spannend und so wird es zu dieser Special Issue gleich mehrere Future Histories-Gespräche
55760	60400	geben, konkret zwei, wobei das zweite noch in Planung ist, da werde ich jetzt nicht zu viel
60400	66640	zu verraten. Mit Stefan und Manuel, da spreche ich über die agentenbasierte Simulation des
66640	73880	Kommunismus, beschrieben im Paper Simulating the Utopia of Communism. Wir haben ungefähr
73880	77800	zweieinhalb Stunden gesprochen, über zweieinhalb Stunden glaube ich und so habe ich das Ganze in
77800	83760	zwei Teile aufgeteilt. Ihr hört heute den ersten Teil und in zwei Wochen erscheint dann der zweite
83760	89640	auf Patreon, das sei zumindest erwähnt, findet sich für Patreon-UnterstützerInnen auch schon
89640	96160	das Gespräch in voller Länge. Das Paper über das wir heute sprechen werden Simulating the Utopia of
96160	101560	Communism und natürlich auch die restliche Special Issue sind in den Show Notes verlinkt und ihr
101560	106960	findet dort auch einen Link zum Buch des Projekts Die Gesellschaft nach dem Geld in Deutsch und in
106960	113440	Englisch. Die englische Fassung liegt glaube ich sogar als komplettes PDF vor. Bevor es jetzt losgeht,
113600	119440	möchte ich noch Samuel, Lukas, Karl und Marie-Therese für ihre Spenden danken. Vielen,
119440	125280	vielen Dank, ich weiß es wirklich sehr zu schätzen. Und jetzt viel Freude mit der heutigen
125280	132880	Episode Future Histories mit Stefan Meritz und Manuel Scholz-Weckele zum Simulieren von Utopien.
132880	145640	Herzlich willkommen, Stefan und Manuel. Hallo, danke für die Einladung. Hallo. Ja,
