start	end	text
0	5800	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5800	12200	Mein Name ist Jan Groß und ich freue mich sehr, heute Simon Schaub erneut bei Future Histories begrüßen zu dürfen.
12200	20100	Fleißige Hörerinnen von Future Histories werden wissen, dass ich bereits zweimal die Freude hatte, Simon hier als Gast begrüßen zu dürfen.
20100	27500	Und der Grund dafür ist denkbar einfach, Simons Arbeit, die ist schlichtweg so spannend und in so vielfältiger Weise
27500	33800	mit Dingen befasst, die auch hier für diese fragende Suchbewegung dieses Podcasts relevant sind.
33800	42500	Das ist einfach jedes Mal eine riesige Bereicherung ist, sich mit Simon über seine neue Arbeit unterhalten zu dürfen und mit dieser Arbeit auseinanderzusetzen.
42500	57100	Das gilt immer und es gilt in ganz besonderem Maße für Simons neues Buch Stoffwechselpolitik, das gesehen vom Veröffentlichungstag dieser Episode morgen erscheinen wird, also am 18. März 2024.
57200	63400	Ihr werdet es, denke ich, ohnehin gleich im Gespräch direkt auch mitbekommen, aber ich kann einfach nicht genug betonen,
63400	70600	wie reich dieses Buch ist und wie brauchbar und wichtig ich diese Perspektive der Stoffwechselpolitik finde.
70600	77500	Das Ganze, das reiz ich auch sehr schön in eine Art Mini-Strang hier bei Future Histories ein, kann man sagen.
77500	85600	Ich hatte ja kürzlich erst Marina Fischer-Kowalski zu Gast, Gründerin des Instituts für Soziale Ökologie in Wien.
85600	94900	Die absolut wegweisende Forschung zu Fragen des gesellschaftlichen Stoffwechsels betrieben hat und auch mit dem Kollektiv Planning for Entropy ging es kürzlich erst,
94900	100200	nämlich in Folge drei der dritten Staffel, um sozio-metabolische Planung.
100200	108300	Simons Arbeit, die bringt da aber mit dem Begriff der Stoffwechselpolitik nochmal eine ganz eigene Richtung, einen ganz eigenen Zugang mit hinein.
108300	113500	Also noch ein letztes Mal hier und in aller Deutlichkeit große, große Lesempfehlung.
113500	118500	Morgen erscheint es, das Buch Stoffwechselpolitik beim Surkamp-Verlag.
118500	128500	Bevor es jetzt losgeht, dann möchte ich noch Alman Iter als Unterstützerin auf Patreon begrüßen und Karl und Marie-Thérèse für ihre Spenden danken.
128500	137000	Und ich möchte, das darf ich auf gar keinen Fall vergessen, ein riesengroßes Shoutout an alle auf der zweiten Vergesellschaftungskonferenz-Senden,
137000	140800	auf der ich mich beim Release dieser Folge hier auch gerade befinde.
140800	146800	Tausend Dank an die Organisatorinnen für all die großartige Arbeit, die ihr in diese Konferenz gesteckt habt.
146800	152800	Shoutout auch im Besonderen an Kommunier, die die Vergesellschaftungskonferenz hier ins Leben gerufen haben
152800	157800	und so unglaublich großartige Arbeit machen in diesem Feld der Vergesellschaftung.
157800	168300	Ebenso an das Konzeptwerk Neue Ökonomie, die dieses Mal, soweit ich weiß, federführend in die Organisation der Vergesellschaftungskonferenz involviert waren.
168300	176300	Ich freue mich einfach schon riesig auf die Konferenz. Das letzte Mal, das war einfach wirklich, wirklich großartig und ich freue mich, dass das nochmal stattfindet.
176300	184300	Ihr werdet in jedem Fall auf dem Laufenden gehalten und das erscheinen ja dann auch Future Histories Folgen zur Vergesellschaftungskonferenz.
184300	192800	Und jetzt viel Freude mit der heutigen Episode Future Histories mit Simon Schaub zu Stoffwechselpolitik.
192800	206800	Herzlich willkommen Simon. Vielen Dank Jan, es ist mir eine große Ehre, wieder im besten deutschsprachigen Podcast zu Gast sein zu dürfen.
206800	216800	Simon, vielen Dank für die Blumen. Mir ist es absolut eine Ehre, denn ich habe dieses Buch wirklich sehr genossen und freue mich sehr auf das Gespräch darüber.
216800	222800	Vielleicht steigen wir direkt mit dem Titel ein bzw. mit dem Grundkonzept. Was verstehst du unter Stoffwechselpolitik?
222800	234800	Also vielleicht fangen wir an mit dem Begriff des Stoffwechsels an sich. Der ist ja vielleicht schon ein bisschen merkwürdig, weil er so aus der Biologie kommt und an den Stoffwechsel des Körpers erinnert.
234800	241800	Aber ich knüpfe da nicht an die Biologie an, sondern an Marx, der diesen Begriff auch sehr stark macht des Stoffwechsels.
241800	255800	Und dort bezieht sich das auf den Stoffwechsel der Gesellschaften mit der Natur, weil natürlich jede Gesellschaft allein um ihre Mitglieder zu ernähren, aber auch um ihre Städte zu bauen und so weiter immer auf Naturstoffe angewiesen ist.
255800	261800	Und Marx sagt jetzt, dass es die Arbeit ist, mit der dieser Stoffwechsel organisiert wird.
261800	281800	Also dass wir durch Arbeitsprozesse Rohstoffe bergen aus der Natur, dass wir sie dadurch verarbeiten und dass wir dadurch quasi einen Prozess haben, wo die Natur in Gestalt der menschlichen Körper, wie bei Marx auch ein Teil der Natur sind, auf sich selbst zurückwirkt.
281800	291800	Und das ist sozusagen eine paradoxe Situation, in der wir sozusagen einerseits eine Einheit haben von Natur und Gesellschaft und in dieser Einheit aber eine Trennung.
291800	297800	Also dass uns könnte es keinen Stoffwechsel geben. Das ist sozusagen die Paradoxie, die dem zugrunde liegt.
297800	302800	Und das finde ich ein unglaublich plausibles und nützliches Bild, das so zu fassen.
302800	315800	Einerseits, weil es quasi diese Gleichzeitigkeit von Einheit, Trennung von Natur und Gesellschaft veranschaulicht, aber auch weil es zeigt, wie zentral die Arbeit für unsere Naturverhältnisse ist.
