start	end	text
0	5080	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von
5080	12480	Zukunft. Mein Name ist Jan Groß und heute hört ihr eine Aufzeichnung der Podiumsdiskussion
12480	21920	Probleme der Übergangsgesellschaft, die am 5.8.23 im Rahmen des Kantinefestivals stattgefunden hat.
21920	26760	Vielen, vielen Dank an Annika und Maggie fürs Organisieren dieses Podiums. Das war wirklich
26960	30600	klasse. Ich habe mich sehr gefreut, dass ich da eingeladen war und ich bin natürlich gerne
30600	37720	gekommen. Wir waren zu mehreren auf dem Podium und Annika stellt uns dann gleich auf der
37720	42040	Aufzeichnung auch allesamt vor. Deswegen muss ich das hier eigentlich gar nicht machen. Grüße
42040	47960	an Larissa, Marianne und Joshua, die auch auf dem Panel mit dabei waren und mir verbleibt eigentlich
47960	54800	nur allen zu danken für die tolle Organisation, für dieses unglaublich spannende Panel. Und
54800	61440	bevor es jetzt losgeht, mag ich noch Benedikt und Lukas als Patreon-Unterstützer begrüßen und ich
61440	65920	möchte euch nochmal ganz dezidiert auf den wirklich ausgezeichneten Übertage-Podcast
65920	70480	aufmerksam machen. Marianne und Joshua, die sitzen ja auch auf dem Panel und es ist wirklich so,
70480	76760	dass es da einiges zu holen gibt und ich kann euch allen nur empfehlen hineinzuhören. Und jetzt
76760	83040	viel Freude bei der Podiumsdiskussion Probleme der Übergangsgesellschaft im Rahmen des Kantinefestivals
83600	99120	der Kantine Sabut in Chemnitz. Okay, also wir fangen, wir wollen jetzt mal anfangen. Schön,
99120	106480	dass ihr alle da seid. Wir werden uns jetzt auf diesem Podium mit der Frage beschäftigen,
106480	114680	wie eigentlich eine befreite Gesellschaft gestaltet, aufgebaut werden kann und aussehen
114680	124800	kann. Eine Frage, die Kommunistinnen und Anarchistinnen verbindet, zumindest den Teil
124800	133320	des Anarchismus, um den es hier in dieser Woche auch primär ging, nämlich um Anarchokommunismus
133320	143280	und Anarchosyndikalismus. Die Frage haben wir diese Woche schon ab und an gestreift,
143280	151000	etwa im Zusammenhang mit der russischen Revolution, wo es unter anderem darum ging,
151000	161880	wie der Anspruch an Befreiung ziemlich autoritär umschlagen kann. Und vor dem Hintergrund müssen
161960	170560	wir uns vergewissern, wieso glauben wir eigentlich, dass ein erneuter kommunistischer Versuch nicht
170560	179840	wieder in ähnlicher Weise ein menschenverachtendes System hervorbringt. Ich meine, das war im
179840	191120	Zusammenhang mit der Diskussion in dem Workshop zu Steinberg, dass es im Publikum die Äußerung gab,
191120	198960	na ja, wenn wir erstmal quasi den Klassenfeind abgeschafft haben und wenn wir uns erstmal
198960	205000	selbst verwalten, dann gibt es ja eigentlich, dann haben wir den Klassenantagonismus überwunden,
205000	210320	dann gibt es ja eigentlich gar nicht mehr wirklich ernsthafte Probleme. Und warum überhaupt muss
210320	219720	man sich diesen Fragen stellen? Wir glauben, dass das sehr wichtig ist und dass es eine Reihe von
219720	227600	Fragen, von sehr ernsten Fragen gibt, denen wir uns tatsächlich stellen müssen. Und für dieses
227600	235480	Podium haben wir uns zwei Fragen erstmal so exemplarisch herausgegriffen. Und zwar die Frage,
235480	242800	was zählt eigentlich in einer befreiten Gesellschaft als ein Bedürfnis, als ein
242800	251000	Bedürfnis, das als gesellschaftsrelevant angesehen wird. Das heißt, wo es eine
251000	258720	gesellschaftliche Aufgabe ist, das auch zu befriedigen. Und wie kann Arbeit organisiert
258720	267680	werden und welche Fragen stellen sich im Zusammenhang mit Arbeit? Also während bei dem
267760	278080	Steinberg-Workshop es stärker so um Fragen der Institutionen ging, geht es jetzt mehr um,
278080	287840	vielleicht kann man das so sagen, um eine mehr ökonomische Ebene. Vorweg diskutieren
287840	296360	wir noch eine andere Frage, nämlich wie lässt sich eigentlich sinnvoll über Utopie sprechen?
296360	304120	Es gibt da traditionell Einwände dagegen, dass das überhaupt möglich ist. Die waren sehr lange
304120	313680	dominant in der deutschen linksradikalen Szene. So Einwände, die kann man sich streiten, ob sie
313680	320440	wirklich von Adorno herkommen, aber die auf jeden Fall sehr wichtig waren im Zusammenhang. Eine
320440	329160	Adorno-Rezeption, wo gesagt wurde, man kann nicht über Utopie sprechen, ohne dabei einfach
329160	336600	nur den Verblendungszusammenhang aus Versehen quasi, ohne es zu merken, zu reproduzieren. Und
336600	346560	das Sprechen über Utopie endet dann in lauter Projektionen. Ja, also bevor wir starten, stelle
346560	356720	ich kurz hier das Ponium vor und fange an mit Jan Groß. Jan macht den Podcast namens Future
356720	364920	Histories, in dem es, wie es im Untertitel heißt, zu dem Podcast um die Erweiterung unserer
364920	373320	Vorstellung von Zukunft geht. Er führt Interviews in den Folgen mit Menschen, die sich in
373320	378960	unterschiedlichster Form mit Fragen zu einer möglichen postkapitalistischen Gesellschaft
378960	386640	auseinandersetzen. Er begreift diesen Podcast auch als Teil seiner eigenen Forschung zum Thema.
386640	394040	Und ja, also der Podcast ist sehr empfehlenswert. Ich habe da eine Menge gelernt. Und wie sagt man,
394040	406000	es gibt ihn überall, wo es Podcasts gibt oder so. Larissa war lange in der rätekommunistischen
406000	416720	Gruppe Labanda Varga aktiv. Und Labanda Varga war Teil oder ist Teil der Redaktion der Zeitschrift
416720	421280	Cosmoprolet. Und auch Teil, weil ich jetzt Redaktion gesagt habe, man kann auch sagen,
421480	430480	Autorenkollektiv des Cosmoprolet beides. Sie ist Journalistin mit den Themen Schwerpunkten
430480	440520	Erinnerungskultur, Feminismus, ehemaliges Jugoslawien und rechte Bewegungen. Und an dem Thema von heute
440520	451240	interessiert sie insbesondere die neue Organisation von sozialen Beziehungen. Joshua und Marc
451240	460400	Marian waren beide lange Jahre in unterschiedlichen anarchistischen Zusammenhängen unterwegs und
460400	468200	machen jetzt seit circa zweieinhalb Jahren den anarchistischen Podcast über Tage. Der so
468200	475320	unterschiedliche Themen verhandelt alle aus einer anarchokommunistischen Perspektive. Es gibt da
475320	482800	inzwischen über 100 Folgen und auch Livestreams. Das heißt, man kann ihnen auch auf YouTube
482800	490440	sinnvollerweise folgen. Und genau eingeladen haben wir euch, auch weil es eben Folgen zu
490440	498240	anarchistischer Transformationsstrategie gibt. Und ja, außerdem mochten wir auch an dem Podcast,
498240	504640	dass er, also ich zumindest so das Anliegen daraus gehört habe oder auch verfolgt sehe,
504640	511880	der anarchokommunistischen Theorie und Praxis so eine, wie soll man sagen, also Bestimmtheit
511880	523920	und Kohärenz zu geben. Ja, zu viel dazu. Genau, dann sag ich jetzt nochmal kurz was,
523920	529920	wie wir uns den Ablauf des Podiums vorgestellt haben. Und zwar haben wir uns drei Blöcke überlegt,
