start	end	text
0	6000	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
6000	13000	Mein Name ist Jan Groß und ich freue mich sehr, heute wieder eine Future Histories Folge ausstrahlen zu dürfen,
13000	18000	die auf der diesjährigen Vergesellschaftungskonferenz entstanden ist.
18000	23000	Zu Gast ist Janira Wolf und ich fasse mich jetzt hier einfach wirklich ganz kurz,
23000	26000	denn ich bitte Janira zu Beginn, sich selbst vorzustellen.
26000	33000	Insofern gehe ich da jetzt gar nicht weiter drauf ein und wünsche euch einfach viel Freude mit der heutigen Episode Future Histories
33000	38000	zu Arbeitskämpfen, Organizing und konkretem Utopisieren.
44000	50000	Wir sind hier auf der Vergesellschaftungskonferenz, der zweiten Vergesellschaftungskonferenz in der Nähe von Berlin.
50000	53000	Vielleicht magst du dich erst mal kurz vorstellen.
53000	59000	Gerne, hallo. Ich bin Janira, bin bei Verdi, Hauptamtliche.
59000	68000	Das heißt dort angestellt und ich wurde hier angefragt, für den Kehrstrang etwas zu erzählen und zu diskutieren.
68000	76000	Ja, das Thema der diesjährigen Vergesellschaftungskonferenz, das lautet ja Vergesellschaftung als Strategie für Klimagerechtigkeit.
76000	84000	Und mich würde interessieren, was bedeutet denn für Gesellschaftung als Strategie für Klimagerechtigkeit in dem Sektor, in dem du tätig bist?
84000	93000	Ich hatte da durchaus auch erst mal einen Knoten im Kopf und dadurch, dass ich für den Kehrbereich angefragt wurde, habe ich nachgefragt.
93000	103000	Mir wurde das so erklärt, dass der Kehrbereich erst nachträglich dazu gepackt wurde, weil man doch sich klar wurde,
103000	111000	dass es halt nicht so eine Querschnittssache ist, sondern selbst behandelt werden muss, wenn wir uns um die Zukunft bemühen,
111000	117000	stärker einen Blick zu nehmen, wie soll denn da Kehr- und Fürsorgearbeit organisiert sein.
117000	128000	Und nun bin ich als Gewerkschafterin vor allem in einem Bereich, wo mehrere Fürsorgebereiche, aber auch die öffentliche Daseinsvorsorge organisiert ist.
128000	140000	Und dadurch habe ich einerseits den Blick in die Richtung, wir haben öffentlichen Nahverkehr, was auf alle Fälle eine Ökologiefrage betrifft,
140000	152000	also weniger Autos auf den Straßen, mehr Busse und Bahnen, aber eben auch bei Fürsorgefragen und bei Fürsorgeberufen gibt es ökonomische und ökologische Fragen,
152000	155000	die man immer gut mitdiskutieren und bedenken sollte.
155000	166000	Und dann, also zumindest in der Vorbereitung, in einem Vortrag, den ich mir angeguckt habe von dir, war diese Frage der Sorge auch nochmal anders gewendet,
166000	177000	also nicht nur insofern, als dass es quasi auch wichtig ist, Felder in denen Sorgearbeit passiert, jetzt im engeren Sinne, dass man die auch bedenken muss,
177000	186000	wenn es um Fragen der Vergesellschaftung geht, sondern da war ein von dir vorgetragener Punkt eher eigentlich eine Perspektive, dass du gesagt hast,
186000	201000	ja, also diese Frage der Sorge oder eine bestimmte feministische Perspektive auf gesellschaftliche Kämpfe, die gilt es sozusagen eigentlich immer mit einzuweben insofern,
201000	213000	als dass es darum geht, wenn man will, dass diese Kämpfe lange tragen und dass sie sozusagen auch nicht verzehrend sind im Sinne von, sagen, erschöpfend für die, die darin kämpfen,
213000	221000	dass es dann darum geht, dass man diese Kämpfe so gestalten muss, dass sie sich selbst auch immer wieder neu mit hervorbringen.
221000	229000	So habe ich das auf eine Art verstanden, also dass man diese Strukturen eigentlich so einrichten muss, dass die Sorge nach innen, sagen, nicht vergessen wird,
229000	237000	weil die ein wichtiger Faktor ist, um überhaupt diese Kämpfe auch perspektivisch lange durchführen zu können.
237000	245000	Und ich fand das einen unglaublich schönen Punkt, nicht nur in Bezug auf die Frage der einzelnen Bewegungskämpfe jetzt, sondern auch in einem breiteren Sinn.
245000	251000	Aber vielleicht kannst du uns einfach diese Sichtweise, diese Perspektive nochmal näher bringen.
251000	261000	Gerne. Also ich würde, glaube ich, anfangen bei dieser Selbsterfahrung als Hauptamtliche in einem politischen Job eingespannt zu sein,
261000	268000	als ein nie endender Kampf im Grunde, der sehr auszehrend wirken kann.
268000	278000	Und nun bin ich durchaus in sozialen Bewegungen sozialisiert und kenne das auch als Ehrenamt und man macht das unglaublich gerne,
278000	283000	weil man eingebunden ist in eine soziale Bewegung ohne diese ganze Bezahlung.
283000	286000	Aber das kann man sich ja auch nur begrenzt leisten.
286000	297000	Und daher, ich denke in zwei Richtungen. Also einerseits bei sozialen Bewegungen sind diese Diskussionen sehr viel weiter schon fortentwickelt,
297000	303000	wie man miteinander umgehen sollte und was es braucht, um gut miteinander Kämpfe durchzustehen.
303000	311000	Wenn ich jetzt aber eben auf mein Umfeld in Gewerkschaften gucke, habe ich es als etwas erlebt, das eher abgehandelt wird mit,
311000	317000	dadurch, dass wir ja ein Gehalt haben, dadurch, dass wir abgesichert sind, muss das irgendwie genügen.
317000	330000	Und das ist halt auch einfach eine Kultur, die aus einem sehr männlich geprägten, ich habe Leute im Hintergrund, die machen noch den Haushalt und die Familie läuft.
330000	340000	Ich kann mich auf diese Kämpfe konzentrieren und das ist etwas, was dadurch auch bröckelt, dass natürlich sehr viel mehr Frauen in die Jobs kommen,
340000	350000	dass die Kämpfe härter werden, dass sehr viel mehr Anforderungen an uns auch gestellt werden und dadurch diese Frage reinkommt,
350000	360000	wie können wir uns denn gut unterstützen? Also ich will vor allem betonen, das ist etwas Neues und dadurch bin ich sehr fragend unterwegs.
360000	368000	Und deswegen gehe ich auch gerne auf solche Konferenzen und diskutiere mit anderen Gruppen, weil wir da viel voneinander lernen müssen.
368000	377000	Und mein Gedankengang war, dass es eben sehr wichtig ist, dass nicht nur das Ziel vor Augen einem die Kraft gibt,
377000	387000	sondern dass einem sehr bewusst sein sollte, was tut einem auf dem Weg dahin gut? Also was raubt mir Kraft, was gibt mir Kraft?
387000	395000	Das ist ja sehr, sehr unterschiedlich und dieses Sich-Selbst-Kennen, was zehrt aus und wie muss ich aber auch eigenverantwortlich damit umgehen,
395000	403000	dafür zu sorgen, das auszugleichen, was für Ansprüche stelle ich aber eben auch an einer Organisation oder eben an einem Umfeld,
403000	410000	das mit zu unterstützen, damit es nicht nur eine individuelle Auseinandersetzung ist, auf die man zurückgeworfen wird.
410000	419000	Das heißt, meine zwei Punkte waren vor allem irgendwie realistische Ziele, sind total elementar, damit man nicht in so einem selbst zerfleischendes
419000	433000	Wir erreichen ja hier gar nichts, sondern auch tatsächlich Zwischenetappen der Erfolge wahrnimmt und andererseits eben im Umfeld verhandelt und nicht mit sich selber alleine.
433000	446000	Ja und also auf einer Art habe ich sogar auch das Gefühl, ich meine, die eine Ebene ist ja zu sagen, dass es wichtig, um sich nicht auszuzehren
446000	460000	und wichtig, um alternative Beziehungsweisen schon zu leben, von denen man sich wünscht, dass sie die Norm werden sozusagen.
460000	472000	Das ist irgendwie das eine und auf der anderen Ebene hatte ich auch das Gefühl, das ist halt insofern ein sehr kluger Zugang, als dass es Veränderungen immer auch sehr prozessual denkt.
472000	480000	Also weil jetzt in Future Histories in dem Podcast hier immer wieder auch Fragen der demokratischen Planwirtschaft zum Beispiel verhandelt werden.
480000	484000	Und da gibt es durchaus immer wieder mal auch so ein bisschen diese Kluft.
484000	491000	Also auf der einen Seite gibt es halt die Kämpfe im Hier und Jetzt und da gehören ja die Vergesellschaftungskämpfe sozusagen dazu.
491000	497000	Und dann gibt es ein Spekulieren und ich bin absolut pro Spekulieren in dieser Hinsicht.
497000	504000	Also es soll kein Reden gegen dieses Spekulieren sein, aber es gibt quasi ein Spekulieren, das sehr in die Zukunft springt und dort sich überlegt,
504000	512000	wie könnten die Dinge anders organisiert sein, wenn man denn die Möglichkeit hätte sozusagen das Kollektiv zu bestimmen.
512000	522000	Und dann gibt es natürlich immer eine Frage, wie kommt man von hier zu dieser Imagination und wie wird dieser Übergang konzeptionalisiert?
522000	531000	Und für dieses Konzeptionalisieren des Übergangs schien mir quasi diese Perspektive halt total brauchbar eigentlich.
531000	541000	Also dass man sagt, okay, eben man hat es da eigentlich mit einer, ja auch auf eine Art mit einer präfigurativen Konstellation zu tun bis zum gewissen Grad.
541000	551000	In dem man seine Kämpfe, seine Bewegungsarbeit in dieser Art und Weise eigentlich feministisch strukturiert,
551000	561000	weist man eigentlich auch eine Möglichkeit aus, wie man hier zu dieser alternativen Zukunft kommen könnte.
561000	569000	Also insofern ist es quasi nicht nur Selbstschutz und sozusagen eben sich gegenseitig gut tun,
569000	577000	sondern es ist irgendwie auch eine Perspektive des Weges darin mitgezeichnet, oder?
577000	579000	Denkst du da so auch drüber nach?
579000	585000	Also ich hake noch, weil ich als Berufskrankheit glaube ich schon dieses Problem habe,
585000	596000	dass es immer um eine Machtfrage und immer in einem sehr, wir müssen konkret im Hier und Heute die Möglichkeitfenster nutzen und natürlich erweitern,
596000	603000	aber dürfen uns nicht zu sehr verlieren, in was alles bestmöglich notwendig sei.
603000	610000	Das heißt, ich hake deswegen noch ganz am Anfang bei dir mit Vergesellschaftung als Diskussion ist schon etwas,
610000	617000	was aus meiner Berufswelt doch sehr, sehr weit weg ist, allein als Begriff und sich darüber zu verständigen,
