start	end	text
0	5960	Herzlich willkommen bei Future Histories, dem Podcast zur Erweiterung unserer Vorstellung von Zukunft.
5960	11280	Mein Name ist Jan Groß und ich freue mich sehr, heute Walter Zeug begrüßen zu dürfen.
11280	15840	Walter forscht am Helmholtz-Zentrum für Umweltforschung in Leipzig
15840	23080	und hat eine Methode zur ganzheitlichen und integrierten Lebenszyklus-Analyse und Nachhaltigkeitsbewertung entwickelt.
23080	29920	Und ich hatte ja bereits in mehreren vergangenen Folgen angeteasert, dass Walter hierzu zu Gast sein wird.
30080	39440	Nun ist es also soweit und Walter und ich, wir sind tief eingetaucht in die Möglichkeiten und Grenzen einer solchen Energie- und Materialflussanalyse
39440	43920	und was sie für Formen der sozio-metabolischen Planung leisten kann.
43920	51120	Wir haben insgesamt, glaube ich, vier Stunden gesprochen, sodass ich das Gespräch auch über zwei Folgen verteilt veröffentlichen werde.
51120	56440	Im heutigen ersten Teil, da gehen wir vor allem auf die von Walter entwickelte Methode ein
56440	62160	und wie damit eine wichtige Informationsgrundlage für gesellschaftliche Planung erschaffen werden kann.
62160	66160	Im zweiten Teil des Gesprächs, da widmen wir uns dann einem Paper,
66160	74440	das Walter gemeinsam mit Jakob Heyer für die aktuelle Ausgabe der ProCLA, der Zeitschrift für kritische Sozialwissenschaft verfasst hat.
74440	76520	Und das Paper, das trägt den Titel
76520	86280	Ökobilanz und kubernetesche Wirtschaftsplanung, demokratisch geplante Wirtschaft zur Befriedigung gesellschaftlicher Bedürfnisse in planetaren Grenzen.
86280	90160	Und in dem Paper, da führen Walter und Jakob erste Überlegungen dazu aus,
90160	97000	wie Material- und Energieflussanalyse eben für demokratische Planung fruchtbar gemacht und genutzt werden kann.
97000	103440	An dieser Stelle, da sei erwähnt, dass es zwei wirklich ausgezeichnete Future Histories Episoden mit Jakob gibt,
103440	106960	zu Grundproblemen einer postkapitalistischen Produktionsweise.
106960	109480	Ihr findet die Links in den Show Notes.
109480	115560	Und was ihr ebenfalls in den Show Notes findet, ist ein Link zur gesamten Ausgabe der aktuellen ProCLA,
115560	118440	die ich euch ganz unbedingt ans Herz legen möchte,
118440	124160	denn sie widmet sich als Themenschwerpunkt diesmal der demokratischen Planung mit wirklich tollen Beiträgen von
124160	132720	Robert Bärfelde und Jakob Blumenfeld, von Christoph Sorg, Simon Sütterlity, Max Grunberg, Samuel Decker und vielen mehr.
132720	137440	Also großen Shout-out an alle Beteiligten und an alle HörerInnen gerichtet.
137440	139640	Besorgt euch die ProCLA.
139640	145400	Und jetzt viel Freude mit der heutigen Folge Future Histories mit Walter Zeug
