start	end	text
0	1000	Okay, cool.
4760	5760	Okay, let's go.
9200	10200	Okay, let's go.
12560	13560	Okay, let's go.
19760	20760	Okay, let's go.
27560	28560	Okay, let's go.
30400	31400	Okay, let's go.
37600	38600	Okay, let's go.
50760	51760	Okay, let's go.
60000	64000	I don't know what you're talking about, but I don't know what you're talking about.
64000	68000	I don't know what you're talking about, but I don't know what you're talking about.
68000	72000	I don't know what you're talking about, but I don't know what you're talking about.
72000	76000	I don't know what you're talking about, but I don't know what you're talking about.
76000	80000	I don't know what you're talking about, but I don't know what you're talking about.
80000	84000	I don't know what you're talking about, but I don't know what you're talking about.
84000	88000	I don't know what you're talking about, but I don't know what you're talking about.
88000	92000	I don't know what you're talking about, but I don't know what you're talking about.
92000	96000	I don't know what you're talking about, but I don't know what you're talking about.
96000	100000	I don't know what you're talking about, but I don't know what you're talking about.
100000	104000	I don't know what you're talking about, but I don't know what you're talking about.
104000	108000	I don't know what you're talking about, but I don't know what you're talking about.
108000	112000	I don't know what you're talking about, but I don't know what you're talking about.
112000	116000	I don't know what you're talking about.
116000	120000	I don't know what you're talking about, but I don't know what you're talking about.
120000	124000	I don't know what you're talking about, but I don't know what you're talking about.
124000	128000	I don't know what you're talking about, but I don't know what you're talking about.
128000	132000	I don't know what you're talking about, but I don't know what you're talking about.
132000	136000	I don't know what you're talking about, but I don't know what you're talking about.
136000	140000	I don't know what you're talking about, but I don't know what you're talking about.
140000	144000	I don't know what you're talking about.
144000	148000	I don't know what you're talking about, but I don't know what you're talking about.
148000	152000	I don't know what you're talking about, but I don't know what you're talking about.
152000	156000	I don't know what you're talking about.
156000	160000	I don't know what you're talking about, but I don't know what you're talking about.
160000	164000	I don't know what you're talking about, but I don't know what you're talking about.
164000	168000	I don't know what you're talking about, but I don't know what you're talking about.
168000	172000	I don't know what you're talking about, but I don't know what you're talking about.
172000	176000	I don't know what you're talking about, but I don't know what you're talking about.
176000	180000	I don't know what you're talking about, but I don't know what you're talking about.
180000	184000	I don't know what you're talking about, but I don't know what you're talking about.
184000	188000	I don't know what you're talking about, but I don't know what you're talking about.
188000	192000	I don't know what you're talking about.
192000	196000	I don't know what you're talking about, but I don't know what you're talking about.
196000	200000	I don't know what you're talking about, but I don't know what you're talking about.
200000	204000	I don't know what you're talking about, but I don't know what you're talking about.
204000	208000	I don't know what you're talking about, but I don't know what you're talking about.
208000	212000	I don't know what you're talking about, but I don't know what you're talking about.
212000	216000	I don't know what you're talking about, but I don't know what you're talking about.
216000	220000	I don't know what you're talking about, but I don't know what you're talking about.
220000	224000	I don't know what you're talking about.
224000	228000	I don't know what you're talking about, but I don't know what you're talking about.
228000	232000	I don't know what you're talking about.
232000	236000	I don't know what you're talking about, but I don't know what you're talking about.
236000	240000	I don't know what you're talking about, but I don't know what you're talking about.
240000	244000	I don't know what you're talking about, but I don't know what you're talking about.
244000	248000	I don't know what you're talking about, but I don't know what you're talking about.
248000	252000	I don't know what you're talking about, but I don't know what you're talking about.
252000	256000	I don't know what you're talking about, but I don't know what you're talking about.
256000	260000	I don't know what you're talking about.
260000	264000	I don't know what you're talking about, but I don't know what you're talking about.
264000	268000	I don't know what you're talking about, but I don't know what you're talking about.
268000	272000	I don't know what you're talking about, but I don't know what you're talking about.
272000	276000	I don't know what you're talking about, but I don't know what you're talking about.
276000	280000	I don't know what you're talking about, but I don't know what you're talking about.
280000	284000	I don't know what you're talking about, but I don't know what you're talking about.
284000	288000	I don't know what you're talking about, but I don't know what you're talking about.
288000	292000	I don't know what you're talking about, but I don't know what you're talking about.
292000	296000	I don't know what you're talking about, but I don't know what you're talking about.
296000	300000	I don't know what you're talking about, but I don't know what you're talking about.
300000	304000	I don't know what you're talking about, but I don't know what you're talking about.
304000	308000	I don't know what you're talking about, but I don't know what you're talking about.
308000	312000	I don't know what you're talking about.
312000	316000	I don't know what you're talking about, but I don't know what you're talking about.
316000	320000	I don't know what you're talking about, but I don't know what you're talking about.
320000	324000	I don't know what you're talking about, but I don't know what you're talking about.
324000	328000	I don't know what you're talking about, but I don't know what you're talking about.
328000	332000	I don't know what you're talking about, but I don't know what you're talking about.
332000	336000	I don't know what you're talking about.
336000	340000	I don't know what you're talking about, but I don't know what you're talking about.
340000	344000	I don't know what you're talking about, but I don't know what you're talking about.
344000	348000	I don't know what you're talking about.
348000	352000	I don't know what you're talking about, but I don't know what you're talking about.
352000	356000	I don't know what you're talking about, but I don't know what you're talking about.
356000	360000	I don't know what you're talking about, but I don't know what you're talking about.
360000	364000	I don't know what you're talking about, but I don't know what you're talking about.
364000	368000	I don't know what you're talking about, but I don't know what you're talking about.
368000	372000	I don't know what you're talking about, but I don't know what you're talking about.
372000	376000	I don't know what you're talking about, but I don't know what you're talking about.
376000	380000	I don't know what you're talking about, but I don't know what you're talking about.
380000	384000	I don't know what you're talking about, but I don't know what you're talking about.
384000	388000	I don't know what you're talking about, but I don't know what you're talking about.
388000	392000	I don't know what you're talking about, but I don't know what you're talking about.
392000	396000	I don't know what you're talking about.
396000	400000	I don't know what you're talking about, but I don't know what you're talking about.
400000	404000	I don't know what you're talking about, but I don't know what you're talking about.
404000	408000	I don't know what you're talking about, but I don't know what you're talking about.
408000	412000	I don't know what you're talking about, but I don't know what you're talking about.
412000	416000	I don't know what you're talking about, but I don't know what you're talking about.
416000	420000	I don't know what you're talking about, but I don't know what you're talking about.
420000	424000	I don't know what you're talking about.
424000	428000	I don't know what you're talking about, but I don't know what you're talking about.
428000	432000	I don't know what you're talking about.
432000	436000	I don't know what you're talking about, but I don't know what you're talking about.
436000	440000	I don't know what you're talking about, but I don't know what you're talking about.
440000	444000	I don't know what you're talking about, but I don't know what you're talking about.
444000	448000	I don't know what you're talking about, but I don't know what you're talking about.
448000	452000	I don't know what you're talking about, but I don't know what you're talking about.
452000	456000	I don't know what you're talking about, but I don't know what you're talking about.
456000	460000	I don't know what you're talking about, but I don't know what you're talking about.
460000	464000	I don't know what you're talking about, but I don't know what you're talking about.
464000	468000	I don't know what you're talking about, but I don't know what you're talking about.
468000	472000	I don't know what you're talking about, but I don't know what you're talking about.
472000	476000	I don't know what you're talking about.
476000	480000	I don't know what you're talking about, but I don't know what you're talking about.
480000	484000	I don't know what you're talking about, but I don't know what you're talking about.
484000	488000	I don't know what you're talking about, but I don't know what you're talking about.
488000	492000	I don't know what you're talking about, but I don't know what you're talking about.
492000	496000	I don't know what you're talking about, but I don't know what you're talking about.
496000	500000	I don't know what you're talking about, but I don't know what you're talking about.
500000	504000	I don't know what you're talking about, but I don't know what you're talking about.
504000	508000	I don't know what you're talking about.
508000	512000	I don't know what you're talking about.
512000	516000	I don't know what you're talking about, but I don't know what you're talking about.
516000	520000	I don't know what you're talking about, but I don't know what you're talking about.
520000	524000	I don't know what you're talking about, but I don't know what you're talking about.
524000	528000	I don't know what you're talking about, but I don't know what you're talking about.
528000	532000	I don't know what you're talking about, but I don't know what you're talking about.
532000	536000	I don't know what you're talking about, but I don't know what you're talking about.
536000	540000	I don't know what you're talking about, but I don't know what you're talking about.
540000	544000	I don't know what you're talking about, but I don't know what you're talking about.
544000	548000	I don't know what you're talking about, but I don't know what you're talking about.
548000	552000	I don't know what you're talking about, but I don't know what you're talking about.
552000	556000	I don't know what you're talking about, but I don't know what you're talking about.
