start	end	text
0	30000	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
30000	33880	I'm sorry.
60000	65000	I don't know if you can hear me, but I'm going to show you how to do it.
65000	67000	I'm going to show you how to do it.
67000	69000	I'm going to show you how to do it.
69000	71000	I'm going to show you how to do it.
71000	73000	I'm going to show you how to do it.
73000	75000	I'm going to show you how to do it.
75000	77000	I'm going to show you how to do it.
77000	79000	I'm going to show you how to do it.
79000	81000	I'm going to show you how to do it.
81000	83000	I'm going to show you how to do it.
83000	85000	I'm going to show you how to do it.
85000	87000	I'm going to show you how to do it.
87000	89000	I'm going to show you how to do it.
89000	91000	I'm going to show you how to do it.
91000	93000	I'm going to show you how to do it.
93000	95000	I'm going to show you how to do it.
95000	97000	I'm going to show you how to do it.
97000	99000	I'm going to show you how to do it.
99000	101000	I'm going to show you how to do it.
101000	103000	I'm going to show you how to do it.
103000	105000	I'm going to show you how to do it.
105000	107000	I'm going to show you how to do it.
107000	109000	I'm going to show you how to do it.
109000	111000	I'm going to show you how to do it.
111000	113000	I'm going to show you how to do it.
113000	115000	I'm going to show you how to do it.
115000	117000	I'm going to show you how to do it.
117000	119000	I'm going to show you how to do it.
119000	121000	I'm going to show you how to do it.
121000	123000	I'm going to show you how to do it.
123000	125000	I'm going to show you how to do it.
125000	127000	I'm going to show you how to do it.
127000	129000	I'm going to show you how to do it.
129000	131000	I'm going to show you how to do it.
131000	133000	I'm going to show you how to do it.
133000	135000	I'm going to show you how to do it.
135000	137000	I'm going to show you how to do it.
139000	141000	I'm going to show you how to do it.
141000	143000	I'm going to show you how to do it.
143000	145000	I'm going to show you how to do it.
145000	147000	I'm going to show you how to do it.
147000	149000	I'm going to show you how to do it.
149000	151000	I'm going to show you how to do it.
151000	153000	I'm going to show you how to do it.
153000	155000	I'm going to show you how to do it.
155000	157000	I'm going to show you how to do it.
157000	159000	I'm going to show you how to do it.
159000	161000	I'm going to show you how to do it.
161000	163000	I'm going to show you how to do it.
165000	167000	I'm going to show you how to do it.
167000	169000	I'm going to show you how to do it.
169000	171000	I'm going to show you how to do it.
171000	173000	I'm going to show you how to do it.
173000	175000	I'm going to show you how to do it.
175000	177000	I'm going to show you how to do it.
177000	179000	I'm going to show you how to do it.
179000	181000	I'm going to show you how to do it.
181000	183000	I'm going to show you how to do it.
183000	185000	I'm going to show you how to do it.
185000	187000	I'm going to show you how to do it.
187000	189000	I'm going to show you how to do it.
191000	193000	I'm going to show you how to do it.
193000	195000	I'm going to show you how to do it.
195000	197000	I'm going to show you how to do it.
197000	199000	I'm going to show you how to do it.
199000	201000	I'm going to show you how to do it.
201000	203000	I'm going to show you how to do it.
203000	205000	I'm going to show you how to do it.
205000	207000	I'm going to show you how to do it.
207000	209000	I'm going to show you how to do it.
209000	211000	I'm going to show you how to do it.
211000	213000	I'm going to show you how to do it.
213000	215000	I'm going to show you how to do it.
217000	219000	I'm going to show you how to do it.
219000	221000	I'm going to show you how to do it.
221000	223000	I'm going to show you how to do it.
223000	225000	I'm going to show you how to do it.
225000	227000	I'm going to show you how to do it.
227000	229000	I'm going to show you how to do it.
229000	231000	I'm going to show you how to do it.
233000	235000	I'm going to show you how to do it.
235000	237000	I'm going to show you how to do it.
237000	239000	I'm going to show you how to do it.
239000	241000	I'm going to show you how to do it.
241000	243000	I'm going to show you how to do it.
243000	245000	I'm going to show you how to do it.
245000	247000	I'm going to show you how to do it.
247000	249000	I'm going to show you how to do it.
249000	251000	I'm going to show you how to do it.
251000	253000	I'm going to show you how to do it.
253000	255000	I'm going to show you how to do it.
255000	257000	I'm going to show you how to do it.
257000	259000	I'm going to show you how to do it.
259000	261000	I'm going to show you how to do it.
261000	263000	I'm going to show you how to do it.
263000	265000	I'm going to show you how to do it.
265000	267000	I'm going to show you how to do it.
269000	271000	I'm going to show you how to do it.
271000	273000	I'm going to show you how to do it.
273000	275000	I'm going to show you how to do it.
275000	277000	I'm going to show you how to do it.
277000	279000	I'm going to show you how to do it.
279000	281000	I'm going to show you how to do it.
281000	283000	I'm going to show you how to do it.
283000	285000	I'm going to show you how to do it.
285000	287000	I'm going to show you how to do it.
287000	289000	I'm going to show you how to do it.
289000	291000	I'm going to show you how to do it.
291000	293000	I'm going to show you how to do it.
293000	295000	I'm going to show you how to do it.
295000	297000	I'm going to show you how to do it.
297000	299000	I'm going to show you how to do it.
301000	303000	I'm going to show you how to do it.
303000	305000	I'm going to show you how to do it.
305000	307000	I'm going to show you how to do it.
307000	309000	I'm going to show you how to do it.
309000	311000	I'm going to show you how to do it.
311000	313000	I'm going to show you how to do it.
313000	315000	I'm going to show you how to do it.
315000	317000	I'm going to show you how to do it.
317000	319000	I'm going to show you how to do it.
319000	321000	I'm going to show you how to do it.
321000	323000	I'm going to show you how to do it.
323000	325000	I'm going to show you how to do it.
327000	329000	I'm going to show you how to do it.
329000	331000	I'm going to show you how to do it.
331000	333000	I'm going to show you how to do it.
333000	335000	I'm going to show you how to do it.
335000	337000	I'm going to show you how to do it.
337000	339000	I'm going to show you how to do it.
339000	341000	I'm going to show you how to do it.
341000	343000	I'm going to show you how to do it.
343000	345000	I'm going to show you how to do it.
345000	347000	I'm going to show you how to do it.
347000	349000	I'm going to show you how to do it.
349000	351000	I'm going to show you how to do it.
351000	353000	I'm going to show you how to do it.
353000	355000	I'm going to show you how to do it.
355000	357000	I'm going to show you how to do it.
357000	359000	I'm going to show you how to do it.
359000	361000	I'm going to show you how to do it.
361000	363000	I'm going to show you how to do it.
363000	365000	I'm going to show you how to do it.
365000	367000	I'm going to show you how to do it.
367000	369000	I'm going to show you how to do it.
369000	371000	I'm going to show you how to do it.
371000	373000	I'm going to show you how to do it.
373000	375000	I'm going to show you how to do it.
375000	377000	I'm going to show you how to do it.
377000	379000	I'm going to show you how to do it.
379000	381000	I'm going to show you how to do it.
381000	383000	I'm going to show you how to do it.
385000	387000	I'm going to show you how to do it.
387000	389000	I'm going to show you how to do it.
389000	391000	I'm going to show you how to do it.
391000	393000	I'm going to show you how to do it.
393000	395000	I'm going to show you how to do it.
395000	397000	I'm going to show you how to do it.
397000	399000	I'm going to show you how to do it.
399000	401000	I'm going to show you how to do it.
401000	403000	I'm going to show you how to do it.
403000	405000	I'm going to show you how to do it.
405000	407000	I'm going to show you how to do it.
407000	409000	I'm going to show you how to do it.
409000	411000	I'm going to show you how to do it.
412000	414000	I'm going to show you how to do it.
