start	end	text
0	2000	Good.
2000	4000	Good.
4000	6000	Good.
6000	8000	Good.
8000	10000	Good.
10000	12000	Good.
12000	14000	Good.
14000	16000	Good.
16000	18000	Good.
18000	20000	Good.
20000	22000	Good.
22000	24000	Good.
26000	28000	Good.
28000	30000	Good.
30000	32000	Good.
32000	34000	Good.
34000	36000	Good.
36000	38000	Good.
38000	40000	Good.
40000	42000	Good.
44000	46000	Good.
46000	48000	Good.
48000	50000	Good.
50000	52000	Good.
52000	54000	Good.
54000	56000	Good.
56000	58000	I'm going to show you how to do it.
58000	60000	I'm going to show you how to do it.
60000	62000	I'm going to show you how to do it.
62000	64000	I'm going to show you how to do it.
64000	66000	I'm going to show you how to do it.
66000	68000	I'm going to show you how to do it.
68000	70000	I'm going to show you how to do it.
70000	72000	I'm going to show you how to do it.
72000	74000	I'm going to show you how to do it.
74000	76000	I'm going to show you how to do it.
76000	78000	I'm going to show you how to do it.
80000	82000	I'm going to show you how to do it.
82000	84000	I'm going to show you how to do it.
84000	86000	I'm going to show you how to do it.
86000	88000	I'm going to show you how to do it.
88000	90000	I'm going to show you how to do it.
90000	92000	I'm going to show you how to do it.
92000	94000	I'm going to show you how to do it.
94000	96000	I'm going to show you how to do it.
96000	98000	I'm going to show you how to do it.
98000	100000	I'm going to show you how to do it.
100000	102000	I'm going to show you how to do it.
102000	104000	I'm going to show you how to do it.
104000	106000	I'm going to show you how to do it.
106000	108000	I'm going to show you how to do it.
108000	110000	I'm going to show you how to do it.
110000	112000	I'm going to show you how to do it.
112000	142000	I'm not going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell
142000	145000	you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm
145000	148000	going to tell you, I'm going to tell you what I'm going to tell you, I'm going to tell you
148000	151000	what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm going to
151000	154000	tell you what I'm going to tell you, I'm going to tell you what I'm going to tell you, I'm
154000	157000	going to tell you what I'm going to tell you, I'm going to tell you what I'm going to tell
157000	160000	you, I'm going to tell you what I'm going to tell you, I'm going to tell you what I'm
