start	end	text
0	2000	I don't know what you're talking about.
2000	4000	I don't know what you're talking about.
4000	6000	I don't know what you're talking about.
6000	8000	I don't know what you're talking about.
8000	10000	I don't know what you're talking about.
10000	12000	I don't know what you're talking about.
12000	14000	I don't know what you're talking about.
14000	16000	I don't know what you're talking about.
16000	18000	I don't know what you're talking about.
18000	20000	I don't know what you're talking about.
20000	22000	I don't know what you're talking about.
24000	26000	I don't know what you're talking about.
26000	28000	I don't know what you're talking about.
28000	30000	I don't know what you're talking about.
30000	32000	I don't know what you're talking about.
32000	34000	I don't know what you're talking about.
34000	36000	I don't know what you're talking about.
40000	42000	I don't know what you're talking about.
44000	46000	I don't know what you're talking about.
46000	47600	I don't know what you're talking about.
47600	50000	I don't know what you're talking about.
52000	54000	I don't know what you're talking about.
54000	56000	I don't know what you're talking about.
56000	86000	I'm sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry, I'm so sorry
86000	88000	Why would I be so sorry?
88000	90000	Why wouldn't I be so sorry?
90000	94000	Why wouldn't I be so sorry?
94000	96000	Why wouldn't I be so sorry?
96000	98000	Why wouldn't I be so terrible?
100000	102000	Why wouldn't I be so happy?
106000	107000	Set yourself free
110000	115000	Anyone who knows why everyone wants to become the Jacus
115000	117000	Now, I'm going to show you how to do it.
117000	119000	I'm going to show you how to do it.
119000	121000	Now, I'm going to show you how to do it.
121000	123000	I'm going to show you how to do it.
123000	125000	Now, I'm going to show you how to do it.
125000	127000	Now, I'm going to show you how to do it.
127000	129000	Now, I'm going to show you how to do it.
129000	131000	Now, I'm going to show you how to do it.
131000	133000	Now, I'm going to show you how to do it.
133000	135000	Now, I'm going to show you how to do it.
135000	137000	Now, I'm going to show you how to do it.
137000	139000	Now, I'm going to show you how to do it.
139000	141000	Now, I'm going to show you how to do it.
141000	143000	Now, I'm going to show you how to do it.
143000	145000	Now, I'm going to show you how to do it.
145000	147000	Now, I'm going to show you how to do it.
147000	149000	Now, I'm going to show you how to do it.
149000	151000	Now, I'm going to show you how to do it.
151000	153000	Now, I'm going to show you how to do it.
153000	155000	Now, I'm going to show you how to do it.
155000	157000	Now, I'm going to show you how to do it.
157000	159000	Now, I'm going to show you how to do it.
159000	161000	Now, I'm going to show you how to do it.
161000	165000	Now, I'm going to show you how to do it.
165000	167000	Now, I'm going to show you how to do it.
167000	169000	Now, I'm going to show you how to do it.
169000	171000	Now, I'm going to show you how to do it.
171000	173000	Now, I'm going to show you how to do it.
173000	175000	Now, I'm going to show you how to do it.
175000	177000	Now, I'm going to show you how to do it.
177000	179000	Now, I'm going to show you how to do it.
179000	181000	Now, I'm going to show you how to do it.
181000	183000	Now, I'm going to show you how to do it.
183000	185000	Now, I'm going to show you how to do it.
185000	187000	Now, I'm going to show you how to do it.
187000	189000	Now, I'm going to show you how to do it.
189000	191000	Now, I'm going to show you how to do it.
191000	193000	Now, I'm going to show you how to do it.
193000	195000	Now, I'm going to show you how to do it.
195000	197000	Now, I'm going to show you how to do it.
197000	199000	Now, I'm going to show you how to do it.
199000	201000	Now, I'm going to show you how to do it.
201000	203000	Now, I'm going to show you how to do it.
203000	205000	Now, I'm going to show you how to do it.
205000	207000	Now, I'm going to show you how to do it.
207000	209000	Now, I'm going to show you how to do it.
209000	211000	Now, I'm going to show you how to do it.
211000	213000	Now, I'm going to show you how to do it.
213000	215000	Now, I'm going to show you how to do it.
215000	217000	Now, I'm going to show you how to do it.
217000	219000	Now, I'm going to show you how to do it.
219000	221000	Now, I'm going to show you how to do it.
221000	223000	Now, I'm going to show you how to do it.
223000	225000	Now, I'm going to show you how to do it.
225000	227000	Now, I'm going to show you how to do it.
227000	229000	Now, I'm going to show you how to do it.
229000	231000	Now, I'm going to show you how to do it.
231000	233000	Now, I'm going to show you how to do it.
233000	235000	Now, I'm going to show you how to do it.
235000	237000	Now, I'm going to show you how to do it.
237000	239000	Now, I'm going to show you how to do it.
240000	242000	Now, I'm going to show you how to do it.
242000	244000	Now, I'm going to show you how to do it.
244000	246000	Now, I'm going to show you how to do it.
246000	248000	Now, I'm going to show you how to do it.
248000	250000	Now, I'm going to show you how to do it.
250000	252000	Now, I'm going to show you how to do it.
252000	254000	Now, I'm going to show you how to do it.
