start	end	text
0	30000	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
30000	31400	I'm sorry.
60000	90000	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
90000	103340	I'm sorry I'm sorry I'm sorry I'm sorry, I'm sorry I'm sorry nope
103340	133340	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
133340	144380	I'm sorry, I'm sorry, I'm sorry
163340	193340	I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm
193340	223340	not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not,
223340	235940	but I'm not sure if you can hear me or not, but I'm not sure if you can hear me or not,
240540	249140	but I'm not sure if you can hear me or not,
249140	278200	Thanks man.
278200	285200	I don't know what you're talking about, but I don't know what you're talking about.
285200	287200	I don't know what you're talking about.
287200	289200	I don't know what you're talking about.
289200	291200	I don't know what you're talking about.
291200	293200	I don't know what you're talking about.
293200	295200	I don't know what you're talking about.
295200	297200	I don't know what you're talking about.
297200	299200	I don't know what you're talking about.
299200	301200	I don't know what you're talking about.
301200	303200	I don't know what you're talking about.
303200	305200	I don't know what you're talking about.
305200	307200	I don't know what you're talking about.
308200	310200	I don't know what you're talking about.
310200	312200	I don't know what you're talking about.
312200	316200	I don't know what you're talking about.
316200	319200	I don't know what you're talking about.
319200	321200	I don't know what you're talking about.
321200	323200	I don't know what you're talking about.
323200	325200	I don't know what you are talking about.
335200	337200	I don't know what you're talking about.
337200	339200	I don't know what you're talking about.
339200	341200	I don't know what you're talking about.
