start	end	text
0	5000	I don't know what to do with you, but I don't know what to do with you.
5000	9000	I don't know what to do with you, but I don't know what to do with you.
9000	14000	I don't know what to do with you, but I don't know what to do with you.
14000	18000	I don't know what to do with you, but I don't know what to do with you.
18000	22000	I don't know what to do with you, but I don't know what to do with you.
22000	27000	I don't know what to do with you, but I don't know what to do with you.
27000	32000	I don't know what to do with you, but I don't know what to do with you.
32000	37000	I don't know what to do with you, but I don't know what to do with you.
37000	42000	I don't know what to do with you, but I don't know what to do with you.
42000	47000	I don't know what to do with you, but I don't know what to do with you.
47000	52000	I don't know what to do with you, but I don't know what to do with you.
52000	56000	I don't know what to do with you, but I don't know what to do with you.
56000	61000	I don't know what to do with you, but I don't know what to do with you.
61000	66000	I don't know what to do with you, but I don't know what to do with you.
66000	71000	I don't know what to do with you, but I don't know what to do with you.
71000	75000	I don't know what to do with you, but I don't know what to do with you.
75000	80000	I don't know what to do with you, but I don't know what to do with you.
80000	85000	I don't know what to do with you, but I don't know what to do with you.
85000	90000	I don't know what to do with you, but I don't know what to do with you.
90000	95000	I don't know what to do with you, but I don't know what to do with you.
95000	100000	I don't know what to do with you, but I don't know what to do with you.
100000	105000	I don't know what to do with you, but I don't know what to do with you.
105000	110000	I don't know what to do with you, but I don't know what to do with you.
110000	115000	I don't know what to do with you, but I don't know what to do with you.
115000	120000	I don't know what to do with you, but I don't know what to do with you.
120000	125000	I don't know what to do with you, but I don't know what to do with you.
125000	130000	I don't know what to do with you, but I don't know what to do with you.
130000	135000	I don't know what to do with you.
135000	140000	I don't know what to do with you, but I don't know what to do with you.
140000	145000	I don't know what to do with you, but I don't know what to do with you.
145000	150000	I don't know what to do with you, but I don't know what to do with you.
150000	155000	I don't know what to do with you.
155000	160000	I don't know what to do with you.
160000	165000	I don't know what to do with you.
165000	170000	I don't know what to do with you.
170000	175000	I don't know what to do with you.
175000	180000	I don't know what to do with you.
180000	185000	I don't know what to do with you.
185000	190000	I don't know what to do with you.
190000	195000	I don't know what to do with you.
195000	200000	I don't know what to do with you.
200000	205000	I don't know what to do with you.
205000	210000	I don't know what to do with you.
210000	215000	I don't know what to do with you.
215000	220000	I don't know what to do with you.
220000	225000	I don't know what to do with you.
225000	230000	I don't know what to do with you.
230000	235000	I don't know what to do with you.
235000	240000	I don't know what to do with you.
240000	245000	I don't know what to do with you.
245000	250000	I don't know what to do with you.
250000	255000	I don't know what to do with you.
255000	260000	I don't know what to do with you.
260000	265000	I don't know what to do with you.
265000	270000	I don't know what to do with you.
270000	275000	I don't know what to do with you.
275000	280000	I don't know what to do with you.
280000	285000	I don't know what to do with you.
285000	290000	I don't know what to do with you.
290000	295000	I don't know what to do with you.
295000	300000	I don't know what to do with you.
300000	305000	I don't know what to do with you.
305000	310000	I don't know what to do with you.
310000	315000	I don't know what to do with you.
315000	320000	I don't know what to do with you.
320000	325000	I don't know what to do with you.
325000	330000	I don't know what to do with you.
330000	335000	I don't know what to do with you.
335000	340000	I don't know what to do with you.
340000	345000	I don't know what to do with you.
345000	350000	I don't know what to do with you.
350000	355000	I don't know what to do with you.
355000	360000	I don't know what to do with you.
360000	365000	I don't know what to do with you.
365000	370000	I don't know what to do with you.
370000	375000	I don't know what to do with you.
375000	380000	I don't know what to do with you.
380000	385000	I don't know what to do with you.
385000	390000	I don't know what to do with you.
390000	395000	I don't know what to do with you.
395000	400000	I don't know what to do with you.
400000	405000	I don't know what to do with you.
405000	410000	I don't know what to do with you.
410000	415000	I don't know what to do with you.
415000	420000	I don't know what to do with you.
420000	425000	I don't know what to do with you.
425000	430000	I don't know what to do with you.
430000	435000	I don't know what to do with you.
435000	440000	I don't know what to do with you.
