start	end	text
0	30000	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
30000	33840	but no, no.
33840	35720	I just haven't finished yet.
35720	38120	Here I am.
42400	44820	That's weird, that's weird only.
45300	49520	Try again, stand there, stay where you are
49520	53160	because I'm quandainere.
54040	55760	I'm always when we're alone.
55760	58240	It makes me look...
60000	62000	Okay.
62000	64000	Okay.
64000	66000	Okay.
66000	68000	Okay.
68000	70000	Okay.
70000	72000	Okay.
72000	74000	Okay.
74000	76000	Okay.
76000	78000	Okay.
78000	80000	Okay.
80000	82000	Okay.
82000	84000	Okay.
84000	86000	Okay.
86000	88000	Okay.
88000	90000	Okay.
90000	92000	Okay.
92000	94000	Okay.
94000	96000	Okay.
96000	98000	Okay.
98000	100000	Okay.
100000	102000	Okay.
102000	104000	Okay.
104000	106000	Okay.
106000	108000	Okay.
108000	110000	Okay.
110000	112000	Okay.
112000	114000	Okay.
114000	116000	Okay.
116000	118000	Now, I'm going to show you how to do it.
118000	120000	I'm going to show you how to do it.
120000	122000	I'm going to show you how to do it.
122000	124000	I'm going to show you how to do it.
124000	126000	I'm going to show you how to do it.
126000	128000	I'm going to show you how to do it.
128000	130000	I'm going to show you how to do it.
132000	134000	I'm going to show you how to do it.
134000	136000	I'm going to show you how to do it.
136000	138000	I'm going to show you how to do it.
138000	140000	I'm going to show you how to do it.
140000	142000	I'm going to show you how to do it.
142000	144000	I'm going to show you how to do it.
144000	146000	I'm going to show you how to do it.
146000	148000	I'm going to show you how to do it.
148000	150000	I'm going to show you how to do it.
150000	152000	I'm going to show you how to do it.
