start	end	text
0	2000	I don't know what you're talking about.
2000	4000	I don't know what you're talking about.
4000	6000	I don't know what you're talking about.
6000	8000	I don't know what you're talking about.
8000	10000	I don't know what you're talking about.
10000	12000	I don't know what you're talking about.
12000	14000	I don't know what you're talking about.
14000	16000	I don't know what you're talking about.
16000	18000	I don't know what you're talking about.
18000	20000	I don't know what you're talking about.
20000	22000	I don't know what you're talking about.
22000	24000	I don't know what you're talking about.
26000	28000	I don't know what you're talking about.
28000	30000	I don't know what you're talking about.
30000	32000	I don't know what you're talking about.
32000	34000	I don't know what you're talking about.
34000	36000	I don't know what you're talking about.
36000	38000	I don't know what you're talking about.
40000	42000	I don't know what you're talking about.
42000	44000	I don't know what you're talking about.
44000	46000	I don't know what you're talking about.
46000	48000	I don't know what you're talking about.
50000	52000	I don't know what you're talking about.
52000	54000	I don't know what you're talking about.
54000	56000	I don't know what you're talking about.
56000	60000	I don't know if you can hear me, but I can hear you.
60000	62000	I can hear you.
62000	64000	I can hear you.
64000	66000	I can hear you.
66000	68000	I can hear you.
68000	70000	I can hear you.
70000	72000	I can hear you.
72000	74000	I can hear you.
74000	76000	I can hear you.
76000	78000	I can hear you.
78000	80000	I can hear you.
80000	82000	I can hear you.
82000	84000	I can hear you.
84000	86000	I can hear you.
86000	88000	I can hear you.
90000	92000	I can hear you.
92000	94000	I can hear you.
94000	96000	I can hear you.
96000	98000	I can hear you.
98000	100000	I can hear you.
100000	102000	I can hear you.
102000	104000	I can hear you.
104000	106000	I can hear you.
106000	108000	I can hear you.
108000	110000	I can hear you.
110000	112000	I can hear you.
112000	114000	I can hear you.
114000	116000	I can hear you.
116000	118000	I can hear you.
118000	120000	I can hear you.
120000	122000	I can hear you.
122000	124000	I can hear you.
124000	126000	I can hear you.
126000	128000	I can hear you.
128000	130000	I can hear you.
130000	132000	I can hear you.
132000	134000	I can hear you.
134000	136000	I can hear you.
136000	138000	I can hear you.
138000	148000	I don't know what you're talking about, but I don't know what you're talking about.
148000	154000	I don't know what you're talking about, but I don't know what you're talking about.
154000	162000	I don't know what you're talking about, but I don't know what you're talking about.
162000	171000	I don't know what you're talking about, but I don't know what you're talking about.
171000	179000	I don't know what you're talking about, but I don't know what you're talking about.
179000	187000	I don't know what you're talking about, but I don't know what you're talking about.
187000	196000	I don't know what you're talking about, but I don't know what you're talking about.
196000	204000	I don't know what you're talking about, but I don't know what you're talking about.
204000	212000	I don't know what you're talking about, but I don't know what you're talking about.
212000	220000	I don't know what you're talking about, but I don't know what you're talking about.
220000	228000	I don't know what you're talking about, but I don't know what you're talking about.
228000	236000	I don't know what you're talking about, but I don't know what you're talking about.
236000	244000	I don't know what you're talking about, but I don't know what you're talking about.
244000	252000	I don't know what you're talking about, but I don't know what you're talking about.
252000	260000	I don't know what you're talking about, but I don't know what you're talking about.
260000	268000	I don't know what you're talking about, but I don't know what you're talking about.
268000	276000	I don't know what you're talking about, but I don't know what you're talking about.
276000	284000	I don't know what you're talking about, but I don't know what you're talking about.
284000	292000	I don't know what you're talking about, but I don't know what you're talking about.
292000	300000	I don't know what you're talking about, but I don't know what you're talking about.
300000	308000	I don't know what you're talking about, but I don't know what you're talking about.
308000	316000	I don't know what you're talking about, but I don't know what you're talking about.
316000	324000	I don't know what you're talking about, but I don't know what you're talking about.
324000	332000	I don't know what you're talking about, but I don't know what you're talking about.
332000	340000	I don't know what you're talking about, but I don't know what you're talking about.
