start	end	text
0	4000	I don't know what you're talking about, but I'm sure you're going to have a lot of fun playing this game.
4000	6000	I'm sure you're going to have a lot of fun playing this game.
6000	8000	I'm sure you're going to have a lot of fun playing this game.
8000	10000	I'm sure you're going to have a lot of fun playing this game.
10000	12000	I'm sure you're going to have a lot of fun playing this game.
12000	14000	I'm sure you're going to have a lot of fun playing this game.
14000	16000	I'm sure you're going to have a lot of fun playing this game.
16000	18000	I'm sure you're going to have a lot of fun playing this game.
18000	20000	I'm sure you're going to have a lot of fun playing this game.
20000	22000	I'm sure you're going to have a lot of fun playing this game.
22000	24000	I'm sure you're going to have a lot of fun playing this game.
24000	26000	I'm sure you're going to have a lot of fun playing this game.
26000	28000	I'm sure you're going to have a lot of fun playing this game.
28000	30000	I'm sure you're going to have a lot of fun playing this game.
30000	32000	I'm sure you're going to have a lot of fun playing this game.
32000	34000	I'm sure you're going to have a lot of fun playing this game.
34000	36000	I'm sure you're going to have a lot of fun playing this game.
36000	38000	I'm sure you're going to have a lot of fun playing this game.
38000	40000	I'm sure you're going to have a lot of fun playing this game.
40000	42000	I'm sure you're going to have a lot of fun playing this game.
42000	44000	I'm sure you're going to have a lot of fun playing this game.
44000	46000	I'm sure you're going to have a lot of fun playing this game.
46000	48000	I'm sure you're going to have a lot of fun playing this game.
48000	50000	I'm sure you're going to have a lot of fun playing this game.
50000	52000	I'm sure you're going to have a lot of fun playing this game.
52000	54000	I'm sure you're going to have a lot of fun playing this game.
54000	56000	I'm sure you're going to have a lot of fun playing this game.
56000	58000	I'm sure you're going to have a lot of fun playing this game.
58000	60000	I'm sure you're going to have a lot of fun playing this game.
60000	62000	I'm sure you're going to have a lot of fun playing this game.
62000	64000	I'm sure you're going to have a lot of fun playing this game.
64000	66000	I'm sure you're going to have a lot of fun playing this game.
66000	68000	I'm sure you're going to have a lot of fun playing this game.
68000	70000	I'm sure you're going to have a lot of fun playing this game.
70000	72000	I'm sure you're going to have a lot of fun playing this game.
72000	74000	I'm sure you're going to have a lot of fun playing this game.
74000	76000	I'm sure you're going to have a lot of fun playing this game.
76000	78000	I'm sure you're going to have a lot of fun playing this game.
78000	80000	I'm sure you're going to have a lot of fun playing this game.
80000	82000	I'm sure you're going to have a lot of fun playing this game.
82000	84000	I'm sure you're going to have a lot of fun playing this game.
84000	86000	I'm sure you're going to have a lot of fun playing this game.
86000	88000	I'm sure you're going to have a lot of fun playing this game.
88000	90000	I'm sure you're going to have a lot of fun playing this game.
90000	92000	I'm sure you're going to have a lot of fun playing this game.
92000	94000	I'm sure you're going to have a lot of fun playing this game.
94000	96000	I'm sure you're going to have a lot of fun playing this game.
96000	98000	I'm sure you're going to have a lot of fun playing this game.
98000	100000	I'm sure you're going to have a lot of fun playing this game.
100000	102000	I'm sure you're going to have a lot of fun playing this game.
102000	104000	I'm sure you're going to have a lot of fun playing this game.
104000	106000	I'm sure you're going to have a lot of fun playing this game.
106000	108000	I'm sure you're going to have a lot of fun playing this game.
108000	110000	I'm sure you're going to have a lot of fun playing this game.
110000	112000	I'm sure you're going to have a lot of fun playing this game.
112000	114000	I'm sure you're going to have a lot of fun playing this game.
114000	116000	I'm sure you're going to have a lot of fun playing this game.
116000	118000	I'm sure you're going to have a lot of fun playing this game.
118000	120000	I'm sure you're going to have a lot of fun playing this game.
120000	122000	I'm sure you're going to have a lot of fun playing this game.
122000	124000	I'm sure you're going to have a lot of fun playing this game.
124000	126000	I'm sure you're going to have a lot of fun playing this game.
126000	128000	I'm sure you're going to have a lot of fun playing this game.
128000	130000	I'm sure you're going to have a lot of fun playing this game.
130000	132000	I'm sure you're going to have a lot of fun playing this game.
132000	134000	I'm sure you're going to have a lot of fun playing this game.
134000	136000	I'm sure you're going to have a lot of fun playing this game.
136000	138000	I'm sure you're going to have a lot of fun playing this game.
138000	140000	I'm sure you're going to have a lot of fun playing this game.
140000	142000	I'm sure you're going to have a lot of fun playing this game.
142000	144000	I'm sure you're going to have a lot of fun playing this game.
144000	146000	I'm sure you're going to have a lot of fun playing this game.
146000	148000	I'm sure you're going to have a lot of fun playing this game.
148000	150000	I'm sure you're going to have a lot of fun playing this game.
150000	152000	I'm sure you're going to have a lot of fun playing this game.
152000	154000	I'm sure you're going to have a lot of fun playing this game.
154000	156000	I'm sure you're going to have a lot of fun playing this game.
156000	158000	I'm sure you're going to have a lot of fun playing this game.
158000	160000	I'm sure you're going to have a lot of fun playing this game.
160000	162000	I'm sure you're going to have a lot of fun playing this game.
162000	164000	I'm sure you're going to have a lot of fun playing this game.
164000	166000	I'm sure you're going to have a lot of fun playing this game.
166000	168000	I'm sure you're going to have a lot of fun playing this game.
168000	170000	I'm sure you're going to have a lot of fun playing this game.
170000	172000	I'm sure you're going to have a lot of fun playing this game.
172000	174000	I'm sure you're going to have a lot of fun playing this game.
174000	176000	I'm sure you're going to have a lot of fun playing this game.
176000	178000	I'm sure you're going to have a lot of fun playing this game.
178000	180000	I'm sure you're going to have a lot of fun playing this game.
180000	182000	I'm sure you're going to have a lot of fun playing this game.
182000	184000	I'm sure you're going to have a lot of fun playing this game.
184000	186000	I'm sure you're going to have a lot of fun playing this game.
186000	188000	I'm sure you're going to have a lot of fun playing this game.
188000	190000	I'm sure you're going to have a lot of fun playing this game.
190000	192000	I'm sure you're going to have a lot of fun playing this game.
192000	194000	I'm sure you're going to have a lot of fun playing this game.
194000	196000	I'm sure you're going to have a lot of fun playing this game.
196000	198000	I'm sure you're going to have a lot of fun playing this game.
198000	200000	I'm sure you're going to have a lot of fun playing this game.
200000	202000	I'm sure you're going to have a lot of fun playing this game.
202000	204000	I'm sure you're going to have a lot of fun playing this game.
204000	206000	I'm sure you're going to have a lot of fun playing this game.
206000	208000	I'm sure you're going to have a lot of fun playing this game.
208000	210000	I'm sure you're going to have a lot of fun playing this game.
210000	212000	I'm sure you're going to have a lot of fun playing this game.
