start	end	text
0	4000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
4000	6000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
6000	8000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
8000	10000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
10000	12000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
12000	14000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
14000	16000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
16000	18000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
18000	20000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
20000	22000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
22000	24000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
24000	26000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
26000	28000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
28000	30000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
30000	32000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
32000	34000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
34000	36000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
36000	38000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
38000	40000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
40000	42000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
42000	44000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
44000	46000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
46000	48000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
48000	50000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
50000	52000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
52000	54000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
54000	56000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
56000	58000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
58000	60000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
60000	62000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
62000	64000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
64000	66000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
66000	68000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
68000	70000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
70000	72000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
72000	74000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
74000	76000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
76000	78000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
78000	80000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
80000	82000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
82000	84000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
84000	86000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
86000	88000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
88000	90000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
90000	92000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
92000	94000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
94000	96000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
96000	98000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
98000	100000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
100000	102000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
102000	104000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
104000	106000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
106000	108000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
108000	110000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
110000	112000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
112000	114000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
114000	116000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
116000	118000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
118000	120000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
120000	122000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
122000	124000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
124000	126000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
126000	128000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
128000	130000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
130000	132000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
132000	134000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
134000	136000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
136000	138000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
138000	140000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
140000	142000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
142000	144000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
144000	146000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
146000	148000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
148000	150000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
150000	152000	I'm going to try to make it a little bit easier for you to see what I'm talking about.
