start	end	text
0	2000	I'm going to show you how to do it.
2000	4000	I'm going to show you how to do it.
4000	6000	I'm going to show you how to do it.
6000	8000	I'm going to show you how to do it.
8000	10000	I'm going to show you how to do it.
10000	12000	I'm going to show you how to do it.
12000	14000	I'm going to show you how to do it.
14000	16000	I'm going to show you how to do it.
16000	18000	I'm going to show you how to do it.
18000	20000	I'm going to show you how to do it.
22000	24000	I'm going to show you how to do it.
24000	26000	I'm going to show you how to do it.
26000	28000	I'm going to show you how to do it.
28000	30000	I'm going to show you how to do it.
30000	32000	I'm going to show you how to do it.
32000	34000	I'm going to show you how to do it.
34000	36000	I'm going to show you how to do it.
36000	38000	I'm going to show you how to do it.
38000	40000	I'm going to show you how to do it.
40000	42000	I'm going to show you how to do it.
42000	44000	I'm going to show you how to do it.
44000	46000	I'm going to show you how to do it.
46000	48000	I'm going to show you how to do it.
48000	50000	I'm going to show you how to do it.
50000	52000	I'm going to show you how to do it.
52000	54000	I'm going to show you how to do it.
54000	56000	I'm going to show you how to do it.
56000	58000	I'm going to show you how to do it.
58000	60000	I'm going to show you how to do it.
60000	62000	I'm going to show you how to do it.
62000	64000	I'm going to show you how to do it.
64000	66000	I'm going to show you how to do it.
66000	68000	I'm going to show you how to do it.
68000	70000	I'm going to show you how to do it.
70000	72000	I'm going to show you how to do it.
72000	74000	I'm going to show you how to do it.
74000	76000	I'm going to show you how to do it.
78000	80000	I'm going to show you how to do it.
80000	82000	I'm going to show you how to do it.
82000	84000	I'm going to show you how to do it.
84000	86000	I'm going to show you how to do it.
86000	88000	I'm going to show you how to do it.
88000	90000	I'm going to show you how to do it.
90000	92000	I'm going to show you how to do it.
92000	94000	I'm going to show you how to do it.
94000	96000	I'm going to show you how to do it.
96000	98000	I'm going to show you how to do it.
98000	100000	I'm going to show you how to do it.
100000	102000	I'm going to show you how to do it.
102000	104000	I'm going to show you how to do it.
104000	106000	I'm going to show you how to do it.
106000	108000	I'm going to show you how to do it.
