start	end	text
0	4000	It's a little bit of a pain, but it's not a big deal.
4000	6000	It's a little bit of a pain, but it's not a big deal.
6000	8000	It's a little bit of a pain, but it's not a big deal.
8000	10000	It's a little bit of a pain, but it's not a big deal.
10000	12000	It's a little bit of a pain, but it's not a big deal.
12000	14000	It's a little bit of a pain, but it's not a big deal.
14000	16000	It's a little bit of a pain, but it's not a big deal.
16000	18000	It's a little bit of a pain, but it's not a big deal.
18000	20000	It's a little bit of a pain, but it's not a big deal.
20000	22000	It's a little bit of a pain, but it's not a big deal.
22000	24000	It's a little bit of a pain, but it's not a big deal.
24000	26000	It's a little bit of a pain, but it's not a big deal.
26000	28000	It's a little bit of a pain, but it's not a big deal.
28000	30000	It's a little bit of a pain, but it's not a big deal.
30000	32000	It's a little bit of a pain, but it's not a big deal.
32000	34000	It's a little bit of a pain, but it's not a big deal.
34000	36000	It's a little bit of a pain, but it's not a big deal.
36000	38000	It's a little bit of a pain, but it's not a big deal.
38000	40000	It's a little bit of a pain, but it's not a big deal.
40000	42000	It's a little bit of a pain, but it's not a big deal.
42000	44000	It's a little bit of a pain, but it's not a big deal.
44000	46000	It's a little bit of a pain, but it's not a big deal.
46000	48000	It's a little bit of a pain, but it's not a big deal.
48000	50000	It's a little bit of a pain, but it's not a big deal.
50000	52000	It's a little bit of a pain, but it's not a big deal.
52000	54000	It's a little bit of a pain, but it's not a big deal.
54000	56000	It's a little bit of a pain, but it's not a big deal.
56000	58000	It's a little bit of a pain, but it's not a big deal.
58000	60000	It's a little bit of a pain, but it's not a big deal.
60000	62000	It's a little bit of a pain, but it's not a big deal.
62000	64000	It's a little bit of a pain, but it's not a big deal.
64000	66000	It's a little bit of a pain, but it's not a big deal.
66000	68000	It's a little bit of a pain, but it's not a big deal.
68000	70000	It's a little bit of a pain, but it's not a big deal.
70000	72000	It's a little bit of a pain, but it's not a big deal.
72000	74000	It's a little bit of a pain, but it's not a big deal.
74000	76000	It's a little bit of a pain, but it's not a big deal.
76000	78000	It's a little bit of a pain, but it's not a big deal.
78000	80000	It's a little bit of a pain, but it's not a big deal.
80000	82000	It's a little bit of a pain, but it's not a big deal.
82000	84000	It's a little bit of a pain, but it's not a big deal.
84000	86000	It's a little bit of a pain, but it's not a big deal.
86000	88000	It's a little bit of a pain, but it's not a big deal.
88000	90000	It's a little bit of a pain, but it's not a big deal.
90000	92000	It's a little bit of a pain, but it's not a big deal.
92000	94000	It's a little bit of a pain, but it's not a big deal.
94000	96000	It's a little bit of a pain, but it's not a big deal.
96000	98000	It's a little bit of a pain, but it's not a big deal.
98000	100000	It's a little bit of a pain, but it's not a big deal.
100000	102000	It's a little bit of a pain, but it's not a big deal.
102000	104000	It's a little bit of a pain, but it's not a big deal.
104000	106000	It's a little bit of a pain, but it's not a big deal.
106000	108000	It's a little bit of a pain, but it's not a big deal.
108000	110000	It's a little bit of a pain, but it's not a big deal.
110000	112000	It's a little bit of a pain, but it's not a big deal.
112000	114000	It's a little bit of a pain, but it's not a big deal.
114000	116000	It's a little bit of a pain, but it's not a big deal.
116000	118000	It's a little bit of a pain, but it's not a big deal.
118000	120000	It's a little bit of a pain, but it's not a big deal.
120000	122000	It's a little bit of a pain, but it's not a big deal.
122000	124000	It's a little bit of a pain, but it's not a big deal.
124000	126000	It's a little bit of a pain, but it's not a big deal.
126000	128000	It's a little bit of a pain, but it's not a big deal.
128000	130000	It's a little bit of a pain, but it's not a big deal.
130000	132000	It's a little bit of a pain, but it's not a big deal.
132000	134000	It's a little bit of a pain, but it's not a big deal.
134000	136000	It's a little bit of a pain, but it's not a big deal.
136000	138000	It's a little bit of a pain, but it's not a big deal.
138000	140000	It's a little bit of a pain, but it's not a big deal.
140000	142000	It's a little bit of a pain, but it's not a big deal.
142000	144000	It's a little bit of a pain, but it's not a big deal.
144000	146000	It's a little bit of a pain, but it's not a big deal.
146000	148000	It's a little bit of a pain, but it's not a big deal.
148000	150000	It's a little bit of a pain, but it's not a big deal.
150000	152000	It's a little bit of a pain, but it's not a big deal.
152000	154000	It's a little bit of a pain, but it's not a big deal.
154000	156000	It's a little bit of a pain, but it's not a big deal.
156000	158000	It's a little bit of a pain, but it's not a big deal.
158000	160000	It's a little bit of a pain, but it's not a big deal.
160000	162000	It's a little bit of a pain, but it's not a big deal.
162000	164000	It's a little bit of a pain.
