start	end	text
0	2000	And now it's time for another one.
2000	4000	I'm going to show you another one.
4000	6000	I'm going to show you another one.
6000	8000	I'm going to show you another one.
8000	10000	I'm going to show you another one.
10000	12000	I'm going to show you another one.
12000	14000	I'm going to show you another one.
14000	16000	I'm going to show you another one.
16000	18000	I'm going to show you another one.
18000	20000	I'm going to show you another one.
20000	22000	I'm going to show you another one.
22000	24000	I'm going to show you another one.
24000	26000	I'm going to show you another one.
26000	28000	I'm going to show you another one.
28000	30000	I'm going to show you another one.
30000	32000	I'm going to show you another one.
32000	34000	I'm going to show you another one.
34000	36000	I'm going to show you another one.
36000	38000	I'm going to show you another one.
38000	40000	I'm going to show you another one.
40000	42000	I'm going to show you another one.
42000	44000	I'm going to show you another one.
44000	46000	I'm going to show you another one.
46000	48000	I'm going to show you another one.
48000	50000	I'm going to show you another one.
52000	54000	I'm going to show you another one.
54000	56000	I'm going to show you another one.
56000	58000	I'm going to show you another one.
58000	60000	I'm going to show you another one.
60000	62000	I'm going to show you another one.
62000	64000	I'm going to show you another one.
64000	66000	I'm going to show you another one.
66000	68000	I'm going to show you another one.
68000	70000	I'm going to show you an original version of the song.
70000	72000	I'm going to show you an original version of the song.
72020	74000	I'm going to show you an original version of the song.
74000	76000	I'm going to show you an original version of the song.
76000	78000	I'm going to show you an original version of the song.
78000	80000	I'm going to show you an original version of the song.
80000	82000	I'm going to show you an original version of the song.
82000	84000	I'm going to show you an original version of the song.
84000	86000	I'm going to take a shower.
86000	88000	I'm going to take a shower.
88000	90000	I'm going to take a shower.
90000	92000	I'm going to take a shower.
92000	94000	I'm going to take a shower.
94000	96000	I'm going to take a shower.
96000	98000	I'm going to take a shower.
98000	100000	I'm going to take a shower.
100000	102000	I'm going to take a shower.
102000	104000	I'm going to take a shower.
104000	106000	I'm going to take a shower.
106000	108000	I'm going to take a shower.
108000	110000	I'm going to take a shower.
110000	112000	I'm going to take a shower.
112000	114000	I'm going to take a shower.
114000	116000	I'm going to take a shower.
116000	118000	I'm going to take a shower.
118000	120000	I'm going to take a shower.
120000	122000	I'm going to take a shower.
122000	124000	I'm going to take a shower.
124000	126000	I'm going to take a shower.
126000	128000	I'm going to take a shower.
128000	130000	I'm going to take a shower.
130000	132000	I'm going to take a shower.
132000	134000	I'm going to take a shower.
134000	136000	I'm going to take a shower.
136000	138000	I'm going to take a shower.
138000	140000	I'm going to take a shower.
140000	143000	I'm going to try to get a little bit of a better view of the water.
143000	144000	I'm going to try to get a little bit of a better view of the water.
144000	145000	I'm going to try to get a little bit of a better view of the water.
145000	146000	I'm going to try to get a little bit of a better view of the water.
146000	147000	I'm going to try to get a little bit of a better view of the water.
147000	148000	I'm going to try to get a little bit of a better view of the water.
148000	149000	I'm going to try to get a little bit of a better view of the water.
149000	150000	I'm going to try to get a little bit of a better view of the water.
150000	151000	I'm going to try to get a little bit of a better view of the water.
151000	152000	I'm going to try to get a little bit of a better view of the water.
152000	153000	I'm going to try to get a little bit of a better view of the water.
154000	155000	I'm going to try to get a little bit of a better view of the water.
155000	156000	I'm going to try to get a little bit of a better view of the water.
156000	157000	I'm going to try to get a little bit of a better view of the water.
157000	158000	I'm going to try to get a little bit of a better view of the water.
158000	159000	I'm going to try to get a little bit of a better view of the water.
159000	160000	I'm going to try to get a little bit of a better view of the water.
160000	161000	I'm going to try to get a little bit of a better view of the water.
161000	162000	I'm going to try to get a little bit of a better view of the water.
162000	163000	I'm going to try to get a little bit of a better view of the water.
163000	164000	I'm going to try to get a little bit of a better view of the water.
164000	165000	I'm going to try to get a little bit of a better view of the water.
165000	166000	I'm going to try to get a little bit of a better view of the water.
166000	167000	I'm going to try to get a little bit of a better view of the water.
167000	168000	I'm going to try to get a little bit of a better view of the water.
168000	169000	I'm going to try to get a little bit of a better view of the water.
169000	170000	I'm going to try to get a little bit of a better view of the water.
170000	171000	I'm going to try to get a little bit of a better view of the water.
171000	172000	I'm going to try to get a little bit of a better view of the water.
172000	173000	I'm going to try to get a little bit of a better view of the water.
173000	174000	I'm going to try to get a little bit of a better view of the water.
174000	175000	I'm going to try to get a little bit of a better view of the water.
175000	176000	I'm going to try to get a little bit of a better view of the water.
176000	177000	I'm going to try to get a little bit of a better view of the water.
177000	178000	I'm going to try to get a little bit of a better view of the water.
178000	179000	I'm going to try to get a little bit of a better view of the water.
179000	180000	I'm going to try to get a little bit of a better view of the water.
180000	181000	I'm going to try to get a little bit of a better view of the water.
181000	182000	I'm going to try to get a little bit of a better view of the water.
182000	183000	I'm going to try to get a little bit of a better view of the water.
183000	184000	I'm going to try to get a little bit of a better view of the water.
184000	185000	I'm going to try to get a little bit of a better view of the water.
185000	186000	I'm going to try to get a little bit of a better view of the water.
186000	187000	I'm going to try to get a little bit of a better view of the water.
187000	188000	I'm going to try to get a little bit of a better view of the water.
188000	189000	I'm going to try to get a little bit of a better view of the water.
189000	190000	I'm going to try to get a little bit of a better view of the water.
190000	191000	I'm going to try to get a little bit of a better view of the water.
191000	192000	I'm going to try to get a little bit of a better view of the water.
192000	193000	I'm going to try to get a little bit of a better view of the water.
193000	194000	I'm going to try to get a little bit of a better view of the water.
194000	195000	I'm going to try to get a little bit of a better view of the water.
195000	196000	I'm going to try to get a little bit of a better view of the water.
196000	197000	I'm going to try to get a little bit of a better view of the water.
197000	198000	I'm going to try to get a little bit of a better view of the water.
198000	199000	I'm going to try to get a little bit of a better view of the water.
199000	200000	I'm going to try to get a little bit of a better view of the water.
200000	201000	I'm going to try to get a little bit of a better view of the water.
201000	202000	I'm going to try to get a little bit of a better view of the water.
202000	203000	I'm going to try to get a little bit of a better view of the water.
203000	204000	I'm going to try to get a little bit of a better view of the water.
204000	205000	I'm going to try to get a little bit of a better view of the water.
205000	206000	I'm going to try to get a little bit of a better view of the water.
206000	207000	I'm going to try to get a little bit of a better view of the water.
207000	208000	I'm going to try to get a little bit of a better view of the water.
208000	209000	I'm going to try to get a little bit of a better view of the water.
209000	210000	I'm going to try to get a little bit of a better view of the water.
210000	211000	I'm going to try to get a little bit of a better view of the water.
211000	212000	I'm going to try to get a little bit of a better view of the water.
212000	213000	I'm going to try to get a little bit of a better view of the water.
213000	214000	I'm going to try to get a little bit of a better view of the water.
214000	215000	I'm going to try to get a little bit of a better view of the water.
215000	216000	I'm going to try to get a little bit of a better view of the water.
216000	217000	I'm going to try to get a little bit of a better view of the water.
217000	218000	I'm going to try to get a little bit of a better view of the water.
218000	219000	I'm going to try to get a little bit of a better view of the water.
219000	220000	I'm going to try to get a little bit of a better view of the water.
220000	221000	I'm going to try to get a little bit of a better view of the water.
221000	222000	I'm going to try to get a little bit of a better view of the water.
222000	223000	I'm going to try to get a little bit of a better view of the water.
223000	224000	I'm going to try to get a little bit of a better view of the water.
224000	225000	I'm going to try to get a little bit of a better view of the water.
225000	226000	I'm going to try to get a little bit of a better view of the water.
226000	227000	I'm going to try to get a little bit of a better view of the water.
227000	228000	I'm going to try to get a little bit of a better view of the water.
228000	229000	I'm going to try to get a little bit of a better view of the water.
229000	230000	I'm going to try to get a little bit of a better view of the water.
230000	231000	I'm going to try to get a little bit of a better view of the water.
231000	232000	I'm going to try to get a little bit of a better view of the water.
232000	233000	I'm going to try to get a little bit of a better view of the water.
233000	234000	I'm going to try to get a little bit of a better view of the water.
234000	235000	I'm going to try to get a little bit of a better view of the water.
235000	236000	I'm going to try to get a little bit of a better view of the water.
236000	237000	I'm going to try to get a little bit of a better view of the water.
237000	238000	I'm going to try to get a little bit of a better view of the water.
238000	239000	I'm going to try to get a little bit of a better view of the water.
239000	240000	I'm going to try to get a little bit of a better view of the water.
240000	241000	I'm going to try to get a little bit of a better view of the water.
241000	242000	I'm going to try to get a little bit of a better view of the water.
243000	244000	I'm going to try to get a little bit of a better view of the water.
244000	245000	I'm going to try to get a little bit of a better view of the water.
245000	246000	I'm going to try to get a little bit of a better view of the water.
246000	247000	I'm going to try to get a little bit of a better view of the water.
247000	248000	I'm going to try to get a little bit of a better view of the water.
248000	249000	I'm going to try to get a little bit of a better view of the water.
249000	250000	I'm going to try to get a little bit of a better view of the water.
250000	251000	I'm going to try to get a little bit of a better view of the water.
251000	252000	I'm going to try to get a little bit of a better view of the water.
252000	253000	I'm going to try to get a little bit of a better view of the water.
253000	254000	I'm going to try to get a little bit of a better view of the water.
254000	255000	I'm going to try to get a little bit of a better view of the water.
255000	256000	I'm going to try to get a little bit of a better view of the water.
256000	257000	I'm going to try to get a little bit of a better view of the water.
257000	258000	I'm going to try to get a little bit of a better view of the water.
258000	259000	I'm going to try to get a little bit of a better view of the water.
259000	260000	I'm going to try to get a little bit of a better view of the water.
260000	261000	I'm going to try to get a little bit of a better view of the water.
261000	262000	I'm going to try to get a little bit of a better view of the water.
262000	263000	I'm going to try to get a little bit of a better view of the water.
263000	264000	I'm going to try to get a little bit of a better view of the water.
264000	265000	I'm going to try to get a little bit of a better view of the water.
266000	267000	I'm going to try to get a little bit of a better view of the water.
267000	268000	I'm going to try to get a little bit of a better view of the water.
268000	269000	I'm going to try to get a little bit of a better view of the water.
269000	270000	I'm going to try to get a little bit of a better view of the water.
270000	271000	I'm going to try to get a little bit of a better view of the water.
271000	272000	I'm going to try to get a little bit of a better view of the water.
