start	end	text
0	5000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
5000	9000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
9000	12000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
12000	15000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
15000	19000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
19000	22000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
22000	25000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
25000	28000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
28000	31000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
31000	34000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
34000	37000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
37000	40000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
40000	43000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
43000	46000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
46000	49000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
49000	52000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
52000	55000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
55000	58000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
58000	61000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
61000	64000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
64000	67000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
67000	70000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
70000	73000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
73000	76000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
76000	79000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
79000	82000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
82000	85000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
85000	88000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
88000	91000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
91000	94000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
94000	97000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
97000	100000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
100000	103000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
103000	106000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
106000	109000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
109000	112000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
112000	115000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
115000	118000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
118000	121000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
121000	124000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
124000	127000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
127000	130000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
130000	133000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
133000	136000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
136000	139000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
139000	142000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
142000	145000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
145000	148000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
148000	151000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
151000	154000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
154000	157000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
157000	160000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
160000	163000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
163000	166000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
166000	169000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
169000	172000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
172000	175000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
175000	178000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
178000	181000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
181000	184000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
184000	187000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
187000	190000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
190000	193000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
193000	196000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
196000	199000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
199000	202000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
202000	205000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
205000	208000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
208000	211000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
211000	214000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
214000	217000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
217000	220000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
220000	223000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
223000	226000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
226000	229000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
229000	232000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
232000	235000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
235000	238000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
238000	241000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
241000	244000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
244000	247000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
247000	250000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
250000	253000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
253000	256000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
256000	259000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
259000	262000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
262000	265000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
265000	268000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
268000	271000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
271000	274000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
274000	277000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
277000	280000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
280000	283000	C'est-à-dire qu'il y a beaucoup de choses à faire pour qu'ils puissent s'exprimer.
