start	end	text
0	30000	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
30000	33820	I'm sorry, I'm sorry, I'm sorry, I'm sorry
34020	37700	I'm sorry, I'm sorry, I'm sorry, I'm sorry
40220	43980	I'm sorry.
50860	54480	Sorry.
54700	59200	I am sorry, I am so sorry.
59200	63200	So, I think that's a pretty strong outcome.
63200	65200	I think that's a pretty good outcome.
65200	67200	I think that's a pretty good outcome.
67200	69200	I think that's a pretty good outcome.
69200	71200	I think that's a pretty good outcome.
71200	73200	I think that's a pretty good outcome.
73200	75200	I think that's a pretty good outcome.
75200	77200	I think that's a pretty good outcome.
77200	79200	I think that's a pretty good outcome.
79200	81200	I think that's a pretty good outcome.
81200	83200	I think that's a pretty good outcome.
85200	87200	I think that's a pretty good outcome.
87200	89200	I think that's a pretty good outcome.
89200	91200	I think that's a pretty good outcome.
91200	93200	I think that's a pretty good outcome.
93200	95200	I think that's a pretty good outcome.
95200	97200	I think that's a pretty good outcome.
97200	99200	I think that's a pretty good outcome.
99200	101200	I think that's a pretty good outcome.
101200	103200	I think that's a pretty good outcome.
103200	105200	I think that's a pretty good outcome.
105200	107200	I think that's a pretty good outcome.
111200	113200	I think that's a pretty good outcome.
113200	115200	I think that's a pretty good outcome.
115200	118200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
118200	120200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
120200	122200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
122200	124200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
124200	126200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
126200	128200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
128200	130200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
130200	132200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
132200	134200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
134200	136200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
136200	138200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
138200	140200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
140200	142200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
142200	144200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
144200	146200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
146200	148200	I'm not sure if I'm going to be able to do it, but I'm going to do it.
