start	end	text
0	4000	I'm not sure if this is the right way to do it, but I'm going to do it anyway.
4000	6000	I'm going to do it anyway.
6000	8000	I'm going to do it anyway.
8000	10000	I'm going to do it anyway.
10000	12000	I'm going to do it anyway.
12000	14000	I'm going to do it anyway.
14000	16000	I'm going to do it anyway.
16000	18000	I'm going to do it anyway.
18000	20000	I'm going to do it anyway.
20000	22000	I'm going to do it anyway.
22000	24000	I'm going to do it anyway.
24000	26000	I'm going to do it anyway.
26000	28000	I'm going to do it anyway.
29000	33000	I'm going to do it anyway.
40000	45000	I'm going to do it anyway.
50000	53000	I'm going to do it anyway.
53000	55000	I'm going to do it anyway.
55000	57000	I'm going to do it anyway.
57000	58000	That's it.
58000	59000	That's it.
59000	60000	That's it.
60000	61000	That's it.
61000	62000	That's it.
62000	63000	That's it.
63000	64000	That's it.
65000	66000	That's it.
66000	67000	That's it.
67000	68000	That's it.
68000	69000	That's it.
69000	70000	That's it.
70000	71000	That's it.
71000	72000	That's it.
72000	73000	That's it.
73000	74000	That's it.
74000	75000	That's it.
75000	76000	That's it.
76000	77000	That's it.
77000	78000	That's it.
78000	79000	That's it.
79000	80000	That's it.
80000	81000	That's it.
81000	82000	That's it.
82000	83000	That's it.
83000	84000	That's it.
84000	85000	That's it.
85000	86000	That's it.
86000	87000	That's it.
87000	88000	That's it.
88000	89000	That's it.
89000	90000	That's it.
90000	91000	That's it.
91000	92000	That's it.
92000	93000	That's it.
93000	94000	That's it.
94000	95000	That's it.
95000	96000	That's it.
96000	97000	That's it.
97000	98000	That's it.
98000	99000	That's it.
99000	100000	That's it.
100000	101000	That's it.
101000	102000	That's it.
102000	103000	That's it.
103000	104000	That's it.
104000	105000	That's it.
105000	106000	That's it.
106000	107000	That's it.
107000	108000	That's it.
108000	109000	That's it.
109000	110000	That's it.
110000	111000	That's it.
111000	112000	That's it.
112000	113000	That's it.
113000	114000	That's it.
114000	115000	That's it.
115000	116000	That's it.
116000	117000	That's it.
117000	118000	That's it.
118000	119000	That's it.
119000	120000	That's it.
120000	121000	That's it.
121000	122000	That's it.
122000	123000	That's it.
123000	124000	That's it.
124000	125000	That's it.
125000	126000	That's it.
126000	127000	That's it.
127000	128000	That's it.
128000	129000	That's it.
129000	130000	That's it.
130000	131000	That's it.
131000	132000	That's it.
132000	133000	That's it.
133000	134000	That's it.
134000	135000	That's it.
135000	136000	That's it.
136000	137000	That's it.
137000	138000	That's it.
138000	139000	That's it.
139000	140000	That's it.
140000	141000	That's it.
141000	142000	That's it.
142000	143000	That's it.
143000	144000	That's it.
144000	145000	That's it.
145000	146000	That's it.
146000	147000	That's it.
147000	148000	That's it.
148000	149000	That's it.
149000	150000	That's it.
150000	151000	That's it.
151000	152000	That's it.
152000	153000	That's it.
153000	154000	That's it.
154000	155000	That's it.
155000	156000	That's it.
156000	157000	That's it.
157000	158000	That's it.
158000	159000	That's it.
159000	160000	That's it.
160000	161000	That's it.
161000	162000	That's it.
162000	163000	That's it.
163000	164000	That's it.
164000	165000	That's it.
165000	166000	That's it.
166000	167000	That's it.
167000	168000	That's it.
168000	169000	That's it.
169000	170000	That's it.
170000	171000	That's it.
171000	172000	That's it.
172000	173000	That's it.
173000	174000	That's it.
174000	175000	That's it.
175000	176000	That's it.
176000	177000	That's it.
177000	178000	That's it.
178000	179000	That's it.
179000	180000	That's it.
180000	181000	That's it.
181000	182000	That's it.
182000	183000	That's it.
183000	184000	That's it.
184000	185000	That's it.
185000	186000	That's it.
186000	187000	That's it.
187000	188000	That's it.
188000	189000	That's it.
189000	190000	That's it.
190000	191000	That's it.
191000	192000	That's it.
192000	193000	That's it.
193000	194000	That's it.
194000	195000	That's it.
195000	196000	That's it.
196000	197000	That's it.
197000	198000	That's it.
198000	199000	That's it.
