start	end	text
0	7320	For when you belittle someone, you're trying to show that you're not being liked because of your height.
7320	10440	This does not make you joyous.
10460	15200	This blows you away and create a lot ofhyun-like deeds.
17200	20800	For when you belittle someone, you shouldn't be . . .
21820	23300	It's not good, isn't it?
23480	26360	Well, it's good now.
26360	32360	It's a good thing that we have a lot of people who are interested in this topic.
32360	34360	It's a good thing that we have a lot of people who are interested in this topic.
34360	36360	It's a good thing that we have a lot of people who are interested in this topic.
36360	38360	It's a good thing that we have a lot of people who are interested in this topic.
38360	40360	It's a good thing that we have a lot of people who are interested in this topic.
40360	42360	It's a good thing that we have a lot of people who are interested in this topic.
42360	44360	It's a good thing that we have a lot of people who are interested in this topic.
44360	46360	It's a good thing that we have a lot of people who are interested in this topic.
46360	48360	It's a good thing that we have a lot of people who are interested in this topic.
48360	50360	It's a good thing that we have a lot of people who are interested in this topic.
50360	52360	It's a good thing that we have a lot of people who are interested in this topic.
52360	54360	It's a good thing that we have a lot of people who are interested in this topic.
54360	56360	It's a good thing that we have a lot of people who are interested in this topic.
56360	58360	It's a good thing that we have a lot of people who are interested in this topic.
58360	60360	It's a good thing that we have a lot of people who are interested in this topic.
60360	62360	It's a good thing that we have a lot of people who are interested in this topic.
62360	64360	It's a good thing that we have a lot of people who are interested in this topic.
64360	66360	It's a good thing that we have a lot of people who are interested in this topic.
66360	68360	It's a good thing that we have a lot of people who are interested in this topic.
68360	70360	It's a good thing that we have a lot of people who are interested in this topic.
70360	72360	It's a good thing that we have a lot of people who are interested in this topic.
72360	74360	It's a good thing that we have a lot of people who are interested in this topic.
74360	76360	It's a good thing that we have a lot of people who are interested in this topic.
76360	78360	It's a good thing that we have a lot of people who are interested in this topic.
78360	80360	It's a good thing that we have a lot of people who are interested in this topic.
80360	82360	It's a good thing that we have a lot of people who are interested in this topic.
82360	84360	It's a good thing that we have a lot of people who are interested in this topic.
84360	86360	It's a good thing that we have a lot of people who are interested in this topic.
86360	88360	It's a good thing that we have a lot of people who are interested in this topic.
88360	90360	It's a good thing that we have a lot of people who are interested in this topic.
90360	92360	It's a good thing that we have a lot of people who are interested in this topic.
92360	94360	It's a good thing that we have a lot of people who are interested in this topic.
94360	96360	It's a good thing that we have a lot of people who are interested in this topic.
96360	98360	It's a good thing that we have a lot of people who are interested in this topic.
98360	100360	It's a good thing that we have a lot of people who are interested in this topic.
100360	102360	It's a good thing that we have a lot of people who are interested in this topic.
102360	104360	It's a good thing that we have a lot of people who are interested in this topic.
104360	106360	It's a good thing that we have a lot of people who are interested in this topic.
106360	108360	It's a good thing that we have a lot of people who are interested in this topic.
