start	end	text
0	2000	I don't know what you're talking about.
2000	4000	I don't know what you're talking about.
4000	6000	I don't know what you're talking about.
6000	8000	I don't know what you're talking about.
8000	10000	I don't know what you're talking about.
12000	14000	I don't know what you're talking about.
14000	16000	I don't know what you're talking about.
16000	18000	I don't know what you're talking about.
18000	20000	I don't know what you're talking about.
20000	22000	I don't know what you're talking about.
22000	24000	I don't know what you're talking about.
24000	26000	I don't know what you're talking about.
26000	28000	I don't know what you're talking about.
28000	30000	I don't know what you're talking about.
30000	32000	I don't know what you're talking about.
32000	34000	I don't know what you're talking about.
34000	36000	I don't know what you're talking about.
36000	38000	I don't know what you're talking about.
38000	40000	I don't know what you're talking about.
40000	42500	I don't know what you're talking about.
42500	44500	I don't know what you're talking about.
44500	46500	I don't know what you're talking about.
46500	48500	I don't know what you're talking about.
48500	50500	I don't know what you're talking about.
50500	52500	I don't know what you're talking about.
52500	54500	I don't know what you're talking about.
54500	56500	I don't know what you're talking about.
56500	58500	I'm not sure if you can hear me.
58500	60500	I'm not sure if you can hear me.
60500	62500	I'm not sure if you can hear me.
62500	64500	I'm not sure if you can hear me.
64500	66500	I'm not sure if you can hear me.
66500	68500	I'm not sure if you can hear me.
68500	70500	I'm not sure if you can hear me.
70500	72500	I'm not sure if you can hear me.
72500	74500	I'm not sure if you can hear me.
74500	76500	I'm not sure if you can hear me.
76500	78500	I'm not sure if you can hear me.
78500	80500	I'm not sure if you can hear me.
80500	82500	I'm not sure if you can hear me.
82500	84500	I can't hear you.
84500	86500	I can't hear you.
86500	88500	I'm not sure if you can hear me
88500	90500	I'm not sure if you can hear me.
90500	92500	I'm not sure if you can hear me.
92500	94500	I'm not sure if you can hear me.
94500	96500	I'm not sure if you can hear me.
100500	102500	I'm not sure if you can hear me.
102500	104340	I'm not sure if you can hear me.
104500	106500	I'm not sure if you can hear me.
106520	108540	I'm not sure if you can hear me.
108540	110540	I'm not sure if you can hear me.
110540	112540	I'm not sure if you can hear me.
112540	114540	I don't know what you're talking about.
114540	116540	I don't know what you're talking about.
116540	118540	I don't know what you're talking about.
118540	120540	I don't know what you're talking about.
120540	122540	I don't know what you're talking about.
122540	124540	I don't know what you're talking about.
124540	126540	I don't know what you're talking about.
126540	128540	I don't know what you're talking about.
128540	130540	I don't know what you're talking about.
130540	132540	I don't know what you're talking about.
132540	134540	I don't know what you're talking about.
136540	138540	I don't know what you're talking about.
138540	140540	I don't know what you're talking about.
140540	142540	I don't know what you're talking about.
142540	144540	I don't know what you're talking about.
144540	146540	I don't know what you're talking about.
146540	148540	I don't know what you're talking about.
148540	150540	I don't know what you're talking about.
150540	152540	I don't know what you're talking about.
152540	154540	I don't know what you're talking about.
154540	156540	I don't know what you're talking about.
156540	158540	I don't know what you're talking about.
158540	160540	I don't know what you're talking about.
160540	162540	I don't know what you're talking about.
162540	164540	I don't know what you're talking about.
164540	166540	I don't know what you're talking about.
166540	168540	I don't know what you're talking about.
168540	170540	So, I'm going to show you how to do it.
170540	172540	So, I'm going to show you how to do it.
172540	174540	So, I'm going to show you how to do it.
174540	176540	So, I'm going to show you how to do it.
176540	178540	So, I'm going to show you how to do it.
178540	180540	So, I'm going to show you how to do it.
180540	182540	So, I'm going to show you how to do it.
182540	184540	So, I'm going to show you how to do it.
184540	186540	So, I'm going to show you how to do it.
186540	188540	So, I'm going to show you how to do it.
188540	190540	So, I'm going to show you how to do it.
192540	194540	So, I'm going to show you how to do it.
