start	end	text
0	3000	I don't know what you're talking about.
3000	6000	I don't know what you're talking about.
6000	9000	I don't know what you're talking about.
9000	12000	I don't know what you're talking about.
12000	15000	I don't know what you're talking about.
15000	18000	I don't know what you're talking about.
18000	21000	I don't know what you're talking about.
21000	24000	I don't know what you're talking about.
24000	27000	I don't know what you're talking about.
27000	29000	I don't know what you're talking about.
29000	32000	I don't know what you're talking about.
32000	35000	I don't know what you're talking about.
35000	38000	I don't know what you're talking about.
38000	41000	I don't know what you're talking about.
41000	44000	I don't know what you're talking about.
44000	47000	I don't know what you're talking about.
47000	50000	I don't know what you're talking about.
50000	53000	I don't know what you're talking about.
53000	56000	I don't know what you're talking about.
56000	60000	I don't know what you're talking about, but I think it's a good idea to do that.
60000	62000	I don't know what you're talking about, but I think it's a good idea to do that.
62000	64000	I don't know what you're talking about, but I think it's a good idea to do that.
64000	66000	I don't know what you're talking about, but I think it's a good idea to do that.
66000	68000	I don't know what you're talking about, but I think it's a good idea to do that.
68000	70000	I don't know what you're talking about, but I think it's a good idea to do that.
70000	72000	I don't know what you're talking about, but I think it's a good idea to do that.
72000	74000	I don't know what you're talking about, but I think it's a good idea to do that.
74000	76000	I don't know what you're talking about, but I think it's a good idea to do that.
76000	78000	I don't know what you're talking about, but I think it's a good idea to do that.
78000	80000	I don't know what you're talking about, but I think it's a good idea to do that.
80000	82000	I don't know what you're talking about, but I think it's a good idea to do that.
82000	84000	I don't know what you're talking about, but I think it's a good idea to do that.
84000	86000	I don't know what you're talking about, but I think it's a good idea to do that.
86000	88000	I don't know what you're talking about, but I think it's a good idea to do that.
88000	90000	I don't know what you're talking about, but I think it's a good idea to do that.
90000	92000	I don't know what you're talking about, but I think it's a good idea to do that.
92000	94000	I don't know what you're talking about, but I think it's a good idea to do that.
94000	96000	I don't know what you're talking about, but I think it's a good idea to do that.
96000	98000	I don't know what you're talking about, but I think it's a good idea to do that.
98000	100000	I don't know what you're talking about, but I think it's a good idea to do that.
100000	102000	I don't know what you're talking about, but I think it's a good idea to do that.
102000	104000	I don't know what you're talking about, but I think it's a good idea to do that.
104000	106000	I don't know what you're talking about, but I think it's a good idea to do that.
106000	108000	I don't know what you're talking about, but I think it's a good idea to do that.
108000	110000	I don't know what you're talking about, but I think it's a good idea to do that.
110000	112000	I don't know what you're talking about, but I think it's a good idea to do that.
112000	114000	I don't know what you're talking about, but I think it's a good idea to do that.
114000	116000	I don't know what you're talking about, but I think it's a good idea to do that.
116000	118000	I don't know what you're talking about, but I think it's a good idea to do that.
118000	120000	I don't know what you're talking about, but I think it's a good idea to do that.
120000	122000	I don't know what you're talking about, but I think it's a good idea to do that.
122000	124000	I don't know what you're talking about, but I think it's a good idea to do that.
124000	126000	I don't know what you're talking about, but I think it's a good idea to do that.
126000	128000	I don't know what you're talking about, but I think it's a good idea to do that.
128000	130000	I don't know what you're talking about, but I think it's a good idea to do that.
130000	132000	I don't know what you're talking about, but I think it's a good idea to do that.
132000	134000	I don't know what you're talking about, but I think it's a good idea to do that.
134000	136000	I don't know what you're talking about, but I think it's a good idea to do that.
136000	138000	I don't know what you're talking about, but I think it's a good idea to do that.
138000	140000	I don't know what you're talking about, but I think it's a good idea to do that.
140000	142000	I don't know what you're talking about, but I think it's a good idea to do that.
142000	144000	I don't know what you're talking about, but I think it's a good idea to do that.
144000	146000	I don't know what you're talking about, but I think it's a good idea to do that.
146000	148000	I don't know what you're talking about, but I think it's a good idea to do that.
148000	150000	I don't know what you're talking about, but I think it's a good idea to do that.
150000	152000	I don't know what you're talking about, but I think it's a good idea to do that.
152000	154000	I don't know what you're talking about, but I think it's a good idea to do that.
154000	156000	I don't know what you're talking about, but I think it's a good idea to do that.
156000	158000	I don't know what you're talking about, but I think it's a good idea to do that.
158000	160000	I don't know what you're talking about, but I think it's a good idea to do that.
160000	162000	I don't know what you're talking about, but I think it's a good idea to do that.
162000	164000	I don't know what you're talking about, but I think it's a good idea to do that.
164000	166000	I don't know what you're talking about, but I think it's a good idea to do that.
166000	168000	I don't know what you're talking about, but I think it's a good idea to do that.
168000	170000	I don't know what you're talking about, but I think it's a good idea to do that.
170000	172000	I don't know what you're talking about, but I think it's a good idea to do that.
172000	174000	I don't know what you're talking about, but I think it's a good idea to do that.
174000	176000	I don't know what you're talking about, but I think it's a good idea to do that.
176000	178000	I don't know what you're talking about, but I think it's a good idea to do that.
178000	180000	I don't know what you're talking about, but I think it's a good idea to do that.
180000	182000	I don't know what you're talking about, but I think it's a good idea to do that.
182000	184000	I don't know what you're talking about, but I think it's a good idea to do that.
184000	186000	I don't know what you're talking about, but I think it's a good idea to do that.
186000	188000	I don't know what you're talking about, but I think it's a good idea to do that.
188000	190000	I don't know what you're talking about, but I think it's a good idea to do that.
190000	192000	I don't know what you're talking about, but I think it's a good idea to do that.
192000	194000	I don't know what you're talking about, but I think it's a good idea to do that.
194000	196000	I don't know what you're talking about, but I think it's a good idea to do that.
196000	198000	I don't know what you're talking about, but I think it's a good idea to do that.
198000	200000	I don't know what you're talking about, but I think it's a good idea to do that.
200000	202000	I don't know what you're talking about, but I think it's a good idea to do that.
202000	204000	I don't know what you're talking about, but I think it's a good idea to do that.
204000	206000	I don't know what you're talking about, but I think it's a good idea to do that.
206000	208000	I don't know what you're talking about, but I think it's a good idea to do that.
208000	210000	I don't know what you're talking about, but I think it's a good idea to do that.
210000	212000	I don't know what you're talking about, but I think it's a good idea to do that.
212000	214000	I don't know what you're talking about, but I think it's a good idea to do that.
214000	216000	I don't know what you're talking about, but I think it's a good idea to do that.
216000	218000	I don't know what you're talking about, but I think it's a good idea to do that.
218000	220000	I don't know what you're talking about, but I think it's a good idea to do that.
220000	222000	I don't know what you're talking about, but I think it's a good idea to do that.
222000	224000	I don't know what you're talking about, but I think it's a good idea to do that.
224000	226000	I don't know what you're talking about, but I think it's a good idea to do that.
226000	228000	I don't know what you're talking about, but I think it's a good idea to do that.
228000	230000	I don't know what you're talking about, but I think it's a good idea to do that.
230000	232000	I don't know what you're talking about, but I think it's a good idea to do that.
232000	234000	I don't know what you're talking about, but I think it's a good idea to do that.
234000	236000	I don't know what you're talking about, but I think it's a good idea to do that.
236000	238000	I don't know what you're talking about, but I think it's a good idea to do that.
238000	240000	I don't know what you're talking about, but I think it's a good idea to do that.
240000	242000	I don't know what you're talking about, but I think it's a good idea to do that.
242000	244000	I don't know what you're talking about, but I think it's a good idea to do that.
244000	246000	I don't know what you're talking about, but I think it's a good idea to do that.
246000	248000	I don't know what you're talking about, but I think it's a good idea to do that.
248000	250000	I don't know what you're talking about, but I think it's a good idea to do that.
250000	252000	I don't know what you're talking about, but I think it's a good idea to do that.
252000	254000	I don't know what you're talking about, but I think it's a good idea to do that.
254000	256000	I don't know what you're talking about, but I think it's a good idea to do that.
256000	258000	I don't know what you're talking about, but I think it's a good idea to do that.
258000	260000	I don't know what you're talking about, but I think it's a good idea to do that.
260000	262000	I don't know what you're talking about, but I think it's a good idea to do that.
262000	264000	I don't know what you're talking about, but I think it's a good idea to do that.
264000	266000	I don't know what you're talking about, but I think it's a good idea to do that.
266000	268000	I don't know what you're talking about, but I think it's a good idea to do that.
268000	270000	I don't know what you're talking about, but I think it's a good idea to do that.
270000	272000	I don't know what you're talking about, but I think it's a good idea to do that.
272000	274000	I don't know what you're talking about, but I think it's a good idea to do that.
274000	276000	I don't know what you're talking about, but I think it's a good idea to do that.
276000	278000	I don't know what you're talking about, but I think it's a good idea to do that.
278000	280000	I don't know what you're talking about, but I think it's a good idea to do that.
280000	282000	I don't know what you're talking about, but I think it's a good idea to do that.
282000	284000	I don't know what you're talking about, but I think it's a good idea to do that.
284000	286000	I don't know what you're talking about, but I think it's a good idea to do that.
286000	288000	I don't know what you're talking about, but I think it's a good idea to do that.
288000	290000	I don't know what you're talking about, but I think it's a good idea to do that.
290000	292000	I don't know what you're talking about, but I think it's a good idea to do that.
292000	294000	I don't know what you're talking about, but I think it's a good idea to do that.
294000	296000	I don't know what you're talking about, but I think it's a good idea to do that.
296000	298000	I don't know what you're talking about, but I think it's a good idea to do that.
298000	300000	I don't know what you're talking about, but I think it's a good idea to do that.
300000	302000	I don't know what you're talking about, but I think it's a good idea to do that.
302000	304000	I don't know what you're talking about, but I think it's a good idea to do that.
304000	306000	I don't know what you're talking about, but I think it's a good idea to do that.
306000	308000	I don't know what you're talking about, but I think it's a good idea to do that.
308000	310000	I don't know what you're talking about, but I think it's a good idea to do that.
310000	312000	I don't know what you're talking about, but I think it's a good idea to do that.
312000	314000	I don't know what you're talking about, but I think it's a good idea to do that.
314000	316000	I don't know what you're talking about, but I think it's a good idea to do that.
316000	318000	I don't know what you're talking about, but I think it's a good idea to do that.
318000	320000	I don't know what you're talking about, but I think it's a good idea to do that.
320000	322000	I don't know what you're talking about, but I think it's a good idea to do that.
322000	324000	I don't know what you're talking about, but I think it's a good idea to do that.
324000	326000	I don't know what you're talking about, but I think it's a good idea to do that.
326000	328000	I don't know what you're talking about, but I think it's a good idea to do that.
328000	330000	I don't know what you're talking about, but I think it's a good idea to do that.
330000	332000	I don't know what you're talking about, but I think it's a good idea to do that.
332000	334000	I don't know what you're talking about, but I think it's a good idea to do that.
334000	336000	I don't know what you're talking about, but I think it's a good idea to do that.
336000	338000	I don't know what you're talking about, but I think it's a good idea to do that.
338000	340000	I don't know what you're talking about, but I think it's a good idea to do that.
340000	342000	I don't know what you're talking about, but I think it's a good idea to do that.
342000	344000	I don't know what you're talking about, but I think it's a good idea to do that.
344000	346000	I don't know what you're talking about, but I think it's a good idea to do that.
346000	348000	I don't know what you're talking about, but I think it's a good idea to do that.
348000	350000	I don't know what you're talking about, but I think it's a good idea to do that.
350000	352000	I don't know what you're talking about, but I think it's a good idea to do that.
352000	354000	I don't know what you're talking about, but I think it's a good idea to do that.
354000	356000	I don't know what you're talking about, but I think it's a good idea to do that.
356000	358000	I don't know what you're talking about, but I think it's a good idea to do that.
358000	360000	I don't know what you're talking about, but I think it's a good idea to do that.
360000	362000	I don't know what you're talking about, but I think it's a good idea to do that.
362000	364000	I don't know what you're talking about, but I think it's a good idea to do that.
364000	366000	I don't know what you're talking about, but I think it's a good idea to do that.
366000	368000	I don't know what you're talking about, but I think it's a good idea to do that.
368000	370000	I don't know what you're talking about, but I think it's a good idea to do that.
370000	372000	I don't know what you're talking about, but I think it's a good idea to do that.
372000	374000	I don't know what you're talking about, but I think it's a good idea to do that.
374000	376000	I don't know what you're talking about, but I think it's a good idea to do that.
376000	378000	I don't know what you're talking about, but I think it's a good idea to do that.
378000	380000	I don't know what you're talking about, but I think it's a good idea to do that.
380000	382000	I don't know what you're talking about, but I think it's a good idea to do that.
382000	384000	I don't know what you're talking about, but I think it's a good idea to do that.
384000	386000	I don't know what you're talking about, but I think it's a good idea to do that.
386000	388000	I don't know what you're talking about, but I think it's a good idea to do that.
388000	390000	I don't know what you're talking about, but I think it's a good idea to do that.
390000	392000	I don't know what you're talking about, but I think it's a good idea to do that.
392000	394000	I don't know what you're talking about, but I think it's a good idea to do that.
394000	396000	I don't know what you're talking about, but I think it's a good idea to do that.
396000	398000	I don't know what you're talking about, but I think it's a good idea to do that.
398000	400000	I don't know what you're talking about, but I think it's a good idea to do that.
400000	402000	I don't know what you're talking about, but I think it's a good idea to do that.
402000	404000	I don't know what you're talking about, but I think it's a good idea to do that.
404000	406000	I don't know what you're talking about, but I think it's a good idea to do that.
406000	408000	I don't know what you're talking about, but I think it's a good idea to do that.
408000	410000	I don't know what you're talking about, but I think it's a good idea to do that.
410000	412000	I don't know what you're talking about, but I think it's a good idea to do that.
412000	414000	I don't know what you're talking about, but I think it's a good idea to do that.
414000	416000	I don't know what you're talking about, but I think it's a good idea to do that.
416000	418000	I don't know what you're talking about, but I think it's a good idea to do that.
418000	420000	I don't know what you're talking about, but I think it's a good idea to do that.
420000	422000	I don't know what you're talking about, but I think it's a good idea to do that.
422000	424000	I don't know what you're talking about, but I think it's a good idea to do that.
424000	426000	I don't know what you're talking about, but I think it's a good idea to do that.
426000	428000	I don't know what you're talking about, but I think it's a good idea to do that.
428000	430000	I don't know what you're talking about, but I think it's a good idea to do that.
430000	432000	I don't know what you're talking about, but I think it's a good idea to do that.
432000	434000	I don't know what you're talking about, but I think it's a good idea to do that.
434000	436000	I don't know what you're talking about, but I think it's a good idea to do that.
436000	438000	I don't know what you're talking about, but I think it's a good idea to do that.
438000	440000	I don't know what you're talking about, but I think it's a good idea to do that.
440000	442000	I don't know what you're talking about, but I think it's a good idea to do that.
442000	444000	I don't know what you're talking about, but I think it's a good idea to do that.
444000	446000	I don't know what you're talking about, but I think it's a good idea to do that.
446000	448000	I don't know what you're talking about, but I think it's a good idea to do that.
448000	450000	I don't know what you're talking about, but I think it's a good idea to do that.
450000	452000	I don't know what you're talking about, but I think it's a good idea to do that.
452000	454000	I don't know what you're talking about, but I think it's a good idea to do that.
