start	end	text
0	30000	ブーバーしちゃうんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだったんだった
30000	45060	emotions
45060	50900	ブーバー 持っています
50900	53900	持っています
53900	56900	持っています
56900	59900	持っています
59900	62900	持っています
62900	65900	持っています
65900	68900	持っています
68900	71900	持っています
71900	74900	持っています
76900	79900	持っています
80900	83900	持っています
85900	88900	持っています
88900	91900	持っています
96900	99900	持ってます
99900	129900	ううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううううう
129900	150720	うううううううううううううううううううううううううう
159900	189900	ブーバーしちゃっていればいい いいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいい
189900	194560	ence
198360	206840	うっうっ lengths
206840	208920	dj
208920	211320	aton
211320	215320	ツアー
216480	219340	った
219900	249900	ブーバーしちゃってい えええええええええええええええええええええええええええええいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいいい
249900	251900	ん
252900	254900	ん
255900	257900	ん
259900	261900	ん
262900	264900	ん
265900	267900	ん
268900	270900	ん
271900	273900	ん
274900	276900	ん
276900	278900	ん
279900	281900	ん
282900	284900	ん
285900	287900	ん
288900	290900	ん
291900	293900	ん
295900	297900	ん
298900	300900	ん
301900	303900	ん
303900	305900	ん
306900	308900	ん
309900	311900	ん
312900	314900	ん
315900	317900	ん
318900	320900	ん
321900	323900	ん
324900	326900	ん
327900	329900	ん
329900	331900	ん
332900	334900	ん
335900	337900	ん
338900	340900	ん
341900	343900	ん
344900	346900	ん
347900	349900	ん
350900	352900	ん
353900	355900	ん
355900	357900	ん
358900	360900	ん
361900	363900	ん
364900	366900	ん
367900	369900	ん
370900	372900	ん
373900	375900	ん
376900	378900	ん
379900	381900	ん
381900	383900	ん
384900	386900	ん
387900	389900	ん
390900	392900	ん
393900	395900	ん
396900	398900	ん
399900	401900	ん
402900	404900	ん
405900	407900	ん
407900	409900	ん
410900	412900	ん
413900	415900	ん
416900	418900	ん
419900	421900	ん
422900	424900	ん
425900	427900	ん
428900	430900	ん
431900	433900	ん
433900	435900	ん
436900	438900	ん
439900	441900	ん
442900	444900	ん
445900	447900	ん
448900	450900	ん
451900	453900	ん
454900	456900	ん
457900	459900	ん
459900	461900	ん
462900	464900	ん
465900	467900	ん
468900	470900	ん
471900	473900	ん
474900	476900	ん
477900	479900	ん
480900	482900	ん
483900	485900	ん
485900	487900	ん
488900	490900	ん
491900	493900	ん
494900	496900	ん
497900	499900	ん
500900	502900	ん
