start	end	text
0	2000	I'm going to show you how to do it.
2000	4000	I'm going to show you how to do it.
4000	6000	I'm going to show you how to do it.
6000	8000	I'm going to show you how to do it.
8000	10000	I'm going to show you how to do it.
10000	12000	I'm going to show you how to do it.
12000	14000	I'm going to show you how to do it.
14000	16000	I'm going to show you how to do it.
16000	18000	I'm going to show you how to do it.
18000	20000	I'm going to show you how to do it.
20000	22000	I'm going to show you how to do it.
24000	26000	I'm going to show you how to do it.
26000	28000	I'm going to show you how to do it.
28000	30000	I'm going to show you how to do it.
30000	32000	I'm going to show you how to do it.
32000	34000	I'm going to show you how to do it.
34000	36000	I'm going to show you how to do it.
36000	38000	I'm going to show you how to do it.
38000	40000	I'm going to show you how to do it.
40000	42000	I'm going to show you how to do it.
42000	44000	I'm going to show you how to do it.
44000	46000	I'm going to show you how to do it.
48000	50000	I'm going to show you how to do it.
50000	52000	I'm going to show you how to do it.
52000	54000	I'm going to show you how to do it.
54000	56000	I'm going to show you how to do it.
56000	58000	I'm going to show you how to do it.
58000	60000	I'm going to show you how to do it.
60000	62000	I'm going to show you how to do it.
63840	65840	I'm going to show you how to do it.
65840	67840	I'm going to show you how to do it.
67840	69840	I'm going to show you how to do it.
69840	71840	I'm going to show you how to do it.
71840	73840	I'm going to show you how to do it.
73840	75840	I'm going to show you how to do it.
75840	77840	I'm going to show you how to do it.
77840	79840	I'm going to show you how to do it.
79840	81840	I'm going to show you how to do it.
81840	83840	I'm going to show you how to do it.
83840	85840	I'm going to show you how to do it.
85840	87840	I'm not going to let you get away with this.
87840	89840	I'm not going to let you get away with this.
89840	91840	I'm not going to let you get away with this.
91840	93840	I'm not going to let you get away with this.
93840	95840	I'm not going to let you get away with this.
95840	97840	I'm not going to let you get away with this.
97840	99840	I'm not going to let you get away with this.
99840	101840	I'm not going to let you get away with this.
101840	103840	I'm not going to let you get away with this.
103840	105840	I'm not going to let you get away with this.
105840	107840	I'm not going to let you get away with this.
