start	end	text
0	8000	Also du willst Aquaponik, elementaren Baustein, machen, um Ackerbau effizienter, platzsparender zu machen.
8000	9000	Genau.
9000	16000	Und viele unserer Abfallprodukte als Input für diesen Kreislauf zu verwenden.
16000	17000	Genau.
17000	18000	Das heißt also...
18000	21000	Und so wenig wie möglich Abfallprodukte überhaupt noch zu haben.
21000	22000	Korrekt.
22000	26000	Das heißt also prinzipiell dafür zu sorgen, dass wir eigentlich ein Kreislaufsystem haben,
26000	36000	wo jeder, der auswärts essen geht und zu Hause kackt, mit dazu beiträgt, dass wir sozusagen mehr Gesamtressourcen haben.
36000	37000	Geil.
37000	43000	Wir haben Lebensstandard, der geil ist, der funktioniert.
43000	47000	Und das Einzige, was wir dafür machen müssen, ist einfach nichts weiter, außer...
47000	51000	Ich will kein Einfamilienhaus.
52000	60000	Das ist so ein Grundkonzept, wo ich ernsthaft sagen muss, ja, das müssen wir einfach tun, weil anders geht das nicht.
60000	66000	Und ich muss ernsthaft sagen, warum Industriekommune ist noch so eine weitere Sache von...
66000	68000	Wir müssen uns mal überlegen.
68000	75000	Bei fast jedem, also bei jedem Konsumprodukt, was wir so in unserem Alltag haben, vor der Zahnbürste, die Tapete, die in unseren Wänden hängen, was auch immer.
75000	87000	Bei jedem Schritt, wo irgendwie das noch nicht fertige Produkt weitergereicht wird, wird erwartet, dass nochmal irgendjemand davon reich wird.
87000	90000	Das ist ja das Geile an der Chemie.
90000	99000	Du puzzelst eigentlich sozusagen die LEGO-Bausteine, im wahrsten Sinne des Wortes, zusammen und bekommst daraus deine Werkstoffe.
99000	105000	Und was du als Kohlenstoffgrundlage nimmst, das ist eigentlich nachrangig.
105000	107000	Es ist nur meistens Mühe, weil es am einfachsten ist.
107000	111000	Wissenschaftlich ist das schon ein relativ reizvolles Thema.
111000	117000	Nur ob man damit jetzt eben genügend Leute zusammenkriegt und gleichzeitig auch irgendwie Finanzierung gestemmt kriegt, ist schwierig.
117000	120000	Aber ich behaupte nicht unmöglich.
120000	125000	Ja, dann müssen wir gleich mal zusammen einen DFG-Antrag schreiben.
125000	131000	Ich habe leider kein englisch reines Bürokraters und leider auch keinen passenden Opferaltar dafür.
131000	136000	Und auch keinen zugelässigen Aktenvernichter, der als Ritualaktenvernichter rezertifiziert wurde.
149000	151000	Johannes.
151000	152000	Hallo Morf.
152000	154000	Hallo Johannes.
154000	161000	Wir beide haben heute ein fantastisches Jubiläum und auch ein Es geht jetzt mal richtig los.
161000	166000	Du hast eine Präsentation vorbereitet und du erzählst mir gleich was und uns allen auf dem YouTube-Kanal.
166000	168000	Aber erst mal Prost.
168000	170000	Prost.
170000	180000	Und bevor es losgeht, musst du mal erklären, was du für einer bist und warum du mir eine Präsentation jetzt zeigst.
180000	186000	Ich selbst bin Kunststofftechnik Ingenieur und bin seit Jahren auch schon der Frage hinterher,
186000	195000	was können wir eigentlich tun, damit wir sozusagen uns das Paradies auf Erden bauen können oder vielleicht auch doch nicht auf Erden.
195000	203000	Es hängt hauptsächlich damit zusammen, dass wir eigentlich alle es irgendwie zumindest eine Mindestmenge an Menschen es auch haben will.
203000	208000	Aber es hängt häufig damit auch zusammen, wie es erreicht werden kann.
208000	215000	Eines der aktuelleren Probleme, die wir beobachten können, ist, wenn wir beispielsweise eine klassische Kommune aufmachen würden,
215000	219000	haben wir das Problem, dass wir immer noch landwirtschaftliche Fläche brauchen.
220000	222000	Wir haben immer noch den üblichen Konsum.
222000	224000	Wir müssen heizen.
224000	227000	Wir müssen Dinge für unseren Alltag beschaffen.
227000	233000	Und selbst wenn man jetzt der über korrekteste Superveganer wäre,
233000	242000	man kann viele Sachen alleine deswegen nicht weiter auf seine negativen Umweltauswirkungen nicht weiter reduzieren.
242000	244000	Einfach weil das strukturell nicht möglich ist.
244000	246000	Das heißt, wir müssen Strukturen schaffen.
246000	250000	Und das meiste davon ist eigentlich Infrastruktur.
250000	259000	Du meinst jetzt sowas wie, ich brauche, um den Scheiß vom Acker zu holen, brauche ich eine Kiste, um das da rein zu tun.
259000	261000	Wo kommt die Kiste her?
261000	262000	Wo kommt die Kiste her?
262000	264000	Wo kommt der Traktor her?
264000	268000	Weil das nächste Problem ist immer, dass wir die Kiste nicht weiter reduzieren.
268000	270000	Wo kommt der Traktor her?
270000	274000	Weil das nächste Problem ist immer wieder nur, wenn wir jetzt einfach sagen würden,
274000	278000	lass uns mal wieder auf Steinzeitmenschen machen, das ist ja ökologisch voll korrekt,
278000	283000	dann brauchst du locker 10 Quadratkilometer pro Person,
283000	289000	damit du keine Chance mehr hast, das Gebiet zu übersammeln, überjagen oder zu überwirtschaften.
289000	292000	Und so eine Fläche haben wir einfach nicht.
292000	297000	Da bräuchten wir ein paar Mal Sibirien zum Beispiel für ganz Deutschland.
297000	301000	Und dann müsste das halt eben bedeutend bessere Bedingungen haben als Sibirien.
301000	312000	Und das ist jetzt fruchtbares, tolles Land, war schon immer knapp.
312000	316000	Und meiner Meinung nach ist das auch so eine weitere Sache.
317000	320000	Also praktisch geschichtlich geht das relativ früh los,
320000	325000	sobald irgendwie es begehrenswertes Land gibt, mit Rohstoffenboden schätzen
325000	332000	oder auch alleine wirklich, man kann einfach nur Ackerbau betreiben oder sonst wie ausbeuten,
332000	336000	dann war es begehrt genug, dass darum Kriege geführt wurden.
336000	340000	Und das Ziel ist es wirklich, irgendwie eine Basis zu finden,
340000	347000	mit der man sozusagen alles, was man zum Leben braucht, generieren kann
347000	353000	und am besten auch noch so macht, dass man nicht nur dieses Gefühl hat,
353000	357000	so nach dem Motto wie so irgendeine Dystopie, so nach dem Motto,
357000	364000	so jetzt habe ich hier einmal den Nahrungsschleim, davon kriege ich sieben Tage die Woche was.
364000	369000	Und wenn ich ganz viel Glück habe, gibt es einmal im Monat tatsächlich irgendwas Richtiges zu essen.
369000	373000	Das ist zum Beispiel jetzt so eine Dystopie, bei der man annehmen könnte,
373000	382000	so ja minimale Landnutzung und dafür hast du halt zum Beispiel dann nur Nahrungsschleim,
382000	384000	woraus er besteht, weißt du nicht.
384000	387000	Aber Nahrungsschleim wäre für die nachfolgenden Generationen,
387000	389000	die damit aufwachsen, ja gar nicht so schlimm.
389000	392000	Das wäre es nur, das ist es, ja ich weiß nicht,
392000	395000	also du könntest dir jetzt genauso gut eine Debatte über Kartoffeln oder Brot
395000	398000	oder das, was wir als industrielle Nahrungsmittel halt eben kennen.
398000	403000	Führen. Du kannst halt eben wunderbar behaupten, es gibt Produkte,
403000	411000	die halt eben hauptsächlich darauf optimiert sind, kostengünstig herzustellen mit Zutaten,
411000	418000	die möglichst leicht beschaffbar und handhabbar sind mit sämtlichen Verarbeitungshilfsmitteln.
418000	424000	Und da muss ich ernsthaft sagen, müssen wir sozusagen genügend Maschinenpower
424000	430000	als auch Menschenpower reinstecken, damit wir unsere Produkte selbst machen können.
430000	434000	Und du hast dir jetzt überlegt, wie das geht, oder was?
434000	438000	Ja, zumindest sehr stark, erstmal stark vereinfacht,
438000	444000	weil das ist wieder so eine bescheuerte Sache von, ich habe mir Gedanken gemacht,
444000	447000	es ist eine Sache von, ich werde sie nicht alleine tun können.
447000	454000	Das ist eher so eine Sache von, da braucht man eine sehr große Mannschaft dafür,
454000	456000	um sowas überhaupt anfangen zu wollen.
456000	460000	Das ist wie, ich habe vor, irgendwo hin zu segeln, wo noch keiner war,
460000	464000	und da weißt du ganz genau, ein Schiff kannst du schlecht alleine bemannen.
464000	471000	Na gut, okay. Dann schieß mal los. Industrie und Kommune.
471000	474000	Ja, ich habe jetzt hier eine Präsentation vorbereitet.
474000	484000	Und die Grundüberlegung ist, wir müssen selbst, wir setzen als Gemeinschaft da
484000	491000	und wir brauchen die Fertigungskapazitäten, um unsere Produkte und auch Konsumprodukte selbst herstellen zu können.
491000	494000	Und alles fängt eigentlich an, dass wir eigentlich keine Wahl haben.
494000	499000	Die Ressourcen sind endlich, die wir haben.
500000	507000	Und wenn wir sie nutzen und auch sparen wollen, können wir das immer noch am besten,
507000	511000	wenn wir halt eben über industrielle, technische Verfahren verfügen,
511000	515000	die wir zum Beispiel nicht hätten, wenn wir keine Werkstätten,
515000	519000	Labore und andere infrastrukturelle Sachen betreiben könnten.
519000	524000	Und prinzipiell bin ich der Meinung, Kooperation ist immer besser als Konkurrenz.
525000	531000	Das kann man auch wieder insgesamt in der Gesamtindustrie beobachten,
531000	534000	weil die Produkte, die wir in Läden kaufen können,
534000	538000	die Hersteller selbst müssen sich irgendwas überlegen,
538000	546000	warum sie sozusagen den Konkurrenz um unsere Aufmerksamkeit oder auch um den Grund,
546000	551000	die konkurrieren darum, warum wir die Sachen eben kaufen sollen oder kaufen müssen.
552000	557000	Wenn wir zum Beispiel überlegen, was wir heute Abend essen wollen und in den Supermarkt gehen,
557000	563000	dann ist das zum Beispiel so eine Sache von, da können die ziemlich gut niederschwellig ausnutzen,
563000	568000	dass wir hungrig sind und dann kaufen wir häufig viele Dinge, die wir eigentlich nicht bräuchten.
569000	575000	In Kommunen ist es dann zum Beispiel dann oder generell bei jeder Gemeinschaft, die man haben könnte,
575000	579000	könnte man eine gemeinschaftliche Kantine betreiben oder eine andere gemeinschaftliche Küche
579000	583000	oder ganz anders doof gesagt vielleicht auch einen Automaten bauen,
583000	588000	wo man einfach auf Knopfdruck dann sein zumindest halbwegs gesundes Essen kriegt
