start	end	text
0	4640	Die denken halt auch, das ist ja witzig, da zieht sich einer an wie eine Frau. Weißt du, das ist das.
4640	9360	Ich glaube, ein bisschen weiter ist die Gesellschaft schon.
9360	12480	War, nee, auf keinen Fall. ZDF Schlager gab es, Notchens.
12480	14480	Doch.
14480	16000	Echt?
16000	17040	Meinst du?
17040	19040	Das glaube ich schon.
19040	39200	Wo ich die meisten Probleme habe, ist so das Alter, ich sag mal so 17, 18 bis 25 ungefähr. 25, 30.
40160	53440	Da habe ich die meisten Probleme mit den Älteren, so 50 oder so, ganz wenig Probleme.
53440	65120	Die haben halt auch schon einfach mehr Lebenserfahrung, wo die wissen halt, also die wissen halt ganz genau, eigentlich ist alles scheißegal, jeder Mensch muss glücklich sein.
65520	73040	Und diese kleinen Wichser, das sind halt wirklich so Lappen und die machen sich halt, die denken sich, ah, geil.
73040	78720	Mit ein bisschen Empathie klappt das auch.
78720	82720	Denke ich auch. Also mit ein bisschen Empathie klappt einiges.
82720	86240	Ja.
86240	92160	Aber das ist halt eine Lektion, die muss die Wertegemeinschaft erst lernen.
92160	99760	Ja, also das habe ich auch, muss ich gestehen, erst so richtig gelernt mit meinem Outing.
99760	105280	Wieso, warst du vorher etwa auch ein Arschloch?
105280	110720	Nicht nur das, ich war Nazi.
110720	116160	Jetzt kommt aber hier der maximale Twist erzählt.
116160	120960	Ja, ich war Teil der Plattenanabewegung.
121760	125760	Das ist witzig, das weißt du, ne?
137760	144800	So, Jule, 3, 2, 1, worüber unterhalten wir uns eigentlich heute?
144800	149120	Heute unterhalten wir uns über Transsexualismus.
149120	150080	Ach was?
150240	154240	Ja, ganz komisches Zeug.
160240	171280	Was bei dem Thema ganz wichtig ist, diese Stigmatisierung, dieses Schubladendenken.
173280	175280	Was jetzt genau?
175680	190480	Ich habe das jetzt schon häufig erlebt, dass wenn ich mal sage, dass ich trans bin, dass die Leute mich einfach nicht mehr ernst nehmen.
194480	202480	Weil, also was sagst du genau zu den Leuten? Du bist trans, was bedeutet das?
202480	216480	Ich bin in einem männlichen Körper geboren und fühle mich aber eher als Frau.
216480	218480	Ja?
218480	222480	Also ich bin eine Frau, geboren aber in einem männlichen Körper.
222480	224480	Okay.
224480	240480	Und aus meiner Erfahrung heraus ist es so, dass die meisten Menschen denken, dass ich bekloppt bin, weil die sich das nicht vorstellen können.
244480	252480	Okay. Und dann sagen die, ist mir egal was du erzählst, ich ignoriere dich jetzt oder was?
254480	274480	Ignorieren ist noch die gute Variante. Meistens bekomme ich dann eher negative Schwingungen ab, um es milder auszudrücken.
274480	296480	So und mal angenommen, es wäre von vornherein so, du wärst im richtigen Körper geboren und dann würdest du sagen, dann würde es da gar keine Diskussionen geben.
296480	298480	Richtig.
298480	306480	Und ist das permanent immer so oder gibt es auch Leute, die damit klarkommen?
306480	326480	Es gibt auch Leute, die damit klarkommen, gar keine Frage. Aber ich erlebe es halt immer wieder, dass Leute, die das wissen, hinter meinem Rücken an den Leuten davon erzählen.
326480	336480	Das hatte ich jetzt auch erst bei der Arbeit. Das hat mich ziemlich fertig gemacht. War drei Wochen krankgeschrieben.
336480	352480	Ja gut, weil ich halt auch seit Jahren deswegen an Depressionen leide. Ja. Das macht mich halt doch schon ziemlich fertig.
352480	366480	Was arbeitest du? Ich arbeite in der Industrie, um es mal grob zu fassen. Ich möchte jetzt nicht genau sagen, bei welchem Arbeitgeber ich arbeite.
366480	380480	Also ich stelle mir das so vor, du bist irgendwo in einem Arbeitsplatz, da sind viele Leute und alle kennen dich mehr oder weniger, wissen wer du bist, kennen deinen Namen.
380480	388480	So jetzt gehst du zu einer einzigen Person hin und sagst, ich bin trans und dann ändert das was oder was?
388480	405480	Ja, nein, nicht unbedingt. Nein, das lief bei mir ein bisschen anders. Ich bin vorher in einer anderen Abteilung gewesen und da hatte ich halt auch schon ziemliche Probleme.
405480	420480	Und da habe ich dann zum Schluss, psychisch habe ich das überhaupt nicht mehr geschafft, bin in Reha gegangen und bin von da aus dann direkt in eine andere Abteilung für Menschen mit Einschränkungen.
420480	430480	Wegen meiner Depression. Und das ist von der anderen Abteilung jetzt in diese Abteilung geschwappt.
430480	450480	Auch wenn es eine riesige Firma ist, ist es leider so, dass das auch nur ein Dorf ist. Und dann wird das von einer Abteilung zu anderen getragen.
450480	460480	Irgendwo sieht man immer mal wen, den man aus einer anderen Abteilung kennt und dann wird das einfach weiter getrautscht.
460480	466480	Und wie stelle ich mir das vor? Äußert sich das wie so ein ganz normales Mobbing, was man aus der Schule kennt?
466480	476480	Nein, nicht unbedingt. Das ist eher so dieses hintenrum.
476480	499480	Also ich kann jetzt so sagen, ich habe halt meine Arbeit gemacht und dann habe ich von einem Arbeitsplatz schräg hinter mir, habe ich halt meinen alten Namen gehört und dann guckt eine neue Kollegin zu mir, fängt an zu lachen.
499480	509480	Also du hast irgendwann deinen Namen geändert und das ist noch nicht so lange her und du warst aber schon länger in dem Betrieb.
509480	537480	Doch, doch. 2019 ist es rechtskräftig gewesen und das war jetzt erst kurz vor Weihnachten, dass diese Situation war, dass ein Kollege aus meinem jetzigen Team einer neuen aus meinem jetzigen Team das gesagt hat.
537480	546480	Also da habe ich halt meinen alten Namen gehört und die hat dann halt zu mir rüber geguckt und angefangen zu lachen.
546480	559480	Wie alt sind die? Um die 50, wobei ich eigentlich aus der Altersgruppe bisher nur positive Erfahrungen habe.
559480	571480	Negative Erfahrungen habe ich so aus dem Alter zwischen 16 und 20.
571480	574480	Hätte ich jetzt auch gedacht. Das ist so kindisches Verhalten irgendwie.
574480	575480	Genau.
575480	585480	So wie damals, wenn irgendwie, also ich hatte zum Beispiel in der siebten Klasse ein Mädchen in der Klasse, die hatte halt einen Arm nur.
585480	599480	Sie hatte ja eine Prothese. Und da haben wir die aufgezogen, also ich jetzt nicht oder vielleicht auch, aber es war immer mal so ein Thema, aber das ist so ein normales Verhalten, was man so als Kind an den Tag legt.
599480	608480	Und das ist ja sozusagen, das ist ja ein absichtlich bösehaftiges, boshaftes, von wegen haha, guck mal, ich weiß deinen Namen, bei mir hat das einer verraten und deswegen ziehe ich dich damit auf, Schwachsinn.
608480	615480	Ja, das ist so ein bisschen dieses, ich sehe was, was du nicht siehst.
615480	618480	Dieses bisschen Sensationsgear.
618480	619480	Ja.
619480	624480	Also meiner Meinung nach. Anders kann ich mir das nicht erklären.
624480	625480	Ja.
625480	627480	So nach dem Motto.
627480	630480	Wir wissen genau, dass dich das triggert halt. Ich meine, das ist ja klar.
630480	641480	Nee, nein, nein, nicht mal das. Das ist einfach nur dieses, ich weiß etwas, was du nicht weißt und das sage ich dir jetzt.
641480	644480	Ja, aber ich meine, du weißt es ja. Also du weißt es.
644480	646480	Ja, ja, ich weiß. Ich weiß.
646480	648480	Das ist eher sowas von wegen, ich weiß das jetzt auch.
648480	655480	Ich habe das, ich habe das aus, ich habe das in der Abteilung niemandem gesagt.
655480	658480	Niemandem.
658480	659480	Ja.
659480	663480	Aus der Abteilung kannte mich vorher keiner.
663480	673480	Und naja, es kommen halt aus anderen Abteilungen immer wieder welche dazu, fahren irgendwelche Teile oder was.
673480	679480	Die sehen mich und erzählen das einfach weiter.
679480	686480	Ja, ich finde das erstaunlich, weil jetzt mal so ganz persönlich, auf der persönlichen Ebene.
686480	689480	Von der Stimme her würde ich sagen, das ist eine absolut frauliche Stimme.
689480	694480	Ich habe schon einen ähnlichen Fall gehabt.
694480	698480	Ich kannte jemanden, der bei einer großen Tech-Company gearbeitet hat.
698480	704480	Mit der Person habe ich lange immer mal so über die Jahre Kontakt gehabt.
704480	709480	Und immer nur per Webcam, ohne Webcam quasi, nur so Telefoncalls gehabt.
709480	710480	Ja.
710480	714480	Und es war so ein...
714480	717480	Hieß aber, hatte aber einen weiblichen Namen.
717480	722480	Und irgendwann hinterher hat sich herausgestellt, Geschlechtsumwandlung und hieß vorher anders.
722480	730480	Und dann war mir das erst klar. Und als ich die Person in echt gesehen habe, da dachte ich auch so, ah ok, jetzt da, weißt du, da war das sozusagen ok.
730480	734480	Die hatte auch so ein Kreuz noch und so und hat auch noch so geredet.
734480	740480	Und da war das, ich weiß auch nicht, da war das sozusagen schwieriger für sie, sich zu ändern und so.
740480	745480	Keine Ahnung, ich kenne mich damit nicht aus. Aber bei dir würde ich sagen, da ist das eigentlich eher klar.
745480	748480	Da hört sich das schon sehr weiblich an.
748480	750480	Und da geht es ja dann wirklich so...
750480	753480	Darf ich einmal dazwischen grätschen?
753480	754480	Ja klar.
754480	760480	Also das Wort Geschlechtsumwandlung, das ist jetzt nicht so das Optimum.
760480	766480	Ok, also es geht ja irgendwie anders. Also erst irgendwie Hormonbehandlung und dann so und so.
766480	771480	Das richtige Wort wäre eigentlich Geschlechtsangleichung.
771480	773480	Ok.
773480	778480	Weil ich gleiche ja mein körperliches Geschlecht an mein seelisches Geschlecht an.
778480	781480	Ja. Ok.
781480	782480	Verstehe ich.
782480	783480	Jetzt einfach nur...
783480	785480	Jaja, ok.
785480	790480	Aber da war es jedenfalls so, Name war schon geändert.
790480	795480	Hormontherapie hat begonnen, mindestens mal das. Und es ging auch schon über Jahre und so.
795480	803480	Und ich hatte mich das immer gefragt und dann irgendwie hinterher, als ich... wie hieß sie denn im Wort?
803480	804480	Das ist ja egal.
804480	808480	Ist ja auch egal. Aber dann war das sozusagen klar.
808480	812480	Da war, vom Erscheinungsbild her hat das irgendwie Sinn ergeben.
812480	818480	Aber bei dir sozusagen, ich hör die Stimme, das klingt schon sehr, eigentlich nach einer Frau.
818480	826480	Und dann denkst du dir, naja ok, da kommt irgendein Pisser, der erzählt irgendjemand anderem,
826480	831480	jetzt mal guck mal hier, ich hab hier die Insider-Information, kannst du die Person damit aufziehen.
831480	836480	Es ist so kindisch, da würde ich sagen, es ist eher so ein 18-Jähriger oder so.
836480	838480	Ja, genau.
838480	847480	Das ist einfach, gerade halt in der Industrie, das ist ja sehr monoton.
847480	851480	Man hat jeden Tag immer die gleiche Arbeit.
851480	854480	Magst du mir eigentlich mal ein Bier abgeben?
854480	856480	Ich mach eins auf, wir prosten, oder?
856480	858480	Ja, wir prosten.
858480	860480	Prost.
860480	869480	Nee, das ist halt alles auch sehr monoton.
869480	875480	Und da ist jedes bisschen Abwechslung, glaube ich, sehr willkommen.
875480	880480	Bist du so Dreherin oder sowas? Steh ich mir das so vor?
880480	887480	Nee. In der Metallbearbeitung war ich vorher.
887480	899480	Aber jetzt bin ich in der, ja, ich möchte jetzt nicht zu viel verraten.
899480	903480	Ich bin halt in der Industrie tätig.
903480	913480	Aber wenn du sagst, dass es monoton ist, ist das so, man stellt sich das vor wie Fließbandarbeit.
913480	920480	Also du kriegst ein Werkstück, du machst was damit, dann gibst du es weiter und dann kriegst du nochmal das gleiche Werkstück und machst nochmal das gleiche damit.
920480	927480	Ja, genau. Fließbandarbeit. Das trifft es recht gut.
