start	end	text
0	4060	Sondern was ich schlimmer finde, sind dann tatsächlich eben die Preistheorien.
4060	11640	Also zu versuchen, aus einer nicht messbaren Einheit wie Nutzen quasi eine Preistheorie zu entwickeln,
11640	14800	das sind dann wirklich die Fallstrecke dieser Ökonomie für mich.
14800	20960	Also wo es wirklich beim Mikroökonomischen losgeht, dass ich sagen würde, dass das wirklich Unfug meiner Meinung nach ist.
20960	25320	Weil ja Hayek eigentlich sehr starke Kritik doch durchaus auch an der Neoklassik hatte,
25320	29040	weil er ja dieses Denken in Gleichgewichten und allem sehr verabscheut hat.
29040	35840	Also das heißt, das Grundeinkommen als Erfolgsstrategie, als Erfolgsstrategie der Umverteilung funktioniert nur,
35840	42680	wenn die Leute allesamt ihr Recht nicht arbeiten gehen zu müssen, nicht in Anspruch nehmen.
42680	45760	Du hast jetzt gerade versucht, so einen fließenden Übergang darzustellen.
45760	50280	Du zwingst die Leute durch immer mehr und mehr und mehr Besteuerung von dieser alten Denke wegzukommen
50280	52360	und jetzt was für die Gesellschaft zu tun.
52360	54160	Ich habe es mir nur gerade so überlegt.
54160	59000	Wo ist denn dann das Problem damit, einfach anstatt diesen sukzessiven Übergang zu sagen,
59040	64360	zack, ab jetzt wird nicht mehr profitförmig produziert oder wahrenförmig produziert
64360	67840	und jetzt setzen wir was anderes an deren Stelle.
67840	69280	Wo ist denn damit das Problem?
69280	73080	Einen unstetigen Übergang, den stelle ich mir immer sehr kritisch vor.
85640	86400	Hallo Ole.
87120	87920	Hallo Morf.
89160	95840	Wir reden heute zusammen über, ich würde sagen, auch Wirtschaftswissenschaften.
95840	99280	Aber vielleicht erst mal zu dir.
99280	101560	Du studierst noch, richtig?
101560	103920	Ich bin jetzt mit dem Studium eigentlich so gut wie durch.
103920	107560	Also ich habe Soziologie und Wirtschaftswissenschaften in Jena studiert,
107560	114800	bin da aber mit den EZTS-Punkten komplett durch und muss nur noch die Bachelorarbeit dann schreiben und abgeben.
114800	116200	Okay.
116200	118120	Das Thema wird sein?
118120	120160	Das ist noch nicht sicher tatsächlich.
120160	122360	Also ich habe noch nicht angefangen mit der Bachelorarbeit.
122360	126080	Dementsprechend kann ich dazu leider noch nicht viel bahnbrechendes verraten,
126080	129640	aber das vielleicht an anderer Stelle mal.
129640	133840	Aber es wird auf jeden Fall eine Soziologie sein, weil ich ja Soziologie als Hauptfach habe.
133840	137640	Und ich hatte nachgedacht eben über die Soziologie von Gabriel Tartt,
137640	140960	also spätestens 19. Früh, 26. Jahrhundert.
140960	147040	Und ich muss jetzt halt gucken, ob das wirklich so ergiebig ist oder ob ich da nicht doch was anderes wähle.
147080	152600	Ich wäre ja dafür, dass du das Buch, was da hinter dir steht, von Anwar Scheik hernimmst
152600	158640	und da ein beliebiges Kapitel rausnimmst und da eine Bachelorarbeit drüber schreibst.
158640	163040	Warte mal, Bachelorarbeit, da reicht Literaturrecherche, oder?
163040	168440	Ja, also du musst jetzt nicht selbst eine eigene Forschung betreiben, falls das quasi die Frage ist.
168440	172200	Ich glaube nur, dass das für die Soziologie nicht unbedingt taugen wird,
172200	177280	sondern das geht ja schon richtig dann ins wirtschaftswissenschaftlich-methodologische herein,
177280	179960	was man da eigentlich mit dem Shaik so alles anfangen könnte.
179960	184200	Naja, man könnte ja wahrscheinlich die Widersprüche, die er aufdeckt, hernehmen
184200	187440	und dann gucken, wie die sich soziologisch äußern.
187440	191040	Ja, klar, da ließen sie sich eine Menge mit machen.
191040	195000	Ich muss aber ganz ehrlich gestehen, beim Shaik, den habe ich noch nicht gelesen.
195000	197080	Also das ist ein Riesenklopper, der steht jetzt neben mir.
197080	202600	Das ist ein Lebenswerk, das aber auch erst geschrieben und dann gelesen sein will.
202600	208480	Ja, ich habe ja auch angefangen und daraufhin, als ich irgendwo am Anfang war,
208480	211680	habe ich festgestellt, okay, ich kann diese ganzen tollen Worte nicht.
211680	216440	Das heißt, ich muss mir erstmal eine Vorlesung reinziehen, am besten zwei,
216440	219160	und dann noch ein Begleitbuch dazu.
219160	221920	Das heißt, ich lese jetzt erstmal das Begleitbuch, ziehe mir die ganzen Basics rein,
221920	225280	damit ich genau weiß, was die meinen mit Demand Curves und so.
