start	end	text
0	9000	Aber es gab auch so Zeiten, wo ich so voll auf der neoliberalen Welle geritten bin, so Start-ups, etc., PP, alles geil.
9000	20000	Aber ich glaube, ich hatte immer Jobs, wo ich als kritischer Geist auch geschätzt wurde und da auch mein Ding machen konnte.
20000	27000	Also Leute wie Trump oder die AfD oder was weiß ich, die verachten natürlich ganz genau so die Arbeiterklasse.
27000	33000	Für viele Menschen ist ja jetzt schon Weltuntergang, das darf man nicht vergessen, rund um den Äquator und so weiter.
33000	39000	Also diese Todeszonen sind nichts, was wir irgendwie erst in 100 Jahren haben.
39000	48000	Diese Sprüche von der Contra-Fraktion da bei der Palastrevolution, die halte ich für naiv tatsächlich. Wie siehst du das?
48000	56000	Das wurde Ihnen ja auch in der Debatte letztlich von der anderen Seite auch vorgeworfen, diese Naivität und so weiter.
56000	66000	Ich hatte dann nochmal im Anschluss sozusagen nach dem offiziellen Teil die Gelegenheit, mit einem der Contra-Leute nochmal ins Gespräch zu kommen.
66000	76000	Und habe nochmal so das eine oder andere Argument gesetzt, wo es dann hieß, wenn dieses Argument gekommen wäre, hätte ich es schwerer gehabt.
78000	93000	Guten Abend Patrick. Hallo lieber Morph.
93000	98000	Du machst auf jeden Fall Sachen mit Humor zusammen, so viel habe ich begriffen.
98000	107000	Du machst laut Namen hier unten, was? 1789 Innovations AG.
107000	114000	Klär mich auf. So heißt die Firma von Hummann.
114000	123000	Und da bin ich seit Januar diesen Jahres und arbeite sozusagen in der Unternehmensberatung.
123000	137000	Und wir machen in erster Linie Organisationsdesign, Governance Strukturen, also sprich die maßgeblichen Entscheidungsstrukturen in Unternehmen,
137000	146000	die dazu führen, dass ein Unternehmen, eine Organisation so funktioniert, wie sie funktioniert.
146000	153000	Weil oftmals werden diese Strukturen im Organisationsdesign oder überhaupt, wenn man in der Organisation arbeiten, gar nicht so beachtet,
153000	158000	sondern man doktort so ein bisschen an der Psyche, Mindset und so weiter rum.
158000	171000	Und wir gehen halt an die Strukturen selbst, an die Regelwerke, an das Operating-Modell und helfen hoffentlich dabei, dass Organisationen besser sich organisieren können.
171000	180000	Und du bist irgendwie auch nicht nur im Twitter aktiv, sondern du gönnst dir diesen Shit auch noch im LinkedIn, richtig?
180000	184000	Welchen Shit meinst du genau?
184000	193000	Also mir wurde zugetragen, dass du da auch sozusagen den Leuten auf den Sack gehst und quasi sagst hier,
193000	199000	das ist jetzt aber wirklich mal nur so ein Bullshit-Management-Sprech und übrigens, was ist hier mal mit Klima und so?
200000	211000	Das zum einen, ja, also ich hab ja noch, also ich hab ja mehrere Podcast-Projekte so nebenbei am Laufen, unter anderem ja auch mit Humor und so weiter.
211000	218000	Und eines hab ich mit einer ehemaligen Kollegin von mir, Marina Schakarian, das Podcast-Format setzt sich neulich auf LinkedIn.
218000	228000	Und tatsächlich besprechen wir da mittlerweile in jeder Episode wöchentlich einen LinkedIn-Post, den wir für besprechenswert halten.
228000	236000	Und da das meiste tatsächlich auf LinkedIn Bullshit ist, ist es auch zufälligerweise oftmals Bullshit, den wir besprechen.
236000	242000	Und den wir dann entsprechend kritisch beleuchten und so ein bisschen auseinandernehmen und gucken, was steckt da eigentlich dahinter.
242000	245000	Und da sind zum Teil dann sehr abstruse Dinge dabei.
245000	248000	Aber ja, das ist Alltag auf LinkedIn.
248000	255000	Ja, das ist ein manchmal sehr seltsames Business.
255000	263000	Ich hätte angenommen, bei LinkedIn geht es nur, also geht es wirklich nur um Außentorstellung von Konzernen.
263000	274000	Also da sind dann irgendwelche Leute, die machen HR und die machen da auch sowohl Werbung für, sie rekrutieren jetzt Leute, als auch guckt mal hier, wir haben total innovative neue Projekte.
274000	280000	Und wenn du bei uns arbeitest, kannst du auch, dann hast du auch einen Kick-Out-Tisch und so.
281000	285000	Ja, wenn das nur so wäre, wäre es noch halb okay.
285000	290000	Aber mittlerweile ist ja wirklich jeder dort irgendwie aktiv in seinem Sinne.
290000	294000	Also egal, ob ich Freelancer bin, ob ich Angestellter bin.
294000	302000	Also die einzige Gruppe, die dort nicht vertreten ist, die einzige Klasse, wenn man so will, wenn man von einem Klassenbegriff spricht, ist die Arbeiterklasse.
302000	304000	Die findet man tatsächlich da so gut wie gar nicht.
304000	311000	Also du wirst da keine PaketfahrerInnen und sonst was finden, wahrscheinlich keine Leute, die am Band arbeiten.
311000	317000	Wahrscheinlich auch nicht in der Pflege, sei denn sie sind irgendwie im Pflegemanagement oder sonst was.
317000	329000	Also das findest du da nicht, sondern vornehmlich sag ich mal in so höheren Angestelltenbereichen, Freelancer, selber UnternehmerInnen und so weiter.
329000	334000	Also Leute, die selber ein Unternehmen haben, zum Teil aber auch mittlerweile CEOs und auch Politiker.
334000	338000	Also du kannst zum Beispiel Christian Lindner auf LinkedIn folgen.
338000	346000	Und da macht er sinnvolle Posts über seinen Alltag oder Spaghetti fotografieren?
346000	356000	Nee, also das ist dann weniger, also grundsätzlich muss man sagen, da ist weniger Privatalltag zu sehen, sondern vielmehr halt immer Businessalltag.
356000	362000	Es gibt ja manchmal auch Businesstheater, Innovationstheater, Nachhaltigkeitstheater.
362000	366000	Also es ist sehr viel Theater am Start, sehr viel Show-off.
366000	375000	Man zeigt sozusagen auch, was man so lernt, weil wir leben ja unter dem Paradigma des lebenslangen Lernens.
375000	382000	Das muss man dann auch permanent sozusagen nach außen tragen, was denn so die Learnings waren des heutigen Tages.
382000	385000	Man muss eine Zertifikate zeigen.
385000	394000	Ja, man muss sich sozusagen selber als Produkt für den Arbeitsmarkt, für den Unternehmensmarkt präsentieren.
394000	396000	Ich glaube, das ist so dieses Ding.
396000	403000	Und CEOs und so weiter müssen sich natürlich ihren Shareholdern präsentieren, was sie denn für tolle Ideen haben für das nächste Quartal,
403000	410000	damit der Profit entsprechend nach oben geht und der Aktienkurs und dann müssen halt da auch fantasiereiche Geschichten her.
410000	411000	Okay.
411000	418000	Da muss man sich mal mit dem Roboterhund fotografieren lassen oder muss man so eine VR-Brille aufhaben, um einfach zu zeigen,
418000	425000	hey, ich bin digital, ich bin hip, ich bin innovativ und diese Dinge alle.
425000	430000	Heißt das dann auch, also ich stelle es mir jetzt so vor, sagen wir mal, man ist mit den anderen CEOs,
430000	438000	überall sozusagen die CEO-Klicke von ungefähr gleich starken Konzernen, dass die sich auch im Wettbewerb befinden,
438000	443000	von wegen, wer hat das bessere, weiß ich jetzt auch nicht, die bessere Geschichte zu erzählen,
443000	449000	das geilere Foto vom, weiß ich nicht, Selfie irgendwo in Burj Khalifa oder so?
449000	456000	Ja, also interessanterweise, viele von den größeren Konzerns, die hier aus sind ja sowieso miteinander vernetzt.
456000	457000	Klar.
457000	464000	Gemeinsame Aktivitäten und so weiter und der eine war jetzt bei dem und man macht eine Kooperation und so weiter.
464000	468000	Aber klar, im Endeffekt ist alles ja Wettbewerb.
468000	473000	Das ist ja sozusagen das sogenannte natürliche Umfeld, in dem man sich da bewegt.
473000	481000	Und deswegen ist es natürlich, aber ehrlicherweise ja auch mittlerweile in privaten Social Networks ganz genauso.
481000	486000	Also aus dem Privatleben ist es ja auch fast so ein Wettbewerbsding geworden.
486000	492000	Wer hat die geilsten Urlaubsorte, das geilste Essen, die geilste Party und so weiter,
492000	499000	den geilsten Buddy, all diese Dinge, ja, ist sozusagen auch natürlich da vorhanden.
499000	505000	Aber eben noch mal auf so einer Business Ebene, würde ich sagen, da beschränkt es sich meistens.
505000	510000	Aber es gibt tatsächlich auch kritische Dinge, das muss man auch sagen.
510000	516000	Und zunehmend merkt man auch, dass das politische bei LinkedIn, das war vorher glaube ich nicht so,
516000	519000	habe ich nicht so krass beobachtet, jetzt auch einen Zug hält.
519000	522000	Leider von verschiedenen Seiten.
522000	529000	Also du hast sowohl diese, sag ich mal, diese, wie ich heiß grün, Dinger.
529000	533000	Alle regen sich über die Grünen auf, Heißungshammer etc. pp.
533000	539000	Und dann hast du aber auch natürlich mittlerweile sehr viel zum Thema Klimawandel und so weiter.
539000	542000	Leute, die auch dort Alarm schlagen.
542000	549000	Alarm schlagen, also es ist nicht mehr so friedlich im Sinne.
549000	555000	So friedlich Business Happy Shiny Welt, wie es sonst eigentlich der Fall war.
555000	561000	Also man merkt auch da brodelt es und krieselt es so ein bisschen.
561000	564000	Und ja, so ist das da.
564000	570000	Und man hat ja auch Konzerne, die sich weltweit schmücken mit Regenbogenplagen und Greenwashing und so.
570000	574000	Und dann ist ja klar, dass das da irgendwie, also da bricht doch,
574000	578000	da müssen doch auch mehrere inkohärente Geschichten, die sich ein Konzern erzählt,
578000	581000	irgendwie zusammenbrechen an bestimmten Stellen.
581000	588000	Also wenn ich mir jetzt vorstelle, die Deutsche Bahn macht ja einen auf grün.
588000	591000	Und jetzt habe ich ja letztens rausgefunden, wurde ich darauf hingewiesen hier,
