start	end	text
0	20740	So Leute, ich habe einen nice Dude im Internet drin gefunden und der hat einen kleinen Mikrokanal
20740	28620	genauso wie ich und im Gegensatz zu mir gibt er sich massiv Mühe mit seinem Content und
28620	35980	ich bin dafür, dass ihr euch den mal reinzieht und wenn ihr Bock drauf habt, den auch supportet,
35980	42020	weil der Boy, der hat's drauf, der macht das so wie ich auch einfach nebenbei als Hobby,
42020	48780	weil er einfach mal ein Idealist ist und ja, ich habe jetzt, was ihr jetzt sehen werdet,
48780	54020	gleich ist einfach nur das Rohr-Uncut-Material, ich habe mich mit ihm online unterhalten,
54020	57380	habe ihm gesagt, ich nehme das auf und werde das veröffentlichen, um seinen Kanal zu pushen und
57420	63220	dann haben wir uns einfach ein bisschen unterhalten. Und daraus ist jetzt das Video entstanden. Viel Spaß.
63220	71220	So, hast du gesagt, du bist ein Biologe? Ja, ich bin Biologe, genau. Also ich studiere Biologie.
71220	78300	Also ich kann noch nicht sagen, ich bin Biologe, aber. Welches Semester? Ich bin jetzt im 5.
78300	86460	Semester, aber ehrlich gesagt bin ich da auch nur, wie sagt man, offiziell. Also ich habe
86500	89940	relativ spät angefangen zu studieren. Ich habe auch erst mein Abitur nachgeholt,
89940	98780	weil ich das mal abgebrochen hatte damals aus verschiedensten Gründen und ja, jetzt habe ich,
98780	103620	was heißt jetzt, vor fünf Jahren ungefähr habe ich dann mein Abitur nachgemacht und dann
103620	110580	hatte ich zwei Jahre lang Unternehmen und danach habe ich angefangen zu studieren. Zuerst zwei
110580	116460	Semester Chemie und dann habe ich geswitcht zu Bio, weil ich fand Bio noch ein bisschen
116460	125340	umfänglicher einfach und ich habe so ein bisschen so, ja vielleicht so ADHS typisch,
125340	131140	also ich bin so ein typischer ADHSler, so dieses Problem, dass ich mich nie lange voll auf eine
131140	136980	Sache nur fokussieren kann und da ist Bio mir sehr, sehr entgegengekommen und das war auch eine sehr
136980	143300	gute Entscheidung für mich. Okay. Genau. Also mir wurde dein Kanal, ich bin ja jetzt auch so ein
143300	147180	bisschen in diesen linken Bubbles drin, seitdem ich das hier mit YouTube mache, werde ich auch
147180	150820	manchmal durchgereicht zu anderen und gehe dann da auf die Kanäle und die helfen mir dann sozusagen
150820	157220	mit Abos aus und ich dachte ich mache das mit dir. Weißt du, weil ich deinen, der wurde mir angezeigt
157220	160820	von einer von diesen Bubbles hier von wegen, kann den mal einer supporten hier, das ist ein
160820	168100	nicer Dude. Das ist ja nice, ich habe das gar nicht so richtig mitbekommen. Das ist ja out of scope,
168100	175220	das ist out of scope, also konkret war das der Discord Server vom Proletopia, da hat das jemand,
175220	180340	ich glaube alle drei zusammen hat es direkt, alle drei zusammen Christoph hat es durchgereicht. Ja,
180340	186820	also ehrlich gesagt kenne ich die gar nicht, also ich habe natürlich, nachdem ich da benachrichtigt
186820	193500	wurde von, genau Christoph hieß er glaube ich, Christoph war sein Name. Wie der heißt, in echt
193500	197820	weiß ich nicht. Nein, nein, ich meine sein... Alle drei zusammen Christoph, das ist ein Name,
197820	203140	das ist ein total absurder Scheißname, aber er prägt sich auch ein und mich hat er damals auch
203140	207780	vernetzt mit anderen, also das ist so ein Typ, der macht scheinbar, seine Passion ist im YouTube
207780	214060	drin hängen und Leute anschreiben. Richtiger Christoph halt. Ja genau, das ist ein nicer Dude.
214060	220100	Ja und ich habe dein Video gesehen hier zur Zensur, ich glaube das ist der erste Teil,
220100	224460	du willst es ja in drei Teile irgendwie, ich weiß nicht ob die schon alle da sind. Also ich
224460	230740	hatte, also das Ding ist, wie ich dir gerade schon sagte, ADS, immer den Überblick schön verlieren
230740	238500	und immer irgendwas machen und nichts richtig, aber der ursprüngliche Plan war Zensur, Überwachung
238500	245260	und Propaganda in Demokratien und genau der erste Teil war eben die Zensur, der zweite Teil die
245260	250100	Überwachung, den hatte ich auch schon hochgeladen. Ja, das ist ein langes Video, 50 Minuten. 50
250100	254060	Minuten, ja es ist sehr lang geworden, das war nicht geplant, also eigentlich war der Plan ein
254060	261180	zehn Minuten zu jedem Thema, das hat absolut nicht geklappt. Kenn ich. Ja das war der Wahnsinn, so und
261180	264980	es hat auch immer länger gedauert, jedes Video danach hat immer länger gedauert als das davor,
264980	269860	selbst wenn es wieder kürzer war, weil es gab immer mehr Dinge, auf die ich Wert gelegt habe und es
269860	275300	ist immer so ausgeartet in so ein Exzess irgendwie. Ich glaube für das letzte Video habe ich einen
275300	281060	Monat quasi nonstop gearbeitet und also das war aber dann das Manufacturing Consent Video,
281060	287420	was im Endeffekt das Propaganda Video sein sollte, also ursprünglich war das so angelegt und dann
287420	293580	beim Skript schreiben habe ich gemerkt, dass das ganze, also alles was ich sagen wollte nicht
293580	299340	ansatzweise in die Zeit gepasst hat und dann habe ich mir überlegt, okay, da mache ich jetzt ein
299340	304820	Dreiteil aus dem dritten Teil. Okay. Und deswegen steht da auch nicht Propaganda drauf, also Teil 3,
304820	311540	sondern ich habe einfach darauf vertraut, dass die Leute eh nichts sich gemerkt haben und nochmal
311540	317340	neu angefangen quasi. Aber im Endeffekt liefer ich ja trotzdem. Redest du auch von Edward Bernays dann
317340	323620	oder machst du nur nur am Chimps? Edward Bernays kommt im zweiten Teil. Ich finde das krass,
323620	329460	weil ich weiß nicht, ob du dir ein Video von mir schon angeguckt hast, ich gebe mir ja gar keine
329460	333540	Mühe mit meinem Content. Null Mühe mit meinem Content, ich setze mich hier einfach hin, so wie jetzt,
333540	339700	dann mache ich meistens ein Bier auf und dann habe ich einen Textfeil, höchstens Brust, ich habe
339700	343620	höchstens einen Textfeil, wo so ein paar Stichpunkte drin stehen und dann quatsche ich drauf los und dann
343620	349140	kann das auch schon mal passieren, dass das 50 Minuten dauert und das war's. Also es ist auch
349140	354660	immer nur eine Aufnahme, also ich habe einmal musste ich mal ein Video abbrechen, weil irgendwie es
354660	358260	an der Tür geklingelt hat und dann haben die Katzen irgendwas gemacht und dann war ich so im Arsch,
358260	361980	dass ich gesagt habe, ich mache morgen das Video noch mal. Aber sonst habe ich das noch nie gemacht,
361980	365380	ganz einfach deswegen, weil ich gar keine Zeit dafür habe und ich weiß, wie viel Arbeit das
365380	369980	kosten würde und ich sehe das ja bei dir, du schneidest ja jeden Scheiß, jeden, schneidest du
369980	375340	raus, jeden, alles und das ist übelst aufwendig und dann natürlich benutzt du auch noch einen
375340	382060	Haufen andere Videos und Bilder und so und das mache ich ja alles nicht. Das will ich eigentlich
382060	387500	gar nicht machen, ich rutsche halt immer nur da rein, weil ich mich da drin so verliere. Ich nehme
387500	390380	eigentlich jedes Mal vor, es nicht aufwendig zu machen. Weißt du, was bei mir am allerlängsten
390380	394660	dauert? Das, was mir am wenigsten bringt. Ich mache am Ende von meinen Videos immer ein Metal
394660	401700	Lied und irgendein Clip oder irgendwo, wo die Lyrics passen zum Video und das dauert am längsten,
401700	404900	weil ich nämlich immer noch die Lyrics reinnehme und die noch auf Deutsch übersetze,
404900	408940	weil so viele Leute kein Englisch können. Das dauert bei mir am allerlängsten und das bringt
408940	412620	mir am wenigsten, weil ich sehe ja, dass sozusagen, sobald das Video ist, so zack, zehn Prozent gucken
412620	416900	noch. Die gucken sich dann das noch an. Aber das ist egal, aber ich weiß, was du meinst,
416900	422940	wenn man damit einmal anfängt, dann... Ja, es war auch ganz, also ich hatte sehr gemischte
422940	430180	Gefühle, als ich mein Video zu Martin Sonneborn gemacht habe. Das hat jetzt mittlerweile 5000
430180	433300	Klicks, was für mich persönlich viel ist. Also andere werden da vielleicht überlachen,
433300	439980	aber für mich ist es krass und... Naja, ich habe halt, das war an dem Tag, wo das bekannt
439980	445340	geworden ist, dass Nico Semstraut aus der Partei austritt und ich war sehr, sehr überrascht und
445340	450900	auch schockiert davon. Also, weil für mich persönlich war und ist auch immer noch die
450900	457780	Partei, die Partei ein linker Lichtblick und... Naja, auf jeden Fall, ich dachte, boah, krass,
457780	461540	Alter, da muss ich direkt ein Video zu machen. Dann habe ich mir ein paar Gedanken gemacht,
461540	468180	ein bisschen mich noch mal eingelesen zu dem Thema, alles researcht, was ich finden konnte. Es gab
468180	472340	da noch nicht viel zu dem Zeitpunkt. Dann habe ich mir eine Stichpunktliste gemacht und wirklich
472340	476020	innerhalb von, ich weiß nicht, 20 Minuten oder so das Video auf, also was heißt das Video,
476020	480300	das Audio nur aufgenommen. Das war ja nur ein Audio-Kommentar, den ich angesprochen habe. Dann
480300	484660	habe ich noch ein paar Amps und Stillen und so rausgeschnitten, weil wenn ich mit mir alleine
484660	488220	rede, dann kann ich nicht so flüssig reden wie jetzt mit dir. Ich kann das einfach irgendwie nicht.
488220	500980	Und dann ist das Video voll abgegangen, über Nacht. Ich war morgens auf und hatte das schon 1000
500980	506740	Klicks und so viel hatte nach zwei Monaten mein bestes Video zu dem Zeitpunkt noch nicht. Und das
506740	509820	war so, ja, okay, warum mache ich mir eigentlich immer so viel Mühe?
509820	515540	Ja, das ist halt, ich meine, das war dann halt gerade wahrscheinlich ein trendendes Hashtag.
515540	520300	Ja, na klar, na klar. Aber ich habe auch bei den Themen davor mal versucht irgendwie.
520300	526500	Ja, aber du musst da zeitnah sein. Das muss genau passen. Das siehst du ja auch. Sobald
526500	530460	irgendwas ist, zum Beispiel wenn Rezo sein neues Video macht, dann müssen alle so schnell wie
530460	533380	möglich darauf reakten und auch noch was abkriegen von der Reichweite.
533380	538060	Ja, aber das ist doch so Geier-mäßig. Ja, natürlich. Ich mache das auch nicht.
538060	541660	Aber ich habe auch eine völlig andere Einstellung zu meinem Kanal. Also,
541660	545940	ich muss ja kein Marketing machen und ich will es ja auch nicht als Beruf machen,
545940	548780	zumindest jetzt noch nicht. Keine Ahnung, vielleicht mache ich das später tatsächlich.
548780	551940	Aber so ist das für mich wirklich nur ein Projekt. Und wie gesagt,
551940	555740	ich stecke ja auch keine großartige Zeit jetzt in die Videos rein, so wie du.
555740	562780	Ja, also bei mir ist es so, ich kriege natürlich auch kein Center für und bei mir ist es auch Hobby,
562780	568700	aber im Endeffekt war es schon dann ein Vollzeit-Hobby, das mich auf jeden Fall
568700	571660	Studienzeit gekostet hat. Allerdings bereue ich das auch kein bisschen,
571660	579340	weil es hat ja auch schon Spaß gemacht. Also, ich habe schon immer mega gern mit Videos
579340	585140	experimentiert und Aufnahmen gemacht und ich habe schon als Kind irgendwie von meinen Eltern eine
585140	591980	Kamera bekommen und habe damit irgendeinen Kram gefilmt und früher irgendwelche Matchbox-Autos
591980	594900	genommen und da Böller reingesteckt und das habe ich gefilmt und Side-Loop-Aufnahmen
594900	598220	davon gemacht, als ich 10 war. Das habe ich schon immer gemacht.
598220	605860	Ja, ich bin ja ein bisschen älter als du. Wir hatten das Analogon mit Kassettenrekordern und
605860	610900	Mikros und dann haben wir... Ich bin jetzt 34.
610900	617980	Okay, du bist älter als ich, aber ja. Und stopp, ich komme aus dem Osten. Wir hatten
617980	623980	nichts. Aus dem Osten? Aus dem Osten. Wir hatten nichts. Wir haben ja nichts. Und wir hatten
623980	630460	höchstens mal so einen ullen Kampfforder und dann mussten wir mit einem Tape über die Kassetten
630460	635260	drüber und dann konnte man die überspielen. Und dann habe ich mich mit meinem Kumpel hingesetzt und
635260	638660	wir waren vielleicht 10 und dann haben wir so getan, als wären wir Radiomoderatoren und haben uns
638660	642380	Shows ausgedacht und so. Nur so ein Scheiß oder vielleicht waren wir auch noch viel jünger. Also,
642380	647580	ich habe die auch noch hier rumliegen, diesen super Cringe. Manchmal hole ich sie raus und gucke
647580	651140	mir sie an und dann rufe ich ihn an und sage, ich habe hier noch diese Tapes, weißt du? Und er so,
651140	656180	oh nein, bloß weg damit, bloß weg damit. Das ist aber witzig, da sieht man, wie kreativ kleine Jungs
656180	662340	schon sein können. Aber witzig, dass du das noch hast. Ich wünschte, ich hätte das noch. Ja,
662340	668460	ich habe... Es war sogar so, ich glaube, er hatte sie bei sich zu Hause und ich habe ihn nach... Wir
668460	672100	haben uns sechs, sieben, zehn Jahre nicht gesehen und ich habe ihn noch mal besucht und ich so, ey,
672100	676060	hast du diese Dinge noch? Und er so, ja, ich habe die noch, nimm die bloß, ich will die nicht haben,
676060	679820	aber ich wollte sie auch nicht kaputt machen, weil mir das zu schade war und deswegen habe ich die
679820	686020	jetzt aufgehoben. Das ist super witzig. Wir hatten früher dieses Fischerpreisgerät, ich glaube,
686020	692100	es hatte früher jeder. Ja, genau, so ein Ding hatten wir auch. Das war auch geil. Ich werde
692100	697260	fragen, ob deine Kinder das heute noch machen oder wie das heute läuft. Naja, heute macht man das mit
697260	702940	TikTok direkt im Internet drin. Du nimmst ein Smartphone und hast es dann direkt da, ne? Ja. Da
702940	705820	ist die App drauf, die heißt TikTok, da muss man nicht mal mehr sich was überlegen,
705820	711340	sondern es wird direkt, es kommt dann direkt online. Ich frage mich immer, was ich machen würde,
711340	718780	wenn ich ein Kind hätte, ob ich, also wie ich mit meinem Kind umgehen müsste bezüglich Smartphones,
718780	724060	Social Media und dem ganzen Kram. Ich sage dir, wie man das macht. Ich habe ein Kind. Bitte. Du hast
725060	736540	meine Tochter ist dreieinhalb. Ja, so gehe ich damit um. Ich bin militant gegen Smartphones. Also meine
736540	741740	Frau hat jetzt eins, weil sie im Lockdown bemerkt hat, dass sie ausgeschlossen ist, wenn sie keins
741740	746260	hat. Ich komme aber super gut klar, weil ich ein PC-Nörd bin, schon mein ganzes Leben lang sitze
746260	752660	ich vor dem Computer. Ich habe genug Screentime und wir haben auch keinen Fernseher und ich habe
